,ARCH US Equity
,RSI_30D
2020-01-01,43.597
2020-01-02,46.4781
2020-01-03,46.5923
2020-01-04,46.5923
2020-01-05,46.5923
2020-01-06,44.9074
2020-01-07,44.3084
2020-01-08,42.6392
2020-01-09,43.2555
2020-01-10,41.7408
2020-01-11,41.7408
2020-01-12,41.7408
2020-01-13,45.0409
2020-01-14,42.1295
2020-01-15,38.6188
2020-01-16,42.1677
2020-01-17,39.4172
2020-01-18,39.4172
2020-01-19,39.4172
2020-01-20,39.4172
2020-01-21,35.6383
2020-01-22,34.3039
2020-01-23,33.321
2020-01-24,31.2434
2020-01-25,31.2434
2020-01-26,31.2434
2020-01-27,29.9624
2020-01-28,29.5809
2020-01-29,29.2549
2020-01-30,28.925
2020-01-31,27.0802
2020-02-01,27.0802
2020-02-02,27.0802
2020-02-03,27.0594
2020-02-04,32.0372
2020-02-05,38.828
2020-02-06,37.8104
2020-02-07,36.2618
2020-02-08,36.2618
2020-02-09,36.2618
2020-02-10,37.0411
2020-02-11,39.2144
2020-02-12,38.1307
2020-02-13,38.7444
2020-02-14,37.8816
2020-02-15,37.8816
2020-02-16,37.8816
2020-02-17,37.8816
2020-02-18,37.1389
2020-02-19,37.2999
2020-02-20,35.8013
2020-02-21,33.759
2020-02-22,33.759
2020-02-23,33.759
2020-02-24,34.8127
2020-02-25,33.5845
2020-02-26,30.478
2020-02-27,33.7684
2020-02-28,36.17
2020-02-29,36.17
2020-03-01,36.17
2020-03-02,33.8054
2020-03-03,33.6003
2020-03-04,34.3453
2020-03-05,33.0084
2020-03-06,32.0713
2020-03-07,32.0713
2020-03-08,32.0713
2020-03-09,27.451
2020-03-10,27.2604
2020-03-11,25.5888
2020-03-12,24.1416
2020-03-13,30.8367
2020-03-14,30.8367
2020-03-15,30.8367
2020-03-16,30.1944
2020-03-17,37.6353
2020-03-18,32.5377
2020-03-19,34.023
2020-03-20,33.6569
2020-03-21,33.6569
2020-03-22,33.6569
2020-03-23,32.3351
2020-03-24,32.8344
2020-03-25,35.0147
2020-03-26,33.6228
2020-03-27,31.6193
2020-03-28,31.6193
2020-03-29,31.6193
2020-03-30,31.6897
2020-03-31,33.4837
2020-04-01,35.3443
2020-04-02,36.0341
2020-04-03,35.9086
2020-04-04,35.9086
2020-04-05,35.9086
2020-04-06,38.2166
2020-04-07,36.6237
2020-04-08,38.1089
2020-04-09,41.3311
2020-04-10,41.3311
2020-04-11,41.3311
2020-04-12,41.3311
2020-04-13,41.1401
2020-04-14,41.9176
2020-04-15,39.1438
2020-04-16,37.2005
2020-04-17,36.6836
2020-04-18,36.6836
2020-04-19,36.6836
2020-04-20,37.6157
2020-04-21,37.0726
2020-04-22,38.8162
2020-04-23,36.2641
2020-04-24,34.6678
2020-04-25,34.6678
2020-04-26,34.6678
2020-04-27,34.1834
2020-04-28,37.5419
2020-04-29,40.7161
2020-04-30,41.5308
2020-05-01,39.7454
2020-05-02,39.7454
2020-05-03,39.7454
2020-05-04,42.8856
2020-05-05,41.1952
2020-05-06,40.6013
2020-05-07,40.8
2020-05-08,46.6269
2020-05-09,46.6269
2020-05-10,46.6269
2020-05-11,45.8219
2020-05-12,44.5552
2020-05-13,43.2933
2020-05-14,43.008
2020-05-15,44.0152
2020-05-16,44.0152
2020-05-17,44.0152
2020-05-18,45.8391
2020-05-19,46.4373
2020-05-20,48.7883
2020-05-21,47.9015
2020-05-22,46.9992
2020-05-23,46.9992
2020-05-24,46.9992
2020-05-25,46.9992
2020-05-26,48.7793
2020-05-27,49.8273
2020-05-28,49.716
2020-05-29,48.217
2020-05-30,48.217
2020-05-31,48.217
2020-06-01,47.5061
2020-06-02,46.5071
2020-06-03,47.8016
2020-06-04,49.3369
2020-06-05,53.3674
2020-06-06,53.3674
2020-06-07,53.3674
2020-06-08,56.3031
