,LEA US Equity
,RSI_30D
2020-01-01,59.9835
2020-01-02,62.0355
2020-01-03,58.533
2020-01-04,58.533
2020-01-05,58.533
2020-01-06,57.7569
2020-01-07,57.9338
2020-01-08,58.9621
2020-01-09,59.6601
2020-01-10,57.2897
2020-01-11,57.2897
2020-01-12,57.2897
2020-01-13,57.0923
2020-01-14,57.6127
2020-01-15,57.7068
2020-01-16,60.6567
2020-01-17,60.7435
2020-01-18,60.7435
2020-01-19,60.7435
2020-01-20,60.7435
2020-01-21,57.274
2020-01-22,56.8598
2020-01-23,56.3561
2020-01-24,52.7587
2020-01-25,52.7587
2020-01-26,52.7587
2020-01-27,49.1481
2020-01-28,44.9798
2020-01-29,45.5843
2020-01-30,45.5492
2020-01-31,43.0626
2020-02-01,43.0626
2020-02-02,43.0626
2020-02-03,45.1456
2020-02-04,44.5917
2020-02-05,47.1191
2020-02-06,42.9636
2020-02-07,42.774
2020-02-08,42.774
2020-02-09,42.774
2020-02-10,42.0148
2020-02-11,45.9626
2020-02-12,47.8665
2020-02-13,46.8899
2020-02-14,44.6757
2020-02-15,44.6757
2020-02-16,44.6757
2020-02-17,44.6757
2020-02-18,45.3257
2020-02-19,46.7612
2020-02-20,46.6541
2020-02-21,42.1671
2020-02-22,42.1671
2020-02-23,42.1671
2020-02-24,37.8057
2020-02-25,36.6816
2020-02-26,37.5084
2020-02-27,36.9535
2020-02-28,37.8266
2020-02-29,37.8266
2020-03-01,37.8266
2020-03-02,40.9399
2020-03-03,37.2673
2020-03-04,41.5028
2020-03-05,37.735
2020-03-06,35.4089
2020-03-07,35.4089
2020-03-08,35.4089
2020-03-09,30.5282
2020-03-10,38.8837
2020-03-11,36.1597
2020-03-12,32.4331
2020-03-13,40.151
2020-03-14,40.151
2020-03-15,40.151
2020-03-16,35.6986
2020-03-17,34.8077
2020-03-18,31.1875
2020-03-19,34.5703
2020-03-20,34.4921
2020-03-21,34.4921
2020-03-22,34.4921
2020-03-23,36.3476
2020-03-24,40.8845
2020-03-25,42.0879
2020-03-26,44.6404
2020-03-27,42.2258
2020-03-28,42.2258
2020-03-29,42.2258
2020-03-30,42.0564
2020-03-31,39.6086
2020-04-01,36.5099
2020-04-02,37.1329
2020-04-03,37.3147
2020-04-04,37.3147
2020-04-05,37.3147
2020-04-06,40.9416
2020-04-07,42.8038
2020-04-08,45.0767
2020-04-09,45.9738
2020-04-10,45.9738
2020-04-11,45.9738
2020-04-12,45.9738
2020-04-13,43.9652
2020-04-14,45.0224
2020-04-15,44.5491
2020-04-16,43.0889
2020-04-17,45.2591
2020-04-18,45.2591
2020-04-19,45.2591
2020-04-20,43.725
2020-04-21,43.824
2020-04-22,43.6312
2020-04-23,44.7502
2020-04-24,46.3846
2020-04-25,46.3846
2020-04-26,46.3846
2020-04-27,49.2686
2020-04-28,50.1025
2020-04-29,52.1827
2020-04-30,50.4633
2020-05-01,48.2517
2020-05-02,48.2517
2020-05-03,48.2517
2020-05-04,47.5888
2020-05-05,47.2381
2020-05-06,47.6952
2020-05-07,48.5003
2020-05-08,52.4862
2020-05-09,52.4862
2020-05-10,52.4862
2020-05-11,53.5326
2020-05-12,51.3194
2020-05-13,48.3015
2020-05-14,49.4367
2020-05-15,49.6672
2020-05-16,49.6672
2020-05-17,49.6672
2020-05-18,52.9178
2020-05-19,52.6343
2020-05-20,54.312
2020-05-21,54.0637
2020-05-22,53.9544
2020-05-23,53.9544
2020-05-24,53.9544
2020-05-25,53.9544
2020-05-26,55.7655
2020-05-27,55.6939
2020-05-28,54.7145
2020-05-29,53.8303
2020-05-30,53.8303
2020-05-31,53.8303
2020-06-01,55.9018
2020-06-02,56.7074
2020-06-03,58.399
2020-06-04,57.9829
2020-06-05,61.4702
2020-06-06,61.4702
2020-06-07,61.4702
2020-06-08,62.2998
2020-06-09,59.5539
2020-06-10,57.4432
2020-06-11,51.818
2020-06-12,53.1428
2020-06-13,53.1428
2020-06-14,53.1428
2020-06-15,52.9946
2020-06-16,53.4575
2020-06-17,51.9955
2020-06-18,51.7198
2020-06-19,53.3914
2020-06-20,53.3914
2020-06-21,53.3914
2020-06-22,53.2008
2020-06-23,54.2685
2020-06-24,51.0624
2020-06-25,51.5746
2020-06-26,49.5947
2020-06-27,49.5947
2020-06-28,49.5947
2020-06-29,51.3622
2020-06-30,51.9519
2020-07-01,50.3806
2020-07-02,51.2864
2020-07-03,51.2864
2020-07-04,51.2864
2020-07-05,51.2864
2020-07-06,51.8311
2020-07-07,50.6019
2020-07-08,49.9542
2020-07-09,48.0234
2020-07-10,49.4508
2020-07-11,49.4508
2020-07-12,49.4508
2020-07-13,49.9467
2020-07-14,51.8767
2020-07-15,54.2205
2020-07-16,55.2907
2020-07-17,55.1839
2020-07-18,55.1839
2020-07-19,55.1839
2020-07-20,54.7804
2020-07-21,55.2338
2020-07-22,56.301
2020-07-23,56.4165
2020-07-24,56.0257
2020-07-25,56.0257
2020-07-26,56.0257
2020-07-27,57.4488
2020-07-28,55.6863
2020-07-29,56.5925
2020-07-30,52.8178
2020-07-31,50.8393
2020-08-01,50.8393
2020-08-02,50.8393
2020-08-03,51.9163
2020-08-04,51.9364
2020-08-05,54.2139
2020-08-06,52.5247
2020-08-07,51.9566
2020-08-08,51.9566
2020-08-09,51.9566
2020-08-10,54.174
2020-08-11,56.5477
2020-08-12,55.9886
2020-08-13,54.8663
2020-08-14,55.5543
2020-08-15,55.5543
2020-08-16,55.5543
2020-08-17,54.1997
2020-08-18,52.7503
2020-08-19,51.6495
2020-08-20,51.7381
2020-08-21,50.4228
2020-08-22,50.4228
2020-08-23,50.4228
2020-08-24,53.2823
2020-08-25,52.7333
2020-08-26,53.2612
2020-08-27,52.1744
2020-08-28,53.812
2020-08-29,53.812
2020-08-30,53.812
2020-08-31,51.3582
2020-09-01,53.0092
2020-09-02,57.2169
2020-09-03,55.4346
2020-09-04,55.7132
2020-09-05,55.7132
2020-09-06,55.7132
2020-09-07,55.7132
2020-09-08,53.8691
2020-09-09,55.2599
2020-09-10,53.0188
2020-09-11,54.4016
2020-09-12,54.4016
2020-09-13,54.4016
2020-09-14,55.9781
2020-09-15,57.1725
2020-09-16,54.9338
2020-09-17,52.9959
2020-09-18,51.3795
2020-09-19,51.3795
2020-09-20,51.3795
2020-09-21,47.2225
2020-09-22,45.9006
2020-09-23,44.998
2020-09-24,43.5395
2020-09-25,42.7348
2020-09-26,42.7348
2020-09-27,42.7348
2020-09-28,45.2376
2020-09-29,45.7879
2020-09-30,46.6615
2020-10-01,49.9207
2020-10-02,51.1898
2020-10-03,51.1898
2020-10-04,51.1898
2020-10-05,54.8275
2020-10-06,57.0726
2020-10-07,60.2498
2020-10-08,60.8209
2020-10-09,60.5675
2020-10-10,60.5675
2020-10-11,60.5675
2020-10-12,60.254
2020-10-13,60.4777
2020-10-14,59.6053
2020-10-15,60.1803
2020-10-16,60.9409
2020-10-17,60.9409
2020-10-18,60.9409
2020-10-19,59.3255
2020-10-20,61.0325
2020-10-21,61.3908
2020-10-22,62.9514
2020-10-23,62.7082
2020-10-24,62.7082
2020-10-25,62.7082
2020-10-26,59.1232
2020-10-27,55.4317
2020-10-28,51.4489
2020-10-29,53.2775
2020-10-30,50.0904
2020-10-31,50.0904
2020-11-01,50.0904
2020-11-02,51.6564
2020-11-03,54.2349
2020-11-04,51.7964
2020-11-05,56.237
2020-11-06,54.6407
2020-11-07,54.6407
2020-11-08,54.6407
2020-11-09,58.7845
2020-11-10,59.83
2020-11-11,58.878
2020-11-12,57.1284
2020-11-13,59.3731
2020-11-14,59.3731
2020-11-15,59.3731
2020-11-16,60.8742
2020-11-17,61.075
2020-11-18,61.0003
2020-11-19,60.071
2020-11-20,59.3146
2020-11-21,59.3146
2020-11-22,59.3146
2020-11-23,61.7496
2020-11-24,65.125
2020-11-25,61.5786
2020-11-26,61.5786
2020-11-27,61.8591
2020-11-28,61.8591
2020-11-29,61.8591
2020-11-30,58.9572
2020-12-01,60.9657
2020-12-02,59.3055
2020-12-03,61.5047
2020-12-04,65.2593
2020-12-05,65.2593
2020-12-06,65.2593
2020-12-07,65.3011
2020-12-08,65.6933
2020-12-09,65.893
2020-12-10,63.9263
2020-12-11,62.869
2020-12-12,62.869
2020-12-13,62.869
2020-12-14,63.3878
2020-12-15,65.3619
2020-12-16,66.1081
2020-12-17,67.3389
2020-12-18,63.0912
2020-12-19,63.0912
2020-12-20,63.0912
2020-12-21,62.1503
2020-12-22,62.3008
2020-12-23,63.8275
2020-12-24,62.096
2020-12-25,62.096
2020-12-26,62.096
2020-12-27,62.096
2020-12-28,61.5567
2020-12-29,61.2215
2020-12-30,62.1295
2020-12-31,60.8335
2021-01-01,60.8335
2021-01-02,60.8335
2021-01-03,60.8335
2021-01-04,59.4368
2021-01-05,61.0262
2021-01-06,63.9785
2021-01-07,66.2361
2021-01-08,62.3644
2021-01-09,62.3644
2021-01-10,62.3644
2021-01-11,60.5776
2021-01-12,62.1286
2021-01-13,58.9704
2021-01-14,60.1543
2021-01-15,56.2885
2021-01-16,56.2885
2021-01-17,56.2885
2021-01-18,56.2885
2021-01-19,58.0374
2021-01-20,60.2863
2021-01-21,60.4828
2021-01-22,59.8472
2021-01-23,59.8472
2021-01-24,59.8472
2021-01-25,56.1826
2021-01-26,52.0943
2021-01-27,47.1681
2021-01-28,50.611
2021-01-29,49.1393
2021-01-30,49.1393
2021-01-31,49.1393
2021-02-01,52.3499
2021-02-02,53.3142
2021-02-03,54.0458
2021-02-04,50.1534
2021-02-05,51.4421
2021-02-06,51.4421
2021-02-07,51.4421
2021-02-08,53.6097
2021-02-09,54.5457
2021-02-10,54.2655
2021-02-11,53.472
2021-02-12,53.1659
2021-02-13,53.1659
2021-02-14,53.1659
2021-02-15,53.1659
2021-02-16,54.6508
2021-02-17,55.0481
2021-02-18,54.0743
2021-02-19,57.1486
2021-02-20,57.1486
2021-02-21,57.1486
2021-02-22,58.176
2021-02-23,58.1908
2021-02-24,57.1028
2021-02-25,53.9901
2021-02-26,55.3492
2021-02-27,55.3492
2021-02-28,55.3492
2021-03-01,57.4572
2021-03-02,57.1896
2021-03-03,57.9595
2021-03-04,54.3841
2021-03-05,59.7605
2021-03-06,59.7605
2021-03-07,59.7605
2021-03-08,61.3362
2021-03-09,60.3871
2021-03-10,62.3399
2021-03-11,63.3238
2021-03-12,64.4283
2021-03-13,64.4283
2021-03-14,64.4283
2021-03-15,64.7365
2021-03-16,64.1395
2021-03-17,66.3101
2021-03-18,62.1816
2021-03-19,58.9107
2021-03-20,58.9107
