,K US Equity
,RSI_30D
2020-01-01,70.4324
2020-01-02,62.2868
2020-01-03,63.326
2020-01-04,63.326
2020-01-05,63.326
2020-01-06,63.0266
2020-01-07,65.4753
2020-01-08,65.6914
2020-01-09,66.372
2020-01-10,66.7271
2020-01-11,66.7271
2020-01-12,66.7271
2020-01-13,67.9132
2020-01-14,68.6747
2020-01-15,69.3746
2020-01-16,70.5593
2020-01-17,70.906
2020-01-18,70.906
2020-01-19,70.906
2020-01-20,70.906
2020-01-21,69.2191
2020-01-22,67.2106
2020-01-23,67.7235
2020-01-24,61.6287
2020-01-25,61.6287
2020-01-26,61.6287
2020-01-27,60.0531
2020-01-28,59.7981
2020-01-29,57.041
2020-01-30,58.6545
2020-01-31,55.4469
2020-02-01,55.4469
2020-02-02,55.4469
2020-02-03,57.6972
2020-02-04,56.9416
2020-02-05,59.2857
2020-02-06,39.8252
2020-02-07,42.1876
2020-02-08,42.1876
2020-02-09,42.1876
2020-02-10,45.814
2020-02-11,48.4718
2020-02-12,48.235
2020-02-13,50.8833
2020-02-14,52.3797
2020-02-15,52.3797
2020-02-16,52.3797
2020-02-17,52.3797
2020-02-18,50.8065
2020-02-19,48.5184
2020-02-20,46.899
2020-02-21,46.5166
2020-02-22,46.5166
2020-02-23,46.5166
2020-02-24,43.9931
2020-02-25,41.461
2020-02-26,40.1266
2020-02-27,36.6794
2020-02-28,35.6827
2020-02-29,35.6827
2020-03-01,35.6827
2020-03-02,44.8942
2020-03-03,43.9104
2020-03-04,48.4427
2020-03-05,46.6174
2020-03-06,45.6771
2020-03-07,45.6771
2020-03-08,45.6771
2020-03-09,44.1483
2020-03-10,45.3135
2020-03-11,42.9939
2020-03-12,37.2416
2020-03-13,48.4025
2020-03-14,48.4025
2020-03-15,48.4025
2020-03-16,46.6757
2020-03-17,56.4149
2020-03-18,56.0018
2020-03-19,45.9269
2020-03-20,40.3257
2020-03-21,40.3257
2020-03-22,40.3257
2020-03-23,38.3867
2020-03-24,41.8693
2020-03-25,41.7792
2020-03-26,44.9545
2020-03-27,45.7929
2020-03-28,45.7929
