,CFR US Equity
,RSI_30D
2020-01-01,59.1754
2020-01-02,59.3032
2020-01-03,56.7561
2020-01-04,56.7561
2020-01-05,56.7561
2020-01-06,54.01
2020-01-07,53.5273
2020-01-08,54.3296
2020-01-09,53.599
2020-01-10,50.1586
2020-01-11,50.1586
2020-01-12,50.1586
2020-01-13,51.836
2020-01-14,52.9498
2020-01-15,51.0115
2020-01-16,54.5198
2020-01-17,54.0587
2020-01-18,54.0587
2020-01-19,54.0587
2020-01-20,54.0587
2020-01-21,50.8723
2020-01-22,51.3521
2020-01-23,51.4191
2020-01-24,47.9603
2020-01-25,47.9603
2020-01-26,47.9603
2020-01-27,44.8208
2020-01-28,46.9346
2020-01-29,44.9931
2020-01-30,46.8049
2020-01-31,40.5671
2020-02-01,40.5671
2020-02-02,40.5671
2020-02-03,43.8443
2020-02-04,47.1617
2020-02-05,50.5176
2020-02-06,48.0213
2020-02-07,46.5986
2020-02-08,46.5986
2020-02-09,46.5986
2020-02-10,47.862
2020-02-11,49.1612
2020-02-12,49.4731
2020-02-13,50.2713
2020-02-14,49.892
2020-02-15,49.892
2020-02-16,49.892
2020-02-17,49.892
2020-02-18,47.8567
2020-02-19,48.8275
2020-02-20,51.4605
2020-02-21,48.8598
2020-02-22,48.8598
2020-02-23,48.8598
2020-02-24,44.8188
2020-02-25,42.3379
2020-02-26,39.9652
2020-02-27,35.2259
2020-02-28,31.011
2020-02-29,31.011
2020-03-01,31.011
2020-03-02,37.1975
2020-03-03,34.1073
2020-03-04,35.3837
2020-03-05,31.4763
2020-03-06,27.7248
2020-03-07,27.7248
2020-03-08,27.7248
2020-03-09,20.9912
2020-03-10,29.4985
2020-03-11,27.45
2020-03-12,26.1209
2020-03-13,35.0115
2020-03-14,35.0115
2020-03-15,35.0115
2020-03-16,32.4794
2020-03-17,38.0596
2020-03-18,35.1181
2020-03-19,35.8465
2020-03-20,33.9802
2020-03-21,33.9802
2020-03-22,33.9802
2020-03-23,32.4924
2020-03-24,35.6417
2020-03-25,36.327
2020-03-26,38.945
2020-03-27,37.7475
2020-03-28,37.7475
2020-03-29,37.7475
2020-03-30,38.5439
2020-03-31,38.2905
2020-04-01,37.1781
2020-04-02,38.6635
2020-04-03,38.6005
2020-04-04,38.6005
2020-04-05,38.6005
2020-04-06,40.9564
2020-04-07,43.7406
2020-04-08,46.4416
2020-04-09,49.5054
2020-04-10,49.5054
2020-04-11,49.5054
2020-04-12,49.5054
2020-04-13,46.8204
2020-04-14,45.6967
2020-04-15,43.7105
2020-04-16,41.9446
2020-04-17,45.4757
2020-04-18,45.4757
2020-04-19,45.4757
2020-04-20,44.9432
2020-04-21,43.6846
2020-04-22,43.7112
2020-04-23,44.6518
2020-04-24,46.1389
2020-04-25,46.1389
2020-04-26,46.1389
2020-04-27,48.6832
2020-04-28,49.8407
2020-04-29,53.0619
2020-04-30,51.8225
2020-05-01,49.6184
2020-05-02,49.6184
2020-05-03,49.6184
2020-05-04,49.0375
2020-05-05,48.5575
2020-05-06,47.6763
2020-05-07,48.11
2020-05-08,50.0662
2020-05-09,50.0662
2020-05-10,50.0662
2020-05-11,48.86
2020-05-12,46.6167
2020-05-13,44.2707
2020-05-14,47.0802
2020-05-15,47.7856
2020-05-16,47.7856
2020-05-17,47.7856
2020-05-18,51.4057
2020-05-19,49.9191
2020-05-20,51.4091
2020-05-21,51.5968
2020-05-22,50.4012
2020-05-23,50.4012
2020-05-24,50.4012
2020-05-25,50.4012
2020-05-26,53.5312
2020-05-27,56.4356
2020-05-28,55.181
2020-05-29,54.8519
2020-05-30,54.8519
2020-05-31,54.8519
2020-06-01,54.8519
2020-06-02,54.1819
2020-06-03,55.8437
2020-06-04,57.3905
2020-06-05,58.6757
2020-06-06,58.6757
2020-06-07,58.6757
2020-06-08,60.4977
2020-06-09,60.0306
2020-06-10,55.4211
2020-06-11,51.3052
2020-06-12,52.4549
2020-06-13,52.4549
2020-06-14,52.4549
2020-06-15,53.7836
2020-06-16,55.0319
2020-06-17,54.0438
2020-06-18,54.3305
2020-06-19,54.105
2020-06-20,54.105
2020-06-21,54.105
2020-06-22,53.9778
2020-06-23,52.7191
2020-06-24,49.9348
2020-06-25,50.6473
2020-06-26,48.2051
2020-06-27,48.2051
2020-06-28,48.2051
2020-06-29,49.7477
2020-06-30,51.2564
2020-07-01,48.9113
2020-07-02,48.3646
2020-07-03,48.3646
2020-07-04,48.3646
2020-07-05,48.3646
2020-07-06,48.3721
2020-07-07,46.9883
2020-07-08,46.9601
2020-07-09,45.1779
2020-07-10,47.1782
2020-07-11,47.1782
2020-07-12,47.1782
2020-07-13,48.3324
2020-07-14,47.2352
2020-07-15,50.5914
2020-07-16,49.8232
2020-07-17,48.3784
2020-07-18,48.3784
2020-07-19,48.3784
2020-07-20,47.2058
2020-07-21,50.9569
2020-07-22,49.8686
2020-07-23,50.908
2020-07-24,50.9001
2020-07-25,50.9001
2020-07-26,50.9001
2020-07-27,49.9604
2020-07-28,50.277
2020-07-29,52.8783
2020-07-30,51.2675
2020-07-31,49.9972
2020-08-01,49.9972
2020-08-02,49.9972
2020-08-03,49.8892
2020-08-04,49.6164
2020-08-05,50.8247
2020-08-06,50.5989
2020-08-07,52.4097
2020-08-08,52.4097
2020-08-09,52.4097
2020-08-10,52.3426
2020-08-11,54.0136
2020-08-12,53.3883
2020-08-13,52.7061
2020-08-14,52.9752
2020-08-15,52.9752
2020-08-16,52.9752
2020-08-17,50.8595
2020-08-18,48.9458
2020-08-19,49.2108
2020-08-20,47.3249
2020-08-21,47.035
2020-08-22,47.035
2020-08-23,47.035
2020-08-24,49.1197
2020-08-25,49.2369
2020-08-26,47.4981
2020-08-27,49.4118
2020-08-28,49.2084
2020-08-29,49.2084
2020-08-30,49.2084
