,SCCO US Equity
,RSI_30D
2020-01-01,67.9065
2020-01-02,68.4251
2020-01-03,63.1047
2020-01-04,63.1047
2020-01-05,63.1047
2020-01-06,63.2829
2020-01-07,63.4395
2020-01-08,64.0735
2020-01-09,64.9128
2020-01-10,66.7937
2020-01-11,66.7937
2020-01-12,66.7937
2020-01-13,69.9488
2020-01-14,69.3725
2020-01-15,67.1318
2020-01-16,65.6386
2020-01-17,66.6692
2020-01-18,66.6692
2020-01-19,66.6692
2020-01-20,66.6692
2020-01-21,59.4994
2020-01-22,57.9175
2020-01-23,54.7932
2020-01-24,50.9468
2020-01-25,50.9468
2020-01-26,50.9468
2020-01-27,45.5403
2020-01-28,48.2595
2020-01-29,47.5499
2020-01-30,48.3357
2020-01-31,45.1342
2020-02-01,45.1342
2020-02-02,45.1342
2020-02-03,46.7292
2020-02-04,51.777
2020-02-05,52.1142
2020-02-06,50.5669
2020-02-07,48.0194
2020-02-08,48.0194
2020-02-09,48.0194
2020-02-10,47.2419
2020-02-11,48.952
2020-02-12,50.5279
2020-02-13,50.3867
2020-02-14,49.8109
2020-02-15,49.8109
2020-02-16,49.8109
2020-02-17,49.8109
2020-02-18,46.7701
2020-02-19,48.7418
2020-02-20,47.3078
2020-02-21,46.1161
2020-02-22,46.1161
2020-02-23,46.1161
2020-02-24,41.9611
2020-02-25,39.6079
2020-02-26,39.5658
2020-02-27,36.6248
2020-02-28,36.8907
2020-02-29,36.8907
2020-03-01,36.8907
2020-03-02,41.6402
2020-03-03,40.628
2020-03-04,43.974
2020-03-05,42.9848
2020-03-06,42.7636
2020-03-07,42.7636
2020-03-08,42.7636
2020-03-09,37.0755
2020-03-10,45.5645
2020-03-11,39.2696
2020-03-12,32.9807
2020-03-13,38.5539
2020-03-14,38.5539
2020-03-15,38.5539
2020-03-16,36.624
2020-03-17,37.1339
2020-03-18,34.9101
2020-03-19,37.3105
2020-03-20,35.4209
2020-03-21,35.4209
2020-03-22,35.4209
2020-03-23,33.5023
2020-03-24,39.0269
2020-03-25,40.5889
2020-03-26,42.0906
2020-03-27,39.9988
2020-03-28,39.9988
2020-03-29,39.9988
2020-03-30,41.6952
2020-03-31,42.5757
2020-04-01,40.6696
2020-04-02,41.9962
2020-04-03,41.3506
2020-04-04,41.3506
2020-04-05,41.3506
2020-04-06,43.9899
2020-04-07,45.788
2020-04-08,46.7803
2020-04-09,48.2203
2020-04-10,48.2203
2020-04-11,48.2203
2020-04-12,48.2203
2020-04-13,47.8781
2020-04-14,48.0687
2020-04-15,45.0441
2020-04-16,44.3529
2020-04-17,47.4603
2020-04-18,47.4603
2020-04-19,47.4603
2020-04-20,46.5128
2020-04-21,45.7097
2020-04-22,47.5346
2020-04-23,48.739
2020-04-24,48.5392
2020-04-25,48.5392
2020-04-26,48.5392
2020-04-27,51.4232
2020-04-28,52.6156
2020-04-29,54.4882
2020-04-30,50.911
2020-05-01,49.8642
2020-05-02,49.8642
2020-05-03,49.8642
2020-05-04,50.7575
2020-05-05,50.7575
2020-05-06,50.8867
2020-05-07,51.6897
2020-05-08,54.1281
2020-05-09,54.1281
2020-05-10,54.1281
2020-05-11,53.0842
2020-05-12,52.0221
2020-05-13,51.1607
2020-05-14,51.7462
2020-05-15,51.502
2020-05-16,51.502
2020-05-17,51.502
2020-05-18,56.1464
2020-05-19,56.5735
2020-05-20,56.7757
2020-05-21,55.6215
2020-05-22,55.0019
2020-05-23,55.0019
2020-05-24,55.0019
2020-05-25,55.0019
2020-05-26,56.3273
2020-05-27,56.8762
2020-05-28,57.6929
2020-05-29,56.5843
2020-05-30,56.5843
2020-05-31,56.5843
2020-06-01,57.5319
2020-06-02,58.6522
2020-06-03,59.944
2020-06-04,59.4269
2020-06-05,60.8734
2020-06-06,60.8734
2020-06-07,60.8734
2020-06-08,60.4633
2020-06-09,60.703
2020-06-10,61.5974
2020-06-11,53.4216
2020-06-12,55.1524
2020-06-13,55.1524
2020-06-14,55.1524
2020-06-15,55.5124
2020-06-16,55.7146
2020-06-17,56.2201
2020-06-18,54.5041
2020-06-19,56.2685
2020-06-20,56.2685
2020-06-21,56.2685
2020-06-22,55.375
2020-06-23,57.0712
2020-06-24,55.029
2020-06-25,56.6343
2020-06-26,55.1789
2020-06-27,55.1789
2020-06-28,55.1789
2020-06-29,56.4336
2020-06-30,58.9914
2020-07-01,56.1186
2020-07-02,56.71
2020-07-03,56.71
2020-07-04,56.71
2020-07-05,56.71
2020-07-06,59.9068
2020-07-07,58.1117
2020-07-08,59.222
2020-07-09,58.4332
2020-07-10,60.6847
2020-07-11,60.6847
2020-07-12,60.6847
2020-07-13,59.5064
2020-07-14,61.6067
2020-07-15,62.1462
2020-07-16,61.6716
2020-07-17,63.3601
2020-07-18,63.3601
2020-07-19,63.3601
2020-07-20,63.5342
2020-07-21,62.0372
2020-07-22,62.8258
2020-07-23,61.8362
2020-07-24,61.0125
2020-07-25,61.0125
2020-07-26,61.0125
2020-07-27,65.8629
2020-07-28,62.6537
2020-07-29,61.0756
2020-07-30,59.9489
2020-07-31,59.6385
2020-08-01,59.6385
2020-08-02,59.6385
2020-08-03,60.4332
2020-08-04,58.8612
2020-08-05,61.8375
2020-08-06,63.2684
2020-08-07,60.3491
2020-08-08,60.3491
2020-08-09,60.3491
2020-08-10,61.6518
2020-08-11,59.2599
2020-08-12,60.6359
2020-08-13,59.4561
2020-08-14,60.016
2020-08-15,60.016
2020-08-16,60.016
2020-08-17,61.2946
2020-08-18,62.3384
2020-08-19,62.641
2020-08-20,61.9827
2020-08-21,60.5238
2020-08-22,60.5238
2020-08-23,60.5238
2020-08-24,61.6587
2020-08-25,60.6978
2020-08-26,62.353
2020-08-27,59.861
2020-08-28,63.2043
2020-08-29,63.2043
2020-08-30,63.2043
2020-08-31,62.8889
2020-09-01,63.6062
2020-09-02,62.0121
2020-09-03,58.1585
2020-09-04,58.8863
2020-09-05,58.8863
2020-09-06,58.8863
2020-09-07,58.8863
2020-09-08,55.7701
2020-09-09,57.8618
2020-09-10,54.4042
2020-09-11,57.0947
2020-09-12,57.0947
2020-09-13,57.0947
2020-09-14,57.8967
2020-09-15,57.7951
2020-09-16,57.1724
2020-09-17,57.449
2020-09-18,55.5659
2020-09-19,55.5659
2020-09-20,55.5659
2020-09-21,52.294
2020-09-22,52.7771
2020-09-23,49.3907
2020-09-24,50.7527
2020-09-25,50.5884
2020-09-26,50.5884
2020-09-27,50.5884
2020-09-28,51.5391
2020-09-29,50.4612
2020-09-30,52.3811
2020-10-01,50.4569
2020-10-02,53.0638
2020-10-03,53.0638
2020-10-04,53.0638
2020-10-05,55.527
2020-10-06,52.6209
2020-10-07,55.7477
2020-10-08,56.2903
2020-10-09,57.5405
2020-10-10,57.5405
2020-10-11,57.5405
2020-10-12,57.2279
2020-10-13,55.7399
2020-10-14,56.0921
2020-10-15,56.9674
2020-10-16,56.8557
2020-10-17,56.8557
2020-10-18,56.8557
2020-10-19,56.4551
2020-10-20,59.5316
2020-10-21,60.807
2020-10-22,61.5021
2020-10-23,64.5383
2020-10-24,64.5383
2020-10-25,64.5383
2020-10-26,62.0667
2020-10-27,63.5122
2020-10-28,61.9341
2020-10-29,63.8454
2020-10-30,63.3323
2020-10-31,63.3323
2020-11-01,63.3323
2020-11-02,66.4043
2020-11-03,65.5236
2020-11-04,62.451
2020-11-05,64.7064
2020-11-06,66.061
2020-11-07,66.061
2020-11-08,66.061
2020-11-09,66.1072
2020-11-10,64.5882
2020-11-11,64.5268
2020-11-12,62.7989
2020-11-13,64.2321
2020-11-14,64.2321
2020-11-15,64.2321
2020-11-16,66.1475
2020-11-17,67.0213
2020-11-18,66.313
2020-11-19,66.6117
2020-11-20,67.8878
2020-11-21,67.8878
2020-11-22,67.8878
2020-11-23,69.9017
2020-11-24,71.7875
2020-11-25,72.4056
2020-11-26,72.4056
2020-11-27,73.5167
2020-11-28,73.5167
2020-11-29,73.5167
2020-11-30,68.6522
2020-12-01,69.7437
2020-12-02,69.8134
2020-12-03,69.9708
2020-12-04,70.9814
2020-12-05,70.9814
2020-12-06,70.9814
2020-12-07,65.3426
2020-12-08,66.9624
2020-12-09,64.4974
2020-12-10,63.5929
2020-12-11,64.5711
2020-12-12,64.5711
2020-12-13,64.5711
2020-12-14,62.9982
2020-12-15,65.1522
2020-12-16,67.0451
2020-12-17,68.664
2020-12-18,68.1777
2020-12-19,68.1777
2020-12-20,68.1777
2020-12-21,69.6242
2020-12-22,67.5178
2020-12-23,69.3396
2020-12-24,68.4005
2020-12-25,68.4005
2020-12-26,68.4005
2020-12-27,68.4005
2020-12-28,66.6826
2020-12-29,67.7697
2020-12-30,69.898
2020-12-31,67.8062
2021-01-01,67.8062
2021-01-02,67.8062
2021-01-03,67.8062
2021-01-04,70.6016
2021-01-05,71.6555
2021-01-06,72.5589
2021-01-07,74.8952
2021-01-08,75.1504
2021-01-09,75.1504
2021-01-10,75.1504
2021-01-11,72.8522
2021-01-12,74.062
2021-01-13,69.6768
2021-01-14,70.55
2021-01-15,65.684
2021-01-16,65.684
2021-01-17,65.684
2021-01-18,65.684
2021-01-19,67.8561
2021-01-20,66.3275
2021-01-21,66.501
2021-01-22,67.2613
2021-01-23,67.2613
2021-01-24,67.2613
2021-01-25,64.221
2021-01-26,64.1235
2021-01-27,58.7063
2021-01-28,61.2295
2021-01-29,55.7153
2021-01-30,55.7153
2021-01-31,55.7153
2021-02-01,59.1335
2021-02-02,57.7465
2021-02-03,57.2956
2021-02-04,59.5165
2021-02-05,61.9527
2021-02-06,61.9527
2021-02-07,61.9527
2021-02-08,61.4988
2021-02-09,62.0412
2021-02-10,62.599
2021-02-11,60.8132
2021-02-12,63.1302
2021-02-13,63.1302
2021-02-14,63.1302
2021-02-15,63.1302
2021-02-16,63.8149
2021-02-17,65.3713
2021-02-18,65.5817
2021-02-19,70.6197
2021-02-20,70.6197
2021-02-21,70.6197
2021-02-22,72.4147
2021-02-23,67.8234
2021-02-24,66.3032
2021-02-25,60.2872
2021-02-26,54.6314
2021-02-27,54.6314
2021-02-28,54.6314
2021-03-01,58.4587
2021-03-02,59.6938
2021-03-03,60.5195
2021-03-04,53.1166
2021-03-05,55.4751
2021-03-06,55.4751
2021-03-07,55.4751
2021-03-08,54.0214
2021-03-09,54.4702
2021-03-10,56.6301
2021-03-11,59.4457
2021-03-12,59.1609
2021-03-13,59.1609
2021-03-14,59.1609
2021-03-15,56.3438
2021-03-16,53.9841
2021-03-17,54.4648
2021-03-18,52.8698
2021-03-19,51.9305
2021-03-20,51.9305
2021-03-21,51.9305
2021-03-22,51.8591
2021-03-23,47.4557
2021-03-24,46.7313
2021-03-25,45.021
2021-03-26,49.1927
2021-03-27,49.1927
2021-03-28,49.1927
2021-03-29,47.7962
2021-03-30,47.8076
2021-03-31,47.5704
2021-04-01,49.3889
2021-04-02,49.3889
2021-04-03,49.3889
2021-04-04,49.3889
2021-04-05,51.9525
2021-04-06,51.5983
2021-04-07,50.9278
2021-04-08,52.7755
2021-04-09,50.961
2021-04-10,50.961
2021-04-11,50.961
2021-04-12,50.2532
2021-04-13,50.8871
2021-04-14,53.7727
2021-04-15,55.3303
2021-04-16,56.7236
2021-04-17,56.7236
2021-04-18,56.7236
2021-04-19,54.4896
2021-04-20,50.6777
2021-04-21,51.4436
2021-04-22,48.0923
2021-04-23,50.9178
2021-04-24,50.9178
2021-04-25,50.9178
2021-04-26,52.2516
2021-04-27,52.348
2021-04-28,52.3922
2021-04-29,51.1526
2021-04-30,48.1204
2021-05-01,48.1204
2021-05-02,48.1204
2021-05-03,48.3276
2021-05-04,48.4028
2021-05-05,51.904
2021-05-06,52.2278
2021-05-07,56.5995
2021-05-08,56.5995
2021-05-09,56.5995
2021-05-10,60.5795
2021-05-11,61.4009
2021-05-12,57.8792
2021-05-13,55.9796
2021-05-14,54.9563
2021-05-15,54.9563
2021-05-16,54.9563
2021-05-17,56.9209
2021-05-18,54.7634
2021-05-19,48.8176
2021-05-20,48.7388
2021-05-21,47.2789
2021-05-22,47.2789
2021-05-23,47.2789
2021-05-24,45.9419
2021-05-25,44.9394
2021-05-26,45.2426
2021-05-27,47.4751
2021-05-28,48.0958
2021-05-29,48.0958
2021-05-30,48.0958
2021-05-31,48.0958
2021-06-01,50.2306
2021-06-02,50.4382
2021-06-03,47.7694
2021-06-04,49.727
2021-06-05,49.727
2021-06-06,49.727
2021-06-07,46.7152
2021-06-08,47.4171
2021-06-09,45.1636
2021-06-10,45.6229
2021-06-11,45.5926
2021-06-12,45.5926
2021-06-13,45.5926
2021-06-14,44.4193
2021-06-15,41.8429
2021-06-16,41.4132
2021-06-17,38.5052
2021-06-18,38.6006
2021-06-19,38.6006
2021-06-20,38.6006
2021-06-21,41.5255
2021-06-22,42.3594
2021-06-23,43.2876
2021-06-24,44.1395
2021-06-25,45.1363
2021-06-26,45.1363
2021-06-27,45.1363
2021-06-28,45.1762
2021-06-29,45.9498
2021-06-30,45.1406
2021-07-01,43.84
2021-07-02,45.2849
2021-07-03,45.2849
2021-07-04,45.2849
2021-07-05,45.2849
2021-07-06,43.2886
2021-07-07,45.4903
2021-07-08,44.2297
2021-07-09,47.3706
2021-07-10,47.3706
2021-07-11,47.3706
2021-07-12,47.2384
2021-07-13,46.4102
2021-07-14,45.6911
2021-07-15,45.9261
2021-07-16,43.4806
2021-07-17,43.4806
2021-07-18,43.4806
2021-07-19,42.2306
2021-07-20,44.0337
2021-07-21,46.2725
2021-07-22,45.6717
2021-07-23,45.6869
2021-07-24,45.6869
2021-07-25,45.6869
2021-07-26,48.1192
2021-07-27,48.5459
2021-07-28,48.8311
2021-07-29,52.4613
2021-07-30,49.4896
2021-07-31,49.4896
2021-08-01,49.4896
2021-08-02,48.1007
2021-08-03,49.2985
2021-08-04,48.2031
2021-08-05,48.7695
2021-08-06,49.3277
2021-08-07,49.3277
2021-08-08,49.3277
2021-08-09,49.0587
2021-08-10,51.0529
2021-08-11,52.4202
2021-08-12,51.5525
2021-08-13,53.3606
2021-08-14,53.3606
2021-08-15,53.3606
2021-08-16,49.5801
2021-08-17,47.09
2021-08-18,46.2331
2021-08-19,43.9931
2021-08-20,43.8864
2021-08-21,43.8864
2021-08-22,43.8864
2021-08-23,47.0564
2021-08-24,47.6332
2021-08-25,46.7119
2021-08-26,44.9557
2021-08-27,47.9199
2021-08-28,47.9199
2021-08-29,47.9199
2021-08-30,47.9843
2021-08-31,47.3036
2021-09-01,46.0132
2021-09-02,47.1746
2021-09-03,47.5924
2021-09-04,47.5924
2021-09-05,47.5924
2021-09-06,47.5924
2021-09-07,47.1583
2021-09-08,43.5656
2021-09-09,43.9028
2021-09-10,46.9626
2021-09-11,46.9626
2021-09-12,46.9626
2021-09-13,46.3554
2021-09-14,45.2535
2021-09-15,48.0769
2021-09-16,43.3618
2021-09-17,42.5126
2021-09-18,42.5126
2021-09-19,42.5126
2021-09-20,40.3953
2021-09-21,39.8537
2021-09-22,40.4302
2021-09-23,41.1883
2021-09-24,42.7536
2021-09-25,42.7536
2021-09-26,42.7536
2021-09-27,45.1761
2021-09-28,43.6333
2021-09-29,42.1718
2021-09-30,40.7595
2021-10-01,42.0269
