,WASH US Equity
,RSI_30D
2020-01-01,65.326
2020-01-02,63.2079
2020-01-03,61.3404
2020-01-04,61.3404
2020-01-05,61.3404
2020-01-06,60.3402
2020-01-07,57.204
2020-01-08,58.8219
2020-01-09,57.2315
2020-01-10,55.174
2020-01-11,55.174
2020-01-12,55.174
2020-01-13,55.4501
2020-01-14,54.2403
2020-01-15,52.2197
2020-01-16,54.7391
2020-01-17,54.3401
2020-01-18,54.3401
2020-01-19,54.3401
2020-01-20,54.3401
2020-01-21,49.8803
2020-01-22,49.5257
2020-01-23,51.997
2020-01-24,49.1038
2020-01-25,49.1038
2020-01-26,49.1038
2020-01-27,48.6129
2020-01-28,34.95
2020-01-29,34.4205
2020-01-30,40.9456
2020-01-31,37.6477
2020-02-01,37.6477
2020-02-02,37.6477
2020-02-03,41.315
2020-02-04,42.6715
2020-02-05,44.2706
2020-02-06,43.9985
2020-02-07,43.8437
2020-02-08,43.8437
2020-02-09,43.8437
2020-02-10,44.4103
2020-02-11,44.74
2020-02-12,45.2438
2020-02-13,45.1728
2020-02-14,44.3095
2020-02-15,44.3095
2020-02-16,44.3095
2020-02-17,44.3095
2020-02-18,42.4559
2020-02-19,43.1062
2020-02-20,44.9898
2020-02-21,43.6764
2020-02-22,43.6764
2020-02-23,43.6764
2020-02-24,40.9617
2020-02-25,36.6913
2020-02-26,36.0925
2020-02-27,33.7364
2020-02-28,28.763
2020-02-29,28.763
2020-03-01,28.763
2020-03-02,34.0707
2020-03-03,32.0616
2020-03-04,32.003
2020-03-05,29.0563
2020-03-06,28.0282
2020-03-07,28.0282
2020-03-08,28.0282
2020-03-09,21.9708
2020-03-10,27.0684
2020-03-11,24.8485
2020-03-12,22.6846
2020-03-13,34.8318
2020-03-14,34.8318
2020-03-15,34.8318
2020-03-16,30.5713
2020-03-17,40.6551
2020-03-18,36.5832
2020-03-19,38.8336
2020-03-20,34.2239
2020-03-21,34.2239
2020-03-22,34.2239
2020-03-23,33.1788
2020-03-24,38.5197
2020-03-25,37.4295
2020-03-26,41.9271
2020-03-27,41.0614
2020-03-28,41.0614
2020-03-29,41.0614
2020-03-30,43.2888
2020-03-31,43.3937
2020-04-01,41.2042
2020-04-02,42.3695
2020-04-03,40.0222
2020-04-04,40.0222
2020-04-05,40.0222
2020-04-06,41.969
2020-04-07,41.9825
2020-04-08,44.151
2020-04-09,47.9277
2020-04-10,47.9277
2020-04-11,47.9277
2020-04-12,47.9277
2020-04-13,44.9011
2020-04-14,44.8608
2020-04-15,42.6726
2020-04-16,41.205
2020-04-17,42.7713
2020-04-18,42.7713
2020-04-19,42.7713
2020-04-20,41.9051
2020-04-21,41.9051
2020-04-22,41.4263
2020-04-23,41.8701
