,CNS US Equity
,RSI_30D
2020-01-01,51.2438
2020-01-02,52.8131
2020-01-03,52.6413
2020-01-04,52.6413
2020-01-05,52.6413
2020-01-06,50.4995
2020-01-07,49.1212
2020-01-08,49.0223
2020-01-09,51.8621
2020-01-10,54.1619
2020-01-11,54.1619
2020-01-12,54.1619
2020-01-13,58.2597
2020-01-14,55.9033
2020-01-15,58.9536
2020-01-16,60.9943
2020-01-17,59.448
2020-01-18,59.448
2020-01-19,59.448
2020-01-20,59.448
2020-01-21,58.4379
2020-01-22,61.212
2020-01-23,71.8282
2020-01-24,72.1224
2020-01-25,72.1224
2020-01-26,72.1224
2020-01-27,71.13
2020-01-28,71.2093
2020-01-29,73.2141
2020-01-30,73.5518
2020-01-31,69.2012
2020-02-01,69.2012
2020-02-02,69.2012
2020-02-03,70.5366
2020-02-04,71.3962
2020-02-05,65.0651
2020-02-06,66.9992
2020-02-07,67.0812
2020-02-08,67.0812
2020-02-09,67.0812
2020-02-10,67.9727
2020-02-11,68.0003
2020-02-12,66.5476
2020-02-13,66.6529
2020-02-14,64.0321
2020-02-15,64.0321
2020-02-16,64.0321
2020-02-17,64.0321
2020-02-18,65.6818
2020-02-19,69.5322
2020-02-20,66.6287
2020-02-21,66.3257
2020-02-22,66.3257
2020-02-23,66.3257
2020-02-24,63.2419
2020-02-25,53.416
2020-02-26,54.4569
2020-02-27,42.3595
2020-02-28,40.6656
2020-02-29,40.6656
2020-03-01,40.6656
2020-03-02,46.7331
2020-03-03,47.8936
2020-03-04,50.395
2020-03-05,44.8903
2020-03-06,44.3909
2020-03-07,44.3909
2020-03-08,44.3909
2020-03-09,38.2232
2020-03-10,36.7836
2020-03-11,33.6539
2020-03-12,29.2385
2020-03-13,38.6958
2020-03-14,38.6958
2020-03-15,38.6958
2020-03-16,32.7886
2020-03-17,38.7498
2020-03-18,33.9573
2020-03-19,33.5397
2020-03-20,33.145
2020-03-21,33.145
2020-03-22,33.145
2020-03-23,31.8326
2020-03-24,37.7064
2020-03-25,37.4099
2020-03-26,39.3354
2020-03-27,38.3458
2020-03-28,38.3458
2020-03-29,38.3458
2020-03-30,40.8427
2020-03-31,41.4151
2020-04-01,39.763
2020-04-02,38.5095
2020-04-03,37.8332
2020-04-04,37.8332
2020-04-05,37.8332
2020-04-06,41.3086
2020-04-07,40.9316
2020-04-08,44.2592
2020-04-09,48.1127
2020-04-10,48.1127
2020-04-11,48.1127
2020-04-12,48.1127
2020-04-13,45.9251
2020-04-14,46.7891
2020-04-15,45.8567
2020-04-16,45.1481
2020-04-17,46.7285
2020-04-18,46.7285
2020-04-19,46.7285
2020-04-20,45.7083
2020-04-21,45.2657
2020-04-22,46.3926
2020-04-23,47.0735
2020-04-24,49.7024
2020-04-25,49.7024
2020-04-26,49.7024
2020-04-27,51.6189
2020-04-28,52.4741
2020-04-29,54.4127
2020-04-30,52.8967
2020-05-01,52.0895
2020-05-02,52.0895
2020-05-03,52.0895
2020-05-04,52.4821
2020-05-05,53.482
