,PLAY US Equity
,RSI_30D
2020-01-01,50.0888
2020-01-02,51.5053
2020-01-03,50.9191
2020-01-04,50.9191
2020-01-05,50.9191
2020-01-06,50.621
2020-01-07,50.2559
2020-01-08,52.4442
2020-01-09,53.45
2020-01-10,52.8879
2020-01-11,52.8879
2020-01-12,52.8879
2020-01-13,53.9488
2020-01-14,53.8442
2020-01-15,56.2415
2020-01-16,55.7665
2020-01-17,67.4329
2020-01-18,67.4329
2020-01-19,67.4329
2020-01-20,67.4329
2020-01-21,64.4315
2020-01-22,62.3799
2020-01-23,63.0907
2020-01-24,63.2231
2020-01-25,63.2231
2020-01-26,63.2231
2020-01-27,62.4942
2020-01-28,61.0706
2020-01-29,61.3038
2020-01-30,57.1493
2020-01-31,56.3229
2020-02-01,56.3229
2020-02-02,56.3229
2020-02-03,57.1538
2020-02-04,58.5971
2020-02-05,60.0564
2020-02-06,60.6306
2020-02-07,60.149
2020-02-08,60.149
2020-02-09,60.149
2020-02-10,60.6456
2020-02-11,59.0349
2020-02-12,59.6681
2020-02-13,61.011
2020-02-14,62.3315
2020-02-15,62.3315
2020-02-16,62.3315
2020-02-17,62.3315
2020-02-18,59.4448
2020-02-19,59.4088
2020-02-20,59.5356
2020-02-21,60.3056
2020-02-22,60.3056
2020-02-23,60.3056
2020-02-24,53.3717
2020-02-25,46.6956
2020-02-26,37.1273
2020-02-27,31.0578
2020-02-28,30.9142
2020-02-29,30.9142
2020-03-01,30.9142
2020-03-02,29.3694
2020-03-03,27.658
2020-03-04,34.3232
2020-03-05,31.8258
2020-03-06,30.5148
2020-03-07,30.5148
2020-03-08,30.5148
2020-03-09,25.2901
2020-03-10,24.8757
2020-03-11,21.7682
2020-03-12,20.1917
2020-03-13,19.3279
2020-03-14,19.3279
2020-03-15,19.3279
2020-03-16,16.73
2020-03-17,16.4772
2020-03-18,15.8626
2020-03-19,22.575
2020-03-20,22.1631
2020-03-21,22.1631
2020-03-22,22.1631
2020-03-23,25.8298
2020-03-24,34.1318
2020-03-25,33.2884
2020-03-26,37.0434
2020-03-27,35.269
2020-03-28,35.269
2020-03-29,35.269
2020-03-30,33.6672
2020-03-31,34.5476
2020-04-01,32.9854
2020-04-02,32.5693
2020-04-03,32.7718
2020-04-04,32.7718
2020-04-05,32.7718
2020-04-06,34.5208
2020-04-07,35.1968
2020-04-08,36.3123
2020-04-09,38.7976
2020-04-10,38.7976
2020-04-11,38.7976
2020-04-12,38.7976
2020-04-13,38.0662
2020-04-14,36.8042
2020-04-15,36.6555
2020-04-16,36.0211
2020-04-17,36.9403
2020-04-18,36.9403
2020-04-19,36.9403
2020-04-20,36.6529
2020-04-21,36.6681
2020-04-22,37.3376
2020-04-23,36.9709
2020-04-24,37.6048
2020-04-25,37.6048
2020-04-26,37.6048
2020-04-27,38.9882
2020-04-28,40.6693
2020-04-29,43.3746
2020-04-30,42.2204
2020-05-01,40.7787
2020-05-02,40.7787
2020-05-03,40.7787
2020-05-04,38.6229
2020-05-05,38.4199
2020-05-06,38.1605
2020-05-07,38.487
2020-05-08,39.3586
2020-05-09,39.3586
2020-05-10,39.3586
2020-05-11,38.6282
2020-05-12,37.7902
2020-05-13,36.8468
2020-05-14,37.9775
2020-05-15,37.849
2020-05-16,37.849
2020-05-17,37.849
2020-05-18,41.2517
2020-05-19,40.8072
2020-05-20,40.7423
2020-05-21,41.4358
2020-05-22,42.4137
2020-05-23,42.4137
2020-05-24,42.4137
2020-05-25,42.4137
2020-05-26,42.7758
2020-05-27,47.1778
2020-05-28,45.7046
2020-05-29,45.0377
2020-05-30,45.0377
2020-05-31,45.0377
2020-06-01,46.2004
2020-06-02,45.3962
2020-06-03,50.0035
2020-06-04,55.3226
2020-06-05,54.3316
2020-06-06,54.3316
2020-06-07,54.3316
2020-06-08,57.1322
2020-06-09,54.2923
2020-06-10,51.3007
2020-06-11,47.5648
2020-06-12,50.3161
2020-06-13,50.3161
2020-06-14,50.3161
2020-06-15,50.9913
2020-06-16,50.4733
2020-06-17,49.7641
2020-06-18,50.4623
2020-06-19,49.4115
2020-06-20,49.4115
2020-06-21,49.4115
2020-06-22,47.4809
2020-06-23,49.7107
2020-06-24,46.9673
2020-06-25,46.4652
2020-06-26,44.4779
2020-06-27,44.4779
2020-06-28,44.4779
2020-06-29,45.7934
2020-06-30,46.0995
2020-07-01,45.9301
2020-07-02,45.256
2020-07-03,45.256
2020-07-04,45.256
2020-07-05,45.256
2020-07-06,45.5987
2020-07-07,44.4115
2020-07-08,45.0186
2020-07-09,44.0092
2020-07-10,44.5847
2020-07-11,44.5847
2020-07-12,44.5847
2020-07-13,44.1311
2020-07-14,43.8131
2020-07-15,47.9279
2020-07-16,46.6769
2020-07-17,47.2466
2020-07-18,47.2466
2020-07-19,47.2466
2020-07-20,46.1748
2020-07-21,46.6911
2020-07-22,46.8534
2020-07-23,46.9369
2020-07-24,47.5763
2020-07-25,47.5763
2020-07-26,47.5763
2020-07-27,45.6055
2020-07-28,46.2259
2020-07-29,48.442
2020-07-30,47.6454
2020-07-31,46.0022
2020-08-01,46.0022
2020-08-02,46.0022
2020-08-03,45.4234
2020-08-04,46.965
2020-08-05,47.5597
2020-08-06,48.4339
2020-08-07,49.172
2020-08-08,49.172
2020-08-09,49.172
2020-08-10,52.2022
2020-08-11,54.0832
2020-08-12,53.1091
2020-08-13,52.4653
2020-08-14,52.368
2020-08-15,52.368
2020-08-16,52.368
2020-08-17,50.2939
2020-08-18,49.9134
2020-08-19,49.0969
2020-08-20,48.8537
2020-08-21,48.2115
2020-08-22,48.2115
2020-08-23,48.2115
2020-08-24,50.7611
2020-08-25,51.0131
2020-08-26,49.6975
2020-08-27,52.1729
2020-08-28,57.6613
2020-08-29,57.6613
2020-08-30,57.6613
2020-08-31,55.2451
2020-09-01,58.2111
2020-09-02,59.6051
2020-09-03,58.5147
2020-09-04,59.2478
2020-09-05,59.2478
2020-09-06,59.2478
2020-09-07,59.2478
2020-09-08,59.0236
2020-09-09,58.0856
2020-09-10,56.8952
2020-09-11,52.9152
2020-09-12,52.9152
2020-09-13,52.9152
2020-09-14,56.7101
2020-09-15,58.0379
2020-09-16,58.2217
2020-09-17,47.0176
2020-09-18,51.5549
2020-09-19,51.5549
2020-09-20,51.5549
2020-09-21,51.1882
2020-09-22,51.8225
2020-09-23,50.7983
2020-09-24,50.1647
2020-09-25,50.5696
2020-09-26,50.5696
2020-09-27,50.5696
2020-09-28,51.3365
2020-09-29,48.8288
2020-09-30,48.8082
2020-10-01,49.6631
2020-10-02,50.0173
2020-10-03,50.0173
2020-10-04,50.0173
2020-10-05,49.2995
2020-10-06,49.4636
2020-10-07,49.8951
2020-10-08,50.8595
2020-10-09,51.0058
2020-10-10,51.0058
2020-10-11,51.0058
2020-10-12,49.6795
2020-10-13,47.3757
2020-10-14,49.9431
2020-10-15,51.2289
2020-10-16,51.2289
2020-10-17,51.2289
2020-10-18,51.2289
2020-10-19,54.0896
2020-10-20,57.2096
2020-10-21,57.9538
2020-10-22,60.5742
2020-10-23,60.4863
2020-10-24,60.4863
2020-10-25,60.4863
2020-10-26,55.3835
2020-10-27,54.5809
2020-10-28,51.2828
2020-10-29,52.4123
2020-10-30,51.6398
2020-10-31,51.6398
2020-11-01,51.6398
2020-11-02,50.5389
2020-11-03,51.5829
2020-11-04,53.186
2020-11-05,55.1027
2020-11-06,54.5652
2020-11-07,54.5652
2020-11-08,54.5652
2020-11-09,65.3374
2020-11-10,62.9078
2020-11-11,57.6495
2020-11-12,55.9254
2020-11-13,57.9558
2020-11-14,57.9558
2020-11-15,57.9558
2020-11-16,60.8017
2020-11-17,61.4114
2020-11-18,61.6777
2020-11-19,61.7352
2020-11-20,60.1252
2020-11-21,60.1252
2020-11-22,60.1252
2020-11-23,62.1103
2020-11-24,64.7141
2020-11-25,63.4686
2020-11-26,63.4686
2020-11-27,63.7139
2020-11-28,63.7139
2020-11-29,63.7139
2020-11-30,60.5139
2020-12-01,60.8406
2020-12-02,61.3445
2020-12-03,62.0753
2020-12-04,62.5435
2020-12-05,62.5435
2020-12-06,62.5435
2020-12-07,58.3822
2020-12-08,59.0822
2020-12-09,59.5082
2020-12-10,59.6753
2020-12-11,57.9203
2020-12-12,57.9203
2020-12-13,57.9203
2020-12-14,55.6548
2020-12-15,60.2816
2020-12-16,58.7627
2020-12-17,61.8591
2020-12-18,60.9083
2020-12-19,60.9083
