,ALGT US Equity
,RSI_30D
2020-01-01,62.9342
2020-01-02,64.6614
2020-01-03,60.9763
2020-01-04,60.9763
2020-01-05,60.9763
2020-01-06,57.5687
2020-01-07,57.6655
2020-01-08,60.1468
2020-01-09,61.3883
2020-01-10,60.7313
2020-01-11,60.7313
2020-01-12,60.7313
2020-01-13,60.759
2020-01-14,59.884
2020-01-15,61.7185
2020-01-16,63.1371
2020-01-17,63.3073
2020-01-18,63.3073
2020-01-19,63.3073
2020-01-20,63.3073
2020-01-21,53.0057
2020-01-22,53.5018
2020-01-23,57.5255
2020-01-24,55.4242
2020-01-25,55.4242
2020-01-26,55.4242
2020-01-27,48.941
2020-01-28,52.6377
2020-01-29,46.1792
2020-01-30,51.5008
2020-01-31,50.1805
2020-02-01,50.1805
2020-02-02,50.1805
2020-02-03,48.4324
2020-02-04,52.3657
2020-02-05,52.8807
2020-02-06,49.8559
2020-02-07,46.2613
2020-02-08,46.2613
2020-02-09,46.2613
2020-02-10,44.5488
2020-02-11,47.6317
2020-02-12,49.3019
2020-02-13,49.8072
2020-02-14,48.6576
2020-02-15,48.6576
2020-02-16,48.6576
2020-02-17,48.6576
2020-02-18,48.717
2020-02-19,48.2409
2020-02-20,47.3418
2020-02-21,46.7817
2020-02-22,46.7817
2020-02-23,46.7817
2020-02-24,41.4222
2020-02-25,37.7657
2020-02-26,36.1096
2020-02-27,30.4201
2020-02-28,34.5336
2020-02-29,34.5336
2020-03-01,34.5336
2020-03-02,35.9361
2020-03-03,33.7589
2020-03-04,36.8874
2020-03-05,32.2572
2020-03-06,31.6969
2020-03-07,31.6969
2020-03-08,31.6969
2020-03-09,30.6338
2020-03-10,36.2913
2020-03-11,33.9498
2020-03-12,29.1317
2020-03-13,35.0239
2020-03-14,35.0239
2020-03-15,35.0239
2020-03-16,29.1343
2020-03-17,35.9659
2020-03-18,30.2594
2020-03-19,29.9742
2020-03-20,29.3547
2020-03-21,29.3547
2020-03-22,29.3547
2020-03-23,30.5213
2020-03-24,38.1835
2020-03-25,38.1544
2020-03-26,39.737
2020-03-27,38.3669
2020-03-28,38.3669
2020-03-29,38.3669
2020-03-30,37.1226
2020-03-31,36.4634
2020-04-01,34.3824
2020-04-02,34.0402
2020-04-03,34.0108
2020-04-04,34.0108
2020-04-05,34.0108
2020-04-06,36.1043
2020-04-07,38.5809
2020-04-08,38.038
2020-04-09,39.5391
2020-04-10,39.5391
2020-04-11,39.5391
2020-04-12,39.5391
2020-04-13,37.8209
2020-04-14,38.9988
2020-04-15,38.6767
2020-04-16,37.46
2020-04-17,38.406
2020-04-18,38.406
2020-04-19,38.406
2020-04-20,37.681
2020-04-21,37.9757
2020-04-22,37.5629
2020-04-23,37.2969
2020-04-24,37.1764
2020-04-25,37.1764
2020-04-26,37.1764
2020-04-27,37.1737
2020-04-28,40.4826
2020-04-29,43.0769
2020-04-30,41.6568
2020-05-01,40.2914
2020-05-02,40.2914
2020-05-03,40.2914
2020-05-04,39.2079
2020-05-05,38.8996
2020-05-06,38.1325
2020-05-07,38.1151
2020-05-08,42.2993
2020-05-09,42.2993
2020-05-10,42.2993
2020-05-11,41.7867
2020-05-12,41.5924
2020-05-13,43.6045
2020-05-14,42.4951
2020-05-15,43.0104
2020-05-16,43.0104
2020-05-17,43.0104
2020-05-18,47.383
2020-05-19,46.4107
2020-05-20,47.9493
2020-05-21,49.1964
2020-05-22,48.3555
2020-05-23,48.3555
2020-05-24,48.3555
2020-05-25,48.3555
2020-05-26,53.6384
2020-05-27,56.4051
2020-05-28,54.921
2020-05-29,55.1268
2020-05-30,55.1268
2020-05-31,55.1268
2020-06-01,55.9488
2020-06-02,57.1909
2020-06-03,60.0371
2020-06-04,61.2728
2020-06-05,60.4677
2020-06-06,60.4677
2020-06-07,60.4677
2020-06-08,63.2391
2020-06-09,61.4922
2020-06-10,57.9689
2020-06-11,52.2106
2020-06-12,54.1082
2020-06-13,54.1082
2020-06-14,54.1082
2020-06-15,54.4964
2020-06-16,54.844
2020-06-17,54.3094
2020-06-18,54.3262
2020-06-19,52.4576
2020-06-20,52.4576
2020-06-21,52.4576
2020-06-22,52.8021
2020-06-23,54.3008
2020-06-24,51.6315
2020-06-25,51.2608
2020-06-26,51.1598
2020-06-27,51.1598
2020-06-28,51.1598
2020-06-29,53.0481
2020-06-30,52.0266
2020-07-01,51.6356
2020-07-02,52.0128
2020-07-03,52.0128
2020-07-04,52.0128
2020-07-05,52.0128
2020-07-06,52.8712
2020-07-07,50.8502
2020-07-08,52.273
2020-07-09,48.6441
2020-07-10,52.1155
2020-07-11,52.1155
2020-07-12,52.1155
2020-07-13,51.9455
2020-07-14,52.7426
