,PBH US Equity
,RSI_30D
2020-01-01,64.0911
2020-01-02,64.0373
2020-01-03,62.6215
2020-01-04,62.6215
2020-01-05,62.6215
2020-01-06,64.7604
2020-01-07,59.1295
2020-01-08,57.0046
2020-01-09,54.4523
2020-01-10,52.9305
2020-01-11,52.9305
2020-01-12,52.9305
2020-01-13,55.6044
2020-01-14,56.7564
2020-01-15,61.7406
2020-01-16,63.6826
2020-01-17,64.4643
2020-01-18,64.4643
2020-01-19,64.4643
2020-01-20,64.4643
2020-01-21,62.4025
2020-01-22,61.1275
2020-01-23,61.6033
2020-01-24,58.3855
2020-01-25,58.3855
2020-01-26,58.3855
2020-01-27,58.7768
2020-01-28,62.559
2020-01-29,60.6405
2020-01-30,59.0583
2020-01-31,55.2516
2020-02-01,55.2516
2020-02-02,55.2516
2020-02-03,53.9535
2020-02-04,57.1382
2020-02-05,57.7596
2020-02-06,65.8778
2020-02-07,67.6646
2020-02-08,67.6646
2020-02-09,67.6646
2020-02-10,59.7262
2020-02-11,60.2931
2020-02-12,60.3138
2020-02-13,58.9197
2020-02-14,55.9982
2020-02-15,55.9982
2020-02-16,55.9982
2020-02-17,55.9982
2020-02-18,55.0569
2020-02-19,55.6355
2020-02-20,55.929
2020-02-21,55.5803
2020-02-22,55.5803
2020-02-23,55.5803
2020-02-24,50.7052
2020-02-25,47.672
2020-02-26,45.7989
2020-02-27,43.0369
2020-02-28,42.3977
2020-02-29,42.3977
2020-03-01,42.3977
2020-03-02,47.3364
2020-03-03,45.821
2020-03-04,47.8868
2020-03-05,46.9032
2020-03-06,45.1447
2020-03-07,45.1447
2020-03-08,45.1447
2020-03-09,38.3292
2020-03-10,45.1915
2020-03-11,42.6582
2020-03-12,38.5404
2020-03-13,40.5914
2020-03-14,40.5914
2020-03-15,40.5914
2020-03-16,35.4926
2020-03-17,34.6094
2020-03-18,35.6556
2020-03-19,38.4362
2020-03-20,37.009
2020-03-21,37.009
2020-03-22,37.009
2020-03-23,36.1729
2020-03-24,41.8672
2020-03-25,39.7926
2020-03-26,47.2055
2020-03-27,49.0451
2020-03-28,49.0451
2020-03-29,49.0451
2020-03-30,50.1379
2020-03-31,49.445
