,BIIB US Equity
,RSI_30D
2020-01-01,65.612
2020-01-02,64.2668
2020-01-03,62.4632
2020-01-04,62.4632
2020-01-05,62.4632
2020-01-06,62.4472
2020-01-07,62.046
2020-01-08,62.9137
2020-01-09,63.4651
2020-01-10,64.2069
2020-01-11,64.2069
2020-01-12,64.2069
2020-01-13,62.6527
2020-01-14,64.3851
2020-01-15,60.9908
2020-01-16,57.2974
2020-01-17,56.9688
2020-01-18,56.9688
2020-01-19,56.9688
2020-01-20,56.9688
2020-01-21,57.6326
2020-01-22,57.9935
2020-01-23,55.8879
2020-01-24,52.7938
2020-01-25,52.7938
2020-01-26,52.7938
2020-01-27,54.0932
2020-01-28,54.4435
2020-01-29,54.6951
2020-01-30,52.0895
2020-01-31,47.9766
2020-02-01,47.9766
2020-02-02,47.9766
2020-02-03,49.8091
2020-02-04,54.3378
2020-02-05,68.2513
2020-02-06,69.1095
2020-02-07,69.3954
2020-02-08,69.3954
2020-02-09,69.3954
2020-02-10,69.4415
2020-02-11,66.4524
2020-02-12,66.217
2020-02-13,66.7887
2020-02-14,66.2069
2020-02-15,66.2069
2020-02-16,66.2069
2020-02-17,66.2069
2020-02-18,67.1771
2020-02-19,68.0879
2020-02-20,65.9729
2020-02-21,65.9903
2020-02-22,65.9903
2020-02-23,65.9903
2020-02-24,61.0445
2020-02-25,60.2306
2020-02-26,61.1867
2020-02-27,54.1792
2020-02-28,53.5617
2020-02-29,53.5617
2020-03-01,53.5617
2020-03-02,59.1221
2020-03-03,54.8991
2020-03-04,58.1356
2020-03-05,54.6908
2020-03-06,54.7553
2020-03-07,54.7553
2020-03-08,54.7553
2020-03-09,48.7892
2020-03-10,51.0331
2020-03-11,48.0938
2020-03-12,42.4545
2020-03-13,50.9709
2020-03-14,50.9709
2020-03-15,50.9709
2020-03-16,46.3798
2020-03-17,50.9698
2020-03-18,49.7307
2020-03-19,47.8009
2020-03-20,46.1919
2020-03-21,46.1919
2020-03-22,46.1919
2020-03-23,44.5839
2020-03-24,46.0047
2020-03-25,47.7449
2020-03-26,51.4227
2020-03-27,49.931
2020-03-28,49.931
2020-03-29,49.931
2020-03-30,53.2506
2020-03-31,53.292
2020-04-01,49.1382
2020-04-02,51.051
2020-04-03,50.3583
2020-04-04,50.3583
2020-04-05,50.3583
2020-04-06,52.2016
2020-04-07,50.3905
2020-04-08,52.9988
2020-04-09,53.6554
2020-04-10,53.6554
2020-04-11,53.6554
2020-04-12,53.6554
2020-04-13,53.9621
2020-04-14,55.6984
2020-04-15,54.3615
2020-04-16,56.1802
2020-04-17,56.8373
2020-04-18,56.8373
2020-04-19,56.8373
2020-04-20,56.1872
2020-04-21,54.0684
2020-04-22,48.4361
2020-04-23,47.4853
2020-04-24,48.4931
2020-04-25,48.4931
2020-04-26,48.4931
2020-04-27,49.4763
2020-04-28,49.8368
2020-04-29,49.7422
2020-04-30,48.2778
2020-05-01,47.5899
2020-05-02,47.5899
2020-05-03,47.5899
2020-05-04,48.2889
2020-05-05,49.8856
2020-05-06,50.3541
2020-05-07,51.7945
2020-05-08,51.7965
2020-05-09,51.7965
2020-05-10,51.7965
2020-05-11,54.5284
2020-05-12,52.7083
2020-05-13,51.6669
2020-05-14,51.8429
2020-05-15,52.0068
2020-05-16,52.0068
2020-05-17,52.0068
2020-05-18,51.843
2020-05-19,50.4751
2020-05-20,50.3452
2020-05-21,49.1396
2020-05-22,49.157
2020-05-23,49.157
2020-05-24,49.157
2020-05-25,49.157
2020-05-26,47.0961
2020-05-27,48.5368
2020-05-28,48.3031
2020-05-29,50.0122
2020-05-30,50.0122
2020-05-31,50.0122
2020-06-01,48.59
2020-06-02,48.9653
2020-06-03,48.8972
2020-06-04,48.1119
2020-06-05,50.099
2020-06-06,50.099
2020-06-07,50.099
2020-06-08,48.6117
2020-06-09,46.639
2020-06-10,47.0851
2020-06-11,44.0503
2020-06-12,43.1066
2020-06-13,43.1066
2020-06-14,43.1066
2020-06-15,42.9188
2020-06-16,44.0916
2020-06-17,43.9219
2020-06-18,38.949
2020-06-19,42.3627
2020-06-20,42.3627
2020-06-21,42.3627
2020-06-22,40.8798
2020-06-23,42.0984
2020-06-24,40.9455
2020-06-25,40.8534
2020-06-26,39.9528
2020-06-27,39.9528
2020-06-28,39.9528
2020-06-29,40.5301
2020-06-30,42.9476
2020-07-01,42.2614
2020-07-02,42.3813
2020-07-03,42.3813
2020-07-04,42.3813
2020-07-05,42.3813
2020-07-06,43.9902
2020-07-07,43.6
2020-07-08,47.5314
2020-07-09,47.104
2020-07-10,47.1634
2020-07-11,47.1634
2020-07-12,47.1634
2020-07-13,46.456
2020-07-14,48.0774
2020-07-15,48.6497
2020-07-16,47.5524
2020-07-17,48.3766
2020-07-18,48.3766
2020-07-19,48.3766
2020-07-20,48.916
2020-07-21,47.8243
2020-07-22,48.0559
2020-07-23,47.2509
2020-07-24,45.1488
2020-07-25,45.1488
2020-07-26,45.1488
2020-07-27,50.2807
2020-07-28,48.3105
2020-07-29,47.3283
2020-07-30,46.5104
2020-07-31,46.4539
2020-08-01,46.4539
2020-08-02,46.4539
2020-08-03,47.7924
2020-08-04,47.0629
2020-08-05,47.099
2020-08-06,47.7105
2020-08-07,57.3182
2020-08-08,57.3182
2020-08-09,57.3182
2020-08-10,55.2768
2020-08-11,51.6718
2020-08-12,52.6863
2020-08-13,51.1029
2020-08-14,51.3967
2020-08-15,51.3967
2020-08-16,51.3967
2020-08-17,51.2951
2020-08-18,51.194
2020-08-19,48.0783
2020-08-20,47.2559
2020-08-21,47.1035
2020-08-22,47.1035
2020-08-23,47.1035
2020-08-24,46.926
2020-08-25,47.9094
2020-08-26,47.966
2020-08-27,48.0035
2020-08-28,48.9348
2020-08-29,48.9348
2020-08-30,48.9348
2020-08-31,51.4613
2020-09-01,48.3049
2020-09-02,50.6276
2020-09-03,47.0918
2020-09-04,47.0378
2020-09-05,47.0378
2020-09-06,47.0378
2020-09-07,47.0378
2020-09-08,44.5396
2020-09-09,46.0468
2020-09-10,43.9913
2020-09-11,45.4196
2020-09-12,45.4196
2020-09-13,45.4196
2020-09-14,48.7517
2020-09-15,48.8134
2020-09-16,48.0428
2020-09-17,47.6574
2020-09-18,47.3148
2020-09-19,47.3148
2020-09-20,47.3148
2020-09-21,44.9915
2020-09-22,46.9367
2020-09-23,46.7221
2020-09-24,45.885
2020-09-25,47.3488
2020-09-26,47.3488
2020-09-27,47.3488
2020-09-28,51.0502
2020-09-29,51.1779
2020-09-30,51.7282
2020-10-01,52.5149
2020-10-02,49.0454
2020-10-03,49.0454
2020-10-04,49.0454
2020-10-05,51.7642
2020-10-06,50.4734
2020-10-07,52.3399
2020-10-08,52.8078
2020-10-09,52.6342
2020-10-10,52.6342
2020-10-11,52.6342
2020-10-12,54.6399
2020-10-13,54.6302
