,HE US Equity
,RSI_30D
2020-01-01,59.744
2020-01-02,53.8125
2020-01-03,53.3559
2020-01-04,53.3559
2020-01-05,53.3559
2020-01-06,52.5648
2020-01-07,50.8114
2020-01-08,51.4321
2020-01-09,49.9962
2020-01-10,50.3223
2020-01-11,50.3223
2020-01-12,50.3223
2020-01-13,54.2141
2020-01-14,55.4184
2020-01-15,58.8815
2020-01-16,60.2572
2020-01-17,61.3094
2020-01-18,61.3094
2020-01-19,61.3094
2020-01-20,61.3094
2020-01-21,62.2493
2020-01-22,63.0389
2020-01-23,64.9567
2020-01-24,65.6848
2020-01-25,65.6848
2020-01-26,65.6848
2020-01-27,64.1438
2020-01-28,66.0107
2020-01-29,66.6376
2020-01-30,68.6325
2020-01-31,65.1659
2020-02-01,65.1659
2020-02-02,65.1659
2020-02-03,64.9292
2020-02-04,61.1028
2020-02-05,61.0284
2020-02-06,59.7487
2020-02-07,59.2948
2020-02-08,59.2948
2020-02-09,59.2948
2020-02-10,60.334
2020-02-11,58.7816
2020-02-12,60.9143
2020-02-13,66.17
2020-02-14,68.593
2020-02-15,68.593
2020-02-16,68.593
2020-02-17,68.593
2020-02-18,67.8315
2020-02-19,63.1197
2020-02-20,63.7607
2020-02-21,63.3337
2020-02-22,63.3337
2020-02-23,63.3337
2020-02-24,60.3377
2020-02-25,54.5843
2020-02-26,49.1083
2020-02-27,40.3671
2020-02-28,34.4603
2020-02-29,34.4603
2020-03-01,34.4603
2020-03-02,43.9164
2020-03-03,43.4552
2020-03-04,50.0968
2020-03-05,48.3291
2020-03-06,49.6984
2020-03-07,49.6984
2020-03-08,49.6984
2020-03-09,40.8427
2020-03-10,40.7995
2020-03-11,38.2063
2020-03-12,34.3781
2020-03-13,44.7193
2020-03-14,44.7193
2020-03-15,44.7193
2020-03-16,45.1909
2020-03-17,55.7676
2020-03-18,61.4598
2020-03-19,52.997
2020-03-20,41.8052
2020-03-21,41.8052
2020-03-22,41.8052
2020-03-23,37.1862
2020-03-24,43.0726
2020-03-25,42.2879
2020-03-26,45.3652
2020-03-27,46.4315
2020-03-28,46.4315
2020-03-29,46.4315
2020-03-30,49.1177
2020-03-31,47.9581
2020-04-01,45.3903
2020-04-02,46.3767
2020-04-03,45.2127
2020-04-04,45.2127
2020-04-05,45.2127
2020-04-06,48.349
2020-04-07,47.7253
2020-04-08,49.1462
2020-04-09,51.1946
2020-04-10,51.1946
2020-04-11,51.1946
2020-04-12,51.1946
2020-04-13,48.9802
2020-04-14,49.0852
2020-04-15,46.7467
2020-04-16,46.7369
2020-04-17,47.6565
2020-04-18,47.6565
2020-04-19,47.6565
2020-04-20,45.6821
2020-04-21,44.7717
2020-04-22,45.6749
2020-04-23,45.2867
2020-04-24,45.3626
2020-04-25,45.3626
2020-04-26,45.3626
2020-04-27,45.9696
2020-04-28,46.6737
2020-04-29,47.0702
2020-04-30,45.4844
2020-05-01,43.9417
2020-05-02,43.9417
2020-05-03,43.9417
2020-05-04,44.2558
2020-05-05,43.9432
2020-05-06,42.1086
2020-05-07,42.2481
2020-05-08,44.7854
2020-05-09,44.7854
2020-05-10,44.7854
2020-05-11,44.4326
2020-05-12,43.1121
2020-05-13,42.5481
2020-05-14,42.6966
2020-05-15,42.2944
2020-05-16,42.2944
2020-05-17,42.2944
2020-05-18,45.8709
2020-05-19,44.5417
2020-05-20,46.078
2020-05-21,45.5839
2020-05-22,45.2077
2020-05-23,45.2077
2020-05-24,45.2077
2020-05-25,45.2077
2020-05-26,46.8054
2020-05-27,47.0743
2020-05-28,48.4884
2020-05-29,48.892
2020-05-30,48.892
2020-05-31,48.892
2020-06-01,48.1281
2020-06-02,47.4589
2020-06-03,49.0324
2020-06-04,48.0844
2020-06-05,49.4739
2020-06-06,49.4739
2020-06-07,49.4739
2020-06-08,51.0066
2020-06-09,50.1919
2020-06-10,49.3761
2020-06-11,44.9579
2020-06-12,45.016
2020-06-13,45.016
2020-06-14,45.016
2020-06-15,44.9669
2020-06-16,45.0495
2020-06-17,43.9241
2020-06-18,43.4814
2020-06-19,42.9476
2020-06-20,42.9476
2020-06-21,42.9476
2020-06-22,43.7769
2020-06-23,42.8287
2020-06-24,42.5589
2020-06-25,42.4298
2020-06-26,41.8114
2020-06-27,41.8114
2020-06-28,41.8114
2020-06-29,43.8385
2020-06-30,44.2706
2020-07-01,44.4786
2020-07-02,44.4357
2020-07-03,44.4357
2020-07-04,44.4357
2020-07-05,44.4357
2020-07-06,43.5666
2020-07-07,43.5666
2020-07-08,43.977
2020-07-09,43.2335
2020-07-10,45.8949
2020-07-11,45.8949
2020-07-12,45.8949
2020-07-13,47.5895
2020-07-14,47.3085
2020-07-15,47.367
2020-07-16,47.5176
2020-07-17,48.9382
2020-07-18,48.9382
2020-07-19,48.9382
2020-07-20,46.2385
2020-07-21,48.4595
2020-07-22,49.1061
