,CCBG US Equity
,RSI_30D
2020-01-01,63.2263
2020-01-02,60.7704
2020-01-03,58.2822
2020-01-04,58.2822
2020-01-05,58.2822
2020-01-06,57.2831
2020-01-07,55.6615
2020-01-08,56.4925
2020-01-09,54.4516
2020-01-10,52.295
2020-01-11,52.295
2020-01-12,52.295
2020-01-13,52.9575
2020-01-14,50.7058
2020-01-15,49.8671
2020-01-16,52.0748
2020-01-17,52.3231
2020-01-18,52.3231
2020-01-19,52.3231
2020-01-20,52.3231
2020-01-21,51.3599
2020-01-22,49.8019
2020-01-23,50.5441
2020-01-24,47.8808
2020-01-25,47.8808
2020-01-26,47.8808
2020-01-27,47.7507
2020-01-28,49.0403
2020-01-29,47.8193
2020-01-30,48.9872
2020-01-31,48.9872
2020-02-01,48.9872
2020-02-02,48.9872
2020-02-03,53.7002
2020-02-04,56.5119
2020-02-05,59.5502
2020-02-06,57.951
2020-02-07,57.1944
2020-02-08,57.1944
2020-02-09,57.1944
2020-02-10,58.4296
2020-02-11,57.8799
2020-02-12,56.1619
2020-02-13,55.3888
2020-02-14,53.9297
2020-02-15,53.9297
2020-02-16,53.9297
2020-02-17,53.9297
2020-02-18,52.7939
2020-02-19,52.9306
2020-02-20,52.8514
2020-02-21,51.3418
2020-02-22,51.3418
2020-02-23,51.3418
2020-02-24,45.5978
2020-02-25,42.6143
2020-02-26,41.5804
2020-02-27,36.762
2020-02-28,36.1172
2020-02-29,36.1172
2020-03-01,36.1172
2020-03-02,40.7979
2020-03-03,36.1688
2020-03-04,41.3794
2020-03-05,35.832
2020-03-06,31.6636
2020-03-07,31.6636
2020-03-08,31.6636
2020-03-09,25.6872
2020-03-10,30.4725
2020-03-11,27.9434
2020-03-12,24.8763
2020-03-13,30.4423
2020-03-14,30.4423
2020-03-15,30.4423
2020-03-16,26.5775
2020-03-17,40.0318
2020-03-18,31.787
2020-03-19,36.9364
2020-03-20,34.7051
2020-03-21,34.7051
2020-03-22,34.7051
2020-03-23,35.0491
2020-03-24,39.243
2020-03-25,39.0645
2020-03-26,41.0699
2020-03-27,39.5239
2020-03-28,39.5239
2020-03-29,39.5239
2020-03-30,41.73
2020-03-31,42.1458
2020-04-01,40.6455
2020-04-02,40.7763
2020-04-03,39.2256
2020-04-04,39.2256
2020-04-05,39.2256
2020-04-06,41.717
2020-04-07,39.9479
2020-04-08,40.1925
2020-04-09,44.3688
2020-04-10,44.3688
2020-04-11,44.3688
2020-04-12,44.3688
2020-04-13,42.9137
2020-04-14,42.0911
2020-04-15,39.4213
2020-04-16,39.2931
2020-04-17,42.2299
2020-04-18,42.2299
2020-04-19,42.2299
2020-04-20,42.0443
2020-04-21,41.634
2020-04-22,41.3132
2020-04-23,42.3472
2020-04-24,43.8482
2020-04-25,43.8482
2020-04-26,43.8482
2020-04-27,46.7182
2020-04-28,49.3361
2020-04-29,52.6217
2020-04-30,50.6338
2020-05-01,48.9259
2020-05-02,48.9259
2020-05-03,48.9259
2020-05-04,48.6308
2020-05-05,46.8055
2020-05-06,45.9492
2020-05-07,45.9311
2020-05-08,47.0748
2020-05-09,47.0748
2020-05-10,47.0748
2020-05-11,45.7892
2020-05-12,43.3233
2020-05-13,42.5278
2020-05-14,42.4402
2020-05-15,42.2421
2020-05-16,42.2421
2020-05-17,42.2421
2020-05-18,46.0101
2020-05-19,43.1872
2020-05-20,45.4792
2020-05-21,45.7897
2020-05-22,46.1073
2020-05-23,46.1073
2020-05-24,46.1073
2020-05-25,46.1073
2020-05-26,48.9781
2020-05-27,51.7592
2020-05-28,50.6052
2020-05-29,49.6884
2020-05-30,49.6884
2020-05-31,49.6884
2020-06-01,48.9791
2020-06-02,48.453
2020-06-03,51.2484
2020-06-04,51.9999
2020-06-05,55.8575
2020-06-06,55.8575
2020-06-07,55.8575
2020-06-08,55.7865
2020-06-09,54.7076
2020-06-10,50.8214
2020-06-11,47.4936
2020-06-12,48.9485
2020-06-13,48.9485
2020-06-14,48.9485
2020-06-15,49.4109
2020-06-16,50.5069
2020-06-17,48.5001
2020-06-18,48.894
2020-06-19,48.4468
2020-06-20,48.4468
2020-06-21,48.4468
2020-06-22,49.1117
2020-06-23,48.1807
2020-06-24,46.8465
2020-06-25,48.6317
2020-06-26,48.2017
2020-06-27,48.2017
