,LRCX US Equity
,RSI_30D
2020-01-01,65.1647
2020-01-02,66.8042
2020-01-03,64.9607
2020-01-04,64.9607
2020-01-05,64.9607
2020-01-06,61.9224
2020-01-07,64.146
2020-01-08,65.2565
2020-01-09,64.1327
2020-01-10,62.1832
2020-01-11,62.1832
2020-01-12,62.1832
2020-01-13,63.1358
2020-01-14,64.2321
2020-01-15,62.8829
2020-01-16,65.2569
2020-01-17,65.8654
2020-01-18,65.8654
2020-01-19,65.8654
2020-01-20,65.8654
2020-01-21,66.0692
2020-01-22,66.8701
2020-01-23,67.1952
2020-01-24,63.6751
2020-01-25,63.6751
2020-01-26,63.6751
2020-01-27,56.9793
2020-01-28,59.6959
2020-01-29,58.0309
2020-01-30,62.0482
2020-01-31,56.4537
2020-02-01,56.4537
2020-02-02,56.4537
2020-02-03,59.4879
2020-02-04,63.8123
2020-02-05,63.8641
2020-02-06,62.9746
2020-02-07,59.6514
2020-02-08,59.6514
2020-02-09,59.6514
2020-02-10,60.8184
2020-02-11,62.3051
2020-02-12,64.444
2020-02-13,65.9962
2020-02-14,65.0341
2020-02-15,65.0341
2020-02-16,65.0341
2020-02-17,65.0341
2020-02-18,59.5366
2020-02-19,61.5845
2020-02-20,59.6185
2020-02-21,55.613
2020-02-22,55.613
2020-02-23,55.613
2020-02-24,50.6888
2020-02-25,48.4507
2020-02-26,49.6726
2020-02-27,46.8158
2020-02-28,48.969
2020-02-29,48.969
2020-03-01,48.969
2020-03-02,50.8079
2020-03-03,48.4844
2020-03-04,52.2486
2020-03-05,50.4154
2020-03-06,49.2292
2020-03-07,49.2292
2020-03-08,49.2292
2020-03-09,43.2498
2020-03-10,48.1066
2020-03-11,45.8814
2020-03-12,39.2274
2020-03-13,44.3768
2020-03-14,44.3768
2020-03-15,44.3768
2020-03-16,37.7129
2020-03-17,40.7214
2020-03-18,36.6374
2020-03-19,36.7997
2020-03-20,36.0188
2020-03-21,36.0188
2020-03-22,36.0188
2020-03-23,36.9824
2020-03-24,43.8871
2020-03-25,44.3584
2020-03-26,48.4796
2020-03-27,45.966
2020-03-28,45.966
2020-03-29,45.966
2020-03-30,48.0191
2020-03-31,46.0521
2020-04-01,44.0197
2020-04-02,43.6894
2020-04-03,43.3941
2020-04-04,43.3941
2020-04-05,43.3941
2020-04-06,48.2668
2020-04-07,49.0284
2020-04-08,50.4802
2020-04-09,49.3115
2020-04-10,49.3115
2020-04-11,49.3115
2020-04-12,49.3115
2020-04-13,49.3831
2020-04-14,51.3348
2020-04-15,49.9278
2020-04-16,51.058
2020-04-17,52.2312
2020-04-18,52.2312
2020-04-19,52.2312
2020-04-20,50.3834
2020-04-21,47.1406
2020-04-22,51.1076
2020-04-23,50.0286
2020-04-24,50.404
2020-04-25,50.404
2020-04-26,50.404
2020-04-27,50.0795
2020-04-28,49.7044
2020-04-29,52.3215
2020-04-30,48.7472
2020-05-01,46.0773
2020-05-02,46.0773
2020-05-03,46.0773
2020-05-04,46.0129
