,ITMG IJ Equity,ITMG IJ Equity,ITMG IJ Equity,ITMG IJ Equity,ITMG IJ Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,6930.0,6951.0,6736.0,6844.0,514000.0
2010-01-02,6930.0,6951.0,6736.0,6844.0,514000.0
2010-01-03,6930.0,6951.0,6736.0,6844.0,514000.0
2010-01-04,6887.0,6940.0,6833.0,6897.0,1226500.0
2010-01-05,6930.0,7210.0,6930.0,7166.0,1552000.0
2010-01-06,7166.0,7382.0,7091.0,7102.0,1745500.0
2010-01-07,7210.0,7210.0,6973.0,7016.0,988500.0
2010-01-08,7016.0,7091.0,7005.0,7027.0,1826000.0
2010-01-09,7016.0,7091.0,7005.0,7027.0,1826000.0
2010-01-10,7016.0,7091.0,7005.0,7027.0,1826000.0
2010-01-11,7070.0,7242.0,7005.0,7091.0,1146500.0
2010-01-12,7080.0,7274.0,6994.0,7210.0,1319000.0
2010-01-13,7166.0,7166.0,7059.0,7059.0,1544500.0
2010-01-14,7102.0,7317.0,7102.0,7274.0,3134000.0
2010-01-15,7306.0,7425.0,7274.0,7360.0,2065000.0
2010-01-16,7306.0,7425.0,7274.0,7360.0,2065000.0
2010-01-17,7306.0,7425.0,7274.0,7360.0,2065000.0
2010-01-18,7317.0,7317.0,7242.0,7253.0,1122500.0
2010-01-19,7253.0,7253.0,7188.0,7220.0,1072500.0
2010-01-20,7231.0,7349.0,7231.0,7349.0,1166000.0
2010-01-21,7349.0,7371.0,7166.0,7188.0,1376500.0
2010-01-22,7102.0,7102.0,6801.0,6822.0,5451000.0
2010-01-23,7102.0,7102.0,6801.0,6822.0,5451000.0
2010-01-24,7102.0,7102.0,6801.0,6822.0,5451000.0
2010-01-25,6736.0,6779.0,6489.0,6510.0,4511000.0
2010-01-26,6542.0,6704.0,6542.0,6650.0,3311500.0
2010-01-27,6693.0,6930.0,6693.0,6876.0,3141500.0
2010-01-28,6973.0,7134.0,6865.0,6887.0,3786500.0
2010-01-29,6844.0,6844.0,6693.0,6758.0,2662000.0
2010-01-30,6844.0,6844.0,6693.0,6758.0,2662000.0
2010-01-31,6844.0,6844.0,6693.0,6758.0,2662000.0
2010-02-01,6801.0,6854.0,6661.0,6693.0,1735500.0
2010-02-02,6801.0,6844.0,6715.0,6736.0,1002000.0
2010-02-03,6833.0,6854.0,6790.0,6844.0,955000.0
2010-02-04,6865.0,6951.0,6865.0,6897.0,1816000.0
2010-02-05,6725.0,6725.0,6467.0,6478.0,7142000.0
2010-02-06,6725.0,6725.0,6467.0,6478.0,7142000.0
2010-02-07,6725.0,6725.0,6467.0,6478.0,7142000.0
2010-02-08,6456.0,6456.0,6047.0,6230.0,7711000.0
2010-02-09,6220.0,6413.0,6144.0,6381.0,3795000.0
2010-02-10,6456.0,6499.0,6220.0,6241.0,2327500.0
2010-02-11,6306.0,6413.0,6220.0,6402.0,2350000.0
2010-02-12,6456.0,6661.0,6424.0,6639.0,4326000.0
2010-02-13,6456.0,6661.0,6424.0,6639.0,4326000.0
2010-02-14,6456.0,6661.0,6424.0,6639.0,4326000.0
2010-02-15,6671.0,6671.0,6499.0,6575.0,845000.0
2010-02-16,6575.0,6682.0,6510.0,6671.0,1303000.0
2010-02-17,6779.0,6811.0,6693.0,6768.0,1554500.0
2010-02-18,6801.0,6801.0,6575.0,6585.0,2143000.0
2010-02-19,6521.0,6553.0,6370.0,6456.0,3050500.0
2010-02-20,6521.0,6553.0,6370.0,6456.0,3050500.0
2010-02-21,6521.0,6553.0,6370.0,6456.0,3050500.0
2010-02-22,6628.0,6758.0,6596.0,6704.0,3044500.0
2010-02-23,6758.0,6854.0,6715.0,6833.0,2653500.0
2010-02-24,6779.0,6822.0,6704.0,6747.0,919000.0
2010-02-25,6822.0,6887.0,6747.0,6801.0,1977500.0
2010-02-26,6822.0,6887.0,6747.0,6801.0,1977500.0
2010-02-27,6822.0,6887.0,6747.0,6801.0,1977500.0
2010-02-28,6822.0,6887.0,6747.0,6801.0,1977500.0
2010-03-01,6887.0,6962.0,6865.0,6919.0,3163500.0
2010-03-02,6919.0,6940.0,6822.0,6865.0,1021000.0
2010-03-03,6930.0,6930.0,6779.0,6801.0,1030000.0
2010-03-04,6887.0,6973.0,6876.0,6897.0,1508500.0
2010-03-05,6951.0,6962.0,6897.0,6930.0,681000.0
2010-03-06,6951.0,6962.0,6897.0,6930.0,681000.0
2010-03-07,6951.0,6962.0,6897.0,6930.0,681000.0
2010-03-08,6973.0,6984.0,6940.0,6962.0,987000.0
2010-03-09,6951.0,7091.0,6951.0,7070.0,1414000.0
2010-03-10,7070.0,7113.0,7059.0,7080.0,904000.0
2010-03-11,7102.0,7113.0,7005.0,7059.0,961000.0
2010-03-12,7080.0,7123.0,7059.0,7102.0,1455000.0
2010-03-13,7080.0,7123.0,7059.0,7102.0,1455000.0
2010-03-14,7080.0,7123.0,7059.0,7102.0,1455000.0
2010-03-15,7102.0,7392.0,7048.0,7349.0,2868000.0
