,GGRM IJ Equity,GGRM IJ Equity,GGRM IJ Equity,GGRM IJ Equity,GGRM IJ Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,13625.0,14177.0,13462.0,14015.0,1783000.0
2010-01-02,13625.0,14177.0,13462.0,14015.0,1783000.0
2010-01-03,13625.0,14177.0,13462.0,14015.0,1783000.0
2010-01-04,14177.0,14795.0,13917.0,14177.0,353000.0
2010-01-05,14047.0,14210.0,14047.0,14145.0,915000.0
2010-01-06,14112.0,14177.0,13690.0,13852.0,1245000.0
2010-01-07,13852.0,13917.0,13430.0,13592.0,622000.0
2010-01-08,13722.0,14535.0,13722.0,14405.0,1613000.0
2010-01-09,13722.0,14535.0,13722.0,14405.0,1613000.0
2010-01-10,13722.0,14535.0,13722.0,14405.0,1613000.0
2010-01-11,14438.0,15250.0,14438.0,15055.0,1650000.0
2010-01-12,15055.0,15706.0,14990.0,15511.0,1398500.0
2010-01-13,15413.0,15608.0,15055.0,15316.0,1549500.0
2010-01-14,15478.0,15543.0,15153.0,15250.0,588500.0
2010-01-15,15283.0,15283.0,14990.0,15283.0,392500.0
2010-01-16,15283.0,15283.0,14990.0,15283.0,392500.0
2010-01-17,15283.0,15283.0,14990.0,15283.0,392500.0
2010-01-18,15283.0,15446.0,15120.0,15185.0,76000.0
2010-01-19,15088.0,15738.0,15088.0,15641.0,905500.0
2010-01-20,15673.0,15803.0,15608.0,15738.0,917500.0
2010-01-21,15673.0,15738.0,15381.0,15641.0,632500.0
2010-01-22,15478.0,15543.0,15316.0,15478.0,1146000.0
2010-01-23,15478.0,15543.0,15316.0,15478.0,1146000.0
2010-01-24,15478.0,15543.0,15316.0,15478.0,1146000.0
2010-01-25,15283.0,15608.0,15283.0,15608.0,215500.0
2010-01-26,15608.0,15608.0,15153.0,15153.0,488000.0
2010-01-27,15023.0,15543.0,15023.0,15283.0,1236000.0
2010-01-28,15348.0,15641.0,15120.0,15641.0,2792500.0
2010-01-29,15543.0,15641.0,15478.0,15608.0,1358500.0
2010-01-30,15543.0,15641.0,15478.0,15608.0,1358500.0
2010-01-31,15543.0,15641.0,15478.0,15608.0,1358500.0
2010-02-01,15608.0,15673.0,15381.0,15673.0,837000.0
2010-02-02,15673.0,15738.0,15641.0,15673.0,522000.0
2010-02-03,15706.0,16096.0,15673.0,15998.0,600500.0
2010-02-04,15998.0,17234.0,15998.0,16746.0,1735000.0
2010-02-05,16584.0,16876.0,15966.0,16259.0,1052000.0
2010-02-06,16584.0,16876.0,15966.0,16259.0,1052000.0
2010-02-07,16584.0,16876.0,15966.0,16259.0,1052000.0
2010-02-08,16259.0,16259.0,15511.0,15673.0,1138500.0
2010-02-09,15413.0,15771.0,15381.0,15771.0,1135500.0
2010-02-10,15803.0,15868.0,15673.0,15771.0,398500.0
2010-02-11,15771.0,15933.0,15316.0,15576.0,162500.0
2010-02-12,15803.0,15901.0,15738.0,15738.0,508500.0
2010-02-13,15803.0,15901.0,15738.0,15738.0,508500.0
2010-02-14,15803.0,15901.0,15738.0,15738.0,508500.0
2010-02-15,15803.0,15803.0,15478.0,15576.0,31500.0
2010-02-16,15608.0,15771.0,15608.0,15771.0,123000.0
2010-02-17,15803.0,15836.0,15771.0,15803.0,115500.0
2010-02-18,15771.0,15771.0,15608.0,15673.0,146000.0
2010-02-19,15673.0,15673.0,15413.0,15641.0,152000.0
2010-02-20,15673.0,15673.0,15413.0,15641.0,152000.0
2010-02-21,15673.0,15673.0,15413.0,15641.0,152000.0
2010-02-22,15641.0,15673.0,15641.0,15641.0,327500.0
2010-02-23,15673.0,16031.0,15608.0,15998.0,1877500.0
2010-02-24,15933.0,16714.0,15933.0,16649.0,1621000.0
2010-02-25,16649.0,17104.0,16649.0,16941.0,877000.0
2010-02-26,16649.0,17104.0,16649.0,16941.0,877000.0
2010-02-27,16649.0,17104.0,16649.0,16941.0,877000.0
2010-02-28,16649.0,17104.0,16649.0,16941.0,877000.0
2010-03-01,16941.0,17657.0,16941.0,17624.0,770000.0
2010-03-02,17559.0,18079.0,17559.0,17852.0,786000.0
2010-03-03,17852.0,18210.0,17722.0,18047.0,658500.0
2010-03-04,17884.0,18047.0,17852.0,18014.0,829500.0
2010-03-05,17982.0,17982.0,17299.0,17559.0,865000.0
2010-03-06,17982.0,17982.0,17299.0,17559.0,865000.0
2010-03-07,17982.0,17982.0,17299.0,17559.0,865000.0
