,UNTR IJ Equity,UNTR IJ Equity,UNTR IJ Equity,UNTR IJ Equity,UNTR IJ Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,7276.0,7371.0,7181.0,7371.0,2827059.0
2010-01-02,7276.0,7371.0,7181.0,7371.0,2827059.0
2010-01-03,7276.0,7371.0,7181.0,7371.0,2827059.0
2010-01-04,7371.0,7537.0,7371.0,7466.0,5496020.0
2010-01-05,7561.0,7704.0,7490.0,7656.0,7809778.0
2010-01-06,7704.0,7751.0,7537.0,7633.0,4022163.0
2010-01-07,7656.0,7704.0,7466.0,7537.0,4145418.0
2010-01-08,7609.0,7799.0,7561.0,7799.0,5126776.0
2010-01-09,7609.0,7799.0,7561.0,7799.0,5126776.0
2010-01-10,7609.0,7799.0,7561.0,7799.0,5126776.0
2010-01-11,7847.0,8227.0,7847.0,8203.0,11186023.0
2010-01-12,8179.0,8536.0,8179.0,8512.0,6474257.0
2010-01-13,8441.0,8465.0,8346.0,8441.0,3540585.0
2010-01-14,8560.0,8703.0,8536.0,8703.0,5474177.0
2010-01-15,8750.0,8821.0,8726.0,8774.0,4166740.0
2010-01-16,8750.0,8821.0,8726.0,8774.0,4166740.0
2010-01-17,8750.0,8821.0,8726.0,8774.0,4166740.0
2010-01-18,8679.0,8726.0,8655.0,8703.0,2674161.0
2010-01-19,8703.0,8893.0,8703.0,8893.0,5978638.0
2010-01-20,8917.0,8964.0,8631.0,8726.0,2965916.0
2010-01-21,8655.0,8655.0,8322.0,8417.0,10220787.0
2010-01-22,8322.0,8322.0,8084.0,8227.0,15339762.0
2010-01-23,8322.0,8322.0,8084.0,8227.0,15339762.0
2010-01-24,8322.0,8322.0,8084.0,8227.0,15339762.0
2010-01-25,8084.0,8132.0,7870.0,7918.0,12916271.0
2010-01-26,7965.0,8013.0,7847.0,7942.0,4842822.0
2010-01-27,7965.0,8132.0,7894.0,7965.0,3869785.0
2010-01-28,8037.0,8251.0,8037.0,8179.0,7450415.0
2010-01-29,8108.0,8108.0,7942.0,8013.0,5145498.0
2010-01-30,8108.0,8108.0,7942.0,8013.0,5145498.0
2010-01-31,8108.0,8108.0,7942.0,8013.0,5145498.0
2010-02-01,7965.0,7965.0,7775.0,7870.0,8586751.0
2010-02-02,7942.0,8037.0,7799.0,7847.0,5635917.0
2010-02-03,7989.0,8013.0,7918.0,7918.0,2347042.0
2010-02-04,7894.0,7965.0,7823.0,7847.0,2971637.0
2010-02-05,7704.0,7704.0,7537.0,7585.0,11711286.0
2010-02-06,7704.0,7704.0,7537.0,7585.0,11711286.0
2010-02-07,7704.0,7704.0,7537.0,7585.0,11711286.0
2010-02-08,7609.0,7609.0,7109.0,7300.0,11313439.0
2010-02-09,7300.0,7466.0,7181.0,7442.0,6679682.0
2010-02-10,7490.0,7656.0,7466.0,7609.0,8583631.0
2010-02-11,7656.0,7680.0,7514.0,7585.0,2819259.0
2010-02-12,7609.0,7775.0,7585.0,7704.0,3368444.0
2010-02-13,7609.0,7775.0,7585.0,7704.0,3368444.0
2010-02-14,7609.0,7775.0,7585.0,7704.0,3368444.0
2010-02-15,7609.0,7656.0,7561.0,7585.0,1098372.0
2010-02-16,7609.0,7847.0,7609.0,7847.0,2065688.0
2010-02-17,7989.0,8061.0,7870.0,8013.0,5669721.0
2010-02-18,7965.0,8179.0,7942.0,8037.0,9069889.0
2010-02-19,8037.0,8108.0,7870.0,8108.0,4130856.0
2010-02-20,8037.0,8108.0,7870.0,8108.0,4130856.0
2010-02-21,8037.0,8108.0,7870.0,8108.0,4130856.0
2010-02-22,8132.0,8179.0,7989.0,8061.0,3257151.0
2010-02-23,8061.0,8227.0,8013.0,8227.0,5804417.0
2010-02-24,8132.0,8275.0,8084.0,8156.0,3177062.0
2010-02-25,8203.0,8203.0,8037.0,8156.0,2778174.0
2010-02-26,8203.0,8203.0,8037.0,8156.0,2778174.0
2010-02-27,8203.0,8203.0,8037.0,8156.0,2778174.0
2010-02-28,8203.0,8203.0,8037.0,8156.0,2778174.0
2010-03-01,8227.0,8251.0,8084.0,8156.0,2585750.0
2010-03-02,8203.0,8203.0,8061.0,8084.0,2013682.0
2010-03-03,8108.0,8156.0,7942.0,8037.0,4064808.0
2010-03-04,8061.0,8132.0,7989.0,7989.0,3002841.0
2010-03-05,8037.0,8108.0,7989.0,8013.0,3394448.0
2010-03-06,8037.0,8108.0,7989.0,8013.0,3394448.0
2010-03-07,8037.0,8108.0,7989.0,8013.0,3394448.0
2010-03-08,8084.0,8108.0,7989.0,8084.0,5981758.0
2010-03-09,8108.0,8203.0,8084.0,8179.0,16754332.0
2010-03-10,8227.0,8298.0,8132.0,8203.0,6222027.0
2010-03-11,8227.0,8322.0,8203.0,8275.0,8887867.0
2010-03-12,8298.0,8322.0,8156.0,8203.0,3529664.0
2010-03-13,8298.0,8322.0,8156.0,8203.0,3529664.0
2010-03-14,8298.0,8322.0,8156.0,8203.0,3529664.0
2010-03-15,8203.0,8275.0,8156.0,8156.0,6292756.0
2010-03-16,8203.0,8275.0,8156.0,8156.0,6292756.0
2010-03-17,8203.0,8417.0,8203.0,8417.0,9581110.0
2010-03-18,8465.0,8584.0,8370.0,8512.0,9505181.0
2010-03-19,8584.0,8584.0,8322.0,8465.0,3502101.0
2010-03-20,8584.0,8584.0,8322.0,8465.0,3502101.0
2010-03-21,8584.0,8584.0,8322.0,8465.0,3502101.0
