,PAMP AR Equity
,RETURN_COM_EQY
2010-01-01,6.5589
2010-01-02,6.5589
2010-01-03,6.5589
2010-01-04,6.5589
2010-01-05,6.5589
2010-01-06,6.5589
2010-01-07,6.5589
2010-01-08,6.5589
2010-01-09,6.5589
2010-01-10,6.5589
2010-01-11,6.5589
2010-01-12,6.5589
2010-01-13,6.5589
2010-01-14,6.5589
2010-01-15,6.5589
2010-01-16,6.5589
2010-01-17,6.5589
2010-01-18,6.5589
2010-01-19,6.5589
2010-01-20,6.5589
2010-01-21,6.5589
2010-01-22,6.5589
2010-01-23,6.5589
2010-01-24,6.5589
2010-01-25,6.5589
2010-01-26,6.5589
2010-01-27,6.5589
2010-01-28,6.5589
2010-01-29,6.5589
2010-01-30,6.5589
2010-01-31,6.5589
2010-02-01,6.5589
2010-02-02,6.5589
2010-02-03,6.5589
2010-02-04,6.5589
2010-02-05,6.5589
2010-02-06,6.5589
2010-02-07,6.5589
2010-02-08,6.5589
2010-02-09,6.5589
2010-02-10,6.5589
2010-02-11,6.5589
2010-02-12,6.5589
2010-02-13,6.5589
2010-02-14,6.5589
2010-02-15,6.5589
2010-02-16,6.5589
2010-02-17,6.5589
2010-02-18,6.5589
2010-02-19,6.5589
2010-02-20,6.5589
2010-02-21,6.5589
2010-02-22,6.5589
2010-02-23,6.5589
2010-02-24,6.5589
2010-02-25,6.5589
2010-02-26,6.5589
2010-02-27,6.5589
2010-02-28,6.5589
2010-03-01,6.5589
2010-03-02,6.5589
2010-03-03,6.5589
2010-03-04,6.5589
2010-03-05,6.5589
2010-03-06,6.5589
2010-03-07,6.5589
2010-03-08,6.5589
2010-03-09,6.5589
2010-03-10,6.5589
2010-03-11,6.5589
2010-03-12,6.5589
2010-03-13,6.5589
2010-03-14,6.5589
2010-03-15,6.5589
2010-03-16,6.5589
2010-03-17,6.5589
2010-03-18,6.5589
2010-03-19,6.5589
2010-03-20,6.5589
2010-03-21,6.5589
2010-03-22,6.5589
2010-03-23,6.5589
2010-03-24,6.5589
2010-03-25,6.5589
2010-03-26,6.5589
2010-03-27,6.5589
2010-03-28,6.5589
2010-03-29,6.5589
2010-03-30,6.5589
2010-03-31,4.9455
2010-04-01,4.9455
2010-04-02,4.9455
2010-04-03,4.9455
2010-04-04,4.9455
2010-04-05,4.9455
2010-04-06,4.9455
2010-04-07,4.9455
2010-04-08,4.9455
2010-04-09,4.9455
2010-04-10,4.9455
2010-04-11,4.9455
2010-04-12,4.9455
2010-04-13,4.9455
2010-04-14,4.9455
2010-04-15,4.9455
2010-04-16,4.9455
2010-04-17,4.9455
2010-04-18,4.9455
2010-04-19,4.9455
2010-04-20,4.9455
2010-04-21,4.9455
2010-04-22,4.9455
2010-04-23,4.9455
2010-04-24,4.9455
2010-04-25,4.9455
2010-04-26,4.9455
2010-04-27,4.9455
2010-04-28,4.9455
2010-04-29,4.9455
2010-04-30,4.9455
2010-05-01,4.9455
2010-05-02,4.9455
2010-05-03,4.9455
2010-05-04,4.9455
2010-05-05,4.9455
2010-05-06,4.9455
2010-05-07,4.9455
2010-05-08,4.9455
2010-05-09,4.9455
2010-05-10,4.9455
2010-05-11,4.9455
2010-05-12,4.9455
2010-05-13,4.9455
2010-05-14,4.9455
2010-05-15,4.9455
2010-05-16,4.9455
2010-05-17,4.9455
2010-05-18,4.9455
2010-05-19,4.9455
2010-05-20,4.9455
2010-05-21,4.9455
2010-05-22,4.9455
2010-05-23,4.9455
2010-05-24,4.9455
2010-05-25,4.9455
2010-05-26,4.9455
2010-05-27,4.9455
2010-05-28,4.9455
2010-05-29,4.9455
2010-05-30,4.9455
2010-05-31,4.9455
2010-06-01,4.9455
2010-06-02,4.9455
2010-06-03,4.9455
2010-06-04,4.9455
2010-06-05,4.9455
2010-06-06,4.9455
2010-06-07,4.9455
2010-06-08,4.9455
2010-06-09,4.9455
2010-06-10,4.9455
2010-06-11,4.9455
2010-06-12,4.9455
2010-06-13,4.9455
2010-06-14,4.9455
2010-06-15,4.9455
2010-06-16,4.9455
2010-06-17,4.9455
2010-06-18,4.9455
2010-06-19,4.9455
2010-06-20,4.9455
2010-06-21,4.9455
2010-06-22,4.9455
2010-06-23,4.9455
2010-06-24,4.9455
2010-06-25,4.9455
2010-06-26,4.9455
2010-06-27,4.9455
2010-06-28,4.9455
2010-06-29,4.9455
2010-06-30,-1.9247
2010-07-01,-1.9247
2010-07-02,-1.9247
2010-07-03,-1.9247
2010-07-04,-1.9247
2010-07-05,-1.9247
2010-07-06,-1.9247
2010-07-07,-1.9247
2010-07-08,-1.9247
2010-07-09,-1.9247
2010-07-10,-1.9247
2010-07-11,-1.9247
2010-07-12,-1.9247
2010-07-13,-1.9247
2010-07-14,-1.9247
2010-07-15,-1.9247
2010-07-16,-1.9247
2010-07-17,-1.9247
2010-07-18,-1.9247
2010-07-19,-1.9247
2010-07-20,-1.9247
2010-07-21,-1.9247
2010-07-22,-1.9247
2010-07-23,-1.9247
2010-07-24,-1.9247
2010-07-25,-1.9247
2010-07-26,-1.9247
2010-07-27,-1.9247
2010-07-28,-1.9247
2010-07-29,-1.9247
2010-07-30,-1.9247
2010-07-31,-1.9247
2010-08-01,-1.9247
2010-08-02,-1.9247
2010-08-03,-1.9247
2010-08-04,-1.9247
2010-08-05,-1.9247
2010-08-06,-1.9247
2010-08-07,-1.9247
2010-08-08,-1.9247
2010-08-09,-1.9247
2010-08-10,-1.9247
2010-08-11,-1.9247
2010-08-12,-1.9247
2010-08-13,-1.9247
2010-08-14,-1.9247
2010-08-15,-1.9247
2010-08-16,-1.9247
2010-08-17,-1.9247
2010-08-18,-1.9247
2010-08-19,-1.9247
2010-08-20,-1.9247
2010-08-21,-1.9247
2010-08-22,-1.9247
2010-08-23,-1.9247
2010-08-24,-1.9247
2010-08-25,-1.9247
2010-08-26,-1.9247
2010-08-27,-1.9247
2010-08-28,-1.9247
2010-08-29,-1.9247
2010-08-30,-1.9247
2010-08-31,-1.9247
2010-09-01,-1.9247
2010-09-02,-1.9247
2010-09-03,-1.9247
2010-09-04,-1.9247
2010-09-05,-1.9247
2010-09-06,-1.9247
2010-09-07,-1.9247
2010-09-08,-1.9247
2010-09-09,-1.9247
2010-09-10,-1.9247
2010-09-11,-1.9247
2010-09-12,-1.9247
2010-09-13,-1.9247
2010-09-14,-1.9247
2010-09-15,-1.9247
2010-09-16,-1.9247
2010-09-17,-1.9247
2010-09-18,-1.9247
2010-09-19,-1.9247
2010-09-20,-1.9247
2010-09-21,-1.9247
2010-09-22,-1.9247
2010-09-23,-1.9247
2010-09-24,-1.9247
2010-09-25,-1.9247
2010-09-26,-1.9247
2010-09-27,-1.9247
2010-09-28,-1.9247
2010-09-29,-1.9247
2010-09-30,-3.6624
2010-10-01,-3.6624
2010-10-02,-3.6624
2010-10-03,-3.6624
2010-10-04,-3.6624
2010-10-05,-3.6624
2010-10-06,-3.6624
2010-10-07,-3.6624
2010-10-08,-3.6624
2010-10-09,-3.6624
2010-10-10,-3.6624
2010-10-11,-3.6624
2010-10-12,-3.6624
2010-10-13,-3.6624
2010-10-14,-3.6624
2010-10-15,-3.6624
2010-10-16,-3.6624
2010-10-17,-3.6624
2010-10-18,-3.6624
2010-10-19,-3.6624
2010-10-20,-3.6624
2010-10-21,-3.6624
2010-10-22,-3.6624
2010-10-23,-3.6624
2010-10-24,-3.6624
2010-10-25,-3.6624
2010-10-26,-3.6624
2010-10-27,-3.6624
2010-10-28,-3.6624
2010-10-29,-3.6624
2010-10-30,-3.6624
2010-10-31,-3.6624
2010-11-01,-3.6624
2010-11-02,-3.6624
2010-11-03,-3.6624
2010-11-04,-3.6624
2010-11-05,-3.6624
2010-11-06,-3.6624
2010-11-07,-3.6624
2010-11-08,-3.6624
2010-11-09,-3.6624
2010-11-10,-3.6624
2010-11-11,-3.6624
2010-11-12,-3.6624
2010-11-13,-3.6624
2010-11-14,-3.6624
2010-11-15,-3.6624
2010-11-16,-3.6624
2010-11-17,-3.6624
2010-11-18,-3.6624
2010-11-19,-3.6624
2010-11-20,-3.6624
2010-11-21,-3.6624
2010-11-22,-3.6624
2010-11-23,-3.6624
2010-11-24,-3.6624
2010-11-25,-3.6624
2010-11-26,-3.6624
2010-11-27,-3.6624
