,GGAL AR Equity
,RETURN_COM_EQY
2010-01-01,12.7032
2010-01-02,12.7032
2010-01-03,12.7032
2010-01-04,12.7032
2010-01-05,12.7032
2010-01-06,12.7032
2010-01-07,12.7032
2010-01-08,12.7032
2010-01-09,12.7032
2010-01-10,12.7032
2010-01-11,12.7032
2010-01-12,12.7032
2010-01-13,12.7032
2010-01-14,12.7032
2010-01-15,12.7032
2010-01-16,12.7032
2010-01-17,12.7032
2010-01-18,12.7032
2010-01-19,12.7032
2010-01-20,12.7032
2010-01-21,12.7032
2010-01-22,12.7032
2010-01-23,12.7032
2010-01-24,12.7032
2010-01-25,12.7032
2010-01-26,12.7032
2010-01-27,12.7032
2010-01-28,12.7032
2010-01-29,12.7032
2010-01-30,12.7032
2010-01-31,12.7032
2010-02-01,12.7032
2010-02-02,12.7032
2010-02-03,12.7032
2010-02-04,12.7032
2010-02-05,12.7032
2010-02-06,12.7032
2010-02-07,12.7032
2010-02-08,12.7032
2010-02-09,12.7032
2010-02-10,12.7032
2010-02-11,12.7032
2010-02-12,12.7032
2010-02-13,12.7032
2010-02-14,12.7032
2010-02-15,12.7032
2010-02-16,12.7032
2010-02-17,12.7032
2010-02-18,12.7032
2010-02-19,12.7032
2010-02-20,12.7032
2010-02-21,12.7032
2010-02-22,12.7032
2010-02-23,12.7032
2010-02-24,12.7032
2010-02-25,12.7032
2010-02-26,12.7032
2010-02-27,12.7032
2010-02-28,12.7032
2010-03-01,12.7032
2010-03-02,12.7032
2010-03-03,12.7032
2010-03-04,12.7032
2010-03-05,12.7032
2010-03-06,12.7032
2010-03-07,12.7032
2010-03-08,12.7032
2010-03-09,12.7032
2010-03-10,12.7032
2010-03-11,12.7032
2010-03-12,12.7032
2010-03-13,12.7032
2010-03-14,12.7032
2010-03-15,12.7032
2010-03-16,12.7032
2010-03-17,12.7032
2010-03-18,12.7032
2010-03-19,12.7032
2010-03-20,12.7032
2010-03-21,12.7032
2010-03-22,12.7032
2010-03-23,12.7032
2010-03-24,12.7032
2010-03-25,12.7032
2010-03-26,12.7032
2010-03-27,12.7032
2010-03-28,12.7032
2010-03-29,12.7032
2010-03-30,12.7032
2010-03-31,10.9016
2010-04-01,10.9016
2010-04-02,10.9016
2010-04-03,10.9016
2010-04-04,10.9016
2010-04-05,10.9016
2010-04-06,10.9016
2010-04-07,10.9016
2010-04-08,10.9016
2010-04-09,10.9016
2010-04-10,10.9016
2010-04-11,10.9016
2010-04-12,10.9016
2010-04-13,10.9016
2010-04-14,10.9016
2010-04-15,10.9016
2010-04-16,10.9016
2010-04-17,10.9016
2010-04-18,10.9016
2010-04-19,10.9016
2010-04-20,10.9016
2010-04-21,10.9016
2010-04-22,10.9016
2010-04-23,10.9016
2010-04-24,10.9016
2010-04-25,10.9016
2010-04-26,10.9016
2010-04-27,10.9016
2010-04-28,10.9016
2010-04-29,10.9016
2010-04-30,10.9016
2010-05-01,10.9016
2010-05-02,10.9016
2010-05-03,10.9016
2010-05-04,10.9016
2010-05-05,10.9016
2010-05-06,10.9016
2010-05-07,10.9016
2010-05-08,10.9016
2010-05-09,10.9016
2010-05-10,10.9016
2010-05-11,10.9016
2010-05-12,10.9016
2010-05-13,10.9016
2010-05-14,10.9016
2010-05-15,10.9016
2010-05-16,10.9016
2010-05-17,10.9016
2010-05-18,10.9016
2010-05-19,10.9016
2010-05-20,10.9016
2010-05-21,10.9016
2010-05-22,10.9016
2010-05-23,10.9016
2010-05-24,10.9016
2010-05-25,10.9016
2010-05-26,10.9016
2010-05-27,10.9016
2010-05-28,10.9016
2010-05-29,10.9016
2010-05-30,10.9016
2010-05-31,10.9016
2010-06-01,10.9016
2010-06-02,10.9016
2010-06-03,10.9016
2010-06-04,10.9016
2010-06-05,10.9016
2010-06-06,10.9016
2010-06-07,10.9016
2010-06-08,10.9016
2010-06-09,10.9016
2010-06-10,10.9016
2010-06-11,10.9016
2010-06-12,10.9016
2010-06-13,10.9016
2010-06-14,10.9016
2010-06-15,10.9016
2010-06-16,10.9016
2010-06-17,10.9016
2010-06-18,10.9016
2010-06-19,10.9016
2010-06-20,10.9016
2010-06-21,10.9016
2010-06-22,10.9016
2010-06-23,10.9016
2010-06-24,10.9016
2010-06-25,10.9016
2010-06-26,10.9016
2010-06-27,10.9016
2010-06-28,10.9016
2010-06-29,10.9016
2010-06-30,11.2506
2010-07-01,11.2506
2010-07-02,11.2506
2010-07-03,11.2506
2010-07-04,11.2506
2010-07-05,11.2506
2010-07-06,11.2506
2010-07-07,11.2506
2010-07-08,11.2506
2010-07-09,11.2506
2010-07-10,11.2506
2010-07-11,11.2506
2010-07-12,11.2506
2010-07-13,11.2506
2010-07-14,11.2506
2010-07-15,11.2506
2010-07-16,11.2506
2010-07-17,11.2506
2010-07-18,11.2506
2010-07-19,11.2506
2010-07-20,11.2506
2010-07-21,11.2506
2010-07-22,11.2506
2010-07-23,11.2506
2010-07-24,11.2506
2010-07-25,11.2506
2010-07-26,11.2506
2010-07-27,11.2506
2010-07-28,11.2506
2010-07-29,11.2506
2010-07-30,11.2506
2010-07-31,11.2506
2010-08-01,11.2506
2010-08-02,11.2506
2010-08-03,11.2506
2010-08-04,11.2506
2010-08-05,11.2506
2010-08-06,11.2506
2010-08-07,11.2506
2010-08-08,11.2506
2010-08-09,11.2506
2010-08-10,11.2506
2010-08-11,11.2506
2010-08-12,11.2506
2010-08-13,11.2506
2010-08-14,11.2506
2010-08-15,11.2506
2010-08-16,11.2506
2010-08-17,11.2506
2010-08-18,11.2506
2010-08-19,11.2506
2010-08-20,11.2506
2010-08-21,11.2506
2010-08-22,11.2506
2010-08-23,11.2506
2010-08-24,11.2506
2010-08-25,11.2506
2010-08-26,11.2506
2010-08-27,11.2506
2010-08-28,11.2506
2010-08-29,11.2506
2010-08-30,11.2506
2010-08-31,11.2506
2010-09-01,11.2506
2010-09-02,11.2506
2010-09-03,11.2506
2010-09-04,11.2506
2010-09-05,11.2506
2010-09-06,11.2506
2010-09-07,11.2506
2010-09-08,11.2506
2010-09-09,11.2506
2010-09-10,11.2506
2010-09-11,11.2506
2010-09-12,11.2506
2010-09-13,11.2506
2010-09-14,11.2506
2010-09-15,11.2506
2010-09-16,11.2506
2010-09-17,11.2506
2010-09-18,11.2506
2010-09-19,11.2506
2010-09-20,11.2506
2010-09-21,11.2506
2010-09-22,11.2506
2010-09-23,11.2506
2010-09-24,11.2506
2010-09-25,11.2506
2010-09-26,11.2506
2010-09-27,11.2506
2010-09-28,11.2506
2010-09-29,11.2506
2010-09-30,14.6831
2010-10-01,14.6831
2010-10-02,14.6831
2010-10-03,14.6831
2010-10-04,14.6831
2010-10-05,14.6831
2010-10-06,14.6831
2010-10-07,14.6831
2010-10-08,14.6831
2010-10-09,14.6831
2010-10-10,14.6831
2010-10-11,14.6831
2010-10-12,14.6831
2010-10-13,14.6831
2010-10-14,14.6831
2010-10-15,14.6831
2010-10-16,14.6831
2010-10-17,14.6831
2010-10-18,14.6831
2010-10-19,14.6831
2010-10-20,14.6831
2010-10-21,14.6831
2010-10-22,14.6831
2010-10-23,14.6831
2010-10-24,14.6831
2010-10-25,14.6831
2010-10-26,14.6831
2010-10-27,14.6831
2010-10-28,14.6831
2010-10-29,14.6831
2010-10-30,14.6831
2010-10-31,14.6831
2010-11-01,14.6831
2010-11-02,14.6831
2010-11-03,14.6831
2010-11-04,14.6831
2010-11-05,14.6831
2010-11-06,14.6831
2010-11-07,14.6831
2010-11-08,14.6831
2010-11-09,14.6831
2010-11-10,14.6831
2010-11-11,14.6831
2010-11-12,14.6831
2010-11-13,14.6831
2010-11-14,14.6831
2010-11-15,14.6831
2010-11-16,14.6831
2010-11-17,14.6831
2010-11-18,14.6831
2010-11-19,14.6831
2010-11-20,14.6831
2010-11-21,14.6831
2010-11-22,14.6831
