,TGSU2 AR Equity
,RETURN_COM_EQY
2010-01-01,5.6684
2010-01-02,5.6684
2010-01-03,5.6684
2010-01-04,5.6684
2010-01-05,5.6684
2010-01-06,5.6684
2010-01-07,5.6684
2010-01-08,5.6684
2010-01-09,5.6684
2010-01-10,5.6684
2010-01-11,5.6684
2010-01-12,5.6684
2010-01-13,5.6684
2010-01-14,5.6684
2010-01-15,5.6684
2010-01-16,5.6684
2010-01-17,5.6684
2010-01-18,5.6684
2010-01-19,5.6684
2010-01-20,5.6684
2010-01-21,5.6684
2010-01-22,5.6684
2010-01-23,5.6684
2010-01-24,5.6684
2010-01-25,5.6684
2010-01-26,5.6684
2010-01-27,5.6684
2010-01-28,5.6684
2010-01-29,5.6684
2010-01-30,5.6684
2010-01-31,5.6684
2010-02-01,5.6684
2010-02-02,5.6684
2010-02-03,5.6684
2010-02-04,5.6684
2010-02-05,5.6684
2010-02-06,5.6684
2010-02-07,5.6684
2010-02-08,5.6684
2010-02-09,5.6684
2010-02-10,5.6684
2010-02-11,5.6684
2010-02-12,5.6684
2010-02-13,5.6684
2010-02-14,5.6684
2010-02-15,5.6684
2010-02-16,5.6684
2010-02-17,5.6684
2010-02-18,5.6684
2010-02-19,5.6684
2010-02-20,5.6684
2010-02-21,5.6684
2010-02-22,5.6684
2010-02-23,5.6684
2010-02-24,5.6684
2010-02-25,5.6684
2010-02-26,5.6684
2010-02-27,5.6684
2010-02-28,5.6684
2010-03-01,5.6684
2010-03-02,5.6684
2010-03-03,5.6684
2010-03-04,5.6684
2010-03-05,5.6684
2010-03-06,5.6684
2010-03-07,5.6684
2010-03-08,5.6684
2010-03-09,5.6684
2010-03-10,5.6684
2010-03-11,5.6684
2010-03-12,5.6684
2010-03-13,5.6684
2010-03-14,5.6684
2010-03-15,5.6684
2010-03-16,5.6684
2010-03-17,5.6684
2010-03-18,5.6684
2010-03-19,5.6684
2010-03-20,5.6684
2010-03-21,5.6684
2010-03-22,5.6684
2010-03-23,5.6684
2010-03-24,5.6684
2010-03-25,5.6684
2010-03-26,5.6684
2010-03-27,5.6684
2010-03-28,5.6684
2010-03-29,5.6684
2010-03-30,5.6684
2010-03-31,8.1349
2010-04-01,8.1349
2010-04-02,8.1349
2010-04-03,8.1349
2010-04-04,8.1349
2010-04-05,8.1349
2010-04-06,8.1349
2010-04-07,8.1349
2010-04-08,8.1349
2010-04-09,8.1349
2010-04-10,8.1349
2010-04-11,8.1349
2010-04-12,8.1349
2010-04-13,8.1349
2010-04-14,8.1349
2010-04-15,8.1349
2010-04-16,8.1349
2010-04-17,8.1349
2010-04-18,8.1349
2010-04-19,8.1349
2010-04-20,8.1349
2010-04-21,8.1349
2010-04-22,8.1349
2010-04-23,8.1349
2010-04-24,8.1349
2010-04-25,8.1349
2010-04-26,8.1349
2010-04-27,8.1349
2010-04-28,8.1349
2010-04-29,8.1349
2010-04-30,8.1349
2010-05-01,8.1349
2010-05-02,8.1349
2010-05-03,8.1349
2010-05-04,8.1349
2010-05-05,8.1349
2010-05-06,8.1349
2010-05-07,8.1349
2010-05-08,8.1349
2010-05-09,8.1349
2010-05-10,8.1349
2010-05-11,8.1349
2010-05-12,8.1349
2010-05-13,8.1349
2010-05-14,8.1349
2010-05-15,8.1349
2010-05-16,8.1349
2010-05-17,8.1349
2010-05-18,8.1349
2010-05-19,8.1349
2010-05-20,8.1349
2010-05-21,8.1349
2010-05-22,8.1349
2010-05-23,8.1349
2010-05-24,8.1349
2010-05-25,8.1349
2010-05-26,8.1349
2010-05-27,8.1349
2010-05-28,8.1349
2010-05-29,8.1349
2010-05-30,8.1349
2010-05-31,8.1349
2010-06-01,8.1349
2010-06-02,8.1349
2010-06-03,8.1349
2010-06-04,8.1349
2010-06-05,8.1349
2010-06-06,8.1349
2010-06-07,8.1349
2010-06-08,8.1349
2010-06-09,8.1349
2010-06-10,8.1349
2010-06-11,8.1349
2010-06-12,8.1349
2010-06-13,8.1349
2010-06-14,8.1349
2010-06-15,8.1349
2010-06-16,8.1349
2010-06-17,8.1349
2010-06-18,8.1349
2010-06-19,8.1349
2010-06-20,8.1349
2010-06-21,8.1349
2010-06-22,8.1349
2010-06-23,8.1349
2010-06-24,8.1349
2010-06-25,8.1349
2010-06-26,8.1349
2010-06-27,8.1349
2010-06-28,8.1349
2010-06-29,8.1349
2010-06-30,6.4989
2010-07-01,6.4989
2010-07-02,6.4989
