,1928 HK Equity
,RETURN_COM_EQY
2010-01-01,8.6903
2010-01-02,8.6903
2010-01-03,8.6903
2010-01-04,8.6903
2010-01-05,8.6903
2010-01-06,8.6903
2010-01-07,8.6903
2010-01-08,8.6903
2010-01-09,8.6903
2010-01-10,8.6903
2010-01-11,8.6903
2010-01-12,8.6903
2010-01-13,8.6903
2010-01-14,8.6903
2010-01-15,8.6903
2010-01-16,8.6903
2010-01-17,8.6903
2010-01-18,8.6903
2010-01-19,8.6903
2010-01-20,8.6903
2010-01-21,8.6903
2010-01-22,8.6903
2010-01-23,8.6903
2010-01-24,8.6903
2010-01-25,8.6903
2010-01-26,8.6903
2010-01-27,8.6903
2010-01-28,8.6903
2010-01-29,8.6903
2010-01-30,8.6903
2010-01-31,8.6903
2010-02-01,8.6903
2010-02-02,8.6903
2010-02-03,8.6903
2010-02-04,8.6903
2010-02-05,8.6903
2010-02-06,8.6903
2010-02-07,8.6903
2010-02-08,8.6903
2010-02-09,8.6903
2010-02-10,8.6903
2010-02-11,8.6903
2010-02-12,8.6903
2010-02-13,8.6903
2010-02-14,8.6903
2010-02-15,8.6903
2010-02-16,8.6903
2010-02-17,8.6903
2010-02-18,8.6903
2010-02-19,8.6903
2010-02-20,8.6903
2010-02-21,8.6903
2010-02-22,8.6903
2010-02-23,8.6903
2010-02-24,8.6903
2010-02-25,8.6903
2010-02-26,8.6903
2010-02-27,8.6903
2010-02-28,8.6903
2010-03-01,8.6903
2010-03-02,8.6903
2010-03-03,8.6903
2010-03-04,8.6903
2010-03-05,8.6903
2010-03-06,8.6903
2010-03-07,8.6903
2010-03-08,8.6903
2010-03-09,8.6903
2010-03-10,8.6903
2010-03-11,8.6903
2010-03-12,8.6903
2010-03-13,8.6903
2010-03-14,8.6903
2010-03-15,8.6903
2010-03-16,8.6903
2010-03-17,8.6903
2010-03-18,8.6903
2010-03-19,8.6903
2010-03-20,8.6903
2010-03-21,8.6903
2010-03-22,8.6903
2010-03-23,8.6903
2010-03-24,8.6903
2010-03-25,8.6903
2010-03-26,8.6903
2010-03-27,8.6903
2010-03-28,8.6903
2010-03-29,8.6903
2010-03-30,8.6903
2010-03-31,8.6903
2010-04-01,8.6903
2010-04-02,8.6903
2010-04-03,8.6903
2010-04-04,8.6903
