,RAY Index,RAY Index,RAY Index,RAY Index,RAY Index
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
1980-01-01,63.85,63.85,63.85,64.212,
1980-01-02,62.56,62.56,62.56,62.911,
1980-01-03,62.15,62.15,62.15,62.503,
1980-01-04,62.97,62.97,62.97,63.33,
1980-01-05,62.97,62.97,62.97,63.33,
1980-01-06,62.97,62.97,62.97,63.33,
1980-01-07,63.2,63.2,63.2,63.559,
1980-01-08,64.41,64.41,64.41,64.773,
1980-01-09,64.49,64.49,64.49,64.86,
1980-01-10,65.06,65.06,65.06,65.431,
1980-01-11,65.2,65.2,65.2,65.568,
1980-01-12,65.2,65.2,65.2,65.568,
1980-01-13,65.2,65.2,65.2,65.568,
1980-01-14,65.44,65.44,65.44,65.807,
1980-01-15,65.8,65.8,65.8,66.177,
1980-01-16,65.82,65.82,65.82,66.199,
1980-01-17,65.71,65.71,65.71,66.079,
1980-01-18,65.83,65.83,65.83,66.204,
1980-01-19,65.83,65.83,65.83,66.204,
1980-01-20,65.83,65.83,65.83,66.204,
1980-01-21,66.41,66.41,66.41,66.787,
1980-01-22,65.99,65.99,65.99,66.362,
1980-01-23,66.97,66.97,66.97,67.348,
1980-01-24,67.17,67.17,67.17,67.549,
1980-01-25,67.15,67.15,67.15,67.527,
1980-01-26,67.15,67.15,67.15,67.527,
1980-01-27,67.15,67.15,67.15,67.527,
1980-01-28,67.82,67.82,67.82,68.208,
1980-01-29,67.43,67.43,67.43,67.816,
1980-01-30,68.14,68.14,68.14,68.523,
1980-01-31,67.75,67.75,67.75,68.131,
1980-02-01,68.22,68.22,68.22,68.605,
1980-02-02,68.22,68.22,68.22,68.605,
1980-02-03,68.22,68.22,68.22,68.605,
1980-02-04,67.81,67.81,67.81,68.197,
1980-02-05,67.98,67.98,67.98,68.36,
1980-02-06,68.54,68.54,68.54,68.926,
1980-02-07,68.81,68.81,68.81,69.204,
1980-02-08,69.71,69.71,69.71,70.102,
1980-02-09,69.71,69.71,69.71,70.102,
1980-02-10,69.71,69.71,69.71,70.102,
1980-02-11,69.26,69.26,69.26,69.65,
1980-02-12,69.69,69.69,69.69,70.091,
1980-02-13,69.89,69.89,69.89,70.282,
1980-02-14,68.87,68.87,68.87,69.258,
1980-02-15,68.27,68.27,68.27,68.659,
1980-02-16,68.27,68.27,68.27,68.659,
1980-02-17,68.27,68.27,68.27,68.659,
1980-02-18,68.27,68.27,68.27,68.659,
1980-02-19,67.84,67.84,67.84,68.224,
1980-02-20,68.83,68.83,68.83,69.215,
1980-02-21,68.22,68.22,68.22,68.61,
1980-02-22,67.91,67.91,67.91,68.295,
1980-02-23,67.91,67.91,67.91,68.295,
1980-02-24,67.91,67.91,67.91,68.295,
1980-02-25,66.92,66.92,66.92,67.299,
1980-02-26,67.27,67.27,67.27,67.658,
1980-02-27,66.47,66.47,66.47,66.847,
1980-02-28,66.48,66.48,66.48,66.863,
1980-02-29,67.3,67.3,67.3,67.685,
1980-03-01,67.3,67.3,67.3,67.685,
1980-03-02,67.3,67.3,67.3,67.685,
1980-03-03,66.71,66.71,66.71,67.092,
