,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
1980-01-01,107.94,107.94,107.94,107.94,
1980-01-02,105.76,105.76,105.76,105.76,
1980-01-03,105.22,105.22,105.22,105.22,
1980-01-04,106.52,106.52,106.52,106.52,
1980-01-05,106.52,106.52,106.52,106.52,
1980-01-06,106.52,106.52,106.52,106.52,
1980-01-07,106.81,106.81,106.81,106.81,
1980-01-08,108.95,108.95,108.95,108.95,
1980-01-09,109.05,109.05,109.05,109.05,
1980-01-10,109.89,109.89,109.89,109.89,
1980-01-11,109.92,109.92,109.92,109.92,
1980-01-12,109.92,109.92,109.92,109.92,
1980-01-13,109.92,109.92,109.92,109.92,
1980-01-14,110.38,110.38,110.38,110.38,
1980-01-15,111.14,111.14,111.14,111.14,
1980-01-16,111.05,111.05,111.05,111.05,
1980-01-17,110.7,110.7,110.7,110.7,
1980-01-18,111.07,111.07,111.07,111.07,
1980-01-19,111.07,111.07,111.07,111.07,
1980-01-20,111.07,111.07,111.07,111.07,
1980-01-21,112.1,112.1,112.1,112.1,
1980-01-22,111.51,111.51,111.51,111.51,
1980-01-23,113.44,113.44,113.44,113.44,
1980-01-24,113.7,113.7,113.7,113.7,
1980-01-25,113.61,113.61,113.61,113.61,
1980-01-26,113.61,113.61,113.61,113.61,
1980-01-27,113.61,113.61,113.61,113.61,
1980-01-28,114.85,114.85,114.85,114.85,
1980-01-29,114.07,114.07,114.07,114.07,
1980-01-30,115.2,115.2,115.2,115.2,
1980-01-31,114.16,114.16,114.16,114.16,
1980-02-01,115.12,115.12,115.12,115.12,
1980-02-02,115.12,115.12,115.12,115.12,
1980-02-03,115.12,115.12,115.12,115.12,
1980-02-04,114.37,114.37,114.37,114.37,
1980-02-05,114.66,114.66,114.66,114.66,
1980-02-06,115.72,115.72,115.72,115.72,
1980-02-07,116.28,116.28,116.28,116.28,
1980-02-08,117.95,117.95,117.95,117.95,
1980-02-09,117.95,117.95,117.95,117.95,
1980-02-10,117.95,117.95,117.95,117.95,
1980-02-11,117.12,117.12,117.12,117.12,
1980-02-12,117.9,117.9,117.9,117.9,
1980-02-13,118.44,118.44,118.44,118.44,
1980-02-14,116.72,116.72,116.72,116.72,
1980-02-15,115.41,115.41,115.41,115.41,
1980-02-16,115.41,115.41,115.41,115.41,
1980-02-17,115.41,115.41,115.41,115.41,
1980-02-18,115.41,115.41,115.41,115.41,
1980-02-19,114.6,114.6,114.6,114.6,
1980-02-20,116.47,116.47,116.47,116.47,
1980-02-21,115.28,115.28,115.28,115.28,
1980-02-22,115.04,115.04,115.04,115.04,
1980-02-23,115.04,115.04,115.04,115.04,
1980-02-24,115.04,115.04,115.04,115.04,
1980-02-25,113.33,113.33,113.33,113.33,
1980-02-26,113.98,113.98,113.98,113.98,
1980-02-27,112.38,112.38,112.38,112.38,
1980-02-28,112.35,112.35,112.35,112.35,
1980-02-29,113.66,113.66,113.66,113.66,
1980-03-01,113.66,113.66,113.66,113.66,
1980-03-02,113.66,113.66,113.66,113.66,
1980-03-03,112.5,112.5,112.5,112.5,
1980-03-04,112.78,112.78,112.78,112.78,
1980-03-05,111.13,111.13,111.13,111.13,
1980-03-06,108.65,108.65,108.65,108.65,
1980-03-07,106.9,106.9,106.9,106.9,
1980-03-08,106.9,106.9,106.9,106.9,
1980-03-09,106.9,106.9,106.9,106.9,
1980-03-10,106.51,106.51,106.51,106.51,
1980-03-11,107.78,107.78,107.78,107.78,
1980-03-12,106.87,106.87,106.87,106.87,
1980-03-13,105.62,105.62,105.62,105.62,
1980-03-14,105.43,105.43,105.43,105.43,
1980-03-15,105.43,105.43,105.43,105.43,
1980-03-16,105.43,105.43,105.43,105.43,
1980-03-17,102.26,102.26,102.26,102.26,
