,ITV LN Equity
,RETURN_COM_EQY
2010-01-01,20.8955
2010-01-02,20.8955
2010-01-03,20.8955
2010-01-04,20.8955
2010-01-05,20.8955
2010-01-06,20.8955
2010-01-07,20.8955
2010-01-08,20.8955
2010-01-09,20.8955
2010-01-10,20.8955
2010-01-11,20.8955
2010-01-12,20.8955
2010-01-13,20.8955
2010-01-14,20.8955
2010-01-15,20.8955
2010-01-16,20.8955
2010-01-17,20.8955
2010-01-18,20.8955
2010-01-19,20.8955
2010-01-20,20.8955
2010-01-21,20.8955
2010-01-22,20.8955
2010-01-23,20.8955
2010-01-24,20.8955
2010-01-25,20.8955
2010-01-26,20.8955
2010-01-27,20.8955
2010-01-28,20.8955
2010-01-29,20.8955
2010-01-30,20.8955
2010-01-31,20.8955
2010-02-01,20.8955
2010-02-02,20.8955
2010-02-03,20.8955
2010-02-04,20.8955
2010-02-05,20.8955
2010-02-06,20.8955
2010-02-07,20.8955
2010-02-08,20.8955
2010-02-09,20.8955
2010-02-10,20.8955
2010-02-11,20.8955
2010-02-12,20.8955
2010-02-13,20.8955
2010-02-14,20.8955
2010-02-15,20.8955
2010-02-16,20.8955
2010-02-17,20.8955
2010-02-18,20.8955
2010-02-19,20.8955
2010-02-20,20.8955
2010-02-21,20.8955
2010-02-22,20.8955
2010-02-23,20.8955
2010-02-24,20.8955
2010-02-25,20.8955
2010-02-26,20.8955
2010-02-27,20.8955
2010-02-28,20.8955
2010-03-01,20.8955
2010-03-02,20.8955
2010-03-03,20.8955
2010-03-04,20.8955
2010-03-05,20.8955
2010-03-06,20.8955
2010-03-07,20.8955
2010-03-08,20.8955
2010-03-09,20.8955
2010-03-10,20.8955
2010-03-11,20.8955
2010-03-12,20.8955
2010-03-13,20.8955
2010-03-14,20.8955
2010-03-15,20.8955
2010-03-16,20.8955
2010-03-17,20.8955
2010-03-18,20.8955
2010-03-19,20.8955
2010-03-20,20.8955
2010-03-21,20.8955
2010-03-22,20.8955
2010-03-23,20.8955
2010-03-24,20.8955
2010-03-25,20.8955
2010-03-26,20.8955
2010-03-27,20.8955
2010-03-28,20.8955
2010-03-29,20.8955
2010-03-30,20.8955
2010-03-31,20.8955
2010-04-01,20.8955
2010-04-02,20.8955
2010-04-03,20.8955
2010-04-04,20.8955
2010-04-05,20.8955
2010-04-06,20.8955
2010-04-07,20.8955
2010-04-08,20.8955
2010-04-09,20.8955
2010-04-10,20.8955
2010-04-11,20.8955
2010-04-12,20.8955
2010-04-13,20.8955
2010-04-14,20.8955
2010-04-15,20.8955
2010-04-16,20.8955
2010-04-17,20.8955
2010-04-18,20.8955
2010-04-19,20.8955
2010-04-20,20.8955
2010-04-21,20.8955
2010-04-22,20.8955
2010-04-23,20.8955
2010-04-24,20.8955
2010-04-25,20.8955
2010-04-26,20.8955
2010-04-27,20.8955
2010-04-28,20.8955
2010-04-29,20.8955
2010-04-30,20.8955
2010-05-01,20.8955
2010-05-02,20.8955
2010-05-03,20.8955
2010-05-04,20.8955
2010-05-05,20.8955
2010-05-06,20.8955
2010-05-07,20.8955
2010-05-08,20.8955
2010-05-09,20.8955
2010-05-10,20.8955
2010-05-11,20.8955
2010-05-12,20.8955
2010-05-13,20.8955
2010-05-14,20.8955
2010-05-15,20.8955
2010-05-16,20.8955
2010-05-17,20.8955
2010-05-18,20.8955
2010-05-19,20.8955
2010-05-20,20.8955
2010-05-21,20.8955
2010-05-22,20.8955
2010-05-23,20.8955
2010-05-24,20.8955
2010-05-25,20.8955
2010-05-26,20.8955
2010-05-27,20.8955
2010-05-28,20.8955
2010-05-29,20.8955
2010-05-30,20.8955
2010-05-31,20.8955
2010-06-01,20.8955
2010-06-02,20.8955
2010-06-03,20.8955
2010-06-04,20.8955
2010-06-05,20.8955
2010-06-06,20.8955
2010-06-07,20.8955
2010-06-08,20.8955
2010-06-09,20.8955
2010-06-10,20.8955
2010-06-11,20.8955
2010-06-12,20.8955
2010-06-13,20.8955
2010-06-14,20.8955
2010-06-15,20.8955
2010-06-16,20.8955
2010-06-17,20.8955
2010-06-18,20.8955
2010-06-19,20.8955
2010-06-20,20.8955
2010-06-21,20.8955
2010-06-22,20.8955
2010-06-23,20.8955
