,NXT LN Equity
,RETURN_COM_EQY
2010-01-01,
2010-01-02,
2010-01-03,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-09,
2010-01-10,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-16,
2010-01-17,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-23,
2010-01-24,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-01-30,265.5726
2010-01-31,265.5726
2010-02-01,265.5726
2010-02-02,265.5726
2010-02-03,265.5726
2010-02-04,265.5726
2010-02-05,265.5726
2010-02-06,265.5726
2010-02-07,265.5726
2010-02-08,265.5726
2010-02-09,265.5726
2010-02-10,265.5726
2010-02-11,265.5726
2010-02-12,265.5726
2010-02-13,265.5726
2010-02-14,265.5726
2010-02-15,265.5726
2010-02-16,265.5726
2010-02-17,265.5726
2010-02-18,265.5726
2010-02-19,265.5726
2010-02-20,265.5726
2010-02-21,265.5726
2010-02-22,265.5726
2010-02-23,265.5726
2010-02-24,265.5726
2010-02-25,265.5726
2010-02-26,265.5726
2010-02-27,265.5726
2010-02-28,265.5726
2010-03-01,265.5726
2010-03-02,265.5726
2010-03-03,265.5726
2010-03-04,265.5726
2010-03-05,265.5726
2010-03-06,265.5726
2010-03-07,265.5726
2010-03-08,265.5726
2010-03-09,265.5726
2010-03-10,265.5726
2010-03-11,265.5726
2010-03-12,265.5726
2010-03-13,265.5726
2010-03-14,265.5726
2010-03-15,265.5726
2010-03-16,265.5726
2010-03-17,265.5726
2010-03-18,265.5726
2010-03-19,265.5726
2010-03-20,265.5726
2010-03-21,265.5726
2010-03-22,265.5726
2010-03-23,265.5726
2010-03-24,265.5726
2010-03-25,265.5726
2010-03-26,265.5726
2010-03-27,265.5726
2010-03-28,265.5726
2010-03-29,265.5726
2010-03-30,265.5726
2010-03-31,265.5726
2010-04-01,265.5726
2010-04-02,265.5726
2010-04-03,265.5726
2010-04-04,265.5726
2010-04-05,265.5726
2010-04-06,265.5726
2010-04-07,265.5726
2010-04-08,265.5726
2010-04-09,265.5726
2010-04-10,265.5726
2010-04-11,265.5726
2010-04-12,265.5726
2010-04-13,265.5726
2010-04-14,265.5726
2010-04-15,265.5726
2010-04-16,265.5726
2010-04-17,265.5726
2010-04-18,265.5726
2010-04-19,265.5726
2010-04-20,265.5726
2010-04-21,265.5726
2010-04-22,265.5726
2010-04-23,265.5726
2010-04-24,265.5726
2010-04-25,265.5726
2010-04-26,265.5726
2010-04-27,265.5726
2010-04-28,265.5726
2010-04-29,265.5726
2010-04-30,265.5726
2010-05-01,265.5726
2010-05-02,265.5726
2010-05-03,265.5726
2010-05-04,265.5726
2010-05-05,265.5726
2010-05-06,265.5726
2010-05-07,265.5726
2010-05-08,265.5726
2010-05-09,265.5726
2010-05-10,265.5726
2010-05-11,265.5726
2010-05-12,265.5726
2010-05-13,265.5726
2010-05-14,265.5726
2010-05-15,265.5726
2010-05-16,265.5726
2010-05-17,265.5726
2010-05-18,265.5726
2010-05-19,265.5726
2010-05-20,265.5726
2010-05-21,265.5726
2010-05-22,265.5726
2010-05-23,265.5726
2010-05-24,265.5726
2010-05-25,265.5726
2010-05-26,265.5726
2010-05-27,265.5726
2010-05-28,265.5726
2010-05-29,265.5726
2010-05-30,265.5726
2010-05-31,265.5726
2010-06-01,265.5726
2010-06-02,265.5726
2010-06-03,265.5726
2010-06-04,265.5726
2010-06-05,265.5726
2010-06-06,265.5726
2010-06-07,265.5726
2010-06-08,265.5726
2010-06-09,265.5726
2010-06-10,265.5726
2010-06-11,265.5726
2010-06-12,265.5726
2010-06-13,265.5726
2010-06-14,265.5726
2010-06-15,265.5726
2010-06-16,265.5726
2010-06-17,265.5726
2010-06-18,265.5726
2010-06-19,265.5726
2010-06-20,265.5726
2010-06-21,265.5726
2010-06-22,265.5726
2010-06-23,265.5726
2010-06-24,265.5726
2010-06-25,265.5726
2010-06-26,265.5726
2010-06-27,265.5726
2010-06-28,265.5726
2010-06-29,265.5726
2010-06-30,265.5726
2010-07-01,265.5726
2010-07-02,265.5726
2010-07-03,265.5726
2010-07-04,265.5726
2010-07-05,265.5726
2010-07-06,265.5726
2010-07-07,265.5726
2010-07-08,265.5726
2010-07-09,265.5726
2010-07-10,265.5726
2010-07-11,265.5726
2010-07-12,265.5726
2010-07-13,265.5726
2010-07-14,265.5726
2010-07-15,265.5726
2010-07-16,265.5726
2010-07-17,265.5726
2010-07-18,265.5726
2010-07-19,265.5726
2010-07-20,265.5726
2010-07-21,265.5726
2010-07-22,265.5726
2010-07-23,265.5726
2010-07-24,265.5726
2010-07-25,265.5726
2010-07-26,265.5726
2010-07-27,265.5726
2010-07-28,265.5726
2010-07-29,265.5726
2010-07-30,265.5726
2010-07-31,369.2088
2010-08-01,369.2088
2010-08-02,369.2088
2010-08-03,369.2088
2010-08-04,369.2088
2010-08-05,369.2088
2010-08-06,369.2088
2010-08-07,369.2088
2010-08-08,369.2088
2010-08-09,369.2088
2010-08-10,369.2088
2010-08-11,369.2088
2010-08-12,369.2088
2010-08-13,369.2088
2010-08-14,369.2088
2010-08-15,369.2088
2010-08-16,369.2088
2010-08-17,369.2088
2010-08-18,369.2088
2010-08-19,369.2088
2010-08-20,369.2088
2010-08-21,369.2088
2010-08-22,369.2088
2010-08-23,369.2088
2010-08-24,369.2088
2010-08-25,369.2088
2010-08-26,369.2088
2010-08-27,369.2088
2010-08-28,369.2088
2010-08-29,369.2088
2010-08-30,369.2088
2010-08-31,369.2088
2010-09-01,369.2088
2010-09-02,369.2088
2010-09-03,369.2088
2010-09-04,369.2088
2010-09-05,369.2088
2010-09-06,369.2088
2010-09-07,369.2088
2010-09-08,369.2088
2010-09-09,369.2088
2010-09-10,369.2088
2010-09-11,369.2088
2010-09-12,369.2088
2010-09-13,369.2088
2010-09-14,369.2088
2010-09-15,369.2088
2010-09-16,369.2088
2010-09-17,369.2088
2010-09-18,369.2088
2010-09-19,369.2088
2010-09-20,369.2088
2010-09-21,369.2088
2010-09-22,369.2088
2010-09-23,369.2088
2010-09-24,369.2088
2010-09-25,369.2088
2010-09-26,369.2088
2010-09-27,369.2088
2010-09-28,369.2088
2010-09-29,369.2088
2010-09-30,369.2088
2010-10-01,369.2088
2010-10-02,369.2088
2010-10-03,369.2088
2010-10-04,369.2088
2010-10-05,369.2088
2010-10-06,369.2088
2010-10-07,369.2088
2010-10-08,369.2088
2010-10-09,369.2088
2010-10-10,369.2088
2010-10-11,369.2088
2010-10-12,369.2088
2010-10-13,369.2088
2010-10-14,369.2088
2010-10-15,369.2088
2010-10-16,369.2088
2010-10-17,369.2088
2010-10-18,369.2088
2010-10-19,369.2088
2010-10-20,369.2088
2010-10-21,369.2088
2010-10-22,369.2088
2010-10-23,369.2088
2010-10-24,369.2088
2010-10-25,369.2088
2010-10-26,369.2088
2010-10-27,369.2088
2010-10-28,369.2088
2010-10-29,369.2088
2010-10-30,369.2088
2010-10-31,369.2088
2010-11-01,369.2088
2010-11-02,369.2088
2010-11-03,369.2088
2010-11-04,369.2088
2010-11-05,369.2088
2010-11-06,369.2088
2010-11-07,369.2088
2010-11-08,369.2088
2010-11-09,369.2088
2010-11-10,369.2088
