,REL LN Equity
,RETURN_COM_EQY
2010-01-01,14.5251
2010-01-02,14.5251
2010-01-03,14.5251
2010-01-04,14.5251
2010-01-05,14.5251
2010-01-06,14.5251
2010-01-07,14.5251
2010-01-08,14.5251
2010-01-09,14.5251
2010-01-10,14.5251
2010-01-11,14.5251
2010-01-12,14.5251
2010-01-13,14.5251
2010-01-14,14.5251
2010-01-15,14.5251
2010-01-16,14.5251
2010-01-17,14.5251
2010-01-18,14.5251
2010-01-19,14.5251
2010-01-20,14.5251
2010-01-21,14.5251
2010-01-22,14.5251
2010-01-23,14.5251
2010-01-24,14.5251
2010-01-25,14.5251
2010-01-26,14.5251
2010-01-27,14.5251
2010-01-28,14.5251
2010-01-29,14.5251
2010-01-30,14.5251
2010-01-31,14.5251
2010-02-01,14.5251
2010-02-02,14.5251
2010-02-03,14.5251
2010-02-04,14.5251
2010-02-05,14.5251
2010-02-06,14.5251
2010-02-07,14.5251
2010-02-08,14.5251
2010-02-09,14.5251
2010-02-10,14.5251
2010-02-11,14.5251
2010-02-12,14.5251
2010-02-13,14.5251
2010-02-14,14.5251
2010-02-15,14.5251
2010-02-16,14.5251
2010-02-17,14.5251
2010-02-18,14.5251
2010-02-19,14.5251
2010-02-20,14.5251
2010-02-21,14.5251
2010-02-22,14.5251
2010-02-23,14.5251
2010-02-24,14.5251
2010-02-25,14.5251
2010-02-26,14.5251
2010-02-27,14.5251
2010-02-28,14.5251
2010-03-01,14.5251
2010-03-02,14.5251
2010-03-03,14.5251
2010-03-04,14.5251
2010-03-05,14.5251
2010-03-06,14.5251
2010-03-07,14.5251
2010-03-08,14.5251
2010-03-09,14.5251
2010-03-10,14.5251
2010-03-11,14.5251
2010-03-12,14.5251
2010-03-13,14.5251
2010-03-14,14.5251
2010-03-15,14.5251
2010-03-16,14.5251
2010-03-17,14.5251
2010-03-18,14.5251
2010-03-19,14.5251
2010-03-20,14.5251
2010-03-21,14.5251
2010-03-22,14.5251
2010-03-23,14.5251
2010-03-24,14.5251
2010-03-25,14.5251
2010-03-26,14.5251
2010-03-27,14.5251
2010-03-28,14.5251
2010-03-29,14.5251
2010-03-30,14.5251
2010-03-31,14.5251
2010-04-01,14.5251
2010-04-02,14.5251
2010-04-03,14.5251
2010-04-04,14.5251
2010-04-05,14.5251
2010-04-06,14.5251
2010-04-07,14.5251
2010-04-08,14.5251
2010-04-09,14.5251
2010-04-10,14.5251
2010-04-11,14.5251
2010-04-12,14.5251
2010-04-13,14.5251
2010-04-14,14.5251
2010-04-15,14.5251
2010-04-16,14.5251
2010-04-17,14.5251
2010-04-18,14.5251
2010-04-19,14.5251
2010-04-20,14.5251
2010-04-21,14.5251
2010-04-22,14.5251
2010-04-23,14.5251
2010-04-24,14.5251
2010-04-25,14.5251
2010-04-26,14.5251
2010-04-27,14.5251
2010-04-28,14.5251
2010-04-29,14.5251
2010-04-30,14.5251
2010-05-01,14.5251
2010-05-02,14.5251
2010-05-03,14.5251
2010-05-04,14.5251
2010-05-05,14.5251
2010-05-06,14.5251
2010-05-07,14.5251
2010-05-08,14.5251
2010-05-09,14.5251
2010-05-10,14.5251
2010-05-11,14.5251
2010-05-12,14.5251
2010-05-13,14.5251
2010-05-14,14.5251
2010-05-15,14.5251
2010-05-16,14.5251
2010-05-17,14.5251
2010-05-18,14.5251
2010-05-19,14.5251
2010-05-20,14.5251
2010-05-21,14.5251
2010-05-22,14.5251
2010-05-23,14.5251
2010-05-24,14.5251
2010-05-25,14.5251
2010-05-26,14.5251
2010-05-27,14.5251
2010-05-28,14.5251
2010-05-29,14.5251
2010-05-30,14.5251
2010-05-31,14.5251
2010-06-01,14.5251
2010-06-02,14.5251
2010-06-03,14.5251
2010-06-04,14.5251
2010-06-05,14.5251
2010-06-06,14.5251
2010-06-07,14.5251
2010-06-08,14.5251
2010-06-09,14.5251
2010-06-10,14.5251
2010-06-11,14.5251
2010-06-12,14.5251
2010-06-13,14.5251
2010-06-14,14.5251
2010-06-15,14.5251
2010-06-16,14.5251
2010-06-17,14.5251
2010-06-18,14.5251
2010-06-19,14.5251
2010-06-20,14.5251
2010-06-21,14.5251
2010-06-22,14.5251
2010-06-23,14.5251
2010-06-24,14.5251
2010-06-25,14.5251
2010-06-26,14.5251
2010-06-27,14.5251
2010-06-28,14.5251
2010-06-29,14.5251
2010-06-30,25.0567
2010-07-01,25.0567
2010-07-02,25.0567
2010-07-03,25.0567
2010-07-04,25.0567
2010-07-05,25.0567
2010-07-06,25.0567
2010-07-07,25.0567
2010-07-08,25.0567
2010-07-09,25.0567
2010-07-10,25.0567
2010-07-11,25.0567
2010-07-12,25.0567
2010-07-13,25.0567
2010-07-14,25.0567
2010-07-15,25.0567
2010-07-16,25.0567
2010-07-17,25.0567
2010-07-18,25.0567
2010-07-19,25.0567
2010-07-20,25.0567
2010-07-21,25.0567
2010-07-22,25.0567
2010-07-23,25.0567
2010-07-24,25.0567
2010-07-25,25.0567
2010-07-26,25.0567
2010-07-27,25.0567
2010-07-28,25.0567
2010-07-29,25.0567
2010-07-30,25.0567
2010-07-31,25.0567
2010-08-01,25.0567
2010-08-02,25.0567
2010-08-03,25.0567
2010-08-04,25.0567
2010-08-05,25.0567
2010-08-06,25.0567
2010-08-07,25.0567
2010-08-08,25.0567
2010-08-09,25.0567
2010-08-10,25.0567
2010-08-11,25.0567
2010-08-12,25.0567
2010-08-13,25.0567
2010-08-14,25.0567
2010-08-15,25.0567
2010-08-16,25.0567
2010-08-17,25.0567
2010-08-18,25.0567
2010-08-19,25.0567
2010-08-20,25.0567
2010-08-21,25.0567
2010-08-22,25.0567
2010-08-23,25.0567
2010-08-24,25.0567
2010-08-25,25.0567
2010-08-26,25.0567
2010-08-27,25.0567
2010-08-28,25.0567
2010-08-29,25.0567
2010-08-30,25.0567
2010-08-31,25.0567
2010-09-01,25.0567
2010-09-02,25.0567
2010-09-03,25.0567
2010-09-04,25.0567
2010-09-05,25.0567
2010-09-06,25.0567
2010-09-07,25.0567
2010-09-08,25.0567
2010-09-09,25.0567
2010-09-10,25.0567
2010-09-11,25.0567
2010-09-12,25.0567
2010-09-13,25.0567
2010-09-14,25.0567
2010-09-15,25.0567
2010-09-16,25.0567
2010-09-17,25.0567
2010-09-18,25.0567
2010-09-19,25.0567
2010-09-20,25.0567
2010-09-21,25.0567
2010-09-22,25.0567
2010-09-23,25.0567
2010-09-24,25.0567
2010-09-25,25.0567
2010-09-26,25.0567
2010-09-27,25.0567
2010-09-28,25.0567
2010-09-29,25.0567
2010-09-30,25.0567
2010-10-01,25.0567
2010-10-02,25.0567
2010-10-03,25.0567
2010-10-04,25.0567
2010-10-05,25.0567
2010-10-06,25.0567
2010-10-07,25.0567
2010-10-08,25.0567
2010-10-09,25.0567
2010-10-10,25.0567
2010-10-11,25.0567
2010-10-12,25.0567
2010-10-13,25.0567
2010-10-14,25.0567
2010-10-15,25.0567
2010-10-16,25.0567
2010-10-17,25.0567
2010-10-18,25.0567
2010-10-19,25.0567
2010-10-20,25.0567
2010-10-21,25.0567
2010-10-22,25.0567
2010-10-23,25.0567
2010-10-24,25.0567
2010-10-25,25.0567
2010-10-26,25.0567
2010-10-27,25.0567
2010-10-28,25.0567
2010-10-29,25.0567
2010-10-30,25.0567
2010-10-31,25.0567
2010-11-01,25.0567
2010-11-02,25.0567
2010-11-03,25.0567
2010-11-04,25.0567
