,KAZ LN Equity
,RETURN_COM_EQY
2010-01-01,7.8811
2010-01-02,7.8811
2010-01-03,7.8811
2010-01-04,7.8811
2010-01-05,7.8811
2010-01-06,7.8811
2010-01-07,7.8811
2010-01-08,7.8811
2010-01-09,7.8811
2010-01-10,7.8811
2010-01-11,7.8811
2010-01-12,7.8811
2010-01-13,7.8811
2010-01-14,7.8811
2010-01-15,7.8811
2010-01-16,7.8811
2010-01-17,7.8811
2010-01-18,7.8811
2010-01-19,7.8811
2010-01-20,7.8811
2010-01-21,7.8811
2010-01-22,7.8811
2010-01-23,7.8811
2010-01-24,7.8811
2010-01-25,7.8811
2010-01-26,7.8811
2010-01-27,7.8811
2010-01-28,7.8811
2010-01-29,7.8811
2010-01-30,7.8811
2010-01-31,7.8811
2010-02-01,7.8811
2010-02-02,7.8811
2010-02-03,7.8811
2010-02-04,7.8811
2010-02-05,7.8811
2010-02-06,7.8811
2010-02-07,7.8811
2010-02-08,7.8811
2010-02-09,7.8811
2010-02-10,7.8811
2010-02-11,7.8811
2010-02-12,7.8811
2010-02-13,7.8811
2010-02-14,7.8811
2010-02-15,7.8811
2010-02-16,7.8811
2010-02-17,7.8811
2010-02-18,7.8811
2010-02-19,7.8811
2010-02-20,7.8811
2010-02-21,7.8811
2010-02-22,7.8811
2010-02-23,7.8811
2010-02-24,7.8811
2010-02-25,7.8811
2010-02-26,7.8811
2010-02-27,7.8811
2010-02-28,7.8811
2010-03-01,7.8811
2010-03-02,7.8811
2010-03-03,7.8811
2010-03-04,7.8811
2010-03-05,7.8811
2010-03-06,7.8811
2010-03-07,7.8811
2010-03-08,7.8811
2010-03-09,7.8811
2010-03-10,7.8811
2010-03-11,7.8811
2010-03-12,7.8811
2010-03-13,7.8811
2010-03-14,7.8811
2010-03-15,7.8811
2010-03-16,7.8811
2010-03-17,7.8811
2010-03-18,7.8811
2010-03-19,7.8811
2010-03-20,7.8811
2010-03-21,7.8811
2010-03-22,7.8811
2010-03-23,7.8811
2010-03-24,7.8811
2010-03-25,7.8811
2010-03-26,7.8811
2010-03-27,7.8811
2010-03-28,7.8811
2010-03-29,7.8811
2010-03-30,7.8811
2010-03-31,7.8811
2010-04-01,7.8811
2010-04-02,7.8811
2010-04-03,7.8811
2010-04-04,7.8811
2010-04-05,7.8811
2010-04-06,7.8811
2010-04-07,7.8811
2010-04-08,7.8811
2010-04-09,7.8811
2010-04-10,7.8811
2010-04-11,7.8811
2010-04-12,7.8811
2010-04-13,7.8811
2010-04-14,7.8811
2010-04-15,7.8811
2010-04-16,7.8811
2010-04-17,7.8811
2010-04-18,7.8811
2010-04-19,7.8811
2010-04-20,7.8811
2010-04-21,7.8811
2010-04-22,7.8811
2010-04-23,7.8811
2010-04-24,7.8811
2010-04-25,7.8811
2010-04-26,7.8811
2010-04-27,7.8811
2010-04-28,7.8811
2010-04-29,7.8811
2010-04-30,7.8811
2010-05-01,7.8811
2010-05-02,7.8811
2010-05-03,7.8811
2010-05-04,7.8811
2010-05-05,7.8811
2010-05-06,7.8811
2010-05-07,7.8811
2010-05-08,7.8811
2010-05-09,7.8811
2010-05-10,7.8811
2010-05-11,7.8811
2010-05-12,7.8811
2010-05-13,7.8811
2010-05-14,7.8811
2010-05-15,7.8811
2010-05-16,7.8811
2010-05-17,7.8811
2010-05-18,7.8811
2010-05-19,7.8811
2010-05-20,7.8811
2010-05-21,7.8811
2010-05-22,7.8811
2010-05-23,7.8811
2010-05-24,7.8811
2010-05-25,7.8811
2010-05-26,7.8811
2010-05-27,7.8811
2010-05-28,7.8811
2010-05-29,7.8811
2010-05-30,7.8811
2010-05-31,7.8811
2010-06-01,7.8811
2010-06-02,7.8811
2010-06-03,7.8811
2010-06-04,7.8811
2010-06-05,7.8811
2010-06-06,7.8811
2010-06-07,7.8811
2010-06-08,7.8811
2010-06-09,7.8811
2010-06-10,7.8811
2010-06-11,7.8811
2010-06-12,7.8811
2010-06-13,7.8811
2010-06-14,7.8811
2010-06-15,7.8811
2010-06-16,7.8811
2010-06-17,7.8811
2010-06-18,7.8811
2010-06-19,7.8811
2010-06-20,7.8811
2010-06-21,7.8811
2010-06-22,7.8811
2010-06-23,7.8811
2010-06-24,7.8811
2010-06-25,7.8811
2010-06-26,7.8811
2010-06-27,7.8811
2010-06-28,7.8811
2010-06-29,7.8811
2010-06-30,8.935
2010-07-01,8.935
2010-07-02,8.935
2010-07-03,8.935
2010-07-04,8.935
2010-07-05,8.935
2010-07-06,8.935
2010-07-07,8.935
2010-07-08,8.935
2010-07-09,8.935
2010-07-10,8.935
2010-07-11,8.935
2010-07-12,8.935
2010-07-13,8.935
2010-07-14,8.935
2010-07-15,8.935
2010-07-16,8.935
2010-07-17,8.935
2010-07-18,8.935
2010-07-19,8.935
2010-07-20,8.935
2010-07-21,8.935
2010-07-22,8.935
2010-07-23,8.935
2010-07-24,8.935
2010-07-25,8.935
2010-07-26,8.935
2010-07-27,8.935
2010-07-28,8.935
2010-07-29,8.935
2010-07-30,8.935
2010-07-31,8.935
2010-08-01,8.935
2010-08-02,8.935
2010-08-03,8.935
2010-08-04,8.935
2010-08-05,8.935
2010-08-06,8.935
2010-08-07,8.935
2010-08-08,8.935
2010-08-09,8.935
2010-08-10,8.935
2010-08-11,8.935
2010-08-12,8.935
2010-08-13,8.935
2010-08-14,8.935
2010-08-15,8.935
2010-08-16,8.935
2010-08-17,8.935
2010-08-18,8.935
2010-08-19,8.935
2010-08-20,8.935
2010-08-21,8.935
2010-08-22,8.935
2010-08-23,8.935
2010-08-24,8.935
2010-08-25,8.935
2010-08-26,8.935
2010-08-27,8.935
2010-08-28,8.935
2010-08-29,8.935
2010-08-30,8.935
2010-08-31,8.935
2010-09-01,8.935
2010-09-02,8.935
2010-09-03,8.935
2010-09-04,8.935
2010-09-05,8.935
2010-09-06,8.935
2010-09-07,8.935
2010-09-08,8.935
2010-09-09,8.935
2010-09-10,8.935
2010-09-11,8.935
2010-09-12,8.935
2010-09-13,8.935
2010-09-14,8.935
2010-09-15,8.935
2010-09-16,8.935
2010-09-17,8.935
2010-09-18,8.935
2010-09-19,8.935
2010-09-20,8.935
2010-09-21,8.935
2010-09-22,8.935
2010-09-23,8.935
2010-09-24,8.935
2010-09-25,8.935
2010-09-26,8.935
2010-09-27,8.935
2010-09-28,8.935
2010-09-29,8.935
2010-09-30,8.935
2010-10-01,8.935
2010-10-02,8.935
2010-10-03,8.935
2010-10-04,8.935
2010-10-05,8.935
2010-10-06,8.935
2010-10-07,8.935
2010-10-08,8.935
2010-10-09,8.935
2010-10-10,8.935
2010-10-11,8.935
2010-10-12,8.935
2010-10-13,8.935
2010-10-14,8.935
2010-10-15,8.935
2010-10-16,8.935
2010-10-17,8.935
2010-10-18,8.935
2010-10-19,8.935
2010-10-20,8.935
2010-10-21,8.935
2010-10-22,8.935
2010-10-23,8.935
2010-10-24,8.935
2010-10-25,8.935
2010-10-26,8.935
2010-10-27,8.935
2010-10-28,8.935
2010-10-29,8.935
2010-10-30,8.935
2010-10-31,8.935
2010-11-01,8.935
2010-11-02,8.935
2010-11-03,8.935
2010-11-04,8.935
2010-11-05,8.935
2010-11-06,8.935
2010-11-07,8.935
2010-11-08,8.935
2010-11-09,8.935
2010-11-10,8.935
2010-11-11,8.935
2010-11-12,8.935
2010-11-13,8.935
2010-11-14,8.935
2010-11-15,8.935
2010-11-16,8.935
2010-11-17,8.935
2010-11-18,8.935
2010-11-19,8.935
2010-11-20,8.935
2010-11-21,8.935
2010-11-22,8.935
2010-11-23,8.935
2010-11-24,8.935
2010-11-25,8.935
2010-11-26,8.935
2010-11-27,8.935
2010-11-28,8.935
2010-11-29,8.935
2010-11-30,8.935
2010-12-01,8.935
2010-12-02,8.935
2010-12-03,8.935
2010-12-04,8.935
2010-12-05,8.935
2010-12-06,8.935
2010-12-07,8.935
2010-12-08,8.935
2010-12-09,8.935
2010-12-10,8.935
2010-12-11,8.935
2010-12-12,8.935
2010-12-13,8.935
2010-12-14,8.935
2010-12-15,8.935
