,DNLM LN Equity
,RETURN_COM_EQY
2010-01-01,37.9701
2010-01-02,43.1638
2010-01-03,43.1638
2010-01-04,43.1638
2010-01-05,43.1638
2010-01-06,43.1638
2010-01-07,43.1638
2010-01-08,43.1638
2010-01-09,43.1638
2010-01-10,43.1638
2010-01-11,43.1638
2010-01-12,43.1638
2010-01-13,43.1638
2010-01-14,43.1638
2010-01-15,43.1638
2010-01-16,43.1638
2010-01-17,43.1638
2010-01-18,43.1638
2010-01-19,43.1638
2010-01-20,43.1638
2010-01-21,43.1638
2010-01-22,43.1638
2010-01-23,43.1638
2010-01-24,43.1638
2010-01-25,43.1638
2010-01-26,43.1638
2010-01-27,43.1638
2010-01-28,43.1638
2010-01-29,43.1638
2010-01-30,43.1638
2010-01-31,43.1638
2010-02-01,43.1638
2010-02-02,43.1638
2010-02-03,43.1638
2010-02-04,43.1638
2010-02-05,43.1638
2010-02-06,43.1638
2010-02-07,43.1638
2010-02-08,43.1638
2010-02-09,43.1638
2010-02-10,43.1638
2010-02-11,43.1638
2010-02-12,43.1638
2010-02-13,43.1638
2010-02-14,43.1638
2010-02-15,43.1638
2010-02-16,43.1638
2010-02-17,43.1638
2010-02-18,43.1638
2010-02-19,43.1638
2010-02-20,43.1638
2010-02-21,43.1638
2010-02-22,43.1638
2010-02-23,43.1638
2010-02-24,43.1638
2010-02-25,43.1638
2010-02-26,43.1638
2010-02-27,43.1638
2010-02-28,43.1638
2010-03-01,43.1638
2010-03-02,43.1638
2010-03-03,43.1638
2010-03-04,43.1638
2010-03-05,43.1638
2010-03-06,43.1638
2010-03-07,43.1638
2010-03-08,43.1638
2010-03-09,43.1638
2010-03-10,43.1638
2010-03-11,43.1638
2010-03-12,43.1638
2010-03-13,43.1638
2010-03-14,43.1638
2010-03-15,43.1638
2010-03-16,43.1638
2010-03-17,43.1638
2010-03-18,43.1638
2010-03-19,43.1638
2010-03-20,43.1638
2010-03-21,43.1638
2010-03-22,43.1638
2010-03-23,43.1638
2010-03-24,43.1638
2010-03-25,43.1638
2010-03-26,43.1638
2010-03-27,43.1638
2010-03-28,43.1638
2010-03-29,43.1638
2010-03-30,43.1638
2010-03-31,43.1638
2010-04-01,43.1638
2010-04-02,43.1638
2010-04-03,43.1638
2010-04-04,43.1638
2010-04-05,43.1638
2010-04-06,43.1638
2010-04-07,43.1638
2010-04-08,43.1638
2010-04-09,43.1638
2010-04-10,43.1638
2010-04-11,43.1638
2010-04-12,43.1638
2010-04-13,43.1638
2010-04-14,43.1638
2010-04-15,43.1638
2010-04-16,43.1638
2010-04-17,43.1638
2010-04-18,43.1638
2010-04-19,43.1638
2010-04-20,43.1638
2010-04-21,43.1638
2010-04-22,43.1638
2010-04-23,43.1638
2010-04-24,43.1638
2010-04-25,43.1638
2010-04-26,43.1638
2010-04-27,43.1638
2010-04-28,43.1638
2010-04-29,43.1638
2010-04-30,43.1638
2010-05-01,43.1638
2010-05-02,43.1638
2010-05-03,43.1638
2010-05-04,43.1638
2010-05-05,43.1638
2010-05-06,43.1638
2010-05-07,43.1638
2010-05-08,43.1638
2010-05-09,43.1638
2010-05-10,43.1638
2010-05-11,43.1638
2010-05-12,43.1638
2010-05-13,43.1638
2010-05-14,43.1638
2010-05-15,43.1638
2010-05-16,43.1638
2010-05-17,43.1638
2010-05-18,43.1638
2010-05-19,43.1638
2010-05-20,43.1638
2010-05-21,43.1638
2010-05-22,43.1638
2010-05-23,43.1638
2010-05-24,43.1638
2010-05-25,43.1638
2010-05-26,43.1638
2010-05-27,43.1638
2010-05-28,43.1638
2010-05-29,43.1638
2010-05-30,43.1638
2010-05-31,43.1638
2010-06-01,43.1638
2010-06-02,43.1638
2010-06-03,43.1638
2010-06-04,43.1638
2010-06-05,43.1638
2010-06-06,43.1638
2010-06-07,43.1638
2010-06-08,43.1638
2010-06-09,43.1638
2010-06-10,43.1638
2010-06-11,43.1638
2010-06-12,43.1638
2010-06-13,43.1638
2010-06-14,43.1638
2010-06-15,43.1638
2010-06-16,43.1638
2010-06-17,43.1638
2010-06-18,43.1638
2010-06-19,43.1638
2010-06-20,43.1638
2010-06-21,43.1638
2010-06-22,43.1638
2010-06-23,43.1638
2010-06-24,43.1638
2010-06-25,43.1638
2010-06-26,43.1638
2010-06-27,43.1638
2010-06-28,43.1638
2010-06-29,43.1638
2010-06-30,43.1638
2010-07-01,43.1638
2010-07-02,43.1638
2010-07-03,48.2125
2010-07-04,48.2125
2010-07-05,48.2125
2010-07-06,48.2125
2010-07-07,48.2125
2010-07-08,48.2125
2010-07-09,48.2125
2010-07-10,48.2125
2010-07-11,48.2125
2010-07-12,48.2125
2010-07-13,48.2125
2010-07-14,48.2125
2010-07-15,48.2125
2010-07-16,48.2125
2010-07-17,48.2125
2010-07-18,48.2125
2010-07-19,48.2125
2010-07-20,48.2125
2010-07-21,48.2125
2010-07-22,48.2125
2010-07-23,48.2125
2010-07-24,48.2125
2010-07-25,48.2125
2010-07-26,48.2125
2010-07-27,48.2125
2010-07-28,48.2125
2010-07-29,48.2125
2010-07-30,48.2125
2010-07-31,48.2125
2010-08-01,48.2125
2010-08-02,48.2125
2010-08-03,48.2125
2010-08-04,48.2125
2010-08-05,48.2125
2010-08-06,48.2125
2010-08-07,48.2125
2010-08-08,48.2125
2010-08-09,48.2125
2010-08-10,48.2125
2010-08-11,48.2125
2010-08-12,48.2125
2010-08-13,48.2125
2010-08-14,48.2125
2010-08-15,48.2125
2010-08-16,48.2125
2010-08-17,48.2125
2010-08-18,48.2125
2010-08-19,48.2125
2010-08-20,48.2125
2010-08-21,48.2125
2010-08-22,48.2125
2010-08-23,48.2125
2010-08-24,48.2125
2010-08-25,48.2125
2010-08-26,48.2125
2010-08-27,48.2125
2010-08-28,48.2125
2010-08-29,48.2125
2010-08-30,48.2125
2010-08-31,48.2125
2010-09-01,48.2125
2010-09-02,48.2125
2010-09-03,48.2125
2010-09-04,48.2125
2010-09-05,48.2125
2010-09-06,48.2125
2010-09-07,48.2125
2010-09-08,48.2125
2010-09-09,48.2125
2010-09-10,48.2125
2010-09-11,48.2125
2010-09-12,48.2125
2010-09-13,48.2125
2010-09-14,48.2125
2010-09-15,48.2125
2010-09-16,48.2125
2010-09-17,48.2125
2010-09-18,48.2125
2010-09-19,48.2125
2010-09-20,48.2125
2010-09-21,48.2125
2010-09-22,48.2125
2010-09-23,48.2125
2010-09-24,48.2125
2010-09-25,48.2125
2010-09-26,48.2125
2010-09-27,48.2125
2010-09-28,48.2125
2010-09-29,48.2125
2010-09-30,48.2125
2010-10-01,48.2125
2010-10-02,48.2125
2010-10-03,48.2125
2010-10-04,48.2125
2010-10-05,48.2125
2010-10-06,48.2125
2010-10-07,48.2125
2010-10-08,48.2125
2010-10-09,48.2125
2010-10-10,48.2125
2010-10-11,48.2125
2010-10-12,48.2125
2010-10-13,48.2125
2010-10-14,48.2125
2010-10-15,48.2125
2010-10-16,48.2125
2010-10-17,48.2125
2010-10-18,48.2125
2010-10-19,48.2125
2010-10-20,48.2125
2010-10-21,48.2125
2010-10-22,48.2125
2010-10-23,48.2125
2010-10-24,48.2125
2010-10-25,48.2125
2010-10-26,48.2125
2010-10-27,48.2125
2010-10-28,48.2125
2010-10-29,48.2125
2010-10-30,48.2125
2010-10-31,48.2125
2010-11-01,48.2125
2010-11-02,48.2125
2010-11-03,48.2125
2010-11-04,48.2125
2010-11-05,48.2125
2010-11-06,48.2125
2010-11-07,48.2125
2010-11-08,48.2125
2010-11-09,48.2125
2010-11-10,48.2125
2010-11-11,48.2125
2010-11-12,48.2125
2010-11-13,48.2125
2010-11-14,48.2125
2010-11-15,48.2125
2010-11-16,48.2125
2010-11-17,48.2125
2010-11-18,48.2125
2010-11-19,48.2125
2010-11-20,48.2125
2010-11-21,48.2125
2010-11-22,48.2125
2010-11-23,48.2125
2010-11-24,48.2125
2010-11-25,48.2125
2010-11-26,48.2125
2010-11-27,48.2125
2010-11-28,48.2125
2010-11-29,48.2125
2010-11-30,48.2125
2010-12-01,48.2125
2010-12-02,48.2125
2010-12-03,48.2125
2010-12-04,48.2125
2010-12-05,48.2125
2010-12-06,48.2125
2010-12-07,48.2125
2010-12-08,48.2125
2010-12-09,48.2125
2010-12-10,48.2125
2010-12-11,48.2125
2010-12-12,48.2125
2010-12-13,48.2125
2010-12-14,48.2125
