,SMWH LN Equity
,RETURN_COM_EQY
2010-01-01,36.1032
2010-01-02,36.1032
2010-01-03,36.1032
2010-01-04,36.1032
2010-01-05,36.1032
2010-01-06,36.1032
2010-01-07,36.1032
2010-01-08,36.1032
2010-01-09,36.1032
2010-01-10,36.1032
2010-01-11,36.1032
2010-01-12,36.1032
2010-01-13,36.1032
2010-01-14,36.1032
2010-01-15,36.1032
2010-01-16,36.1032
2010-01-17,36.1032
2010-01-18,36.1032
2010-01-19,36.1032
2010-01-20,36.1032
2010-01-21,36.1032
2010-01-22,36.1032
2010-01-23,36.1032
2010-01-24,36.1032
2010-01-25,36.1032
2010-01-26,36.1032
2010-01-27,36.1032
2010-01-28,36.1032
2010-01-29,36.1032
2010-01-30,36.1032
2010-01-31,36.1032
2010-02-01,36.1032
2010-02-02,36.1032
2010-02-03,36.1032
2010-02-04,36.1032
2010-02-05,36.1032
2010-02-06,36.1032
2010-02-07,36.1032
2010-02-08,36.1032
2010-02-09,36.1032
2010-02-10,36.1032
2010-02-11,36.1032
2010-02-12,36.1032
2010-02-13,36.1032
2010-02-14,36.1032
2010-02-15,36.1032
2010-02-16,36.1032
2010-02-17,36.1032
2010-02-18,36.1032
2010-02-19,36.1032
2010-02-20,36.1032
2010-02-21,36.1032
2010-02-22,36.1032
2010-02-23,36.1032
2010-02-24,36.1032
2010-02-25,36.1032
2010-02-26,36.1032
2010-02-27,36.1032
2010-02-28,33.6898
2010-03-01,33.6898
2010-03-02,33.6898
2010-03-03,33.6898
2010-03-04,33.6898
2010-03-05,33.6898
2010-03-06,33.6898
2010-03-07,33.6898
2010-03-08,33.6898
2010-03-09,33.6898
2010-03-10,33.6898
2010-03-11,33.6898
2010-03-12,33.6898
2010-03-13,33.6898
2010-03-14,33.6898
2010-03-15,33.6898
2010-03-16,33.6898
2010-03-17,33.6898
2010-03-18,33.6898
2010-03-19,33.6898
2010-03-20,33.6898
2010-03-21,33.6898
2010-03-22,33.6898
2010-03-23,33.6898
2010-03-24,33.6898
2010-03-25,33.6898
2010-03-26,33.6898
2010-03-27,33.6898
2010-03-28,33.6898
2010-03-29,33.6898
2010-03-30,33.6898
2010-03-31,33.6898
2010-04-01,33.6898
2010-04-02,33.6898
2010-04-03,33.6898
2010-04-04,33.6898
2010-04-05,33.6898
2010-04-06,33.6898
2010-04-07,33.6898
2010-04-08,33.6898
2010-04-09,33.6898
2010-04-10,33.6898
2010-04-11,33.6898
2010-04-12,33.6898
2010-04-13,33.6898
2010-04-14,33.6898
2010-04-15,33.6898
2010-04-16,33.6898
2010-04-17,33.6898
2010-04-18,33.6898
2010-04-19,33.6898
2010-04-20,33.6898
2010-04-21,33.6898
2010-04-22,33.6898
2010-04-23,33.6898
2010-04-24,33.6898
2010-04-25,33.6898
2010-04-26,33.6898
2010-04-27,33.6898
2010-04-28,33.6898
2010-04-29,33.6898
2010-04-30,33.6898
2010-05-01,33.6898
2010-05-02,33.6898
2010-05-03,33.6898
2010-05-04,33.6898
2010-05-05,33.6898
2010-05-06,33.6898
2010-05-07,33.6898
2010-05-08,33.6898
2010-05-09,33.6898
2010-05-10,33.6898
2010-05-11,33.6898
2010-05-12,33.6898
2010-05-13,33.6898
2010-05-14,33.6898
2010-05-15,33.6898
2010-05-16,33.6898
2010-05-17,33.6898
2010-05-18,33.6898
2010-05-19,33.6898
2010-05-20,33.6898
2010-05-21,33.6898
2010-05-22,33.6898
2010-05-23,33.6898
2010-05-24,33.6898
2010-05-25,33.6898
2010-05-26,33.6898
2010-05-27,33.6898
2010-05-28,33.6898
2010-05-29,33.6898
2010-05-30,33.6898
2010-05-31,33.6898
2010-06-01,33.6898
2010-06-02,33.6898
2010-06-03,33.6898
2010-06-04,33.6898
2010-06-05,33.6898
2010-06-06,33.6898
2010-06-07,33.6898
2010-06-08,33.6898
2010-06-09,33.6898
2010-06-10,33.6898
2010-06-11,33.6898
2010-06-12,33.6898
2010-06-13,33.6898
2010-06-14,33.6898
2010-06-15,33.6898
2010-06-16,33.6898
2010-06-17,33.6898
2010-06-18,33.6898
2010-06-19,33.6898
2010-06-20,33.6898
2010-06-21,33.6898
2010-06-22,33.6898
2010-06-23,33.6898
2010-06-24,33.6898
2010-06-25,33.6898
2010-06-26,33.6898
2010-06-27,33.6898
2010-06-28,33.6898
2010-06-29,33.6898
2010-06-30,33.6898
2010-07-01,33.6898
2010-07-02,33.6898
2010-07-03,33.6898
2010-07-04,33.6898
2010-07-05,33.6898
2010-07-06,33.6898
2010-07-07,33.6898
2010-07-08,33.6898
2010-07-09,33.6898
2010-07-10,33.6898
2010-07-11,33.6898
2010-07-12,33.6898
2010-07-13,33.6898
2010-07-14,33.6898
2010-07-15,33.6898
2010-07-16,33.6898
2010-07-17,33.6898
2010-07-18,33.6898
2010-07-19,33.6898
2010-07-20,33.6898
2010-07-21,33.6898
2010-07-22,33.6898
2010-07-23,33.6898
2010-07-24,33.6898
2010-07-25,33.6898
2010-07-26,33.6898
2010-07-27,33.6898
2010-07-28,33.6898
2010-07-29,33.6898
2010-07-30,33.6898
2010-07-31,33.6898
2010-08-01,33.6898
2010-08-02,33.6898
2010-08-03,33.6898
2010-08-04,33.6898
2010-08-05,33.6898
2010-08-06,33.6898
2010-08-07,33.6898
2010-08-08,33.6898
2010-08-09,33.6898
2010-08-10,33.6898
2010-08-11,33.6898
2010-08-12,33.6898
2010-08-13,33.6898
2010-08-14,33.6898
2010-08-15,33.6898
2010-08-16,33.6898
2010-08-17,33.6898
2010-08-18,33.6898
2010-08-19,33.6898
2010-08-20,33.6898
2010-08-21,33.6898
2010-08-22,33.6898
2010-08-23,33.6898
2010-08-24,33.6898
2010-08-25,33.6898
2010-08-26,33.6898
2010-08-27,33.6898
2010-08-28,33.6898
2010-08-29,33.6898
2010-08-30,33.6898
2010-08-31,36.8984
2010-09-01,36.8984
2010-09-02,36.8984
2010-09-03,36.8984
2010-09-04,36.8984
2010-09-05,36.8984
2010-09-06,36.8984
2010-09-07,36.8984
2010-09-08,36.8984
2010-09-09,36.8984
2010-09-10,36.8984
2010-09-11,36.8984
2010-09-12,36.8984
2010-09-13,36.8984
2010-09-14,36.8984
2010-09-15,36.8984
2010-09-16,36.8984
2010-09-17,36.8984
2010-09-18,36.8984
2010-09-19,36.8984
2010-09-20,36.8984
2010-09-21,36.8984
2010-09-22,36.8984
2010-09-23,36.8984
2010-09-24,36.8984
2010-09-25,36.8984
2010-09-26,36.8984
2010-09-27,36.8984
2010-09-28,36.8984
2010-09-29,36.8984
2010-09-30,36.8984
2010-10-01,36.8984
2010-10-02,36.8984
2010-10-03,36.8984
2010-10-04,36.8984
2010-10-05,36.8984
2010-10-06,36.8984
2010-10-07,36.8984
2010-10-08,36.8984
2010-10-09,36.8984
2010-10-10,36.8984
2010-10-11,36.8984
2010-10-12,36.8984
2010-10-13,36.8984
2010-10-14,36.8984
2010-10-15,36.8984
2010-10-16,36.8984
2010-10-17,36.8984
2010-10-18,36.8984
2010-10-19,36.8984
2010-10-20,36.8984
2010-10-21,36.8984
2010-10-22,36.8984
2010-10-23,36.8984
2010-10-24,36.8984
2010-10-25,36.8984
2010-10-26,36.8984
2010-10-27,36.8984
2010-10-28,36.8984
2010-10-29,36.8984
2010-10-30,36.8984
2010-10-31,36.8984
2010-11-01,36.8984
2010-11-02,36.8984
2010-11-03,36.8984
2010-11-04,36.8984
2010-11-05,36.8984
2010-11-06,36.8984
2010-11-07,36.8984
2010-11-08,36.8984
2010-11-09,36.8984
2010-11-10,36.8984
2010-11-11,36.8984
2010-11-12,36.8984
2010-11-13,36.8984
2010-11-14,36.8984
2010-11-15,36.8984
2010-11-16,36.8984
2010-11-17,36.8984
2010-11-18,36.8984
2010-11-19,36.8984
2010-11-20,36.8984
2010-11-21,36.8984
2010-11-22,36.8984
2010-11-23,36.8984
2010-11-24,36.8984
2010-11-25,36.8984
2010-11-26,36.8984
2010-11-27,36.8984
2010-11-28,36.8984
2010-11-29,36.8984
2010-11-30,36.8984
2010-12-01,36.8984
2010-12-02,36.8984
2010-12-03,36.8984
2010-12-04,36.8984
2010-12-05,36.8984
2010-12-06,36.8984
2010-12-07,36.8984
2010-12-08,36.8984
2010-12-09,36.8984
2010-12-10,36.8984
2010-12-11,36.8984
2010-12-12,36.8984
2010-12-13,36.8984
2010-12-14,36.8984
2010-12-15,36.8984
2010-12-16,36.8984
2010-12-17,36.8984
2010-12-18,36.8984
2010-12-19,36.8984
2010-12-20,36.8984
2010-12-21,36.8984
2010-12-22,36.8984
2010-12-23,36.8984
2010-12-24,36.8984
2010-12-25,36.8984
2010-12-26,36.8984
2010-12-27,36.8984
2010-12-28,36.8984
2010-12-29,36.8984
