,PFC LN Equity
,RETURN_COM_EQY
2010-01-01,48.6543
2010-01-02,48.6543
2010-01-03,48.6543
2010-01-04,48.6543
2010-01-05,48.6543
2010-01-06,48.6543
2010-01-07,48.6543
2010-01-08,48.6543
2010-01-09,48.6543
2010-01-10,48.6543
2010-01-11,48.6543
2010-01-12,48.6543
2010-01-13,48.6543
2010-01-14,48.6543
2010-01-15,48.6543
2010-01-16,48.6543
2010-01-17,48.6543
2010-01-18,48.6543
2010-01-19,48.6543
2010-01-20,48.6543
2010-01-21,48.6543
2010-01-22,48.6543
2010-01-23,48.6543
2010-01-24,48.6543
2010-01-25,48.6543
2010-01-26,48.6543
2010-01-27,48.6543
2010-01-28,48.6543
2010-01-29,48.6543
2010-01-30,48.6543
2010-01-31,48.6543
2010-02-01,48.6543
2010-02-02,48.6543
2010-02-03,48.6543
2010-02-04,48.6543
2010-02-05,48.6543
2010-02-06,48.6543
2010-02-07,48.6543
2010-02-08,48.6543
2010-02-09,48.6543
2010-02-10,48.6543
2010-02-11,48.6543
2010-02-12,48.6543
2010-02-13,48.6543
2010-02-14,48.6543
2010-02-15,48.6543
2010-02-16,48.6543
2010-02-17,48.6543
2010-02-18,48.6543
2010-02-19,48.6543
2010-02-20,48.6543
2010-02-21,48.6543
2010-02-22,48.6543
2010-02-23,48.6543
2010-02-24,48.6543
2010-02-25,48.6543
2010-02-26,48.6543
2010-02-27,48.6543
2010-02-28,48.6543
2010-03-01,48.6543
2010-03-02,48.6543
2010-03-03,48.6543
2010-03-04,48.6543
2010-03-05,48.6543
2010-03-06,48.6543
2010-03-07,48.6543
2010-03-08,48.6543
2010-03-09,48.6543
2010-03-10,48.6543
2010-03-11,48.6543
2010-03-12,48.6543
2010-03-13,48.6543
2010-03-14,48.6543
2010-03-15,48.6543
2010-03-16,48.6543
2010-03-17,48.6543
2010-03-18,48.6543
2010-03-19,48.6543
2010-03-20,48.6543
2010-03-21,48.6543
2010-03-22,48.6543
2010-03-23,48.6543
2010-03-24,48.6543
2010-03-25,48.6543
2010-03-26,48.6543
2010-03-27,48.6543
2010-03-28,48.6543
2010-03-29,48.6543
2010-03-30,48.6543
2010-03-31,48.6543
2010-04-01,48.6543
2010-04-02,48.6543
2010-04-03,48.6543
2010-04-04,48.6543
2010-04-05,48.6543
2010-04-06,48.6543
2010-04-07,48.6543
2010-04-08,48.6543
2010-04-09,48.6543
2010-04-10,48.6543
2010-04-11,48.6543
2010-04-12,48.6543
2010-04-13,48.6543
2010-04-14,48.6543
2010-04-15,48.6543
2010-04-16,48.6543
2010-04-17,48.6543
2010-04-18,48.6543
2010-04-19,48.6543
2010-04-20,48.6543
2010-04-21,48.6543
2010-04-22,48.6543
2010-04-23,48.6543
2010-04-24,48.6543
2010-04-25,48.6543
2010-04-26,48.6543
2010-04-27,48.6543
2010-04-28,48.6543
2010-04-29,48.6543
2010-04-30,48.6543
2010-05-01,48.6543
2010-05-02,48.6543
2010-05-03,48.6543
2010-05-04,48.6543
2010-05-05,48.6543
2010-05-06,48.6543
2010-05-07,48.6543
2010-05-08,48.6543
2010-05-09,48.6543
2010-05-10,48.6543
2010-05-11,48.6543
2010-05-12,48.6543
2010-05-13,48.6543
2010-05-14,48.6543
2010-05-15,48.6543
2010-05-16,48.6543
2010-05-17,48.6543
2010-05-18,48.6543
2010-05-19,48.6543
2010-05-20,48.6543
2010-05-21,48.6543
2010-05-22,48.6543
2010-05-23,48.6543
2010-05-24,48.6543
2010-05-25,48.6543
2010-05-26,48.6543
2010-05-27,48.6543
2010-05-28,48.6543
2010-05-29,48.6543
2010-05-30,48.6543
2010-05-31,48.6543
2010-06-01,48.6543
2010-06-02,48.6543
2010-06-03,48.6543
2010-06-04,48.6543
2010-06-05,48.6543
2010-06-06,48.6543
2010-06-07,48.6543
2010-06-08,48.6543
2010-06-09,48.6543
2010-06-10,48.6543
2010-06-11,48.6543
2010-06-12,48.6543
2010-06-13,48.6543
2010-06-14,48.6543
2010-06-15,48.6543
2010-06-16,48.6543
2010-06-17,48.6543
2010-06-18,48.6543
2010-06-19,48.6543
2010-06-20,48.6543
2010-06-21,48.6543
2010-06-22,48.6543
2010-06-23,48.6543
2010-06-24,48.6543
2010-06-25,48.6543
2010-06-26,48.6543
2010-06-27,48.6543
2010-06-28,48.6543
2010-06-29,48.6543
2010-06-30,86.3116
2010-07-01,86.3116
2010-07-02,86.3116
2010-07-03,86.3116
2010-07-04,86.3116
2010-07-05,86.3116
2010-07-06,86.3116
2010-07-07,86.3116
2010-07-08,86.3116
2010-07-09,86.3116
2010-07-10,86.3116
2010-07-11,86.3116
