,CCOLA TI Equity,CCOLA TI Equity,CCOLA TI Equity,CCOLA TI Equity,CCOLA TI Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,11.572,12.054,11.251,12.054,29759.0
2010-01-02,11.572,12.054,11.251,12.054,29759.0
2010-01-03,11.572,12.054,11.251,12.054,29759.0
2010-01-04,11.893,11.893,11.572,11.733,41370.0
2010-01-05,11.733,11.733,11.331,11.331,79707.0
2010-01-06,11.411,11.893,11.411,11.893,135591.0
2010-01-07,11.893,11.893,11.492,11.492,76728.0
2010-01-08,11.492,11.652,11.331,11.411,56830.0
2010-01-09,11.492,11.652,11.331,11.411,56830.0
2010-01-10,11.492,11.652,11.331,11.411,56830.0
2010-01-11,11.411,11.492,10.688,10.768,171724.0
2010-01-12,10.768,11.09,10.688,11.009,93066.0
2010-01-13,11.009,11.009,10.849,10.849,52052.0
2010-01-14,11.009,11.09,10.608,10.688,141435.0
2010-01-15,10.688,10.688,10.367,10.688,286637.0
2010-01-16,10.688,10.688,10.367,10.688,286637.0
2010-01-17,10.688,10.688,10.367,10.688,286637.0
2010-01-18,10.688,10.768,10.608,10.688,185477.0
2010-01-19,10.688,10.929,10.608,10.688,254816.0
2010-01-20,10.688,10.849,10.608,10.688,151803.0
2010-01-21,10.688,10.849,10.608,10.608,134027.0
2010-01-22,10.527,10.608,10.286,10.608,141391.0
2010-01-23,10.527,10.608,10.286,10.608,141391.0
2010-01-24,10.527,10.608,10.286,10.608,141391.0
2010-01-25,10.527,10.527,10.286,10.367,56801.0
2010-01-26,10.367,10.367,9.965,10.125,169453.0
2010-01-27,10.045,10.125,9.804,9.965,376448.0
2010-01-28,10.125,10.286,9.965,10.125,788376.0
2010-01-29,10.125,10.206,9.884,10.045,360846.0
2010-01-30,10.125,10.206,9.884,10.045,360846.0
2010-01-31,10.125,10.206,9.884,10.045,360846.0
2010-02-01,9.965,10.125,9.965,10.125,161385.0
2010-02-02,10.125,10.206,10.045,10.125,279172.0
2010-02-03,10.125,10.286,9.965,9.965,775321.0
2010-02-04,10.045,10.125,9.884,9.965,255791.0
2010-02-05,9.322,9.884,9.322,9.724,322730.0
2010-02-06,9.322,9.884,9.322,9.724,322730.0
2010-02-07,9.322,9.884,9.322,9.724,322730.0
2010-02-08,9.804,10.206,9.724,10.045,453442.0
2010-02-09,10.206,10.206,10.045,10.045,233221.0
2010-02-10,10.125,10.206,10.045,10.125,73023.0
2010-02-11,10.206,10.608,10.206,10.527,333544.0
2010-02-12,10.688,10.929,10.367,10.447,417637.0
2010-02-13,10.688,10.929,10.367,10.447,417637.0
2010-02-14,10.688,10.929,10.367,10.447,417637.0
2010-02-15,10.608,10.768,10.367,10.447,94657.0
2010-02-16,10.447,10.608,10.447,10.447,42988.0
2010-02-17,10.608,10.929,10.608,10.849,290727.0
2010-02-18,10.768,10.929,10.688,10.849,90568.0
2010-02-19,10.849,10.849,10.608,10.608,55222.0
2010-02-20,10.849,10.849,10.608,10.608,55222.0
2010-02-21,10.849,10.849,10.608,10.608,55222.0
2010-02-22,10.447,10.688,10.447,10.527,96028.0
2010-02-23,10.447,10.608,10.367,10.527,57492.0
2010-02-24,10.286,10.527,10.125,10.447,88063.0
2010-02-25,10.447,11.733,10.367,11.733,212737.0
2010-02-26,11.652,12.295,11.09,11.572,388715.0
2010-02-27,11.652,12.295,11.09,11.572,388715.0
2010-02-28,11.652,12.295,11.09,11.572,388715.0
2010-03-01,11.572,11.974,11.331,11.893,169924.0
2010-03-02,11.893,11.974,11.331,11.331,129728.0
2010-03-03,11.411,11.572,10.929,11.17,213685.0
2010-03-04,11.09,11.09,10.768,10.849,58686.0
2010-03-05,10.929,11.331,10.768,11.09,190099.0
2010-03-06,10.929,11.331,10.768,11.09,190099.0
2010-03-07,10.929,11.331,10.768,11.09,190099.0
2010-03-08,11.17,11.17,11.009,11.09,37748.0
2010-03-09,11.09,11.331,10.768,10.849,82496.0
2010-03-10,10.768,11.17,10.688,11.09,189109.0
2010-03-11,11.09,11.17,10.929,11.17,103501.0
2010-03-12,11.251,11.331,10.849,10.849,64951.0
2010-03-13,11.251,11.331,10.849,10.849,64951.0
2010-03-14,11.251,11.331,10.849,10.849,64951.0
2010-03-15,10.849,10.929,10.688,10.768,29983.0
2010-03-16,10.768,11.009,10.768,11.009,68155.0
2010-03-17,10.929,11.09,10.849,11.009,44332.0
2010-03-18,11.09,11.09,10.768,11.009,46095.0
2010-03-19,11.009,11.492,10.929,11.331,337013.0
2010-03-20,11.009,11.492,10.929,11.331,337013.0
2010-03-21,11.009,11.492,10.929,11.331,337013.0
2010-03-22,11.331,11.411,11.09,11.331,42686.0
2010-03-23,11.331,11.411,11.09,11.251,38979.0
2010-03-24,11.251,11.572,11.17,11.251,55616.0
2010-03-25,11.251,11.652,11.17,11.17,55939.0
2010-03-26,11.251,11.331,11.09,11.251,77959.0
2010-03-27,11.251,11.331,11.09,11.251,77959.0
2010-03-28,11.251,11.331,11.09,11.251,77959.0
2010-03-29,11.251,11.251,10.929,11.009,98058.0
2010-03-30,11.17,11.251,10.527,10.688,292577.0
2010-03-31,10.688,10.768,10.206,10.367,293101.0
2010-04-01,10.447,10.688,10.367,10.688,446366.0
2010-04-02,10.768,10.929,10.608,10.849,299667.0
2010-04-03,10.768,10.929,10.608,10.849,299667.0
2010-04-04,10.768,10.929,10.608,10.849,299667.0
2010-04-05,10.849,11.009,10.688,10.768,109064.0
2010-04-06,10.768,10.849,10.608,10.768,150923.0
2010-04-07,10.768,10.929,10.768,10.849,228338.0
2010-04-08,10.768,10.929,10.768,10.849,406596.0
2010-04-09,10.849,11.009,10.768,10.849,654209.0
2010-04-10,10.849,11.009,10.768,10.849,654209.0
2010-04-11,10.849,11.009,10.768,10.849,654209.0
2010-04-12,10.849,11.09,10.849,10.929,215844.0
2010-04-13,10.929,11.009,10.849,11.009,165380.0
2010-04-14,11.009,11.17,10.929,11.009,197075.0
2010-04-15,11.009,11.09,10.768,11.09,94504.0
2010-04-16,11.09,11.09,10.849,10.929,359224.0
2010-04-17,11.09,11.09,10.849,10.929,359224.0
2010-04-18,11.09,11.09,10.849,10.929,359224.0
2010-04-19,10.849,11.411,10.768,11.009,312698.0
2010-04-20,10.929,11.331,10.929,11.17,450137.0
2010-04-21,11.331,11.652,11.331,11.411,214453.0
2010-04-22,11.411,11.572,11.251,11.492,137895.0
2010-04-23,11.411,11.572,11.251,11.492,137895.0
2010-04-24,11.411,11.572,11.251,11.492,137895.0
2010-04-25,11.411,11.572,11.251,11.492,137895.0
2010-04-26,11.572,11.733,11.492,11.652,272263.0
2010-04-27,11.733,11.893,11.411,11.492,166410.0
2010-04-28,11.331,11.652,11.331,11.572,77587.0
2010-04-29,11.572,11.893,11.411,11.733,169646.0
2010-04-30,11.813,11.974,11.813,11.813,121935.0
2010-05-01,11.813,11.974,11.813,11.813,121935.0
2010-05-02,11.813,11.974,11.813,11.813,121935.0
2010-05-03,11.974,11.974,11.492,11.652,47246.0
2010-05-04,11.652,11.652,11.09,11.331,133880.0
2010-05-05,11.331,11.411,11.17,11.17,33797.0
2010-05-06,11.17,11.492,11.17,11.411,41626.0
2010-05-07,11.17,11.251,10.206,10.447,120182.0
2010-05-08,11.17,11.251,10.206,10.447,120182.0
2010-05-09,11.17,11.251,10.206,10.447,120182.0
2010-05-10,10.768,11.09,10.688,10.849,170508.0
2010-05-11,11.009,11.411,11.009,11.331,309182.0
2010-05-12,11.251,11.492,11.251,11.411,55761.0
2010-05-13,11.411,11.813,11.251,11.652,111303.0
2010-05-14,11.652,11.813,11.251,11.251,134224.0
2010-05-15,11.652,11.813,11.251,11.251,134224.0
2010-05-16,11.652,11.813,11.251,11.251,134224.0
2010-05-17,11.251,11.492,11.09,11.411,74875.0
2010-05-18,11.652,11.733,11.411,11.572,40085.0
2010-05-19,11.652,11.733,11.411,11.572,40085.0
2010-05-20,11.251,11.411,10.849,11.17,341084.0
