,NETB SS Equity,NETB SS Equity,NETB SS Equity,NETB SS Equity,NETB SS Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,7.1437,7.3494,6.9379,7.1437,805758.0
2010-01-02,7.1437,7.3494,6.9379,7.1437,805758.0
2010-01-03,7.1437,7.3494,6.9379,7.1437,805758.0
2010-01-04,7.2318,7.4082,7.2318,7.4082,273330.0
2010-01-05,7.4376,7.5552,7.4376,7.467,106674.0
2010-01-06,7.4376,7.5552,7.4376,7.467,106674.0
2010-01-07,7.5846,7.6434,7.467,7.467,254124.0
2010-01-08,7.614,7.6728,7.5258,7.614,535206.0
2010-01-09,7.614,7.6728,7.5258,7.614,535206.0
2010-01-10,7.614,7.6728,7.5258,7.614,535206.0
2010-01-11,7.614,7.6728,7.4082,7.467,438684.0
2010-01-12,7.3494,7.6434,7.3494,7.5258,866202.0
2010-01-13,7.5846,7.6434,7.5258,7.6434,1086288.0
2010-01-14,7.7316,7.761,7.6728,7.7316,449376.0
2010-01-15,7.7316,7.8786,7.7316,7.8786,890460.0
2010-01-16,7.7316,7.8786,7.7316,7.8786,890460.0
2010-01-17,7.7316,7.8786,7.7316,7.8786,890460.0
2010-01-18,7.908,8.1726,7.908,8.0256,723000.0
2010-01-19,8.1138,8.1138,7.9668,8.0844,271464.0
2010-01-20,8.0256,8.0256,7.761,7.8786,330114.0
2010-01-21,7.8786,8.2314,7.761,8.1138,930234.0
2010-01-22,8.1726,8.2314,8.055,8.1432,173796.0
2010-01-23,8.1726,8.2314,8.055,8.1432,173796.0
2010-01-24,8.1726,8.2314,8.055,8.1432,173796.0
2010-01-25,8.1138,8.1432,7.8786,8.0844,402072.0
2010-01-26,8.1432,8.349,8.1432,8.2314,1924218.0
2010-01-27,8.2314,8.2314,7.9668,8.0256,355782.0
2010-01-28,8.1138,8.3196,8.055,8.202,493302.0
2010-01-29,8.2608,8.4078,8.1432,8.4078,313032.0
2010-01-30,8.2608,8.4078,8.1432,8.4078,313032.0
2010-01-31,8.2608,8.4078,8.1432,8.4078,313032.0
2010-02-01,8.4078,8.4666,8.1726,8.4666,562410.0
2010-02-02,8.5254,8.5841,8.349,8.4666,395718.0
2010-02-03,8.5254,8.5254,8.1138,8.2902,197532.0
2010-02-04,8.349,8.349,8.0256,8.055,262140.0
2010-02-05,8.1138,8.6429,7.6434,8.349,1081722.0
2010-02-06,8.1138,8.6429,7.6434,8.349,1081722.0
2010-02-07,8.1138,8.6429,7.6434,8.349,1081722.0
2010-02-08,8.5254,9.1427,8.5254,9.1427,1300338.0
2010-02-09,9.1721,9.1721,8.8487,9.0251,342606.0
2010-02-10,9.1427,9.1721,9.0545,9.1427,387732.0
2010-02-11,9.1721,9.6131,9.1427,9.4367,578010.0
2010-02-12,9.4661,9.6131,9.0545,9.2309,150822.0
2010-02-13,9.4661,9.6131,9.0545,9.2309,150822.0
2010-02-14,9.4661,9.6131,9.0545,9.2309,150822.0
2010-02-15,9.2309,9.2309,8.9663,9.0839,235044.0
2010-02-16,9.1721,9.7601,9.0545,9.7601,285012.0
2010-02-17,9.6131,9.8776,9.5837,9.6719,279942.0
2010-02-18,9.6719,9.7307,9.3485,9.6425,287910.0
2010-02-19,9.5837,9.7307,9.4073,9.5249,588456.0
2010-02-20,9.5837,9.7307,9.4073,9.5249,588456.0
2010-02-21,9.5837,9.7307,9.4073,9.5249,588456.0
2010-02-22,9.4073,9.6131,9.2897,9.2897,282984.0
2010-02-23,9.2897,9.4073,9.2897,9.3779,209232.0
2010-02-24,9.2897,9.2897,9.0545,9.2015,150984.0
2010-02-25,9.2015,9.2309,9.0545,9.1427,331872.0
2010-02-26,9.1427,9.1721,9.0545,9.1133,82434.0
2010-02-27,9.1427,9.1721,9.0545,9.1133,82434.0
2010-02-28,9.1427,9.1721,9.0545,9.1133,82434.0
2010-03-01,9.0839,9.5837,9.0545,9.4661,258246.0
2010-03-02,9.4661,9.6425,9.4073,9.6131,106980.0
2010-03-03,9.4367,9.6425,9.4073,9.5837,117192.0
2010-03-04,9.5249,9.5837,9.3485,9.3779,91374.0
2010-03-05,9.3779,9.5837,9.3779,9.4367,122262.0
2010-03-06,9.3779,9.5837,9.3779,9.4367,122262.0
2010-03-07,9.3779,9.5837,9.3779,9.4367,122262.0
2010-03-08,9.5249,9.5249,9.2015,9.2309,165330.0
2010-03-09,9.2309,9.4073,9.1427,9.2309,104514.0
2010-03-10,9.4073,9.4073,9.1721,9.2309,83748.0
2010-03-11,9.2309,9.3779,9.1721,9.3779,176580.0
2010-03-12,9.3191,9.3485,9.1427,9.2309,373764.0
2010-03-13,9.3191,9.3485,9.1427,9.2309,373764.0
2010-03-14,9.3191,9.3485,9.1427,9.2309,373764.0
2010-03-15,9.2309,9.4367,9.2309,9.4367,162738.0
2010-03-16,9.4661,9.7895,9.4661,9.6719,384234.0
2010-03-17,9.7601,9.7601,9.4367,9.6719,567810.0
2010-03-18,9.4073,9.7013,9.4073,9.5837,155016.0
2010-03-19,9.6425,9.6425,9.4367,9.5543,17892.0
2010-03-20,9.6425,9.6425,9.4367,9.5543,17892.0
2010-03-21,9.6425,9.6425,9.4367,9.5543,17892.0
2010-03-22,9.4955,9.8189,9.4367,9.7601,816780.0
2010-03-23,9.7601,9.8776,9.6425,9.7601,282696.0
2010-03-24,9.907,9.9364,9.5543,9.6425,139686.0
2010-03-25,9.6425,9.7013,9.5249,9.7013,349446.0
2010-03-26,9.6719,9.7013,9.5249,9.5543,142566.0
2010-03-27,9.6719,9.7013,9.5249,9.5543,142566.0
2010-03-28,9.6719,9.7013,9.5249,9.5543,142566.0
2010-03-29,9.5543,9.6425,9.5543,9.5837,26658.0
2010-03-30,9.4661,9.6425,9.4661,9.5249,128982.0
2010-03-31,9.6425,10.1128,9.6425,10.054,762954.0
2010-04-01,9.907,10.1716,9.6425,10.1716,293826.0
2010-04-02,9.907,10.1716,9.6425,10.1716,293826.0
2010-04-03,9.907,10.1716,9.6425,10.1716,293826.0
2010-04-04,9.907,10.1716,9.6425,10.1716,293826.0
2010-04-05,9.907,10.1716,9.6425,10.1716,293826.0
2010-04-06,10.1716,10.3186,9.907,10.2892,161754.0
2010-04-07,10.3186,10.4068,9.8776,10.0246,304782.0
2010-04-08,10.1128,10.2304,9.8776,10.1422,102984.0
2010-04-09,10.1716,10.201,9.9952,10.054,92436.0
2010-04-10,10.1716,10.201,9.9952,10.054,92436.0
2010-04-11,10.1716,10.201,9.9952,10.054,92436.0
2010-04-12,10.2892,10.2892,9.9952,10.0834,38094.0
2010-04-13,9.9952,10.054,9.7307,9.907,135552.0
2010-04-14,10.054,10.1128,9.9952,10.1128,54822.0
2010-04-15,10.054,10.0834,9.7601,9.9364,193704.0
