,KINDSDB SS Equity,KINDSDB SS Equity,KINDSDB SS Equity,KINDSDB SS Equity,KINDSDB SS Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,11.48,11.677,11.381,11.447,1638376.0
2010-01-02,11.48,11.677,11.381,11.447,1638376.0
2010-01-03,11.48,11.677,11.381,11.447,1638376.0
2010-01-04,11.579,12.072,11.579,11.908,2034320.0
2010-01-05,11.974,12.335,11.776,12.302,623760.0
2010-01-06,11.974,12.335,11.776,12.302,623760.0
2010-01-07,12.302,13.059,12.204,12.895,1447776.0
2010-01-08,12.96,13.223,12.631,13.158,3319928.0
2010-01-09,12.96,13.223,12.631,13.158,3319928.0
2010-01-10,12.96,13.223,12.631,13.158,3319928.0
2010-01-11,13.421,13.783,13.289,13.585,3298664.0
2010-01-12,13.717,13.816,13.355,13.487,1832448.0
2010-01-13,13.585,13.618,13.355,13.421,891600.0
2010-01-14,13.585,13.585,13.355,13.487,944936.0
2010-01-15,13.552,13.717,13.52,13.717,1452944.0
2010-01-16,13.552,13.717,13.52,13.717,1452944.0
2010-01-17,13.552,13.717,13.52,13.717,1452944.0
2010-01-18,13.848,14.243,13.75,14.079,1931920.0
2010-01-19,14.21,14.309,14.013,14.112,6929848.0
2010-01-20,14.342,14.342,14.079,14.079,725592.0
2010-01-21,14.276,14.276,13.98,14.013,322944.0
2010-01-22,13.947,14.177,13.717,13.881,475032.0
2010-01-23,13.947,14.177,13.717,13.881,475032.0
2010-01-24,13.947,14.177,13.717,13.881,475032.0
2010-01-25,13.947,14.177,13.881,14.177,420608.0
2010-01-26,14.145,14.145,13.881,14.013,664472.0
2010-01-27,13.914,13.947,13.75,13.914,528952.0
2010-01-28,13.947,14.145,13.914,14.046,356952.0
2010-01-29,14.013,14.342,13.848,14.21,850768.0
2010-01-30,14.013,14.342,13.848,14.21,850768.0
2010-01-31,14.013,14.342,13.848,14.21,850768.0
2010-02-01,14.375,14.737,14.243,14.572,993688.0
2010-02-02,14.802,14.802,14.605,14.638,523200.0
2010-02-03,14.901,14.901,14.605,14.638,447816.0
2010-02-04,14.967,14.967,14.572,14.704,860744.0
2010-02-05,14.605,14.737,14.408,14.441,1145792.0
2010-02-06,14.605,14.737,14.408,14.441,1145792.0
2010-02-07,14.605,14.737,14.408,14.441,1145792.0
2010-02-08,14.605,14.868,13.816,14.243,902872.0
2010-02-09,14.441,14.473,13.816,14.145,490440.0
2010-02-10,14.21,14.342,13.947,14.046,269848.0
2010-02-11,14.145,14.408,13.848,14.013,595960.0
2010-02-12,14.079,14.079,13.454,13.684,1006872.0
2010-02-13,14.079,14.079,13.454,13.684,1006872.0
2010-02-14,14.079,14.079,13.454,13.684,1006872.0
2010-02-15,13.75,13.816,13.52,13.816,285680.0
2010-02-16,13.881,14.079,13.355,13.585,869240.0
2010-02-17,13.75,14.177,13.585,14.145,2233944.0
2010-02-18,14.21,14.243,13.881,13.947,2453952.0
2010-02-19,14.079,14.079,13.618,13.947,852664.0
2010-02-20,14.079,14.079,13.618,13.947,852664.0
2010-02-21,14.079,14.079,13.618,13.947,852664.0
2010-02-22,13.947,14.079,13.947,14.046,893480.0
2010-02-23,14.079,14.342,13.947,14.145,1344752.0
2010-02-24,14.21,14.276,14.013,14.145,585624.0
2010-02-25,14.046,14.276,13.947,14.013,409176.0
2010-02-26,14.013,14.112,13.947,14.079,208320.0
2010-02-27,14.013,14.112,13.947,14.079,208320.0
2010-02-28,14.013,14.112,13.947,14.079,208320.0
2010-03-01,14.276,14.276,13.914,14.046,446256.0
2010-03-02,13.98,13.98,13.618,13.75,1488688.0
2010-03-03,13.684,13.816,13.52,13.52,1453528.0
2010-03-04,13.487,13.783,13.454,13.454,1048552.0
2010-03-05,13.52,13.717,13.355,13.684,794344.0
2010-03-06,13.52,13.717,13.355,13.684,794344.0
2010-03-07,13.52,13.717,13.355,13.684,794344.0
2010-03-08,13.75,13.816,13.684,13.783,466104.0
2010-03-09,13.783,13.816,13.585,13.816,801776.0
2010-03-10,13.75,14.441,13.684,14.342,1115112.0
2010-03-11,14.342,14.342,13.848,13.947,1050552.0
2010-03-12,14.079,14.21,13.816,14.046,947296.0
2010-03-13,14.079,14.21,13.816,14.046,947296.0
2010-03-14,14.079,14.21,13.816,14.046,947296.0
2010-03-15,14.112,14.21,13.947,14.112,754080.0
2010-03-16,14.21,14.276,13.914,14.046,946232.0
2010-03-17,14.21,14.21,14.046,14.145,2135696.0
2010-03-18,14.21,14.276,14.013,14.21,814960.0
2010-03-19,14.243,14.276,14.079,14.112,775192.0
2010-03-20,14.243,14.276,14.079,14.112,775192.0
2010-03-21,14.243,14.276,14.079,14.112,775192.0
2010-03-22,14.145,14.21,14.079,14.21,548320.0
2010-03-23,14.21,14.243,14.079,14.145,523592.0
2010-03-24,14.145,14.276,14.046,14.21,346584.0
2010-03-25,14.145,14.342,14.112,14.21,920912.0
2010-03-26,14.342,14.342,14.112,14.309,392216.0
2010-03-27,14.342,14.342,14.112,14.309,392216.0
2010-03-28,14.342,14.342,14.112,14.309,392216.0
2010-03-29,14.21,14.309,14.145,14.276,853672.0
2010-03-30,14.21,14.309,14.177,14.309,970024.0
2010-03-31,14.276,14.309,14.046,14.145,832152.0
2010-04-01,14.177,14.309,14.112,14.21,264000.0
2010-04-02,14.177,14.309,14.112,14.21,264000.0
2010-04-03,14.177,14.309,14.112,14.21,264000.0
2010-04-04,14.177,14.309,14.112,14.21,264000.0
2010-04-05,14.177,14.309,14.112,14.21,264000.0
2010-04-06,14.276,14.835,14.243,14.835,1016432.0
2010-04-07,14.835,15.263,14.342,15.033,2381896.0
2010-04-08,15.033,15.033,14.77,14.802,1569408.0
2010-04-09,14.868,14.934,14.737,14.901,348392.0
2010-04-10,14.868,14.934,14.737,14.901,348392.0
2010-04-11,14.868,14.934,14.737,14.901,348392.0
2010-04-12,15.263,15.263,14.901,15.131,511856.0
2010-04-13,15.131,15.131,14.737,14.901,301528.0
2010-04-14,14.901,14.901,14.671,14.868,173600.0
2010-04-15,14.868,14.868,14.408,14.441,733328.0
2010-04-16,14.342,14.441,14.013,14.112,1626664.0
2010-04-17,14.342,14.441,14.013,14.112,1626664.0
2010-04-18,14.342,14.441,14.013,14.112,1626664.0
2010-04-19,14.112,14.145,13.783,14.145,721456.0
2010-04-20,14.21,14.21,14.046,14.079,905768.0
2010-04-21,14.079,14.079,13.75,13.816,1060840.0
2010-04-22,13.816,13.848,13.684,13.816,587072.0
2010-04-23,13.816,13.816,13.552,13.75,926136.0
2010-04-24,13.816,13.816,13.552,13.75,926136.0
2010-04-25,13.816,13.816,13.552,13.75,926136.0
2010-04-26,13.75,13.881,13.651,13.717,3877360.0
2010-04-27,13.684,13.816,13.388,13.618,1248840.0
2010-04-28,13.684,13.684,13.158,13.388,1290400.0
2010-04-29,13.552,13.618,13.223,13.322,1855632.0
2010-04-30,13.454,13.552,13.289,13.421,285176.0
2010-05-01,13.454,13.552,13.289,13.421,285176.0
2010-05-02,13.454,13.552,13.289,13.421,285176.0
2010-05-03,13.487,13.816,13.223,13.75,531720.0
2010-05-04,13.816,13.98,13.256,13.322,860624.0
2010-05-05,12.434,12.434,10.526,11.908,14569408.0
2010-05-06,11.612,11.612,10.789,11.02,3490280.0
2010-05-07,11.271,11.271,10.649,11.064,2627960.0
2010-05-08,11.271,11.271,10.649,11.064,2627960.0
2010-05-09,11.271,11.271,10.649,11.064,2627960.0
2010-05-10,11.306,11.409,10.856,11.167,2226552.0
2010-05-11,11.098,11.098,10.511,10.856,3672760.0
2010-05-12,10.856,10.925,10.718,10.753,435200.0
2010-05-13,10.856,10.925,10.718,10.753,435200.0
2010-05-14,10.545,11.029,10.545,11.029,617184.0
2010-05-15,10.545,11.029,10.545,11.029,617184.0
2010-05-16,10.545,11.029,10.545,11.029,617184.0
2010-05-17,10.649,10.787,10.286,10.372,1018352.0
2010-05-18,10.58,10.995,10.476,10.822,758560.0
2010-05-19,10.718,10.822,10.511,10.58,781808.0
2010-05-20,10.683,10.822,10.165,10.372,1458696.0
2010-05-21,10.372,10.995,10.165,10.995,3199160.0
2010-05-22,10.372,10.995,10.165,10.995,3199160.0
2010-05-23,10.372,10.995,10.165,10.995,3199160.0
2010-05-24,10.995,11.167,10.441,10.822,1048056.0
2010-05-25,10.355,10.476,10.096,10.407,1221800.0
