,JM SS Equity,JM SS Equity,JM SS Equity,JM SS Equity,JM SS Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,64.745,65.679,64.478,65.679,375672.0
2010-01-02,64.745,65.679,64.478,65.679,375672.0
2010-01-03,64.745,65.679,64.478,65.679,375672.0
2010-01-04,65.412,66.48,65.145,65.412,357722.0
2010-01-05,65.145,66.48,65.145,65.946,183287.0
2010-01-06,65.145,66.48,65.145,65.946,183287.0
2010-01-07,66.213,66.747,65.679,66.747,236124.0
2010-01-08,66.747,67.281,65.279,65.813,179077.0
2010-01-09,66.747,67.281,65.279,65.813,179077.0
2010-01-10,66.747,67.281,65.279,65.813,179077.0
2010-01-11,65.946,66.48,63.544,63.944,603420.0
2010-01-12,64.211,64.478,61.675,61.675,846287.0
2010-01-13,61.541,62.876,61.141,62.209,380610.0
2010-01-14,62.743,63.277,62.342,62.342,371501.0
2010-01-15,62.209,62.209,59.939,60.34,960015.0
2010-01-16,62.209,62.209,59.939,60.34,960015.0
2010-01-17,62.209,62.209,59.939,60.34,960015.0
2010-01-18,60.073,61.141,59.539,60.874,374092.0
2010-01-19,60.874,60.874,59.939,60.34,793207.0
2010-01-20,60.073,61.007,59.272,59.405,570746.0
2010-01-21,59.806,60.073,57.803,57.937,388332.0
2010-01-22,57.002,58.07,56.335,57.002,659633.0
2010-01-23,57.002,58.07,56.335,57.002,659633.0
2010-01-24,57.002,58.07,56.335,57.002,659633.0
2010-01-25,56.335,58.204,56.068,57.67,588906.0
2010-01-26,57.269,57.269,55.267,56.468,1035564.0
2010-01-27,55.934,58.738,55.801,57.803,783387.0
2010-01-28,58.738,59.005,57.536,57.937,901697.0
2010-01-29,58.204,58.204,56.602,57.803,974708.0
2010-01-30,58.204,58.204,56.602,57.803,974708.0
2010-01-31,58.204,58.204,56.602,57.803,974708.0
2010-02-01,57.002,58.738,57.002,58.204,274203.0
2010-02-02,58.604,59.806,58.204,59.672,413319.0
2010-02-03,60.073,60.607,59.405,59.405,318474.0
2010-02-04,59.672,60.607,57.803,58.471,563879.0
2010-02-05,58.471,59.005,56.735,57.403,588278.0
2010-02-06,58.471,59.005,56.735,57.403,588278.0
2010-02-07,58.471,59.005,56.735,57.403,588278.0
2010-02-08,57.002,58.204,55.267,57.937,704927.0
2010-02-09,58.07,59.539,57.269,59.005,1033796.0
2010-02-10,59.005,60.073,58.471,58.738,305742.0
2010-02-11,58.871,62.609,58.871,62.075,1704478.0
2010-02-12,62.609,62.743,60.206,60.874,697477.0
2010-02-13,62.609,62.743,60.206,60.874,697477.0
2010-02-14,62.609,62.743,60.206,60.874,697477.0
2010-02-15,61.675,61.942,59.405,59.539,412308.0
2010-02-16,60.34,60.473,59.672,59.806,433360.0
2010-02-17,60.874,61.141,60.206,60.874,459964.0
2010-02-18,60.607,62.342,60.607,62.209,297857.0
2010-02-19,61.675,62.342,60.874,61.675,453033.0
2010-02-20,61.675,62.342,60.874,61.675,453033.0
2010-02-21,61.675,62.342,60.874,61.675,453033.0
2010-02-22,62.209,62.209,61.274,61.675,285394.0
2010-02-23,61.942,61.942,60.607,60.874,221789.0
2010-02-24,60.74,61.408,60.206,61.141,264601.0
2010-02-25,61.141,61.541,59.806,59.806,287125.0
2010-02-26,60.206,61.141,60.206,61.141,265464.0
2010-02-27,60.206,61.141,60.206,61.141,265464.0
2010-02-28,60.206,61.141,60.206,61.141,265464.0
2010-03-01,61.408,62.876,61.141,62.609,619970.0
2010-03-02,62.876,63.677,61.942,63.677,504254.0
2010-03-03,63.01,64.611,62.342,64.611,506236.0
2010-03-04,64.344,64.611,63.143,63.277,848215.0
2010-03-05,63.944,64.478,63.277,64.478,423670.0
2010-03-06,63.944,64.478,63.277,64.478,423670.0
2010-03-07,63.944,64.478,63.277,64.478,423670.0
2010-03-08,64.611,65.546,63.944,65.546,344559.0
2010-03-09,65.679,65.813,64.078,64.745,244727.0
2010-03-10,65.012,65.946,64.878,65.546,166961.0
2010-03-11,65.145,66.48,65.145,65.813,261107.0
2010-03-12,66.213,66.747,65.946,66.08,169950.0
2010-03-13,66.213,66.747,65.946,66.08,169950.0
2010-03-14,66.213,66.747,65.946,66.08,169950.0
2010-03-15,66.213,67.148,65.946,66.48,330372.0
2010-03-16,66.747,67.014,64.611,65.679,608629.0
2010-03-17,65.946,66.48,65.145,65.279,411355.0
2010-03-18,65.279,65.679,63.677,64.611,649339.0
2010-03-19,64.611,65.679,63.811,64.078,353027.0
2010-03-20,64.611,65.679,63.811,64.078,353027.0
2010-03-21,64.611,65.679,63.811,64.078,353027.0
2010-03-22,64.078,65.679,63.41,65.279,268213.0
2010-03-23,64.878,65.813,64.078,64.611,263629.0
2010-03-24,64.878,64.878,63.677,64.344,183340.0
2010-03-25,64.611,64.745,63.944,64.344,206702.0
2010-03-26,64.344,65.412,64.344,65.412,247718.0
2010-03-27,64.344,65.412,64.344,65.412,247718.0
2010-03-28,64.344,65.412,64.344,65.412,247718.0
2010-03-29,65.412,66.08,64.745,65.279,215449.0
2010-03-30,65.279,67.682,65.279,67.014,572057.0
2010-03-31,67.014,68.082,66.747,68.082,527575.0
2010-04-01,67.815,70.085,67.815,70.085,206445.0
2010-04-02,67.815,70.085,67.815,70.085,206445.0
2010-04-03,67.815,70.085,67.815,70.085,206445.0
2010-04-04,67.815,70.085,67.815,70.085,206445.0
2010-04-05,67.815,70.085,67.815,70.085,206445.0
2010-04-06,70.085,73.689,70.085,73.422,998195.0
2010-04-07,73.289,75.291,72.488,75.024,474417.0
2010-04-08,74.757,74.757,71.954,73.155,399549.0
2010-04-09,73.155,74.09,72.621,73.022,228044.0
2010-04-10,73.155,74.09,72.621,73.022,228044.0
2010-04-11,73.155,74.09,72.621,73.022,228044.0
2010-04-12,73.289,74.223,72.755,73.422,278366.0
2010-04-13,73.155,73.155,71.553,72.354,266236.0
2010-04-14,72.621,72.888,70.485,71.687,291061.0
2010-04-15,71.82,72.488,71.153,71.687,179443.0
2010-04-16,70.752,71.82,70.619,70.886,197803.0
2010-04-17,70.752,71.82,70.619,70.886,197803.0
2010-04-18,70.752,71.82,70.619,70.886,197803.0
2010-04-19,70.218,71.286,69.951,70.619,155414.0
2010-04-20,70.752,71.954,70.752,71.954,179299.0
2010-04-21,71.954,73.422,71.954,72.087,583382.0
2010-04-22,72.621,73.422,70.752,71.687,214135.0
2010-04-23,70.619,73.823,70.619,73.556,453432.0
2010-04-24,70.619,73.823,70.619,73.556,453432.0
2010-04-25,70.619,73.823,70.619,73.556,453432.0
2010-04-26,73.289,75.024,73.289,73.956,361935.0
2010-04-27,73.689,73.689,70.218,70.218,432350.0
2010-04-28,69.951,71.954,64.211,66.881,1471689.0
2010-04-29,67.426,68.515,65.791,66.336,595704.0
2010-04-30,66.336,66.336,64.429,64.429,472594.0
2010-05-01,66.336,66.336,64.429,64.429,472594.0
2010-05-02,66.336,66.336,64.429,64.429,472594.0
2010-05-03,64.293,67.426,63.476,67.29,417938.0
2010-05-04,67.29,67.29,63.612,63.748,474167.0
2010-05-05,63.476,63.476,58.98,59.934,1162812.0
2010-05-06,58.844,61.024,57.482,58.027,1302673.0
2010-05-07,55.848,57.346,53.941,56.12,1695793.0
2010-05-08,55.848,57.346,53.941,56.12,1695793.0
2010-05-09,55.848,57.346,53.941,56.12,1695793.0
2010-05-10,58.436,61.432,58.436,59.253,1348641.0
