,PEABB SS Equity,PEABB SS Equity,PEABB SS Equity,PEABB SS Equity,PEABB SS Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,22.618,22.667,22.4217,22.5689,471414.0
2010-01-02,22.618,22.667,22.4217,22.5689,471414.0
2010-01-03,22.618,22.667,22.4217,22.5689,471414.0
2010-01-04,22.7161,23.3048,22.667,23.3048,517012.0
2010-01-05,23.3048,23.403,22.9123,23.3539,228370.0
2010-01-06,23.3048,23.403,22.9123,23.3539,228370.0
2010-01-07,23.3539,23.452,23.1086,23.3539,347065.0
2010-01-08,23.5011,23.5502,23.1086,23.3048,448382.0
2010-01-09,23.5011,23.5502,23.1086,23.3048,448382.0
2010-01-10,23.5011,23.5502,23.1086,23.3048,448382.0
2010-01-11,23.403,23.5992,22.9614,23.0105,888740.0
2010-01-12,23.0595,23.1086,22.5689,22.7161,416742.0
2010-01-13,22.5689,23.0105,22.5198,22.7161,359662.0
2010-01-14,22.8142,22.9123,22.2745,22.667,615208.0
2010-01-15,22.7652,22.7652,22.4217,22.5198,676497.0
2010-01-16,22.7652,22.7652,22.4217,22.5198,676497.0
2010-01-17,22.7652,22.7652,22.4217,22.5198,676497.0
2010-01-18,22.5689,22.667,22.4217,22.5198,292195.0
2010-01-19,22.4708,22.5689,22.0783,22.5689,627601.0
2010-01-20,22.5689,22.618,21.9801,21.9801,562756.0
2010-01-21,22.1273,22.2745,21.3914,21.4895,486870.0
2010-01-22,21.4405,21.9311,20.9498,20.9498,721930.0
2010-01-23,21.4405,21.9311,20.9498,20.9498,721930.0
2010-01-24,21.4405,21.9311,20.9498,20.9498,721930.0
2010-01-25,20.8517,21.5386,20.7045,21.2442,452390.0
2010-01-26,21.097,21.097,20.6064,20.9989,513314.0
2010-01-27,20.8517,21.4895,20.7536,21.1951,392858.0
2010-01-28,21.5386,21.6367,20.9008,20.9498,300772.0
2010-01-29,21.1951,21.1951,20.2139,20.9989,626639.0
2010-01-30,21.1951,21.1951,20.2139,20.9989,626639.0
2010-01-31,21.1951,21.1951,20.2139,20.9989,626639.0
2010-02-01,20.8517,21.2442,20.7045,21.048,279847.0
2010-02-02,21.3423,22.0783,21.3423,21.882,631235.0
2010-02-03,22.1273,22.2745,21.882,21.9801,379259.0
2010-02-04,22.0292,22.4708,21.7348,21.833,721381.0
2010-02-05,21.6858,21.7839,21.1461,21.4405,730223.0
2010-02-06,21.6858,21.7839,21.1461,21.4405,730223.0
2010-02-07,21.6858,21.7839,21.1461,21.4405,730223.0
2010-02-08,21.6367,21.6858,20.5083,20.7536,511899.0
2010-02-09,20.8026,21.5386,20.5573,21.3423,604989.0
2010-02-10,21.5386,21.5386,20.9498,21.048,323453.0
2010-02-11,21.1951,21.6858,21.097,21.6858,338686.0
2010-02-12,21.7348,21.833,21.097,21.3423,495195.0
2010-02-13,21.7348,21.833,21.097,21.3423,495195.0
2010-02-14,21.7348,21.833,21.097,21.3423,495195.0
2010-02-15,21.3423,21.4895,20.6064,20.7536,263835.0
