,SWEDA SS Equity,SWEDA SS Equity,SWEDA SS Equity,SWEDA SS Equity,SWEDA SS Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,32.376,33.339,32.353,33.339,10495659.0
2010-01-02,32.376,33.339,32.353,33.339,10495659.0
2010-01-03,32.376,33.339,32.353,33.339,10495659.0
2010-01-04,33.879,34.137,33.409,33.738,8253488.0
2010-01-05,33.879,34.161,33.644,34.114,4024643.0
2010-01-06,33.879,34.161,33.644,34.114,4024643.0
2010-01-07,34.067,34.513,33.785,34.184,10374936.0
2010-01-08,34.419,34.466,33.715,33.973,6934914.0
2010-01-09,34.419,34.466,33.715,33.973,6934914.0
2010-01-10,34.419,34.466,33.715,33.973,6934914.0
2010-01-11,34.231,34.396,33.809,33.809,7706879.0
2010-01-12,33.926,34.067,33.339,33.527,5442837.0
2010-01-13,33.222,33.738,33.034,33.48,5561250.0
2010-01-14,33.926,34.114,33.715,33.996,5867040.0
2010-01-15,34.161,34.396,33.339,33.362,7849677.0
2010-01-16,34.161,34.396,33.339,33.362,7849677.0
2010-01-17,34.161,34.396,33.339,33.362,7849677.0
2010-01-18,33.386,33.503,32.94,33.034,8413992.0
2010-01-19,32.963,33.222,32.001,33.128,8666977.0
2010-01-20,33.057,33.503,32.682,32.869,6871747.0
2010-01-21,33.104,33.902,32.4,33.104,15891480.0
2010-01-22,32.635,33.222,31.531,32.165,13111368.0
2010-01-23,32.635,33.222,31.531,32.165,13111368.0
2010-01-24,32.635,33.222,31.531,32.165,13111368.0
2010-01-25,31.719,32.494,31.461,31.461,12406366.0
2010-01-26,31.062,31.226,30.545,30.874,10602356.0
2010-01-27,30.381,31.39,30.193,30.592,11881024.0
2010-01-28,31.32,31.32,29.559,29.7,8862243.0
2010-01-29,29.723,30.639,29.207,30.404,12643124.0
2010-01-30,29.723,30.639,29.207,30.404,12643124.0
2010-01-31,29.723,30.639,29.207,30.404,12643124.0
2010-02-01,30.334,31.226,30.146,31.226,7966807.0
2010-02-02,31.461,31.672,31.038,31.437,9155710.0
2010-02-03,31.813,31.86,31.343,31.437,7389112.0
2010-02-04,31.649,31.907,29.982,29.982,10250620.0
2010-02-05,29.7,30.756,28.855,30.24,16334363.0
2010-02-06,29.7,30.756,28.855,30.24,16334363.0
2010-02-07,29.7,30.756,28.855,30.24,16334363.0
2010-02-08,30.592,30.991,29.113,30.921,15293692.0
2010-02-09,30.287,31.367,29.653,30.005,19795309.0
2010-02-10,30.357,30.85,30.029,30.263,13591568.0
2010-02-11,30.522,30.85,29.888,30.146,9633696.0
2010-02-12,30.169,30.428,28.996,29.442,8615688.0
2010-02-13,30.169,30.428,28.996,29.442,8615688.0
2010-02-14,30.169,30.428,28.996,29.442,8615688.0
2010-02-15,29.582,29.747,29.183,29.465,4609992.0
2010-02-16,29.817,30.099,29.418,30.052,4777302.0
2010-02-17,30.381,30.639,30.122,30.522,4599733.0
2010-02-18,30.287,30.803,30.216,30.592,5592846.0
2010-02-19,30.24,31.226,30.24,31.132,6516052.0
2010-02-20,30.24,31.226,30.24,31.132,6516052.0
2010-02-21,30.24,31.226,30.24,31.132,6516052.0
2010-02-22,31.156,31.414,30.897,31.226,6514391.0
2010-02-23,31.414,31.672,30.756,30.897,7040285.0
2010-02-24,30.803,31.038,30.404,30.944,5488510.0
2010-02-25,30.616,31.954,30.569,30.662,10939582.0
2010-02-26,31.273,32.071,31.062,31.954,10420373.0
2010-02-27,31.273,32.071,31.062,31.954,10420373.0
2010-02-28,31.273,32.071,31.062,31.954,10420373.0
2010-03-01,32.212,32.729,32.071,32.658,5457197.0
2010-03-02,32.916,33.433,32.541,33.339,8719316.0
2010-03-03,33.409,33.644,33.081,33.339,7479767.0
2010-03-04,33.175,34.161,33.01,33.762,8211959.0
2010-03-05,33.339,34.09,33.104,33.996,6544916.0
2010-03-06,33.339,34.09,33.104,33.996,6544916.0
2010-03-07,33.339,34.09,33.104,33.996,6544916.0
2010-03-08,33.809,34.255,33.738,33.809,5047467.0
2010-03-09,33.809,33.809,33.128,33.503,5586216.0
2010-03-10,33.574,33.996,33.316,33.996,4741737.0
2010-03-11,33.668,34.208,33.668,34.043,5362873.0
2010-03-12,34.231,34.748,34.043,34.513,6864930.0
2010-03-13,34.231,34.748,34.043,34.513,6864930.0
2010-03-14,34.231,34.748,34.043,34.513,6864930.0
2010-03-15,34.278,34.396,33.762,33.809,5174782.0
2010-03-16,33.879,34.161,33.691,34.02,5009067.0
2010-03-17,34.255,34.396,33.832,33.949,5749934.0
2010-03-18,33.926,33.949,33.574,33.574,4153423.0
2010-03-19,33.574,33.973,32.822,32.822,8159876.0
2010-03-20,33.574,33.973,32.822,32.822,8159876.0
2010-03-21,33.574,33.973,32.822,32.822,8159876.0
2010-03-22,32.822,33.222,32.353,33.104,8951514.0
2010-03-23,33.339,33.691,33.128,33.503,5147276.0
2010-03-24,33.574,33.691,32.494,32.869,8366197.0
2010-03-25,32.987,33.433,32.893,33.175,7078103.0
2010-03-26,33.151,34.043,32.963,33.926,15550718.0
2010-03-27,33.151,34.043,32.963,33.926,15550718.0
2010-03-28,33.151,34.043,32.963,33.926,15550718.0
2010-03-29,34.067,34.372,33.996,34.255,4575904.0
2010-03-30,34.372,34.701,34.372,34.56,4698080.0
2010-03-31,34.56,34.795,34.302,34.795,10715285.0
2010-04-01,34.842,35.217,34.748,35.17,4497262.0
2010-04-02,34.842,35.217,34.748,35.17,4497262.0
2010-04-03,34.842,35.217,34.748,35.17,4497262.0
2010-04-04,34.842,35.217,34.748,35.17,4497262.0
2010-04-05,34.842,35.217,34.748,35.17,4497262.0
2010-04-06,35.194,36.321,34.959,36.297,7544755.0
2010-04-07,36.368,36.532,35.945,36.274,5799941.0
2010-04-08,35.922,35.992,34.654,35.029,9732140.0
2010-04-09,35.546,35.875,35.1,35.476,9423754.0
2010-04-10,35.546,35.875,35.1,35.476,9423754.0
2010-04-11,35.546,35.875,35.1,35.476,9423754.0
2010-04-12,35.734,36.321,35.64,36.321,5905374.0
2010-04-13,35.992,36.109,35.499,35.804,5023412.0
2010-04-14,35.71,35.804,35.147,35.687,6642977.0
2010-04-15,35.452,35.71,34.865,35.569,9397202.0
2010-04-16,35.241,35.828,34.889,34.982,7492187.0
2010-04-17,35.241,35.828,34.889,34.982,7492187.0
2010-04-18,35.241,35.828,34.889,34.982,7492187.0
2010-04-19,34.513,34.795,34.349,34.583,11795591.0
2010-04-20,34.724,35.17,34.536,34.912,7312278.0
2010-04-21,34.982,35.147,34.02,34.09,6244339.0
2010-04-22,34.09,34.466,33.175,33.433,8340738.0
2010-04-23,33.386,34.278,32.963,33.856,8592773.0
2010-04-24,33.386,34.278,32.963,33.856,8592773.0
2010-04-25,33.386,34.278,32.963,33.856,8592773.0
2010-04-26,34.513,34.607,34.161,34.442,7390747.0
2010-04-27,34.748,35.382,34.442,34.513,17860046.0
2010-04-28,34.278,35.569,33.668,35.053,19172112.0
2010-04-29,35.452,37.002,34.912,36.955,16662094.0
2010-04-30,37.095,37.542,36.626,37.236,5215540.0
2010-05-01,37.095,37.542,36.626,37.236,5215540.0
2010-05-02,37.095,37.542,36.626,37.236,5215540.0
2010-05-03,37.213,37.917,36.814,37.87,8492206.0
2010-05-04,38.035,38.082,36.391,36.391,12157626.0
2010-05-05,36.156,36.485,34.818,34.865,14273842.0
2010-05-06,34.278,35.546,32.353,32.705,17282628.0
2010-05-07,31.038,32.517,30.216,30.991,20934645.0
2010-05-08,31.038,32.517,30.216,30.991,20934645.0
2010-05-09,31.038,32.517,30.216,30.991,20934645.0
2010-05-10,33.339,35.123,32.869,34.842,16429243.0
2010-05-11,34.325,34.372,33.175,33.762,9413613.0
2010-05-12,33.691,34.842,33.01,34.396,5451927.0
2010-05-13,33.691,34.842,33.01,34.396,5451927.0
2010-05-14,34.372,34.489,33.175,33.198,7385495.0
2010-05-15,34.372,34.489,33.175,33.198,7385495.0
2010-05-16,34.372,34.489,33.175,33.198,7385495.0
2010-05-17,32.869,34.677,32.846,34.114,11203300.0
2010-05-18,34.607,34.748,33.973,34.63,5562009.0
2010-05-19,34.137,34.137,32.564,32.799,10592448.0
2010-05-20,33.222,33.574,31.625,32.329,8115653.0
2010-05-21,31.977,33.151,31.766,33.104,10946365.0
2010-05-22,31.977,33.151,31.766,33.104,10946365.0
2010-05-23,31.977,33.151,31.766,33.104,10946365.0
2010-05-24,33.433,33.48,32.001,32.94,5265284.0
2010-05-25,31.719,32.024,31.132,31.367,11572149.0
2010-05-26,32.236,33.175,31.789,33.128,13476670.0
2010-05-27,33.292,33.574,32.588,33.55,6648368.0
2010-05-28,33.809,33.879,32.822,33.034,6739077.0
2010-05-29,33.809,33.879,32.822,33.034,6739077.0
2010-05-30,33.809,33.879,32.822,33.034,6739077.0
2010-05-31,32.94,33.433,32.893,33.104,2301052.0
2010-06-01,32.893,33.316,32.024,33.057,5148904.0
2010-06-02,32.846,33.269,32.353,33.269,3955759.0
2010-06-03,33.809,34.161,33.691,33.785,4147624.0
2010-06-04,33.996,34.161,31.578,31.672,11517672.0
2010-06-05,33.996,34.161,31.578,31.672,11517672.0
2010-06-06,33.996,34.161,31.578,31.672,11517672.0
2010-06-07,31.461,32.071,30.803,31.367,6923760.0
2010-06-08,31.789,31.907,30.616,30.991,5964928.0
2010-06-09,31.602,32.024,30.968,32.024,6110684.0
2010-06-10,31.836,33.715,31.742,33.715,10473520.0
2010-06-11,34.043,34.255,33.48,34.231,9053984.0
2010-06-12,34.043,34.255,33.48,34.231,9053984.0
2010-06-13,34.043,34.255,33.48,34.231,9053984.0
2010-06-14,34.325,34.63,34.09,34.607,4698938.0
2010-06-15,34.161,35.217,34.161,35.217,4874463.0
2010-06-16,35.335,35.452,34.442,35.217,6457280.0
2010-06-17,35.053,35.569,34.842,35.1,4469993.0
2010-06-18,35.217,35.922,34.982,35.757,6257331.0
2010-06-19,35.217,35.922,34.982,35.757,6257331.0
2010-06-20,35.217,35.922,34.982,35.757,6257331.0
2010-06-21,36.109,36.509,35.804,36.109,4850189.0
2010-06-22,35.593,36.203,35.499,36.18,4860230.0
2010-06-23,35.616,36.321,35.593,35.922,5050791.0
2010-06-24,36.015,36.203,34.442,34.513,5621052.0
2010-06-25,36.015,36.203,34.442,34.513,5621052.0
2010-06-26,36.015,36.203,34.442,34.513,5621052.0
2010-06-27,36.015,36.203,34.442,34.513,5621052.0
2010-06-28,34.889,35.569,34.677,35.569,6437097.0
2010-06-29,35.029,35.217,33.879,33.879,6942489.0
2010-06-30,34.043,34.349,33.081,34.067,13189896.0
2010-07-01,33.433,34.724,32.869,33.879,12883620.0
2010-07-02,34.114,34.748,33.856,33.949,7431437.0
2010-07-03,34.114,34.748,33.856,33.949,7431437.0
2010-07-04,34.114,34.748,33.856,33.949,7431437.0
2010-07-05,33.996,34.349,33.175,33.316,3465281.0
2010-07-06,33.574,34.677,33.48,34.489,5589984.0
2010-07-07,34.255,35.898,34.043,35.687,5127075.0
2010-07-08,36.039,36.438,35.429,35.546,6500270.0
2010-07-09,35.875,36.368,35.757,36.227,4679163.0
2010-07-10,35.875,36.368,35.757,36.227,4679163.0
2010-07-11,35.875,36.368,35.757,36.227,4679163.0
2010-07-12,36.368,37.119,35.898,37.002,3494148.0
2010-07-13,36.931,38.622,36.908,38.622,12213261.0
2010-07-14,38.903,39.115,38.035,38.434,7202736.0
2010-07-15,38.293,38.974,37.682,37.87,6695177.0
2010-07-16,38.175,38.199,36.955,37.002,6213292.0
2010-07-17,38.175,38.199,36.955,37.002,6213292.0
2010-07-18,38.175,38.199,36.955,37.002,6213292.0
2010-07-19,36.767,37.542,36.368,36.931,5904473.0
2010-07-20,37.002,37.072,35.593,36.203,4385162.0
2010-07-21,36.415,36.837,36.274,36.626,5493806.0
2010-07-22,37.941,37.941,36.861,37.424,11746112.0
2010-07-23,37.354,37.495,36.861,37.095,5813475.0
2010-07-24,37.354,37.495,36.861,37.095,5813475.0
2010-07-25,37.354,37.495,36.861,37.095,5813475.0
2010-07-26,37.495,37.729,37.166,37.589,6762460.0
2010-07-27,37.612,38.457,37.283,38.434,16615377.0
2010-07-28,38.457,39.044,37.917,38.082,6955726.0
2010-07-29,38.058,39.185,38.058,38.927,6622811.0
2010-07-30,38.669,39.138,38.152,38.762,4929835.0
2010-07-31,38.669,39.138,38.152,38.762,4929835.0
2010-08-01,38.669,39.138,38.152,38.762,4929835.0
2010-08-02,38.833,40.617,38.833,40.453,7624579.0
2010-08-03,40.382,41.016,40.382,40.993,7818895.0
2010-08-04,40.829,40.852,40.077,40.758,7014448.0
2010-08-05,40.875,41.838,40.57,41.157,5920227.0
2010-08-06,41.251,41.862,40.852,41.087,6211250.0
2010-08-07,41.251,41.862,40.852,41.087,6211250.0
2010-08-08,41.251,41.862,40.852,41.087,6211250.0
2010-08-09,41.392,41.721,40.5,40.805,3350894.0
2010-08-10,40.805,40.899,40.03,40.148,3070834.0
2010-08-11,39.936,39.936,38.551,38.598,5483639.0
2010-08-12,38.293,39.279,38.035,38.645,7601085.0
2010-08-13,39.068,39.091,37.565,38.363,6288809.0
2010-08-14,39.068,39.091,37.565,38.363,6288809.0
2010-08-15,39.068,39.091,37.565,38.363,6288809.0
2010-08-16,38.457,38.645,37.612,38.199,3327196.0
2010-08-17,38.551,38.598,37.988,38.551,3252417.0
2010-08-18,38.528,38.974,38.129,38.575,2506640.0
2010-08-19,38.622,38.95,38.035,38.175,3257447.0
2010-08-20,38.175,38.457,37.424,37.706,4966253.0
2010-08-21,38.175,38.457,37.424,37.706,4966253.0
2010-08-22,38.175,38.457,37.424,37.706,4966253.0
2010-08-23,37.753,39.068,37.729,38.809,8482669.0
2010-08-24,38.856,39.068,38.058,38.363,7256796.0
2010-08-25,38.199,38.551,36.673,37.401,7470236.0
2010-08-26,37.823,38.293,37.565,38.129,3987577.0
2010-08-27,38.082,38.715,37.612,38.41,4964232.0
2010-08-28,38.082,38.715,37.612,38.41,4964232.0
2010-08-29,38.082,38.715,37.612,38.41,4964232.0
2010-08-30,38.598,38.88,38.152,38.363,3939024.0
2010-08-31,37.894,38.974,37.659,38.95,5938565.0
2010-09-01,39.349,40.946,39.068,40.782,9436381.0
2010-09-02,40.617,40.993,40.289,40.406,5187837.0
2010-09-03,40.688,41.298,40.429,40.899,5083587.0
2010-09-04,40.688,41.298,40.429,40.899,5083587.0
2010-09-05,40.688,41.298,40.429,40.899,5083587.0
2010-09-06,41.087,41.228,40.829,40.969,1584330.0
2010-09-07,40.758,40.899,40.124,40.195,5014772.0
2010-09-08,39.749,40.946,39.396,40.946,5461819.0
2010-09-09,40.5,41.322,40.429,41.228,5218991.0
2010-09-10,40.852,41.556,40.852,41.556,6246727.0
2010-09-11,40.852,41.556,40.852,41.556,6246727.0
2010-09-12,40.852,41.556,40.852,41.556,6246727.0
2010-09-13,41.815,43.082,41.791,42.707,6383666.0
2010-09-14,42.73,42.942,42.331,42.754,5639819.0
2010-09-15,42.824,43.129,42.12,42.495,5277599.0
2010-09-16,42.495,43.341,42.378,42.636,6975303.0
2010-09-17,42.965,43.153,42.143,42.495,5043498.0
2010-09-18,42.965,43.153,42.143,42.495,5043498.0
2010-09-19,42.965,43.153,42.143,42.495,5043498.0
2010-09-20,42.143,43.552,42.143,43.552,4533480.0
2010-09-21,43.646,44.609,43.552,44.069,6844570.0
2010-09-22,44.233,44.374,43.294,43.411,5274800.0
2010-09-23,43.529,43.81,42.261,42.519,4392458.0
2010-09-24,42.589,43.951,42.214,43.763,4869639.0
2010-09-25,42.589,43.951,42.214,43.763,4869639.0
2010-09-26,42.589,43.951,42.214,43.763,4869639.0
2010-09-27,44.045,44.045,43.2,43.669,4667230.0
2010-09-28,43.435,44.022,43.153,43.529,5304761.0
2010-09-29,43.669,43.951,42.871,43.787,5217393.0
2010-09-30,43.505,44.444,43.176,43.881,6714211.0
2010-10-01,43.74,44.186,42.754,42.965,5628643.0
2010-10-02,43.74,44.186,42.754,42.965,5628643.0
2010-10-03,43.74,44.186,42.754,42.965,5628643.0
2010-10-04,43.082,43.411,42.73,42.848,3932727.0
2010-10-05,42.754,44.022,42.378,43.975,4742164.0
2010-10-06,44.139,44.468,43.951,44.139,5766756.0
2010-10-07,44.139,44.421,43.575,44.28,5251340.0
2010-10-08,44.374,44.468,43.74,44.092,3639549.0
2010-10-09,44.374,44.468,43.74,44.092,3639549.0
2010-10-10,44.374,44.468,43.74,44.092,3639549.0
2010-10-11,44.139,44.397,43.904,44.374,2392143.0
2010-10-12,44.186,44.186,43.693,43.904,4408252.0
2010-10-13,44.092,45.078,43.975,44.538,4147901.0
2010-10-14,44.82,45.242,44.585,44.937,4241837.0
2010-10-15,44.796,45.078,44.022,44.162,4744807.0
2010-10-16,44.796,45.078,44.022,44.162,4744807.0
2010-10-17,44.796,45.078,44.022,44.162,4744807.0
2010-10-18,44.115,44.609,43.975,44.421,3707816.0
2010-10-19,44.374,44.702,43.975,44.092,5458465.0
2010-10-20,43.998,44.421,43.763,43.834,5172838.0
2010-10-21,45.571,46.722,45.548,46.275,12640474.0
2010-10-22,46.534,46.581,45.548,45.548,3597976.0
2010-10-23,46.534,46.581,45.548,45.548,3597976.0
2010-10-24,46.534,46.581,45.548,45.548,3597976.0
2010-10-25,45.829,46.064,45.665,45.782,2933078.0
2010-10-26,45.665,45.782,45.078,45.383,2923130.0
2010-10-27,45.172,45.829,45.031,45.477,3483963.0
2010-10-28,43.904,44.092,43.153,43.763,14282630.0
2010-10-29,43.81,43.904,43.082,43.787,5386057.0
2010-10-30,43.81,43.904,43.082,43.787,5386057.0
2010-10-31,43.81,43.904,43.082,43.787,5386057.0
2010-11-01,44.139,44.139,43.317,43.505,3811008.0
2010-11-02,43.435,43.646,42.801,43.082,4261726.0
