,BETSB SS Equity,BETSB SS Equity,BETSB SS Equity,BETSB SS Equity,BETSB SS Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,17.588,17.75,17.508,17.709,379839.0
2010-01-02,17.588,17.75,17.508,17.709,379839.0
2010-01-03,17.588,17.75,17.508,17.709,379839.0
2010-01-04,17.75,18.234,17.75,18.234,462252.0
2010-01-05,18.355,18.718,18.315,18.516,292620.0
2010-01-06,18.355,18.718,18.315,18.516,292620.0
2010-01-07,18.516,18.516,18.113,18.395,772596.0
2010-01-08,18.395,18.395,18.153,18.194,343341.0
2010-01-09,18.395,18.395,18.153,18.194,343341.0
2010-01-10,18.395,18.395,18.153,18.194,343341.0
2010-01-11,18.395,18.92,18.395,18.758,994476.0
2010-01-12,18.92,19.363,18.92,19.041,1379421.0
2010-01-13,18.96,19.162,18.879,19.0,796911.0
2010-01-14,19.081,19.847,19.081,19.565,765153.0
2010-01-15,19.807,19.847,19.444,19.565,387033.0
2010-01-16,19.807,19.847,19.444,19.565,387033.0
2010-01-17,19.807,19.847,19.444,19.565,387033.0
2010-01-18,19.686,20.332,19.484,20.13,834411.0
2010-01-19,20.13,20.453,20.009,20.211,872859.0
2010-01-20,20.332,20.574,20.13,20.13,702990.0
2010-01-21,20.211,20.614,20.049,20.533,719994.0
2010-01-22,20.251,20.533,20.251,20.332,614229.0
2010-01-23,20.251,20.533,20.251,20.332,614229.0
2010-01-24,20.251,20.533,20.251,20.332,614229.0
2010-01-25,20.372,20.977,20.372,20.695,719370.0
2010-01-26,20.654,20.654,19.888,20.251,615660.0
2010-01-27,20.049,20.412,20.009,20.332,492402.0
2010-01-28,20.695,20.735,20.251,20.412,313812.0
2010-01-29,20.412,20.695,20.251,20.695,324984.0
2010-01-30,20.412,20.695,20.251,20.695,324984.0
2010-01-31,20.412,20.695,20.251,20.695,324984.0
2010-02-01,20.735,21.663,20.695,21.219,1004169.0
2010-02-02,21.219,21.542,21.098,21.461,531348.0
2010-02-03,21.501,21.582,21.017,21.058,465960.0
2010-02-04,21.058,21.219,20.816,21.098,520416.0
2010-02-05,20.896,21.179,20.574,20.654,728061.0
2010-02-06,20.896,21.179,20.574,20.654,728061.0
2010-02-07,20.896,21.179,20.574,20.654,728061.0
2010-02-08,20.654,21.098,20.654,20.816,615135.0
2010-02-09,20.816,20.977,20.735,20.775,371484.0
2010-02-10,20.775,20.896,20.654,20.735,249600.0
2010-02-11,20.614,20.695,19.686,20.251,1330260.0
2010-02-12,20.412,20.614,19.928,20.251,802191.0
2010-02-13,20.412,20.614,19.928,20.251,802191.0
2010-02-14,20.412,20.614,19.928,20.251,802191.0
2010-02-15,19.928,20.13,19.041,19.404,821769.0
2010-02-16,19.444,19.646,19.121,19.202,532260.0
2010-02-17,19.363,19.686,19.283,19.525,687090.0
2010-02-18,19.726,19.847,19.323,19.686,1326018.0
2010-02-19,19.686,19.928,19.404,19.484,915630.0
2010-02-20,19.686,19.928,19.404,19.484,915630.0
2010-02-21,19.686,19.928,19.404,19.484,915630.0
2010-02-22,19.726,19.726,19.041,19.242,599406.0
2010-02-23,19.242,19.484,19.081,19.081,565791.0
2010-02-24,19.283,19.283,18.92,18.96,286860.0
2010-02-25,18.96,19.041,18.637,18.758,409791.0
2010-02-26,18.758,18.92,18.678,18.678,339801.0
2010-02-27,18.758,18.92,18.678,18.678,339801.0
2010-02-28,18.758,18.92,18.678,18.678,339801.0
2010-03-01,18.678,19.404,18.637,19.283,975885.0
2010-03-02,19.363,19.525,19.081,19.484,556572.0
2010-03-03,19.565,19.605,19.081,19.081,502194.0
2010-03-04,19.121,19.283,19.081,19.121,432624.0
2010-03-05,19.162,19.646,19.162,19.605,475620.0
2010-03-06,19.162,19.646,19.162,19.605,475620.0
2010-03-07,19.162,19.646,19.162,19.605,475620.0
2010-03-08,19.686,19.767,19.525,19.525,777297.0
2010-03-09,19.686,19.686,19.404,19.444,268041.0
2010-03-10,19.444,19.646,19.202,19.283,480975.0
2010-03-11,19.363,19.686,19.202,19.605,771447.0
2010-03-12,19.686,19.807,19.283,19.404,676608.0
2010-03-13,19.686,19.807,19.283,19.404,676608.0
2010-03-14,19.686,19.807,19.283,19.404,676608.0
2010-03-15,19.404,19.404,18.879,19.041,693306.0
2010-03-16,19.041,19.242,18.92,19.041,650511.0
2010-03-17,19.081,19.121,18.718,18.879,859458.0
2010-03-18,18.758,19.404,18.758,19.121,699687.0
2010-03-19,19.283,19.484,19.202,19.202,462477.0
2010-03-20,19.283,19.484,19.202,19.202,462477.0
2010-03-21,19.283,19.484,19.202,19.202,462477.0
2010-03-22,19.363,19.847,19.363,19.646,398382.0
2010-03-23,19.807,19.807,19.686,19.807,272469.0
2010-03-24,19.847,19.847,19.444,19.646,472461.0
2010-03-25,19.686,20.453,19.605,20.291,805866.0
2010-03-26,20.412,20.493,20.17,20.412,676611.0
2010-03-27,20.412,20.493,20.17,20.412,676611.0
2010-03-28,20.412,20.493,20.17,20.412,676611.0
2010-03-29,20.412,20.412,20.09,20.17,884073.0
2010-03-30,20.009,20.13,19.605,19.888,1006125.0
2010-03-31,19.847,20.291,19.847,20.009,493335.0
2010-04-01,20.17,20.291,19.968,20.17,140421.0
2010-04-02,20.17,20.291,19.968,20.17,140421.0
2010-04-03,20.17,20.291,19.968,20.17,140421.0
2010-04-04,20.17,20.291,19.968,20.17,140421.0
2010-04-05,20.17,20.291,19.968,20.17,140421.0
2010-04-06,20.17,20.453,20.049,20.291,426609.0
2010-04-07,20.332,20.574,20.291,20.493,403524.0
2010-04-08,20.453,20.775,20.332,20.654,319947.0
2010-04-09,20.816,21.058,20.775,21.058,377946.0
2010-04-10,20.816,21.058,20.775,21.058,377946.0
2010-04-11,20.816,21.058,20.775,21.058,377946.0
2010-04-12,21.058,21.058,20.614,20.735,346113.0
2010-04-13,20.654,20.735,20.493,20.574,269571.0
2010-04-14,20.574,20.816,20.533,20.533,297660.0
2010-04-15,20.533,20.654,19.363,19.928,1035759.0
2010-04-16,19.928,19.968,19.363,19.444,964617.0
2010-04-17,19.928,19.968,19.363,19.444,964617.0
2010-04-18,19.928,19.968,19.363,19.444,964617.0
2010-04-19,19.363,19.928,19.363,19.525,667506.0
2010-04-20,19.565,19.807,19.565,19.646,332976.0
2010-04-21,19.686,19.726,19.323,19.404,476085.0
2010-04-22,19.404,19.605,19.081,19.202,454425.0
2010-04-23,19.202,19.363,19.121,19.323,421062.0
2010-04-24,19.202,19.363,19.121,19.323,421062.0
2010-04-25,19.202,19.363,19.121,19.323,421062.0
2010-04-26,19.363,19.847,19.283,19.444,570519.0
2010-04-27,19.0,19.041,18.516,18.637,1005423.0
2010-04-28,18.637,18.96,18.557,18.637,498066.0
2010-04-29,18.718,18.758,18.395,18.597,452580.0
2010-04-30,18.637,19.121,18.637,19.041,320496.0
2010-05-01,18.637,19.121,18.637,19.041,320496.0
2010-05-02,18.637,19.121,18.637,19.041,320496.0
2010-05-03,19.041,19.202,18.476,18.839,409497.0
2010-05-04,18.839,18.96,18.274,18.315,493140.0
2010-05-05,18.315,18.315,16.943,17.266,1578258.0
