,VOLVB SS Equity,VOLVB SS Equity,VOLVB SS Equity,VOLVB SS Equity,VOLVB SS Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,35.2617,35.5175,34.8924,34.9208,4310865.0
2010-01-02,35.2617,35.5175,34.8924,34.9208,4310865.0
2010-01-03,35.2617,35.5175,34.8924,34.9208,4310865.0
2010-01-04,35.1197,36.0005,35.1197,35.8868,5268493.0
2010-01-05,36.1994,36.7961,35.9721,36.7961,3376973.0
2010-01-06,36.1994,36.7961,35.9721,36.7961,3376973.0
2010-01-07,36.7393,37.6485,36.5972,37.3644,8305715.0
2010-01-08,37.6485,37.9895,37.1655,37.478,6663991.0
2010-01-09,37.6485,37.9895,37.1655,37.478,6663991.0
2010-01-10,37.6485,37.9895,37.1655,37.478,6663991.0
2010-01-11,37.7906,38.4157,37.6769,38.0179,7867589.0
2010-01-12,37.8474,37.9611,36.6824,36.8245,10672063.0
2010-01-13,36.7393,37.1939,36.2846,36.6256,6225987.0
2010-01-14,37.0518,37.336,36.7677,37.0234,6593528.0
2010-01-15,37.1086,37.3928,36.6256,36.7961,10027258.0
2010-01-16,37.1086,37.3928,36.6256,36.7961,10027258.0
2010-01-17,37.1086,37.3928,36.6256,36.7961,10027258.0
2010-01-18,37.0802,37.9611,36.7677,37.7906,8288596.0
2010-01-19,37.5917,38.0747,36.3699,37.8474,14223763.0
2010-01-20,37.7053,37.9895,36.9666,37.0802,9510069.0
2010-01-21,37.3644,37.4212,36.2278,36.3415,8581552.0
2010-01-22,36.0857,36.5972,35.7732,36.0857,7879462.0
2010-01-23,36.0857,36.5972,35.7732,36.0857,7879462.0
2010-01-24,36.0857,36.5972,35.7732,36.0857,7879462.0
2010-01-25,35.8016,36.3415,35.5175,35.6027,6372725.0
2010-01-26,35.3186,35.5743,35.0913,35.3754,11946030.0
2010-01-27,34.9208,36.2846,34.8924,35.8868,11728477.0
2010-01-28,36.3983,36.7393,34.8924,34.9776,21390254.0
2010-01-29,35.2049,35.9153,34.6935,35.7732,9883703.0
2010-01-30,35.2049,35.9153,34.6935,35.7732,9883703.0
2010-01-31,35.2049,35.9153,34.6935,35.7732,9883703.0
2010-02-01,35.2049,36.1994,35.006,36.0005,7814392.0
2010-02-02,36.1426,36.8529,35.83,36.8529,7919711.0
2010-02-03,36.9382,38.302,36.8529,38.2168,14472426.0
2010-02-04,38.4157,38.5578,36.654,36.7109,12563670.0
2010-02-05,36.0857,38.1316,35.9437,37.5349,32380592.0
2010-02-06,36.0857,38.1316,35.9437,37.5349,32380592.0
2010-02-07,36.0857,38.1316,35.9437,37.5349,32380592.0
2010-02-08,37.5064,37.7338,35.688,36.1994,17358434.0
2010-02-09,35.8016,36.8529,35.5459,36.654,10020240.0
2010-02-10,37.1371,37.2791,35.9437,36.2278,8822431.0
2010-02-11,36.654,36.7961,35.83,36.171,8779997.0
2010-02-12,36.7393,36.7677,34.6366,34.8355,14968750.0
2010-02-13,36.7393,36.7677,34.6366,34.8355,14968750.0
2010-02-14,36.7393,36.7677,34.6366,34.8355,14968750.0
2010-02-15,34.523,34.9208,34.1536,34.5798,7227222.0
2010-02-16,34.8071,35.2902,34.523,34.8355,8902997.0
2010-02-17,35.3754,35.3754,34.9208,34.9776,8663151.0
2010-02-18,35.0344,35.1481,34.5798,34.8924,9709551.0
2010-02-19,34.4093,35.5175,34.4093,35.3186,7292537.0
2010-02-20,34.4093,35.5175,34.4093,35.3186,7292537.0
2010-02-21,34.4093,35.5175,34.4093,35.3186,7292537.0
2010-02-22,35.6311,35.688,35.1481,35.1765,3613731.0
2010-02-23,35.2333,35.5743,34.3809,34.3809,6704666.0
2010-02-24,34.3241,34.665,33.6421,34.3241,11518951.0
2010-02-25,34.2673,34.9208,33.8126,34.0968,7814431.0
2010-02-26,34.2957,34.4377,33.8695,34.2957,4737280.0
2010-02-27,34.2957,34.4377,33.8695,34.2957,4737280.0
2010-02-28,34.2957,34.4377,33.8695,34.2957,4737280.0
2010-03-01,34.665,35.2333,34.3525,35.1765,4250565.0
2010-03-02,35.8584,36.8245,35.2333,36.3983,11762191.0
2010-03-03,36.4835,36.7109,35.9721,36.4835,6156143.0
2010-03-04,36.2846,36.654,36.0573,36.5688,5821012.0
2010-03-05,36.5404,37.5917,36.512,37.5064,6641118.0
2010-03-06,36.5404,37.5917,36.512,37.5064,6641118.0
2010-03-07,36.5404,37.5917,36.512,37.5064,6641118.0
2010-03-08,37.7906,38.1316,37.7338,37.9327,9314968.0
2010-03-09,37.8474,38.0179,37.3075,37.9042,7245956.0
2010-03-10,37.7622,38.984,37.478,38.7851,9881599.0
2010-03-11,38.6146,39.2965,38.3589,39.0408,9595524.0
2010-03-12,39.8932,40.6604,39.7796,40.1205,15205448.0
2010-03-13,39.8932,40.6604,39.7796,40.1205,15205448.0
2010-03-14,39.8932,40.6604,39.7796,40.1205,15205448.0
2010-03-15,40.291,40.7172,40.0353,40.0637,10481587.0
2010-03-16,40.0069,40.2058,39.4102,39.8648,11025669.0
2010-03-17,40.1489,40.4899,40.1205,40.4899,6088869.0
2010-03-18,40.9729,41.2571,40.6888,40.7456,9056671.0
2010-03-19,40.9445,42.0527,40.9161,42.0527,16960185.0
2010-03-20,40.9445,42.0527,40.9161,42.0527,16960185.0
2010-03-21,40.9445,42.0527,40.9161,42.0527,16960185.0
2010-03-22,41.9959,42.28,41.2855,41.8254,11978795.0
2010-03-23,41.9959,42.4221,41.8538,42.3936,6994093.0
2010-03-24,42.621,43.2177,42.1095,42.621,8161159.0
2010-03-25,42.7346,42.8767,42.1663,42.5641,9004811.0
2010-03-26,42.1379,42.621,42.1095,42.5073,5401174.0
2010-03-27,42.1379,42.621,42.1095,42.5073,5401174.0
2010-03-28,42.1379,42.621,42.1095,42.5073,5401174.0
2010-03-29,42.621,42.8199,41.5981,41.7401,4280301.0
2010-03-30,42.1663,42.1948,41.3423,41.4844,4509827.0
2010-03-31,41.2571,41.5696,40.9161,41.2855,5317604.0
2010-04-01,41.4844,42.2516,41.3423,41.9674,3667677.0
2010-04-02,41.4844,42.2516,41.3423,41.9674,3667677.0
2010-04-03,41.4844,42.2516,41.3423,41.9674,3667677.0
2010-04-04,41.4844,42.2516,41.3423,41.9674,3667677.0
2010-04-05,41.4844,42.2516,41.3423,41.9674,3667677.0
2010-04-06,42.1095,43.9564,42.1095,43.8428,10862994.0
2010-04-07,43.9564,44.0132,43.1324,43.5018,7762621.0
2010-04-08,43.1892,43.7575,42.9335,43.587,10904102.0
2010-04-09,44.0417,44.2406,43.6439,43.8996,6330862.0
2010-04-10,44.0417,44.2406,43.6439,43.8996,6330862.0
2010-04-11,44.0417,44.2406,43.6439,43.8996,6330862.0
2010-04-12,44.0417,44.3258,43.8428,44.1269,3837824.0
2010-04-13,43.7575,46.0591,43.3881,45.8033,23135185.0
2010-04-14,45.8317,45.917,44.9793,45.4055,10645384.0
2010-04-15,45.7465,45.8033,44.9509,45.7465,5844805.0
2010-04-16,46.0306,47.1672,45.7465,46.1727,13568667.0
2010-04-17,46.0306,47.1672,45.7465,46.1727,13568667.0
2010-04-18,46.0306,47.1672,45.7465,46.1727,13568667.0
2010-04-19,46.0306,46.5137,45.3771,45.5476,7113748.0
2010-04-20,46.0306,47.4229,46.0306,46.4284,11874313.0
2010-04-21,46.8262,46.8546,45.7181,46.3148,11099252.0
2010-04-22,46.0306,47.0535,45.2635,46.4568,11295044.0
2010-04-23,51.1452,53.0489,50.5769,51.1452,39477083.0
2010-04-24,51.1452,53.0489,50.5769,51.1452,39477083.0
2010-04-25,51.1452,53.0489,50.5769,51.1452,39477083.0
2010-04-26,52.3101,53.7024,52.0544,53.2762,18316258.0
2010-04-27,52.85,53.0773,51.1452,51.1452,9733904.0
2010-04-28,50.861,51.1452,49.3551,50.1791,14173605.0
2010-04-29,50.0086,51.2304,49.4403,51.2304,11389636.0
2010-04-30,51.4293,51.9407,51.2304,51.7987,3612802.0
2010-05-01,51.4293,51.9407,51.2304,51.7987,3612802.0
2010-05-02,51.4293,51.9407,51.2304,51.7987,3612802.0
2010-05-03,51.0315,51.4009,50.378,51.0883,4536775.0
2010-05-04,51.4009,51.4009,48.7868,49.1278,8236573.0
2010-05-05,48.9857,49.7813,48.0764,48.4458,11678320.0
2010-05-06,47.7355,49.3835,47.6218,47.906,12161173.0
2010-05-07,45.8317,47.6502,44.7804,45.7465,18140170.0
2010-05-08,45.8317,47.6502,44.7804,45.7465,18140170.0
2010-05-09,45.8317,47.6502,44.7804,45.7465,18140170.0
2010-05-10,47.1956,48.872,47.082,48.7015,12544934.0
2010-05-11,48.3322,48.5027,47.6218,48.3038,10077454.0
2010-05-12,47.8207,49.2698,47.4513,49.1562,8131219.0
2010-05-13,47.8207,49.2698,47.4513,49.1562,8131219.0
2010-05-14,49.4971,49.7245,47.906,48.1901,10663479.0
2010-05-15,49.4971,49.7245,47.906,48.1901,10663479.0
2010-05-16,49.4971,49.7245,47.906,48.1901,10663479.0
2010-05-17,47.7355,48.6447,47.3377,48.3038,8686667.0
2010-05-18,48.7015,49.5256,48.3038,49.213,7069842.0
2010-05-19,48.8152,48.8152,47.0251,47.0251,10236296.0
2010-05-20,47.4797,47.7639,44.2406,45.1782,12055748.0
2010-05-21,44.9793,46.0591,44.3258,45.6044,12897921.0
2010-05-22,44.9793,46.0591,44.3258,45.6044,12897921.0
2010-05-23,44.9793,46.0591,44.3258,45.6044,12897921.0
2010-05-24,46.0306,46.2864,44.6099,44.9509,7409294.0
2010-05-25,43.9848,44.8088,43.2461,43.6154,16616427.0
2010-05-26,44.3826,45.0361,43.9564,44.1553,12881409.0
2010-05-27,44.3826,44.9793,44.2406,44.9509,13136473.0
2010-05-28,45.7181,47.5366,45.2919,46.4568,14286557.0
2010-05-29,45.7181,47.5366,45.2919,46.4568,14286557.0
2010-05-30,45.7181,47.5366,45.2919,46.4568,14286557.0
2010-05-31,46.4568,46.8546,46.3432,46.4853,2396570.0
2010-06-01,46.4,47.4229,45.6328,46.9967,8235256.0
2010-06-02,46.7978,47.6218,46.4568,47.4513,8901249.0
2010-06-03,47.906,48.8152,47.906,48.389,11611421.0
2010-06-04,48.5879,49.1278,47.1388,47.4797,6917672.0
2010-06-05,48.5879,49.1278,47.1388,47.4797,6917672.0
2010-06-06,48.5879,49.1278,47.1388,47.4797,6917672.0
2010-06-07,46.3148,47.7923,46.3148,46.9399,6162456.0
2010-06-08,47.2809,47.5082,46.1727,46.7694,7660081.0
2010-06-09,47.2524,48.3038,46.9115,48.2469,7854592.0
2010-06-10,48.1901,49.8665,47.8491,49.6676,8716118.0
2010-06-11,50.1507,50.6621,49.5824,50.1222,10627465.0
2010-06-12,50.1507,50.6621,49.5824,50.1222,10627465.0
2010-06-13,50.1507,50.6621,49.5824,50.1222,10627465.0
2010-06-14,50.6053,51.4293,50.6053,50.9463,6030091.0
2010-06-15,50.6905,51.5145,50.378,51.2872,6597876.0
2010-06-16,51.8839,52.026,49.7245,50.7189,8153311.0
2010-06-17,50.6053,52.2533,50.2643,52.2249,11110281.0
2010-06-18,52.5659,53.7308,52.2817,52.8216,12589602.0
2010-06-19,52.5659,53.7308,52.2817,52.8216,12589602.0
2010-06-20,52.5659,53.7308,52.2817,52.8216,12589602.0
