,BILL SS Equity,BILL SS Equity,BILL SS Equity,BILL SS Equity,BILL SS Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,23.867,24.208,23.5261,24.208,557448.0
2010-01-02,23.867,24.208,23.5261,24.208,557448.0
2010-01-03,23.867,24.208,23.5261,24.208,557448.0
2010-01-04,24.208,24.4353,23.6397,24.208,817356.0
2010-01-05,24.208,24.3216,23.867,24.0943,432459.0
2010-01-06,24.208,24.3216,23.867,24.0943,432459.0
2010-01-07,24.3216,24.3216,23.867,24.0943,647987.0
2010-01-08,24.0943,24.208,23.7534,24.0943,811593.0
2010-01-09,24.0943,24.208,23.7534,24.0943,811593.0
2010-01-10,24.0943,24.208,23.7534,24.0943,811593.0
2010-01-11,23.9807,24.3216,23.867,24.0943,560174.0
2010-01-12,24.0943,24.0943,23.0715,23.0715,1101089.0
2010-01-13,23.0715,23.2988,22.9578,23.1851,504263.0
2010-01-14,23.4124,23.867,23.2988,23.7534,530009.0
2010-01-15,23.9807,23.9807,23.5261,23.6397,510724.0
2010-01-16,23.9807,23.9807,23.5261,23.6397,510724.0
2010-01-17,23.9807,23.9807,23.5261,23.6397,510724.0
2010-01-18,23.867,24.3216,23.6397,23.9807,532219.0
2010-01-19,23.9807,23.9807,23.2988,23.7534,469370.0
2010-01-20,23.867,23.867,23.0715,23.1851,347533.0
2010-01-21,23.2988,23.6397,23.0715,23.0715,381877.0
2010-01-22,22.8441,22.9578,22.1395,22.5032,456499.0
2010-01-23,22.8441,22.9578,22.1395,22.5032,456499.0
2010-01-24,22.8441,22.9578,22.1395,22.5032,456499.0
2010-01-25,22.1395,22.9578,21.6394,22.2759,334876.0
2010-01-26,22.185,22.9578,21.2303,22.685,1091428.0
2010-01-27,22.5487,22.9578,22.0031,22.7305,473425.0
2010-01-28,23.2988,23.7534,22.9578,23.0715,657707.0
2010-01-29,23.1851,23.4124,22.7305,23.1851,429735.0
2010-01-30,23.1851,23.4124,22.7305,23.1851,429735.0
2010-01-31,23.1851,23.4124,22.7305,23.1851,429735.0
2010-02-01,23.1851,24.208,22.9578,24.208,497872.0
2010-02-02,24.208,24.4353,23.9807,24.4353,540110.0
2010-02-03,24.4353,24.4353,23.5261,23.7534,391902.0
2010-02-04,23.7534,23.9807,22.8441,22.9578,379545.0
2010-02-05,22.7305,22.9578,22.185,22.6396,627938.0
2010-02-06,22.7305,22.9578,22.185,22.6396,627938.0
2010-02-07,22.7305,22.9578,22.185,22.6396,627938.0
2010-02-08,22.7305,22.9578,21.6394,22.3213,435474.0
2010-02-09,21.9122,23.0715,21.9122,22.5941,432030.0
