,COAL IN Equity
,RETURN_COM_EQY
2010-01-01,22.441
2010-01-02,22.441
2010-01-03,22.441
2010-01-04,22.441
2010-01-05,22.441
2010-01-06,22.441
2010-01-07,22.441
2010-01-08,22.441
2010-01-09,22.441
2010-01-10,22.441
2010-01-11,22.441
2010-01-12,22.441
2010-01-13,22.441
2010-01-14,22.441
2010-01-15,22.441
2010-01-16,22.441
2010-01-17,22.441
2010-01-18,22.441
2010-01-19,22.441
2010-01-20,22.441
2010-01-21,22.441
2010-01-22,22.441
2010-01-23,22.441
2010-01-24,22.441
2010-01-25,22.441
2010-01-26,22.441
2010-01-27,22.441
2010-01-28,22.441
2010-01-29,22.441
2010-01-30,22.441
2010-01-31,22.441
2010-02-01,22.441
2010-02-02,22.441
2010-02-03,22.441
2010-02-04,22.441
2010-02-05,22.441
2010-02-06,22.441
2010-02-07,22.441
2010-02-08,22.441
2010-02-09,22.441
2010-02-10,22.441
2010-02-11,22.441
2010-02-12,22.441
2010-02-13,22.441
2010-02-14,22.441
2010-02-15,22.441
2010-02-16,22.441
2010-02-17,22.441
2010-02-18,22.441
2010-02-19,22.441
2010-02-20,22.441
2010-02-21,22.441
2010-02-22,22.441
2010-02-23,22.441
2010-02-24,22.441
2010-02-25,22.441
2010-02-26,22.441
2010-02-27,22.441
2010-02-28,22.441
2010-03-01,22.441
2010-03-02,22.441
2010-03-03,22.441
2010-03-04,22.441
2010-03-05,22.441
2010-03-06,22.441
2010-03-07,22.441
2010-03-08,22.441
2010-03-09,22.441
2010-03-10,22.441
2010-03-11,22.441
2010-03-12,22.441
2010-03-13,22.441
2010-03-14,22.441
2010-03-15,22.441
2010-03-16,22.441
2010-03-17,22.441
2010-03-18,22.441
2010-03-19,22.441
2010-03-20,22.441
2010-03-21,22.441
2010-03-22,22.441
2010-03-23,22.441
2010-03-24,22.441
2010-03-25,22.441
2010-03-26,22.441
2010-03-27,22.441
2010-03-28,22.441
2010-03-29,22.441
2010-03-30,22.441
2010-03-31,42.9541
2010-04-01,42.9541
2010-04-02,42.9541
2010-04-03,42.9541
2010-04-04,42.9541
2010-04-05,42.9541
2010-04-06,42.9541
2010-04-07,42.9541
2010-04-08,42.9541
2010-04-09,42.9541
2010-04-10,42.9541
2010-04-11,42.9541
2010-04-12,42.9541
2010-04-13,42.9541
2010-04-14,42.9541
2010-04-15,42.9541
2010-04-16,42.9541
2010-04-17,42.9541
2010-04-18,42.9541
2010-04-19,42.9541
2010-04-20,42.9541
2010-04-21,42.9541
2010-04-22,42.9541
2010-04-23,42.9541
2010-04-24,42.9541
2010-04-25,42.9541
2010-04-26,42.9541
2010-04-27,42.9541
2010-04-28,42.9541
2010-04-29,42.9541
2010-04-30,42.9541
2010-05-01,42.9541
2010-05-02,42.9541
2010-05-03,42.9541
2010-05-04,42.9541
2010-05-05,42.9541
2010-05-06,42.9541
2010-05-07,42.9541
2010-05-08,42.9541
2010-05-09,42.9541
2010-05-10,42.9541
2010-05-11,42.9541
2010-05-12,42.9541
2010-05-13,42.9541
2010-05-14,42.9541
2010-05-15,42.9541
2010-05-16,42.9541
2010-05-17,42.9541
2010-05-18,42.9541
2010-05-19,42.9541
2010-05-20,42.9541
2010-05-21,42.9541
2010-05-22,42.9541
2010-05-23,42.9541
2010-05-24,42.9541
2010-05-25,42.9541
2010-05-26,42.9541
2010-05-27,42.9541
2010-05-28,42.9541
2010-05-29,42.9541
2010-05-30,42.9541
2010-05-31,42.9541
2010-06-01,42.9541
2010-06-02,42.9541
2010-06-03,42.9541
2010-06-04,42.9541
2010-06-05,42.9541
2010-06-06,42.9541
2010-06-07,42.9541
2010-06-08,42.9541
2010-06-09,42.9541
2010-06-10,42.9541
2010-06-11,42.9541
2010-06-12,42.9541
2010-06-13,42.9541
2010-06-14,42.9541
2010-06-15,42.9541
2010-06-16,42.9541
2010-06-17,42.9541
2010-06-18,42.9541
2010-06-19,42.9541
2010-06-20,42.9541
2010-06-21,42.9541
2010-06-22,42.9541
2010-06-23,42.9541
2010-06-24,42.9541
2010-06-25,42.9541
2010-06-26,42.9541
2010-06-27,42.9541
2010-06-28,42.9541
2010-06-29,42.9541
2010-06-30,42.9541
2010-07-01,42.9541
2010-07-02,42.9541
2010-07-03,42.9541
2010-07-04,42.9541
2010-07-05,42.9541
2010-07-06,42.9541
2010-07-07,42.9541
2010-07-08,42.9541
2010-07-09,42.9541
2010-07-10,42.9541
2010-07-11,42.9541
2010-07-12,42.9541
2010-07-13,42.9541
2010-07-14,42.9541
2010-07-15,42.9541
2010-07-16,42.9541
2010-07-17,42.9541
2010-07-18,42.9541
2010-07-19,42.9541
2010-07-20,42.9541
2010-07-21,42.9541
2010-07-22,42.9541
2010-07-23,42.9541
2010-07-24,42.9541
2010-07-25,42.9541
2010-07-26,42.9541
2010-07-27,42.9541
2010-07-28,42.9541
2010-07-29,42.9541
2010-07-30,42.9541
