,CSTRL IN Equity
,RETURN_COM_EQY
2010-01-01,78.5229
2010-01-02,78.5229
2010-01-03,78.5229
2010-01-04,78.5229
2010-01-05,78.5229
2010-01-06,78.5229
2010-01-07,78.5229
2010-01-08,78.5229
2010-01-09,78.5229
2010-01-10,78.5229
2010-01-11,78.5229
2010-01-12,78.5229
2010-01-13,78.5229
2010-01-14,78.5229
2010-01-15,78.5229
2010-01-16,78.5229
2010-01-17,78.5229
2010-01-18,78.5229
2010-01-19,78.5229
2010-01-20,78.5229
2010-01-21,78.5229
2010-01-22,78.5229
2010-01-23,78.5229
2010-01-24,78.5229
2010-01-25,78.5229
2010-01-26,78.5229
2010-01-27,78.5229
2010-01-28,78.5229
2010-01-29,78.5229
2010-01-30,78.5229
2010-01-31,78.5229
2010-02-01,78.5229
2010-02-02,78.5229
2010-02-03,78.5229
2010-02-04,78.5229
2010-02-05,78.5229
2010-02-06,78.5229
2010-02-07,78.5229
2010-02-08,78.5229
2010-02-09,78.5229
2010-02-10,78.5229
2010-02-11,78.5229
2010-02-12,78.5229
2010-02-13,78.5229
2010-02-14,78.5229
2010-02-15,78.5229
2010-02-16,78.5229
2010-02-17,78.5229
2010-02-18,78.5229
2010-02-19,78.5229
2010-02-20,78.5229
2010-02-21,78.5229
2010-02-22,78.5229
2010-02-23,78.5229
2010-02-24,78.5229
2010-02-25,78.5229
2010-02-26,78.5229
2010-02-27,78.5229
2010-02-28,78.5229
2010-03-01,78.5229
2010-03-02,78.5229
2010-03-03,78.5229
2010-03-04,78.5229
2010-03-05,78.5229
2010-03-06,78.5229
2010-03-07,78.5229
2010-03-08,78.5229
2010-03-09,78.5229
2010-03-10,78.5229
2010-03-11,78.5229
2010-03-12,78.5229
2010-03-13,78.5229
2010-03-14,78.5229
2010-03-15,78.5229
2010-03-16,78.5229
2010-03-17,78.5229
2010-03-18,78.5229
2010-03-19,78.5229
2010-03-20,78.5229
2010-03-21,78.5229
2010-03-22,78.5229
2010-03-23,78.5229
2010-03-24,78.5229
2010-03-25,78.5229
2010-03-26,78.5229
2010-03-27,78.5229
2010-03-28,78.5229
2010-03-29,78.5229
2010-03-30,78.5229
2010-03-31,78.5229
2010-04-01,78.5229
2010-04-02,78.5229
2010-04-03,78.5229
2010-04-04,78.5229
2010-04-05,78.5229
2010-04-06,78.5229
2010-04-07,78.5229
2010-04-08,78.5229
2010-04-09,78.5229
2010-04-10,78.5229
2010-04-11,78.5229
2010-04-12,78.5229
2010-04-13,78.5229
2010-04-14,78.5229
2010-04-15,78.5229
2010-04-16,78.5229
2010-04-17,78.5229
2010-04-18,78.5229
2010-04-19,78.5229
2010-04-20,78.5229
2010-04-21,78.5229
2010-04-22,78.5229
2010-04-23,78.5229
2010-04-24,78.5229
2010-04-25,78.5229
2010-04-26,78.5229
2010-04-27,78.5229
2010-04-28,78.5229
2010-04-29,78.5229
2010-04-30,78.5229
2010-05-01,78.5229
2010-05-02,78.5229
2010-05-03,78.5229
2010-05-04,78.5229
2010-05-05,78.5229
2010-05-06,78.5229
2010-05-07,78.5229
2010-05-08,78.5229
2010-05-09,78.5229
2010-05-10,78.5229
2010-05-11,78.5229
2010-05-12,78.5229
2010-05-13,78.5229
2010-05-14,78.5229
2010-05-15,78.5229
2010-05-16,78.5229
2010-05-17,78.5229
2010-05-18,78.5229
2010-05-19,78.5229
2010-05-20,78.5229
2010-05-21,78.5229
2010-05-22,78.5229
2010-05-23,78.5229
2010-05-24,78.5229
2010-05-25,78.5229
2010-05-26,78.5229
2010-05-27,78.5229
2010-05-28,78.5229
2010-05-29,78.5229
2010-05-30,78.5229
2010-05-31,78.5229
2010-06-01,78.5229
2010-06-02,78.5229
2010-06-03,78.5229
2010-06-04,78.5229
2010-06-05,78.5229
2010-06-06,78.5229
2010-06-07,78.5229
2010-06-08,78.5229
2010-06-09,78.5229
2010-06-10,78.5229
2010-06-11,78.5229
2010-06-12,78.5229
2010-06-13,78.5229
2010-06-14,78.5229
2010-06-15,78.5229
2010-06-16,78.5229
2010-06-17,78.5229
2010-06-18,78.5229
2010-06-19,78.5229
2010-06-20,78.5229
2010-06-21,78.5229
2010-06-22,78.5229
2010-06-23,78.5229
2010-06-24,78.5229
2010-06-25,78.5229
2010-06-26,78.5229
2010-06-27,78.5229
2010-06-28,78.5229
2010-06-29,78.5229
2010-06-30,78.5229
2010-07-01,78.5229
2010-07-02,78.5229
2010-07-03,78.5229
2010-07-04,78.5229
2010-07-05,78.5229
2010-07-06,78.5229
2010-07-07,78.5229
2010-07-08,78.5229
2010-07-09,78.5229
2010-07-10,78.5229
2010-07-11,78.5229
2010-07-12,78.5229
2010-07-13,78.5229
2010-07-14,78.5229
2010-07-15,78.5229
2010-07-16,78.5229
2010-07-17,78.5229
2010-07-18,78.5229
2010-07-19,78.5229
2010-07-20,78.5229
2010-07-21,78.5229
2010-07-22,78.5229
2010-07-23,78.5229
2010-07-24,78.5229
2010-07-25,78.5229
2010-07-26,78.5229
2010-07-27,78.5229
2010-07-28,78.5229
2010-07-29,78.5229
2010-07-30,78.5229
2010-07-31,78.5229
2010-08-01,78.5229
2010-08-02,78.5229
2010-08-03,78.5229
2010-08-04,78.5229
2010-08-05,78.5229
2010-08-06,78.5229
2010-08-07,78.5229
2010-08-08,78.5229
2010-08-09,78.5229
2010-08-10,78.5229
2010-08-11,78.5229
2010-08-12,78.5229
2010-08-13,78.5229
2010-08-14,78.5229
2010-08-15,78.5229
2010-08-16,78.5229
2010-08-17,78.5229
2010-08-18,78.5229
2010-08-19,78.5229
2010-08-20,78.5229
2010-08-21,78.5229
2010-08-22,78.5229
2010-08-23,78.5229
2010-08-24,78.5229
2010-08-25,78.5229
2010-08-26,78.5229
2010-08-27,78.5229
2010-08-28,78.5229
2010-08-29,78.5229
2010-08-30,78.5229
2010-08-31,78.5229
2010-09-01,78.5229
2010-09-02,78.5229
2010-09-03,78.5229
2010-09-04,78.5229
2010-09-05,78.5229
2010-09-06,78.5229
2010-09-07,78.5229
2010-09-08,78.5229
2010-09-09,78.5229
2010-09-10,78.5229
2010-09-11,78.5229
2010-09-12,78.5229
2010-09-13,78.5229
2010-09-14,78.5229
2010-09-15,78.5229
2010-09-16,78.5229
2010-09-17,78.5229
2010-09-18,78.5229
2010-09-19,78.5229
2010-09-20,78.5229
2010-09-21,78.5229
2010-09-22,78.5229
2010-09-23,78.5229
2010-09-24,78.5229
2010-09-25,78.5229
2010-09-26,78.5229
2010-09-27,78.5229
2010-09-28,78.5229
2010-09-29,78.5229
2010-09-30,78.5229
2010-10-01,78.5229
2010-10-02,78.5229
2010-10-03,78.5229
2010-10-04,78.5229
2010-10-05,78.5229
2010-10-06,78.5229
2010-10-07,78.5229
2010-10-08,78.5229
2010-10-09,78.5229
2010-10-10,78.5229
2010-10-11,78.5229
2010-10-12,78.5229
2010-10-13,78.5229
2010-10-14,78.5229
2010-10-15,78.5229
2010-10-16,78.5229
2010-10-17,78.5229
2010-10-18,78.5229
2010-10-19,78.5229
2010-10-20,78.5229
2010-10-21,78.5229
2010-10-22,78.5229
2010-10-23,78.5229
2010-10-24,78.5229
2010-10-25,78.5229
2010-10-26,78.5229
2010-10-27,78.5229
2010-10-28,78.5229
2010-10-29,78.5229
2010-10-30,78.5229
2010-10-31,78.5229
2010-11-01,78.5229
2010-11-02,78.5229
2010-11-03,78.5229
2010-11-04,78.5229
2010-11-05,78.5229
2010-11-06,78.5229
2010-11-07,78.5229
2010-11-08,78.5229
2010-11-09,78.5229
2010-11-10,78.5229
2010-11-11,78.5229
2010-11-12,78.5229
2010-11-13,78.5229
2010-11-14,78.5229
2010-11-15,78.5229
2010-11-16,78.5229
2010-11-17,78.5229
2010-11-18,78.5229
2010-11-19,78.5229
2010-11-20,78.5229
2010-11-21,78.5229
2010-11-22,78.5229
2010-11-23,78.5229
2010-11-24,78.5229
2010-11-25,78.5229
2010-11-26,78.5229
2010-11-27,78.5229
2010-11-28,78.5229
2010-11-29,78.5229
2010-11-30,78.5229
2010-12-01,78.5229
2010-12-02,78.5229
2010-12-03,78.5229
2010-12-04,78.5229
2010-12-05,78.5229
2010-12-06,78.5229
2010-12-07,78.5229
2010-12-08,78.5229
2010-12-09,78.5229
2010-12-10,78.5229
2010-12-11,78.5229
2010-12-12,78.5229
2010-12-13,78.5229
2010-12-14,78.5229
2010-12-15,78.5229
2010-12-16,78.5229
2010-12-17,78.5229
2010-12-18,78.5229
2010-12-19,78.5229
2010-12-20,78.5229
2010-12-21,78.5229
2010-12-22,78.5229
2010-12-23,78.5229
2010-12-24,78.5229
2010-12-25,78.5229
2010-12-26,78.5229
2010-12-27,78.5229
2010-12-28,78.5229
2010-12-29,78.5229
2010-12-30,78.5229
2010-12-31,93.526
2011-01-01,93.526
2011-01-02,93.526
2011-01-03,93.526
2011-01-04,93.526
2011-01-05,93.526
2011-01-06,93.526
2011-01-07,93.526
2011-01-08,93.526
2011-01-09,93.526
2011-01-10,93.526
2011-01-11,93.526
2011-01-12,93.526
2011-01-13,93.526
2011-01-14,93.526
2011-01-15,93.526
2011-01-16,93.526
2011-01-17,93.526
2011-01-18,93.526
2011-01-19,93.526
2011-01-20,93.526
2011-01-21,93.526
2011-01-22,93.526
2011-01-23,93.526
2011-01-24,93.526
2011-01-25,93.526
2011-01-26,93.526
2011-01-27,93.526
2011-01-28,93.526
2011-01-29,93.526
2011-01-30,93.526
2011-01-31,93.526
2011-02-01,93.526
2011-02-02,93.526
2011-02-03,93.526
2011-02-04,93.526
2011-02-05,93.526
2011-02-06,93.526
2011-02-07,93.526
2011-02-08,93.526
2011-02-09,93.526
2011-02-10,93.526
2011-02-11,93.526
2011-02-12,93.526
2011-02-13,93.526
2011-02-14,93.526
2011-02-15,93.526
2011-02-16,93.526
2011-02-17,93.526
2011-02-18,93.526
2011-02-19,93.526
2011-02-20,93.526
2011-02-21,93.526
2011-02-22,93.526
2011-02-23,93.526
2011-02-24,93.526
2011-02-25,93.526
2011-02-26,93.526
2011-02-27,93.526
2011-02-28,93.526
2011-03-01,93.526
2011-03-02,93.526
2011-03-03,93.526
2011-03-04,93.526
2011-03-05,93.526
2011-03-06,93.526
2011-03-07,93.526
2011-03-08,93.526
