,Column Name,Index
0,Unnamed: 0 BEST_EPS,0
1,BMA AR Equity BEST_EPS,1
2,BMA AR Equity BEST_EPS_NXT_YR,2
3,GGAL AR Equity BEST_EPS,3
4,GGAL AR Equity BEST_EPS_NXT_YR,4
5,PAMP AR Equity BEST_EPS,5
6,PAMP AR Equity BEST_EPS_NXT_YR,6
7,TGSU2 AR Equity BEST_EPS,7
8,TGSU2 AR Equity BEST_EPS_NXT_YR,8
9,CIM AU Equity BEST_EPS,9
10,CIM AU Equity BEST_EPS_NXT_YR,10
11,MFG AU Equity BEST_EPS,11
12,MFG AU Equity BEST_EPS_NXT_YR,12
13,RIO AU Equity BEST_EPS,13
14,RIO AU Equity BEST_EPS_NXT_YR,14
15,OMV AV Equity BEST_EPS,15
16,OMV AV Equity BEST_EPS_NXT_YR,16
17,WDP BB Equity BEST_EPS,17
18,WDP BB Equity BEST_EPS_NXT_YR,18
19,NTB BH Equity BEST_EPS,19
20,NTB BH Equity BEST_EPS_NXT_YR,20
21,BBAS3 BZ Equity BEST_EPS,21
22,BBAS3 BZ Equity BEST_EPS_NXT_YR,22
23,BBSE3 BZ Equity BEST_EPS,23
24,BBSE3 BZ Equity BEST_EPS_NXT_YR,24
25,BRSR6 BZ Equity BEST_EPS,25
26,BRSR6 BZ Equity BEST_EPS_NXT_YR,26
27,CSAN3 BZ Equity BEST_EPS,27
28,CSAN3 BZ Equity BEST_EPS_NXT_YR,28
29,EGIE3 BZ Equity BEST_EPS,29
30,EGIE3 BZ Equity BEST_EPS_NXT_YR,30
31,EQTL3 BZ Equity BEST_EPS,31
32,EQTL3 BZ Equity BEST_EPS_NXT_YR,32
33,LIGT3 BZ Equity BEST_EPS,33
34,LIGT3 BZ Equity BEST_EPS_NXT_YR,34
35,TAEE11 BZ Equity BEST_EPS,35
36,TAEE11 BZ Equity BEST_EPS_NXT_YR,36
37,TRPL4 BZ Equity BEST_EPS,37
38,TRPL4 BZ Equity BEST_EPS_NXT_YR,38
39,VBBR3 BZ Equity BEST_EPS,39
40,VBBR3 BZ Equity BEST_EPS_NXT_YR,40
41,ECOPETL CB Equity BEST_EPS,41
42,ECOPETL CB Equity BEST_EPS_NXT_YR,42
43,SALMOCAM CI Equity BEST_EPS,43
44,SALMOCAM CI Equity BEST_EPS_NXT_YR,44
45,CIX CN Equity BEST_EPS,45
46,CIX CN Equity BEST_EPS_NXT_YR,46
47,ERO CN Equity BEST_EPS,47
48,ERO CN Equity BEST_EPS_NXT_YR,48
49,KL CN Equity BEST_EPS,49
50,KL CN Equity BEST_EPS_NXT_YR,50
51,LIF CN Equity BEST_EPS,51
52,LIF CN Equity BEST_EPS_NXT_YR,52
53,MG CN Equity BEST_EPS,53
54,MG CN Equity BEST_EPS_NXT_YR,54
55,NPI CN Equity BEST_EPS,55
56,NPI CN Equity BEST_EPS_NXT_YR,56
57,NOVOB DC Equity BEST_EPS,57
58,NOVOB DC Equity BEST_EPS_NXT_YR,58
59,ORSTED DC Equity BEST_EPS,59
60,ORSTED DC Equity BEST_EPS_NXT_YR,60
61,PNDORA DC Equity BEST_EPS,61
62,PNDORA DC Equity BEST_EPS_NXT_YR,62
63,SIM DC Equity BEST_EPS,63
64,SIM DC Equity BEST_EPS_NXT_YR,64
65,TYRES FH Equity BEST_EPS,65
66,TYRES FH Equity BEST_EPS_NXT_YR,66
67,AIR FP Equity BEST_EPS,67
68,AIR FP Equity BEST_EPS_NXT_YR,68
69,ATO FP Equity BEST_EPS,69
70,ATO FP Equity BEST_EPS_NXT_YR,70
71,FRVIA FP Equity BEST_EPS,71
72,FRVIA FP Equity BEST_EPS_NXT_YR,72
73,GTT FP Equity BEST_EPS,73
74,GTT FP Equity BEST_EPS_NXT_YR,74
75,POM FP Equity BEST_EPS,75
76,POM FP Equity BEST_EPS_NXT_YR,76
77,TRI FP Equity BEST_EPS,77
78,TRI FP Equity BEST_EPS_NXT_YR,78
79,UG FP Equity BEST_EPS,79
80,UG FP Equity BEST_EPS_NXT_YR,80
81,BFSA GR Equity BEST_EPS,81
82,BFSA GR Equity BEST_EPS_NXT_YR,82
83,DLG GR Equity BEST_EPS,83
84,DLG GR Equity BEST_EPS_NXT_YR,84
85,DWNI GR Equity BEST_EPS,85
86,DWNI GR Equity BEST_EPS_NXT_YR,86
87,FNTN GR Equity BEST_EPS,87
88,FNTN GR Equity BEST_EPS_NXT_YR,88
89,GXI GR Equity BEST_EPS,89
90,GXI GR Equity BEST_EPS_NXT_YR,90
91,HLE GR Equity BEST_EPS,91
92,HLE GR Equity BEST_EPS_NXT_YR,92
93,HOT GR Equity BEST_EPS,93
94,HOT GR Equity BEST_EPS_NXT_YR,94
95,LEG GR Equity BEST_EPS,95
96,LEG GR Equity BEST_EPS_NXT_YR,96
97,VOW GR Equity BEST_EPS,97
98,VOW GR Equity BEST_EPS_NXT_YR,98
99,WAF GR Equity BEST_EPS,99
100,WAF GR Equity BEST_EPS_NXT_YR,100
101,OTP HB Equity BEST_EPS,101
102,OTP HB Equity BEST_EPS_NXT_YR,102
103,1928 HK Equity BEST_EPS,103
104,1928 HK Equity BEST_EPS_NXT_YR,104
105,ADRO IJ Equity BEST_EPS,105
106,ADRO IJ Equity BEST_EPS_NXT_YR,106
107,GGRM IJ Equity BEST_EPS,107
108,GGRM IJ Equity BEST_EPS_NXT_YR,108
109,HMSP IJ Equity BEST_EPS,109
110,HMSP IJ Equity BEST_EPS_NXT_YR,110
111,ITMG IJ Equity BEST_EPS,111
112,ITMG IJ Equity BEST_EPS_NXT_YR,112
113,LPPF IJ Equity BEST_EPS,113
114,LPPF IJ Equity BEST_EPS_NXT_YR,114
115,MNCN IJ Equity BEST_EPS,115
116,MNCN IJ Equity BEST_EPS_NXT_YR,116
117,PTBA IJ Equity BEST_EPS,117
118,PTBA IJ Equity BEST_EPS_NXT_YR,118
119,PWON IJ Equity BEST_EPS,119
120,PWON IJ Equity BEST_EPS_NXT_YR,120
121,UNTR IJ Equity BEST_EPS,121
122,UNTR IJ Equity BEST_EPS_NXT_YR,122
123,UNVR IJ Equity BEST_EPS,123
124,UNVR IJ Equity BEST_EPS_NXT_YR,124
125,WIKA IJ Equity BEST_EPS,125
126,WIKA IJ Equity BEST_EPS_NXT_YR,126
127,WTON IJ Equity BEST_EPS,127
128,WTON IJ Equity BEST_EPS_NXT_YR,128
129,AZM IM Equity BEST_EPS,129
130,AZM IM Equity BEST_EPS_NXT_YR,130
131,BGN IM Equity BEST_EPS,131
132,BGN IM Equity BEST_EPS_NXT_YR,132
133,BAJAJCON IN Equity BEST_EPS,133
134,BAJAJCON IN Equity BEST_EPS_NXT_YR,134
135,COAL IN Equity BEST_EPS,135
136,COAL IN Equity BEST_EPS_NXT_YR,136
137,CSTRL IN Equity BEST_EPS,137
138,CSTRL IN Equity BEST_EPS_NXT_YR,138
139,CYL IN Equity BEST_EPS,139
140,CYL IN Equity BEST_EPS_NXT_YR,140
141,GAIL IN Equity BEST_EPS,141
142,GAIL IN Equity BEST_EPS_NXT_YR,142
143,HPCL IN Equity BEST_EPS,143
144,HPCL IN Equity BEST_EPS_NXT_YR,144
145,IOCL IN Equity BEST_EPS,145
146,IOCL IN Equity BEST_EPS_NXT_YR,146
147,IRB IN Equity BEST_EPS,147
148,IRB IN Equity BEST_EPS_NXT_YR,148
149,JAGP IN Equity BEST_EPS,149
150,JAGP IN Equity BEST_EPS_NXT_YR,150
151,JSTL IN Equity BEST_EPS,151
152,JSTL IN Equity BEST_EPS_NXT_YR,152
153,NMDC IN Equity BEST_EPS,153
154,NMDC IN Equity BEST_EPS_NXT_YR,154
155,ONGC IN Equity BEST_EPS,155
156,ONGC IN Equity BEST_EPS_NXT_YR,156
157,POONAWAL IN Equity BEST_EPS,157
158,POONAWAL IN Equity BEST_EPS_NXT_YR,158
159,SOTL IN Equity BEST_EPS,159
160,SOTL IN Equity BEST_EPS_NXT_YR,160
161,SUNTV IN Equity BEST_EPS,161
162,SUNTV IN Equity BEST_EPS_NXT_YR,162
163,TATA IN Equity BEST_EPS,163
164,TATA IN Equity BEST_EPS_NXT_YR,164
165,ZENT IN Equity BEST_EPS,165
166,ZENT IN Equity BEST_EPS_NXT_YR,166
167,1801 JP Equity BEST_EPS,167
168,1801 JP Equity BEST_EPS_NXT_YR,168
169,1802 JP Equity BEST_EPS,169
170,1802 JP Equity BEST_EPS_NXT_YR,170
171,1803 JP Equity BEST_EPS,171
172,1803 JP Equity BEST_EPS_NXT_YR,172
173,1808 JP Equity BEST_EPS,173
174,1808 JP Equity BEST_EPS_NXT_YR,174
175,1878 JP Equity BEST_EPS,175
176,1878 JP Equity BEST_EPS_NXT_YR,176
177,1925 JP Equity BEST_EPS,177
178,1925 JP Equity BEST_EPS_NXT_YR,178
179,3092 JP Equity BEST_EPS,179
180,3092 JP Equity BEST_EPS_NXT_YR,180
181,3659 JP Equity BEST_EPS,181
182,3659 JP Equity BEST_EPS_NXT_YR,182
183,6758 JP Equity BEST_EPS,183
184,6758 JP Equity BEST_EPS_NXT_YR,184
185,8001 JP Equity BEST_EPS,185
186,8001 JP Equity BEST_EPS_NXT_YR,186
187,8354 JP Equity BEST_EPS,187
188,8354 JP Equity BEST_EPS_NXT_YR,188
189,9434 JP Equity BEST_EPS,189
190,9434 JP Equity BEST_EPS_NXT_YR,190
191,9504 JP Equity BEST_EPS,191
192,9504 JP Equity BEST_EPS_NXT_YR,192
193,004170 KS Equity BEST_EPS,193
194,004170 KS Equity BEST_EPS_NXT_YR,194
195,006360 KS Equity BEST_EPS,195
196,006360 KS Equity BEST_EPS_NXT_YR,196
197,011780 KS Equity BEST_EPS,197
198,011780 KS Equity BEST_EPS_NXT_YR,198
199,036490 KS Equity BEST_EPS,199
200,036490 KS Equity BEST_EPS_NXT_YR,200
201,042670 KS Equity BEST_EPS,201
202,042670 KS Equity BEST_EPS_NXT_YR,202
203,057050 KS Equity BEST_EPS,203
204,057050 KS Equity BEST_EPS_NXT_YR,204
205,086790 KS Equity BEST_EPS,205
206,086790 KS Equity BEST_EPS_NXT_YR,206
207,139130 KS Equity BEST_EPS,207
208,139130 KS Equity BEST_EPS_NXT_YR,208
209,192080 KS Equity BEST_EPS,209
210,192080 KS Equity BEST_EPS_NXT_YR,210
211,294870 KS Equity BEST_EPS,211
212,294870 KS Equity BEST_EPS_NXT_YR,212
213,316140 KS Equity BEST_EPS,213
214,316140 KS Equity BEST_EPS_NXT_YR,214
215,TCS LI Equity BEST_EPS,215
216,TCS LI Equity BEST_EPS_NXT_YR,216
217,AAL LN Equity BEST_EPS,217
218,AAL LN Equity BEST_EPS_NXT_YR,218
219,ADM LN Equity BEST_EPS,219
220,ADM LN Equity BEST_EPS_NXT_YR,220
221,AHT LN Equity BEST_EPS,221
222,AHT LN Equity BEST_EPS_NXT_YR,222
223,AUTO LN Equity BEST_EPS,223
224,AUTO LN Equity BEST_EPS_NXT_YR,224
225,BWY LN Equity BEST_EPS,225
226,BWY LN Equity BEST_EPS_NXT_YR,226
227,CRST LN Equity BEST_EPS,227
228,CRST LN Equity BEST_EPS_NXT_YR,228
229,DNLM LN Equity BEST_EPS,229
230,DNLM LN Equity BEST_EPS_NXT_YR,230
231,FDM LN Equity BEST_EPS,231
232,FDM LN Equity BEST_EPS_NXT_YR,232
233,GSK LN Equity BEST_EPS,233
234,GSK LN Equity BEST_EPS_NXT_YR,234
235,HWDN LN Equity BEST_EPS,235
236,HWDN LN Equity BEST_EPS_NXT_YR,236
237,IAG LN Equity BEST_EPS,237
238,IAG LN Equity BEST_EPS_NXT_YR,238
239,ITV LN Equity BEST_EPS,239
240,ITV LN Equity BEST_EPS_NXT_YR,240
241,KAZ LN Equity BEST_EPS,241
242,KAZ LN Equity BEST_EPS_NXT_YR,242
243,LGEN LN Equity BEST_EPS,243
244,LGEN LN Equity BEST_EPS_NXT_YR,244
245,MNDI LN Equity BEST_EPS,245
246,MNDI LN Equity BEST_EPS_NXT_YR,246
247,MONY LN Equity BEST_EPS,247
248,MONY LN Equity BEST_EPS_NXT_YR,248
249,NXT LN Equity BEST_EPS,249
250,NXT LN Equity BEST_EPS_NXT_YR,250
251,OSB LN Equity BEST_EPS,251
252,OSB LN Equity BEST_EPS_NXT_YR,252
253,PAGE LN Equity BEST_EPS,253
254,PAGE LN Equity BEST_EPS_NXT_YR,254
255,PFC LN Equity BEST_EPS,255
256,PFC LN Equity BEST_EPS_NXT_YR,256
257,PSN LN Equity BEST_EPS,257
258,PSN LN Equity BEST_EPS_NXT_YR,258
259,RDW LN Equity BEST_EPS,259
260,RDW LN Equity BEST_EPS_NXT_YR,260
261,REL LN Equity BEST_EPS,261
262,REL LN Equity BEST_EPS_NXT_YR,262
263,RHIM LN Equity BEST_EPS,263
264,RHIM LN Equity BEST_EPS_NXT_YR,264
265,RIO LN Equity BEST_EPS,265
266,RIO LN Equity BEST_EPS_NXT_YR,266
267,RMV LN Equity BEST_EPS,267
