,GXI GR Equity,GXI GR Equity,GXI GR Equity,GXI GR Equity,GXI GR Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,19.335,19.466,19.294,19.294,57174.0
2010-01-02,19.335,19.466,19.294,19.294,57174.0
2010-01-03,19.335,19.466,19.294,19.294,57174.0
2010-01-04,19.282,19.844,19.282,19.602,42216.0
2010-01-05,19.524,20.222,19.499,20.008,46545.0
2010-01-06,19.955,20.386,19.454,19.622,75173.0
2010-01-07,19.594,20.411,18.912,20.32,99031.0
2010-01-08,20.287,21.059,20.115,20.505,204313.0
2010-01-09,20.287,21.059,20.115,20.505,204313.0
2010-01-10,20.287,21.059,20.115,20.505,204313.0
2010-01-11,20.591,20.874,20.501,20.669,66273.0
2010-01-12,20.599,20.928,20.156,20.156,52070.0
2010-01-13,20.197,20.386,19.425,19.754,69299.0
2010-01-14,19.819,19.992,19.372,19.643,63563.0
2010-01-15,19.581,19.618,18.719,19.048,179062.0
2010-01-16,19.581,19.618,18.719,19.048,179062.0
2010-01-17,19.581,19.618,18.719,19.048,179062.0
2010-01-18,19.044,19.343,18.859,19.319,44959.0
2010-01-19,19.228,19.668,18.994,19.294,92398.0
2010-01-20,19.224,20.345,19.175,19.828,140406.0
2010-01-21,19.906,20.053,19.089,19.171,180062.0
2010-01-22,19.138,19.696,19.097,19.294,179664.0
2010-01-23,19.138,19.696,19.097,19.294,179664.0
2010-01-24,19.138,19.696,19.097,19.294,179664.0
2010-01-25,19.273,19.622,19.216,19.417,37349.0
2010-01-26,19.253,20.074,19.212,20.074,80565.0
2010-01-27,19.741,19.762,19.163,19.454,30799.0
2010-01-28,19.516,19.828,19.056,19.13,58737.0
2010-01-29,19.04,19.668,18.998,19.294,53702.0
2010-01-30,19.04,19.668,18.998,19.294,53702.0
2010-01-31,19.04,19.668,18.998,19.294,53702.0
2010-02-01,19.269,19.939,19.269,19.581,127337.0
2010-02-02,19.992,20.936,19.992,20.813,199570.0
2010-02-03,20.961,21.683,20.686,21.634,106429.0
2010-02-04,21.983,22.168,21.318,21.445,143807.0
2010-02-05,21.445,21.609,20.316,20.772,151055.0
2010-02-06,21.445,21.609,20.316,20.772,151055.0
2010-02-07,21.445,21.609,20.316,20.772,151055.0
