,VOW GR Equity,VOW GR Equity,VOW GR Equity,VOW GR Equity,VOW GR Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,48.123,48.472,47.581,47.973,176411.0
2010-01-02,48.123,48.472,47.581,47.973,176411.0
2010-01-03,48.123,48.472,47.581,47.973,176411.0
2010-01-04,48.098,48.534,44.889,45.824,1343462.0
2010-01-05,45.768,46.678,45.699,46.541,495863.0
2010-01-06,46.235,47.114,46.235,46.603,354061.0
2010-01-07,46.291,47.101,46.291,46.97,470415.0
2010-01-08,47.537,47.681,46.939,47.681,281364.0
2010-01-09,47.537,47.681,46.939,47.681,281364.0
2010-01-10,47.537,47.681,46.939,47.681,281364.0
2010-01-11,47.924,48.042,46.977,47.201,237718.0
2010-01-12,47.762,47.762,45.967,46.048,325508.0
2010-01-13,46.26,46.634,45.855,46.385,220848.0
2010-01-14,46.285,46.902,45.425,45.812,223990.0
2010-01-15,45.631,46.098,44.827,45.413,346895.0
2010-01-16,45.631,46.098,44.827,45.413,346895.0
2010-01-17,45.631,46.098,44.827,45.413,346895.0
2010-01-18,45.6,45.656,44.858,45.288,348187.0
2010-01-19,44.896,45.575,44.298,45.189,287597.0
2010-01-20,45.519,45.843,44.385,44.678,301690.0
2010-01-21,44.914,45.263,44.242,44.428,211313.0
2010-01-22,44.248,44.84,43.332,43.5,492975.0
2010-01-23,44.248,44.84,43.332,43.5,492975.0
2010-01-24,44.248,44.84,43.332,43.5,492975.0
2010-01-25,43.612,43.812,42.397,42.622,284118.0
2010-01-26,41.843,42.833,41.762,42.36,346324.0
2010-01-27,42.285,42.335,41.12,41.245,452764.0
2010-01-28,41.824,42.048,39.874,40.148,692350.0
2010-01-29,39.837,40.802,39.126,39.644,834233.0
2010-01-30,39.837,40.802,39.126,39.644,834233.0
2010-01-31,39.837,40.802,39.126,39.644,834233.0
2010-02-01,39.432,41.313,39.126,41.313,665016.0
2010-02-02,41.245,41.918,40.715,41.631,537222.0
2010-02-03,41.843,43.513,41.812,42.603,612841.0
2010-02-04,42.267,43.07,41.089,41.232,503300.0
2010-02-05,41.145,41.432,38.472,39.313,2692493.0
2010-02-06,41.145,41.432,38.472,39.313,2692493.0
2010-02-07,41.145,41.432,38.472,39.313,2692493.0
2010-02-08,39.457,40.329,38.746,39.232,600194.0
2010-02-09,39.619,40.416,39.033,39.918,510256.0
2010-02-10,39.887,40.659,39.887,40.323,236689.0
2010-02-11,40.416,40.553,38.628,39.189,288228.0
2010-02-12,39.064,39.55,38.248,38.809,354702.0
2010-02-13,39.064,39.55,38.248,38.809,354702.0
2010-02-14,39.064,39.55,38.248,38.809,354702.0
2010-02-15,38.84,39.344,38.709,38.958,181027.0
2010-02-16,39.014,39.637,38.796,39.494,186719.0
2010-02-17,39.687,40.647,39.687,40.397,296840.0
2010-02-18,40.372,40.684,39.351,40.08,312903.0
2010-02-19,39.463,40.385,39.326,39.419,471008.0
2010-02-20,39.463,40.385,39.326,39.419,471008.0
2010-02-21,39.463,40.385,39.326,39.419,471008.0
2010-02-22,39.531,41.002,39.531,40.447,544612.0
2010-02-23,40.566,41.488,39.874,40.235,460301.0
2010-02-24,40.167,40.958,39.949,40.753,338105.0
2010-02-25,40.422,40.996,39.855,40.098,381259.0
2010-02-26,40.235,40.372,39.32,39.712,1128039.0
2010-02-27,40.235,40.372,39.32,39.712,1128039.0
2010-02-28,40.235,40.372,39.32,39.712,1128039.0
2010-03-01,40.061,40.248,39.662,40.092,316062.0
2010-03-02,39.974,40.921,39.936,40.796,318747.0
2010-03-03,40.871,41.805,40.615,41.631,228570.0
2010-03-04,41.195,41.837,41.182,41.538,220929.0
2010-03-05,41.643,44.734,41.643,44.678,859170.0
2010-03-06,41.643,44.734,41.643,44.678,859170.0
2010-03-07,41.643,44.734,41.643,44.678,859170.0
2010-03-08,44.734,45.108,44.173,44.541,344812.0
2010-03-09,44.304,44.696,43.394,43.749,254158.0
2010-03-10,43.432,44.21,43.332,43.961,305962.0
2010-03-11,43.824,46.472,43.824,45.986,611142.0
2010-03-12,45.818,47.637,45.818,46.541,999773.0
2010-03-13,45.818,47.637,45.818,46.541,999773.0
2010-03-14,45.818,47.637,45.818,46.541,999773.0
2010-03-15,46.478,46.759,42.89,46.26,177368.0
2010-03-16,46.316,47.188,46.26,46.977,239305.0
2010-03-17,47.12,47.787,46.796,47.232,294111.0
2010-03-18,47.107,47.519,46.509,46.696,254385.0
2010-03-19,46.69,47.506,45.836,46.821,641740.0
2010-03-20,46.69,47.506,45.836,46.821,641740.0
2010-03-21,46.69,47.506,45.836,46.821,641740.0
2010-03-22,46.827,47.35,46.628,47.338,379234.0
2010-03-23,47.132,47.332,44.41,45.232,946756.0
2010-03-24,45.07,45.432,44.154,44.435,434623.0
2010-03-25,44.422,44.665,43.363,44.023,550220.0
2010-03-26,44.061,45.637,43.868,45.301,547616.0
2010-03-27,44.061,45.637,43.868,45.301,547616.0
2010-03-28,44.061,45.637,43.868,45.301,547616.0
2010-03-29,45.456,45.456,44.815,44.983,243475.0
2010-03-30,44.964,45.419,43.625,43.986,330592.0
2010-03-31,44.386,45.032,44.117,44.869,290237.0
2010-04-01,44.944,45.051,44.499,44.875,239010.0
2010-04-02,44.944,45.051,44.499,44.875,239010.0
2010-04-03,44.944,45.051,44.499,44.875,239010.0
2010-04-04,44.944,45.051,44.499,44.875,239010.0
2010-04-05,44.944,45.051,44.499,44.875,239010.0
2010-04-06,45.044,45.803,44.9,45.402,329970.0
2010-04-07,45.452,45.796,45.226,45.677,269037.0
2010-04-08,45.308,45.677,44.33,44.606,209867.0
2010-04-09,44.706,45.383,43.941,44.411,269315.0
2010-04-10,44.706,45.383,43.941,44.411,269315.0
2010-04-11,44.706,45.383,43.941,44.411,269315.0
2010-04-12,44.587,45.013,44.136,44.443,155633.0
2010-04-13,44.136,45.126,44.136,45.069,279793.0
2010-04-14,45.207,45.715,44.932,45.527,216599.0
2010-04-15,45.759,45.872,45.433,45.608,182960.0
2010-04-16,45.283,46.172,45.057,45.408,421430.0
2010-04-17,45.283,46.172,45.057,45.408,421430.0
2010-04-18,45.283,46.172,45.057,45.408,421430.0
2010-04-19,45.427,45.702,44.487,44.756,280790.0
2010-04-20,45.157,46.793,45.157,46.229,387858.0
2010-04-21,46.235,47.814,46.235,47.219,594275.0
2010-04-22,47.3,48.228,46.73,47.125,477584.0
2010-04-23,46.882,48.303,46.869,47.381,456391.0
2010-04-24,46.882,48.303,46.869,47.381,456391.0
2010-04-25,46.882,48.303,46.869,47.381,456391.0
2010-04-26,47.746,48.021,47.01,47.266,246827.0
2010-04-27,47.279,47.279,45.748,45.94,331078.0
2010-04-28,45.78,45.793,43.719,44.916,595667.0
2010-04-29,45.153,46.203,44.82,46.177,383579.0
2010-04-30,46.004,46.773,45.089,45.415,317024.0
2010-05-01,46.004,46.773,45.089,45.415,317024.0
2010-05-02,46.004,46.773,45.089,45.415,317024.0
2010-05-03,45.204,45.902,44.468,45.159,284029.0
2010-05-04,45.134,45.716,43.936,44.455,493022.0
2010-05-05,44.321,44.942,42.553,43.347,511661.0
2010-05-06,43.078,43.968,42.579,42.835,221002.0
2010-05-07,42.131,43.219,41.375,41.651,461557.0
2010-05-08,42.131,43.219,41.375,41.651,461557.0
2010-05-09,42.131,43.219,41.375,41.651,461557.0
2010-05-10,42.579,43.827,42.515,43.475,329421.0
2010-05-11,42.976,43.911,42.976,43.911,215470.0
2010-05-12,43.667,45.159,43.667,44.884,250788.0
2010-05-13,45.268,45.659,44.82,45.204,225355.0
2010-05-14,44.916,45.339,44.308,44.532,223426.0
2010-05-15,44.916,45.339,44.308,44.532,223426.0
2010-05-16,44.916,45.339,44.308,44.532,223426.0
2010-05-17,44.077,44.967,43.719,44.167,215113.0
2010-05-18,44.564,44.916,44.02,44.692,174938.0
2010-05-19,44.256,44.82,43.431,43.795,301267.0
2010-05-20,43.533,44.167,41.657,42.553,370831.0
2010-05-21,42.393,43.527,41.804,43.123,402088.0
2010-05-22,42.393,43.527,41.804,43.123,402088.0
2010-05-23,42.393,43.527,41.804,43.123,402088.0
2010-05-24,43.238,43.693,42.579,43.667,289840.0
2010-05-25,42.393,42.771,41.843,42.387,397369.0
2010-05-26,42.701,44.205,42.496,43.635,348298.0
2010-05-27,43.603,44.692,43.603,44.192,244797.0
2010-05-28,44.442,44.807,43.539,44.212,200100.0
2010-05-29,44.442,44.807,43.539,44.212,200100.0
2010-05-30,44.442,44.807,43.539,44.212,200100.0
2010-05-31,44.493,45.255,44.224,44.922,149317.0
2010-06-01,44.628,44.961,44.186,44.378,346938.0
2010-06-02,43.789,44.621,43.731,43.962,274058.0
2010-06-03,44.826,44.826,43.859,44.34,144160.0
2010-06-04,44.589,44.788,43.539,43.546,249247.0
2010-06-05,44.589,44.788,43.539,43.546,249247.0
2010-06-06,44.589,44.788,43.539,43.546,249247.0
2010-06-07,42.963,43.911,42.854,43.495,182676.0
2010-06-08,43.655,44.237,42.713,43.136,187682.0
2010-06-09,43.431,43.731,42.611,43.309,194287.0
2010-06-10,43.034,44.73,42.752,44.628,233788.0
2010-06-11,44.724,45.287,44.244,44.589,214223.0
2010-06-12,44.724,45.287,44.244,44.589,214223.0
2010-06-13,44.724,45.287,44.244,44.589,214223.0
2010-06-14,45.089,45.21,44.564,44.679,159095.0
2010-06-15,44.327,44.871,44.18,44.871,167580.0
2010-06-16,44.935,45.076,43.994,44.442,311981.0
2010-06-17,44.34,46.261,44.34,46.261,354549.0
2010-06-18,46.081,46.69,45.902,46.433,271999.0
2010-06-19,46.081,46.69,45.902,46.433,271999.0
2010-06-20,46.081,46.69,45.902,46.433,271999.0
