,DWNI GR Equity,DWNI GR Equity,DWNI GR Equity,DWNI GR Equity,DWNI GR Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,4.964,5.039,4.927,5.001,88223.0
2010-01-02,4.964,5.039,4.927,5.001,88223.0
2010-01-03,4.964,5.039,4.927,5.001,88223.0
2010-01-04,5.069,5.345,5.001,5.337,194993.0
2010-01-05,5.3,5.41,5.293,5.346,275057.0
2010-01-06,5.346,5.404,5.285,5.307,96058.0
2010-01-07,5.3,5.343,5.248,5.312,116886.0
2010-01-08,5.278,5.352,5.278,5.352,89702.0
2010-01-09,5.278,5.352,5.278,5.352,89702.0
2010-01-10,5.278,5.352,5.278,5.352,89702.0
2010-01-11,5.312,5.546,5.312,5.543,223305.0
2010-01-12,5.554,5.584,5.412,5.449,161521.0
2010-01-13,5.407,5.643,5.366,5.631,197212.0
2010-01-14,5.591,5.709,5.591,5.599,197259.0
2010-01-15,5.591,5.71,5.591,5.643,184204.0
2010-01-16,5.591,5.71,5.591,5.643,184204.0
2010-01-17,5.591,5.71,5.591,5.643,184204.0
2010-01-18,5.614,5.708,5.592,5.614,63239.0
2010-01-19,5.591,5.668,5.475,5.507,133037.0
2010-01-20,5.509,5.648,5.479,5.517,103684.0
2010-01-21,5.524,5.56,5.395,5.409,85028.0
2010-01-22,5.369,5.375,5.266,5.367,168722.0
2010-01-23,5.369,5.375,5.266,5.367,168722.0
2010-01-24,5.369,5.375,5.266,5.367,168722.0
2010-01-25,5.36,5.479,5.107,5.404,155539.0
2010-01-26,5.367,5.718,5.364,5.601,209769.0
2010-01-27,5.612,5.637,5.487,5.487,120407.0
2010-01-28,5.554,5.604,5.409,5.451,148431.0
2010-01-29,5.449,5.555,5.41,5.464,251021.0
2010-01-30,5.449,5.555,5.41,5.464,251021.0
2010-01-31,5.449,5.555,5.41,5.464,251021.0
2010-02-01,5.427,5.599,5.378,5.567,99851.0
2010-02-02,5.561,5.702,5.546,5.702,92376.0
2010-02-03,5.659,5.7,5.462,5.533,47083.0
2010-02-04,5.531,5.582,5.434,5.434,59524.0
2010-02-05,5.393,5.442,5.188,5.263,158393.0
2010-02-06,5.393,5.442,5.188,5.263,158393.0
2010-02-07,5.393,5.442,5.188,5.263,158393.0
2010-02-08,5.255,5.511,4.964,5.101,195031.0
2010-02-09,5.108,5.166,4.972,5.166,157153.0
2010-02-10,5.046,5.178,5.023,5.039,139095.0
2010-02-11,5.039,5.166,4.994,4.994,90269.0
2010-02-12,5.033,5.045,4.957,4.964,49992.0
2010-02-13,5.033,5.045,4.957,4.964,49992.0
2010-02-14,5.033,5.045,4.957,4.964,49992.0
2010-02-15,4.957,5.295,4.957,5.263,123039.0
2010-02-16,5.225,5.291,5.058,5.117,163102.0
2010-02-17,5.039,5.143,5.039,5.061,186379.0
2010-02-18,5.046,5.21,5.045,5.143,214711.0
2010-02-19,4.964,5.098,4.964,5.075,113557.0
2010-02-20,4.964,5.098,4.964,5.075,113557.0
2010-02-21,4.964,5.098,4.964,5.075,113557.0
2010-02-22,5.039,5.19,5.039,5.19,116641.0
2010-02-23,5.151,5.179,4.73,5.018,328231.0
2010-02-24,4.964,5.051,4.74,4.845,178696.0
2010-02-25,4.807,4.972,4.807,4.968,132758.0
2010-02-26,4.929,5.151,4.929,5.121,148519.0
2010-02-27,4.929,5.151,4.929,5.121,148519.0
2010-02-28,4.929,5.151,4.929,5.121,148519.0
2010-03-01,5.084,5.218,5.034,5.034,104156.0
2010-03-02,4.995,5.375,4.995,5.293,184745.0
2010-03-03,5.25,5.345,5.188,5.345,156819.0
2010-03-04,5.293,5.337,5.181,5.181,133435.0
2010-03-05,5.181,5.285,5.149,5.174,83178.0
2010-03-06,5.181,5.285,5.149,5.174,83178.0
2010-03-07,5.181,5.285,5.149,5.174,83178.0
2010-03-08,5.151,5.234,5.076,5.118,118154.0
2010-03-09,5.151,5.151,5.016,5.094,66664.0
2010-03-10,5.054,5.121,5.01,5.076,67175.0
2010-03-11,5.063,5.21,5.063,5.166,51899.0
2010-03-12,5.098,5.205,5.095,5.188,44463.0
2010-03-13,5.098,5.205,5.095,5.188,44463.0
2010-03-14,5.098,5.205,5.095,5.188,44463.0
2010-03-15,5.131,5.337,5.125,5.278,87521.0
2010-03-16,5.264,5.39,5.264,5.352,100682.0
2010-03-17,5.293,5.434,5.293,5.406,67955.0
2010-03-18,5.363,5.524,5.311,5.397,65958.0
2010-03-19,5.352,5.487,5.351,5.443,119675.0
2010-03-20,5.352,5.487,5.351,5.443,119675.0
2010-03-21,5.352,5.487,5.351,5.443,119675.0
2010-03-22,5.382,5.419,5.34,5.399,59714.0
2010-03-23,5.353,5.636,5.344,5.516,89729.0
2010-03-24,5.472,5.599,5.469,5.566,52282.0
2010-03-25,5.516,5.632,5.506,5.524,165652.0
2010-03-26,5.479,5.619,5.459,5.524,211144.0
2010-03-27,5.479,5.619,5.459,5.524,211144.0
2010-03-28,5.479,5.619,5.459,5.524,211144.0
2010-03-29,5.479,5.666,5.477,5.572,125019.0
2010-03-30,5.54,5.905,5.524,5.823,239509.0
2010-03-31,5.874,5.899,5.537,5.634,195951.0
2010-04-01,5.599,5.676,5.522,5.61,67201.0
2010-04-02,5.599,5.676,5.522,5.61,67201.0
2010-04-03,5.599,5.676,5.522,5.61,67201.0
2010-04-04,5.599,5.676,5.522,5.61,67201.0
2010-04-05,5.599,5.676,5.522,5.61,67201.0
2010-04-06,5.561,5.694,5.405,5.405,122654.0
2010-04-07,5.404,5.524,5.404,5.524,122970.0
2010-04-08,5.476,5.569,5.45,5.524,222996.0
2010-04-09,5.514,5.524,5.473,5.524,58644.0
2010-04-10,5.514,5.524,5.473,5.524,58644.0
2010-04-11,5.514,5.524,5.473,5.524,58644.0
2010-04-12,5.449,5.524,5.449,5.509,77265.0
2010-04-13,5.437,5.524,5.437,5.516,104969.0
2010-04-14,5.461,5.524,5.461,5.511,60299.0
2010-04-15,5.454,5.568,5.44,5.453,238041.0
