,HOT GR Equity,HOT GR Equity,HOT GR Equity,HOT GR Equity,HOT GR Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,34.352,34.578,34.127,34.455,188092.0
2010-01-02,34.352,34.578,34.127,34.455,188092.0
2010-01-03,34.352,34.578,34.127,34.455,188092.0
2010-01-04,34.102,35.292,34.102,35.099,372894.0
2010-01-05,35.08,36.257,35.08,36.225,532509.0
2010-01-06,36.193,36.842,35.98,36.675,430740.0
2010-01-07,36.559,36.733,35.955,36.257,417707.0
2010-01-08,36.373,36.772,36.103,36.611,317215.0
2010-01-09,36.373,36.772,36.103,36.611,317215.0
2010-01-10,36.373,36.772,36.103,36.611,317215.0
2010-01-11,36.83,37.93,36.83,37.151,521960.0
2010-01-12,37.479,37.479,35.935,36.032,557984.0
2010-01-13,36.096,37.074,36.025,36.675,285811.0
2010-01-14,36.926,37.158,36.553,36.772,254580.0
2010-01-15,36.752,36.978,36.064,36.064,288042.0
2010-01-16,36.752,36.978,36.064,36.064,288042.0
2010-01-17,36.752,36.978,36.064,36.064,288042.0
2010-01-18,36.186,36.727,36.186,36.579,271572.0
2010-01-19,36.553,36.772,35.53,36.611,405364.0
2010-01-20,36.624,36.759,35.839,35.839,387348.0
2010-01-21,36.167,36.347,34.925,35.047,396849.0
2010-01-22,34.919,36.045,34.745,34.97,674626.0
2010-01-23,34.919,36.045,34.745,34.97,674626.0
2010-01-24,34.919,36.045,34.745,34.97,674626.0
2010-01-25,34.404,35.832,34.359,34.874,460871.0
2010-01-26,34.43,34.655,33.883,34.565,413668.0
2010-01-27,34.462,34.867,33.838,34.327,475227.0
2010-01-28,34.558,35.131,34.23,34.295,849081.0
2010-01-29,34.307,34.989,34.114,34.745,347906.0
2010-01-30,34.307,34.989,34.114,34.745,347906.0
2010-01-31,34.307,34.989,34.114,34.745,347906.0
2010-02-01,34.449,35.266,34.423,35.131,310727.0
2010-02-02,35.092,36.289,34.848,35.967,523031.0
2010-02-03,36.18,36.341,35.916,36.032,344883.0
2010-02-04,36.09,36.225,34.102,34.23,572955.0
2010-02-05,34.024,34.037,32.628,32.911,865793.0
2010-02-06,34.024,34.037,32.628,32.911,865793.0
2010-02-07,34.024,34.037,32.628,32.911,865793.0
2010-02-08,32.976,33.709,31.853,32.622,978325.0
2010-02-09,32.525,33.458,32.461,33.458,514604.0
2010-02-10,33.317,34.102,33.156,33.715,575210.0
2010-02-11,33.773,34.449,33.265,33.876,528710.0
2010-02-12,33.831,34.082,32.609,33.201,534827.0
2010-02-13,33.831,34.082,32.609,33.201,534827.0
2010-02-14,33.831,34.082,32.609,33.201,534827.0
2010-02-15,33.066,33.651,33.008,33.555,233264.0
2010-02-16,33.786,34.359,33.458,34.005,396737.0
2010-02-17,34.159,35.247,34.159,35.002,421542.0
2010-02-18,34.964,35.659,34.964,35.485,331820.0
2010-02-19,35.408,35.626,34.23,35.549,339492.0
2010-02-20,35.408,35.626,34.23,35.549,339492.0
