,DEC LN Equity
,RSI_30D
2020-01-01,51.4433
2020-01-02,49.8585
2020-01-03,50.645
2020-01-04,50.645
2020-01-05,50.645
2020-01-06,50.645
2020-01-07,50.645
2020-01-08,53.0886
2020-01-09,49.6949
2020-01-10,49.6949
2020-01-11,49.6949
2020-01-12,49.6949
2020-01-13,50.5407
2020-01-14,48.0341
2020-01-15,46.4455
2020-01-16,48.2172
2020-01-17,45.8628
2020-01-18,45.8628
2020-01-19,45.8628
2020-01-20,45.8628
2020-01-21,44.319
2020-01-22,43.5605
2020-01-23,36.4602
2020-01-24,35.8016
2020-01-25,35.8016
2020-01-26,35.8016
2020-01-27,34.3059
2020-01-28,33.0805
2020-01-29,37.6859
2020-01-30,35.9783
2020-01-31,32.7192
2020-02-01,32.7192
2020-02-02,32.7192
2020-02-03,31.8416
2020-02-04,37.0792
2020-02-05,36.4989
2020-02-06,35.3541
2020-02-07,34.7898
2020-02-08,34.7898
2020-02-09,34.7898
2020-02-10,32.3005
2020-02-11,33.0089
2020-02-12,32.4815
2020-02-13,30.3106
2020-02-14,35.7757
2020-02-15,35.7757
2020-02-16,35.7757
2020-02-17,36.4205
2020-02-18,35.4988
2020-02-19,35.8348
2020-02-20,40.6328
2020-02-21,42.1251
2020-02-22,42.1251
2020-02-23,42.1251
2020-02-24,41.0574
2020-02-25,43.9942
2020-02-26,41.6337
2020-02-27,37.4738
2020-02-28,32.9802
2020-02-29,32.9802
2020-03-01,32.9802
2020-03-02,32.2896
2020-03-03,32.2896
2020-03-04,34.9149
2020-03-05,30.874
2020-03-06,31.7382
2020-03-07,31.7382
2020-03-08,31.7382
2020-03-09,27.4746
2020-03-10,29.1164
2020-03-11,30.7383
2020-03-12,26.6395
2020-03-13,30.5688
2020-03-14,30.5688
2020-03-15,30.5688
2020-03-16,29.1553
2020-03-17,28.7622
2020-03-18,32.7486
2020-03-19,36.4288
2020-03-20,40.9512
2020-03-21,40.9512
2020-03-22,40.9512
2020-03-23,40.9512
2020-03-24,45.1286
2020-03-25,49.7641
2020-03-26,51.0907
2020-03-27,50.7824
2020-03-28,50.7824
2020-03-29,50.7824
2020-03-30,50.1563
2020-03-31,54.5081
2020-04-01,52.0779
2020-04-02,52.7804
2020-04-03,52.0697
2020-04-04,52.0697
2020-04-05,52.0697
2020-04-06,54.9297
2020-04-07,56.8152
2020-04-08,55.0092
2020-04-09,53.1809
2020-04-10,53.1809
2020-04-11,53.1809
2020-04-12,53.1809
2020-04-13,53.1809
2020-04-14,51.0444
2020-04-15,47.7158
2020-04-16,47.3758
2020-04-17,53.0513
2020-04-18,53.0513
2020-04-19,53.0513
2020-04-20,53.3054
2020-04-21,56.0147
2020-04-22,55.2608
2020-04-23,56.7656
2020-04-24,56.7656
2020-04-25,56.7656
2020-04-26,56.7656
2020-04-27,55.7226
2020-04-28,56.2977
2020-04-29,55.7155
2020-04-30,56.8369
2020-05-01,57.7484
2020-05-02,57.7484
2020-05-03,57.7484
2020-05-04,58.3976
2020-05-05,63.9052
2020-05-06,65.5749
2020-05-07,64.4858
2020-05-08,64.4858
2020-05-09,64.4858
2020-05-10,64.4858
2020-05-11,64.9871
2020-05-12,62.4342
2020-05-13,61.1909
2020-05-14,59.4416
2020-05-15,57.4044
2020-05-16,57.4044
2020-05-17,57.4044
2020-05-18,57.6546
2020-05-19,57.9104
2020-05-20,57.0197
2020-05-21,57.8249
2020-05-22,59.7741
2020-05-23,59.7741
2020-05-24,59.7741
2020-05-25,59.7741
2020-05-26,60.2805
2020-05-27,60.7911
2020-05-28,64.2473
2020-05-29,58.7565
2020-05-30,58.7565
2020-05-31,58.7565
2020-06-01,60.3288
2020-06-02,59.965
2020-06-03,61.0582
2020-06-04,59.3808
2020-06-05,59.1939
2020-06-06,59.1939
2020-06-07,59.1939
2020-06-08,58.0595
2020-06-09,57.4897
2020-06-10,57.7755
2020-06-11,53.8434
2020-06-12,52.7816
2020-06-13,52.7816
2020-06-14,52.7816
2020-06-15,52.9416
2020-06-16,54.3808
2020-06-17,52.8933
2020-06-18,53.3879
2020-06-19,54.2167
2020-06-20,54.2167
2020-06-21,54.2167
2020-06-22,52.3859
2020-06-23,52.9054
2020-06-24,49.1171
2020-06-25,49.4822
2020-06-26,48.1422
2020-06-27,48.1422
2020-06-28,48.1422
2020-06-29,48.0525
2020-06-30,49.6073
2020-07-01,51.1208
2020-07-02,51.0217
2020-07-03,49.2446
2020-07-04,49.2446
2020-07-05,49.2446
2020-07-06,49.346
2020-07-07,49.7613
2020-07-08,50.2883
2020-07-09,48.4988
2020-07-10,47.2705
2020-07-11,47.2705
2020-07-12,47.2705
2020-07-13,48.0642
2020-07-14,48.6356
2020-07-15,50.4404
2020-07-16,53.4043
2020-07-17,54.014
2020-07-18,54.014
2020-07-19,54.014
2020-07-20,53.2926
2020-07-21,53.9291
2020-07-22,52.6912
2020-07-23,49.9624
2020-07-24,49.9624
2020-07-25,49.9624
2020-07-26,49.9624
2020-07-27,49.8423
2020-07-28,49.5956
2020-07-29,50.6071
2020-07-30,51.1145
2020-07-31,49.5353
2020-08-01,49.5353
2020-08-02,49.5353
2020-08-03,50.7166
2020-08-04,52.7509
2020-08-05,54.0983
2020-08-06,53.9536
2020-08-07,53.363
2020-08-08,53.363
2020-08-09,53.363
2020-08-10,55.0185
2020-08-11,59.7892
2020-08-12,59.1709
