,BUR LN Equity
,RSI_30D
2020-01-01,41.4645
2020-01-02,41.3169
2020-01-03,40.2307
2020-01-04,40.2307
2020-01-05,40.2307
2020-01-06,38.7458
2020-01-07,41.0685
2020-01-08,38.9668
2020-01-09,41.6353
2020-01-10,41.3889
2020-01-11,41.3889
2020-01-12,41.3889
2020-01-13,39.9702
2020-01-14,42.7694
2020-01-15,40.0185
2020-01-16,39.8789
2020-01-17,40.0951
2020-01-18,40.0951
2020-01-19,40.0951
2020-01-20,39.4108
2020-01-21,37.4281
2020-01-22,37.6598
2020-01-23,36.7677
2020-01-24,35.5303
2020-01-25,35.5303
2020-01-26,35.5303
2020-01-27,35.348
2020-01-28,36.1111
2020-01-29,39.9404
2020-01-30,39.5749
2020-01-31,38.1312
2020-02-01,38.1312
2020-02-02,38.1312
2020-02-03,41.7431
2020-02-04,46.8383
2020-02-05,46.2649
2020-02-06,42.3496
2020-02-07,41.261
2020-02-08,41.261
2020-02-09,41.261
2020-02-10,39.5405
2020-02-11,40.0434
2020-02-12,40.3368
2020-02-13,37.9365
2020-02-14,37.3842
2020-02-15,37.3842
2020-02-16,37.3842
2020-02-17,38.5412
2020-02-18,36.9858
2020-02-19,37.7731
2020-02-20,41.6916
2020-02-21,41.7645
2020-02-22,41.7645
2020-02-23,41.7645
2020-02-24,39.7087
2020-02-25,39.0622
2020-02-26,39.9951
2020-02-27,35.7914
2020-02-28,34.6895
2020-02-29,34.6895
2020-03-01,34.6895
2020-03-02,31.8781
2020-03-03,33.4285
2020-03-04,31.3542
2020-03-05,30.1158
2020-03-06,29.2526
2020-03-07,29.2526
2020-03-08,29.2526
2020-03-09,26.7176
2020-03-10,27.8066
2020-03-11,26.7718
2020-03-12,25.5854
2020-03-13,26.8509
2020-03-14,26.8509
2020-03-15,26.8509
2020-03-16,23.2602
2020-03-17,22.4377
2020-03-18,21.646
2020-03-19,23.5953
2020-03-20,26.4773
2020-03-21,26.4773
2020-03-22,26.4773
2020-03-23,25.9957
2020-03-24,26.9894
2020-03-25,33.236
2020-03-26,41.3509
2020-03-27,39.1378
2020-03-28,39.1378
2020-03-29,39.1378
2020-03-30,39.1796
2020-03-31,41.6283
2020-04-01,39.2719
2020-04-02,36.118
2020-04-03,35.0554
2020-04-04,35.0554
2020-04-05,35.0554
2020-04-06,38.5436
2020-04-07,43.5778
2020-04-08,43.6898
2020-04-09,47.4647
2020-04-10,47.4647
2020-04-11,47.4647
2020-04-12,47.4647
2020-04-13,47.4647
2020-04-14,42.9539
2020-04-15,40.6567
2020-04-16,40.7973
2020-04-17,43.1499
2020-04-18,43.1499
2020-04-19,43.1499
2020-04-20,42.5947
2020-04-21,40.8615
2020-04-22,40.3982
2020-04-23,42.2666
2020-04-24,45.1083
2020-04-25,45.1083
2020-04-26,45.1083
2020-04-27,46.7371
2020-04-28,51.5281
2020-04-29,51.9138
2020-04-30,53.2536
2020-05-01,49.7601
2020-05-02,49.7601
2020-05-03,49.7601
2020-05-04,47.152
2020-05-05,48.8867
2020-05-06,48.7022
2020-05-07,48.0194
2020-05-08,48.0194
2020-05-09,48.0194
2020-05-10,48.0194
2020-05-11,51.8852
2020-05-12,52.3009
2020-05-13,50.4345
2020-05-14,48.1281
2020-05-15,48.4823
2020-05-16,48.4823
2020-05-17,48.4823
2020-05-18,48.7431
2020-05-19,48.6088
2020-05-20,49.7545
2020-05-21,51.0976
2020-05-22,51.2392
2020-05-23,51.2392
2020-05-24,51.2392
2020-05-25,51.2392
2020-05-26,53.6981
2020-05-27,50.3468
2020-05-28,49.8232
2020-05-29,49.2629
2020-05-30,49.2629
2020-05-31,49.2629
2020-06-01,48.5982
2020-06-02,51.3385
2020-06-03,53.536
2020-06-04,55.2916
2020-06-05,57.6471
2020-06-06,57.6471
2020-06-07,57.6471
2020-06-08,58.2164
2020-06-09,57.6994
2020-06-10,56.1169
2020-06-11,52.6432
2020-06-12,53.1361
2020-06-13,53.1361
2020-06-14,53.1361
2020-06-15,52.5536
2020-06-16,52.8894
2020-06-17,53.6909
2020-06-18,52.0696
2020-06-19,52.167
2020-06-20,52.167
2020-06-21,52.167
2020-06-22,54.5413
2020-06-23,55.4321
