2020-01-01,2020-04-01,2020-07-01,2020-10-01,2021-01-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01
004170 KS,004170 KS,004170 KS,000210 KS,000210 KS,004170 KS,005940 KS,000210 KS,000210 KS,000270 KS,000880 KS,005940 KS,000270 KS,005940 KS,000210 KS,000270 KS
006360 KS,006360 KS,006360 KS,006360 KS,006360 KS,006360 KS,021240 KS,006360 KS,006360 KS,000880 KS,003550 KS,011780 KS,000660 KS,021240 KS,004170 KS,000880 KS
011780 KS,011780 KS,011780 KS,021240 KS,021240 KS,011780 KS,028050 KS,021240 KS,021240 KS,001120 KS,005940 KS,016360 KS,000880 KS,039490 KS,005940 KS,001120 KS
036490 KS,036490 KS,036490 KS,028050 KS,028050 KS,036490 KS,039490 KS,028050 KS,028050 KS,003550 KS,011070 KS,021240 KS,001120 KS,071050 KS,006360 KS,003490 KS
042670 KS,042670 KS,042670 KS,039490 KS,036490 KS,042670 KS,055550 KS,039490 KS,039490 KS,005490 KS,011780 KS,035420 KS,001430 KS,086790 KS,007700 KS,004170 KS
057050 KS,057050 KS,057050 KS,051600 KS,051600 KS,057050 KS,086790 KS,051600 KS,051600 KS,005940 KS,016360 KS,039490 KS,003550 KS,161890 KS,011780 KS,005930 KS
086790 KS,086790 KS,086790 KS,055550 KS,055550 KS,086790 KS,097950 KS,055550 KS,055550 KS,006650 KS,021240 KS,071050 KS,004020 KS,175330 KS,021240 KS,006260 KS
139130 KS,139130 KS,139130 KS,086790 KS,081660 KS,139130 KS,175330 KS,086790 KS,086790 KS,006800 KS,024110 KS,086790 KS,005490 KS,1801 JP,024110 KS,010950 KS
1801 JP,1801 JP,1801 JP,096530 KS,086280 KS,1801 JP,1801 JP,096530 KS,096530 KS,007070 KS,034220 KS,105560 KS,005940 KS,1812 JP,028050 KS,011070 KS
1802 JP,1802 JP,1802 JP,105560 KS,086790 KS,1802 JP,1802 JP,105560 KS,105560 KS,010950 KS,035420 KS,1305 TT,006800 KS,1878 JP,036490 KS,011200 KS
1803 JP,1803 JP,1803 JP,138930 KS,090460 KS,1803 JP,1803 JP,138930 KS,138930 KS,011070 KS,036490 KS,175330 KS,007070 KS,2458 TT,039490 KS,011780 KS
1808 JP,1808 JP,1808 JP,139130 KS,105560 KS,1808 JP,1808 JP,139130 KS,139130 KS,011170 KS,039490 KS,2301 TT,010950 KS,2603 TT,042670 KS,020000 KS
1878 JP,1878 JP,1878 JP,175330 KS,138930 KS,1878 JP,1812 JP,175330 KS,175330 KS,011200 KS,047040 KS,2357 TT,011070 KS,2881 TT,051600 KS,021240 KS
192080 KS,192080 KS,192080 KS,1801 JP,139130 KS,192080 KS,1878 JP,1801 JP,1801 JP,011780 KS,048260 KS,2377 TT,011170 KS,3092 JP,055550 KS,024110 KS
1925 JP,1925 JP,1925 JP,1802 JP,1801 JP,1925 JP,2383 TT,1802 JP,1802 JP,016360 KS,055550 KS,2382 TT,011780 KS,3288 JP,056190 KS,028050 KS
1928 HK,1928 HK,1928 HK,1808 JP,1802 JP,1928 HK,2588 HK,1808 JP,1808 JP,017670 KS,071050 KS,2458 TT,016360 KS,6669 TT,067160 KS,028670 KS
2439 TT,2439 TT,2439 TT,1812 JP,1803 JP,2439 TT,2881 TT,1812 JP,1812 JP,021240 KS,078930 KS,2474 TT,021240 KS,8299 TT,071050 KS,031430 KS
294870 KS,294870 KS,294870 KS,1878 JP,1808 JP,294870 KS,294870 KS,1878 JP,1878 JP,024110 KS,086790 KS,2603 TT,024110 KS,8436 TT,081660 KS,036460 KS
3092 JP,3092 JP,3092 JP,2313 TT,1812 JP,3092 JP,3092 JP,2313 TT,2313 TT,034220 KS,103140 KS,2881 TT,028670 KS,8795 JP,086790 KS,039490 KS
