,USDPKR BGN Curncy
,PX_LAST
2010-01-01,84.3263
2010-01-02,84.3263
2010-01-03,84.3263
2010-01-04,84.5
2010-01-05,84.7545
2010-01-06,84.674
2010-01-07,84.7698
2010-01-08,84.82
2010-01-09,84.82
2010-01-10,84.82
2010-01-11,84.836
2010-01-12,84.811
2010-01-13,84.7643
2010-01-14,84.5255
2010-01-15,84.1783
2010-01-16,84.1783
2010-01-17,84.1783
2010-01-18,84.3324
2010-01-19,84.666
2010-01-20,84.5232
2010-01-21,84.5179
2010-01-22,84.53
2010-01-23,84.53
2010-01-24,84.53
2010-01-25,84.61
2010-01-26,84.616
2010-01-27,84.5519
2010-01-28,84.6714
2010-01-29,84.7713
2010-01-30,84.7713
2010-01-31,84.7713
2010-02-01,84.988
2010-02-02,84.8505
2010-02-03,84.9078
2010-02-04,84.945
2010-02-05,84.783
2010-02-06,84.783
2010-02-07,84.783
2010-02-08,84.96
2010-02-09,84.8196
2010-02-10,84.8767
2010-02-11,84.925
2010-02-12,85.0667
2010-02-13,85.0667
2010-02-14,85.0667
2010-02-15,84.9216
2010-02-16,84.8817
2010-02-17,84.8753
2010-02-18,84.805
2010-02-19,84.8926
2010-02-20,84.8926
2010-02-21,84.8926
2010-02-22,85.06
2010-02-23,85.0153
2010-02-24,85.0625
2010-02-25,84.9933
2010-02-26,85.3503
2010-02-27,85.3503
2010-02-28,85.3503
2010-03-01,84.9935
2010-03-02,85.3275
2010-03-03,85.0693
2010-03-04,84.7721
2010-03-05,84.7608
2010-03-06,84.7608
2010-03-07,84.7608
2010-03-08,84.6187
2010-03-09,84.4953
2010-03-10,84.52
2010-03-11,84.32
2010-03-12,83.8858
2010-03-13,83.8858
2010-03-14,83.8858
2010-03-15,84.1666
2010-03-16,84.4488
2010-03-17,84.21
2010-03-18,84.3575
2010-03-19,84.334
2010-03-20,84.334
2010-03-21,84.334
2010-03-22,84.1503
2010-03-23,84.1373
2010-03-24,83.9133
2010-03-25,83.725
2010-03-26,83.8723
2010-03-27,83.8723
2010-03-28,83.8723
2010-03-29,83.8348
2010-03-30,84.11
2010-03-31,84.055
2010-04-01,84.3936
2010-04-02,84.3981
2010-04-03,84.3981
2010-04-04,84.3981
2010-04-05,84.27
2010-04-06,83.86
2010-04-07,83.6012
2010-04-08,83.6981
2010-04-09,84.0756
2010-04-10,84.0756
2010-04-11,84.0756
2010-04-12,83.9708
2010-04-13,83.802
2010-04-14,83.8681
2010-04-15,83.9217
2010-04-16,84.005
2010-04-17,84.005
2010-04-18,84.005
2010-04-19,84.0031
2010-04-20,84.186
2010-04-21,83.9181
2010-04-22,83.95
2010-04-23,84.1538
2010-04-24,84.1538
2010-04-25,84.1538
2010-04-26,83.964
2010-04-27,84.06
2010-04-28,83.9685
2010-04-29,84.02
2010-04-30,84.04
2010-05-01,84.04
2010-05-02,84.04
2010-05-03,84.105
2010-05-04,84.1
2010-05-05,84.1779
2010-05-06,84.2232
2010-05-07,84.349
2010-05-08,84.349
2010-05-09,84.349
2010-05-10,84.1699
2010-05-11,83.925
2010-05-12,84.0947
2010-05-13,84.2031
2010-05-14,84.28
2010-05-15,84.28
2010-05-16,84.28
2010-05-17,84.4521
2010-05-18,84.525
2010-05-19,84.3827
2010-05-20,84.2875
2010-05-21,84.5304
2010-05-22,84.5304
2010-05-23,84.5304
2010-05-24,84.528
2010-05-25,84.7056
2010-05-26,85.1715
2010-05-27,85.025
2010-05-28,85.1375
2010-05-29,85.1375
2010-05-30,85.1375
