,USDMXN BGN Curncy
,PX_LAST
2010-01-01,13.1013
2010-01-02,13.1013
2010-01-03,13.1013
2010-01-04,12.8752
2010-01-05,12.8112
2010-01-06,12.737
2010-01-07,12.7854
2010-01-08,12.697
2010-01-09,12.697
2010-01-10,12.697
2010-01-11,12.7399
2010-01-12,12.8176
2010-01-13,12.7054
2010-01-14,12.6718
2010-01-15,12.6968
2010-01-16,12.6968
2010-01-17,12.6968
2010-01-18,12.66
2010-01-19,12.6402
2010-01-20,12.7563
2010-01-21,12.965
2010-01-22,12.9745
2010-01-23,12.9745
2010-01-24,12.9745
2010-01-25,12.8571
2010-01-26,12.8707
2010-01-27,12.9612
2010-01-28,13.0663
2010-01-29,13.095
2010-01-30,13.095
2010-01-31,13.095
2010-02-01,12.8773
2010-02-02,12.8629
2010-02-03,12.95
2010-02-04,13.1659
2010-02-05,13.1409
2010-02-06,13.1409
2010-02-07,13.1409
2010-02-08,13.2168
2010-02-09,13.0103
2010-02-10,13.1303
2010-02-11,12.9455
2010-02-12,12.9406
2010-02-13,12.9406
2010-02-14,12.9406
2010-02-15,12.936
2010-02-16,12.8425
2010-02-17,12.8825
2010-02-18,12.8737
2010-02-19,12.7977
2010-02-20,12.7977
2010-02-21,12.7977
2010-02-22,12.8098
2010-02-23,12.9315
2010-02-24,12.8055
2010-02-25,12.8047
2010-02-26,12.772
2010-02-27,12.772
2010-02-28,12.772
2010-03-01,12.7326
2010-03-02,12.7326
2010-03-03,12.6953
2010-03-04,12.7119
2010-03-05,12.6308
2010-03-06,12.6308
2010-03-07,12.6308
2010-03-08,12.6808
2010-03-09,12.6208
2010-03-10,12.5944
2010-03-11,12.5651
2010-03-12,12.5322
2010-03-13,12.5322
2010-03-14,12.5322
2010-03-15,12.5424
2010-03-16,12.5282
2010-03-17,12.4553
2010-03-18,12.5234
2010-03-19,12.5854
2010-03-20,12.5854
2010-03-21,12.5854
2010-03-22,12.5354
2010-03-23,12.4788
2010-03-24,12.5857
2010-03-25,12.5655
2010-03-26,12.4962
2010-03-27,12.4962
2010-03-28,12.4962
2010-03-29,12.4325
2010-03-30,12.3684
2010-03-31,12.365
2010-04-01,12.3223
2010-04-02,12.3026
2010-04-03,12.3026
2010-04-04,12.3026
2010-04-05,12.2491
2010-04-06,12.2179
2010-04-07,12.2931
2010-04-08,12.2171
2010-04-09,12.1871
