,USDINR BGN Curncy
,PX_LAST
2010-01-01,46.62
2010-01-02,46.62
2010-01-03,46.62
2010-01-04,46.3062
2010-01-05,46.2444
2010-01-06,45.8587
2010-01-07,45.675
2010-01-08,45.7706
2010-01-09,45.7706
2010-01-10,45.7706
2010-01-11,45.3313
2010-01-12,45.7175
2010-01-13,45.6362
2010-01-14,45.625
2010-01-15,45.775
2010-01-16,45.775
2010-01-17,45.775
2010-01-18,45.645
2010-01-19,45.805
2010-01-20,45.93
2010-01-21,46.045
2010-01-22,46.155
2010-01-23,46.155
2010-01-24,46.155
2010-01-25,46.14
2010-01-26,46.14
2010-01-27,46.365
2010-01-28,46.3587
2010-01-29,46.1782
2010-01-30,46.1782
2010-01-31,46.1782
2010-02-01,46.375
2010-02-02,46.235
2010-02-03,45.9775
2010-02-04,46.2538
2010-02-05,46.7425
2010-02-06,46.7425
2010-02-07,46.7425
2010-02-08,46.8112
2010-02-09,46.6681
2010-02-10,46.4869
2010-02-11,46.5
2010-02-12,46.5
2010-02-13,46.5
2010-02-14,46.5
2010-02-15,46.325
2010-02-16,46.2125
2010-02-17,46.115
2010-02-18,46.2713
2010-02-19,46.3056
2010-02-20,46.3056
2010-02-21,46.3056
2010-02-22,46.2156
2010-02-23,46.24
2010-02-24,46.3437
2010-02-25,46.4138
2010-02-26,46.085
2010-02-27,46.085
2010-02-28,46.085
2010-03-01,46.085
2010-03-02,46.0088
2010-03-03,45.8363
2010-03-04,45.815
2010-03-05,45.615
2010-03-06,45.615
2010-03-07,45.615
2010-03-08,45.5325
2010-03-09,45.635
2010-03-10,45.3638
2010-03-11,45.6113
2010-03-12,45.445
2010-03-13,45.445
2010-03-14,45.445
2010-03-15,45.5888
2010-03-16,45.5888
2010-03-17,45.355
2010-03-18,45.4544
2010-03-19,45.4966
2010-03-20,45.4966
2010-03-21,45.4966
2010-03-22,45.595
2010-03-23,45.595
2010-03-24,45.595
2010-03-25,45.515
2010-03-26,45.24
2010-03-27,45.24
2010-03-28,45.24
2010-03-29,44.9744
2010-03-30,45.075
2010-03-31,44.9175
2010-04-01,44.9175
2010-04-02,44.9175
2010-04-03,44.9175
2010-04-04,44.9175
2010-04-05,44.445
2010-04-06,44.455
2010-04-07,44.545
2010-04-08,44.465
2010-04-09,44.2938
2010-04-10,44.2938
2010-04-11,44.2938
2010-04-12,44.455
2010-04-13,44.4738
2010-04-14,44.4738
2010-04-15,44.4388
2010-04-16,44.33
2010-04-17,44.33
2010-04-18,44.33
2010-04-19,44.7313
2010-04-20,44.5063
2010-04-21,44.555
2010-04-22,44.5456
2010-04-23,44.4363
2010-04-24,44.4363
2010-04-25,44.4363
2010-04-26,44.395
2010-04-27,44.445
2010-04-28,44.6475
2010-04-29,44.52
2010-04-30,44.365
2010-05-01,44.365
2010-05-02,44.365
2010-05-03,44.5256
2010-05-04,44.625
2010-05-05,44.9363
2010-05-06,45.3063
2010-05-07,45.4775
2010-05-08,45.4775
2010-05-09,45.4775
2010-05-10,44.8588
2010-05-11,45.295
2010-05-12,45.1106
2010-05-13,45.0775
2010-05-14,45.205
2010-05-15,45.205
2010-05-16,45.205
2010-05-17,45.63
2010-05-18,45.5863
2010-05-19,46.3688
2010-05-20,46.8175
2010-05-21,46.9244
2010-05-22,46.9244
2010-05-23,46.9244
2010-05-24,46.9763
2010-05-25,47.6963
2010-05-26,47.31
2010-05-27,47.31
2010-05-28,46.355
2010-05-29,46.355
2010-05-30,46.355
2010-05-31,46.3675
2010-06-01,47.1575
2010-06-02,46.985
2010-06-03,46.695
2010-06-04,46.845
2010-06-05,46.845
2010-06-06,46.845
2010-06-07,47.095
2010-06-08,46.945
2010-06-09,47.025
2010-06-10,46.97
2010-06-11,46.845
2010-06-12,46.845
2010-06-13,46.845
2010-06-14,46.4913
2010-06-15,46.5675
2010-06-16,46.5569
2010-06-17,46.315
2010-06-18,46.1744
2010-06-19,46.1744
2010-06-20,46.1744
2010-06-21,45.7544
2010-06-22,46.245
2010-06-23,46.1875
2010-06-24,46.4863
2010-06-25,46.29
2010-06-26,46.29
2010-06-27,46.29
2010-06-28,46.2125
2010-06-29,46.485
2010-06-30,46.45
2010-07-01,46.575
2010-07-02,46.7856
2010-07-03,46.7856
2010-07-04,46.7856
2010-07-05,46.78
2010-07-06,46.9063
2010-07-07,47.035
2010-07-08,46.865
