,USDNOK BGN Curncy
,PX_LAST
2010-01-01,5.7672
2010-01-02,5.7672
2010-01-03,5.7672
2010-01-04,5.7113
2010-01-05,5.7167
2010-01-06,5.6658
2010-01-07,5.7131
2010-01-08,5.6668
2010-01-09,5.6668
2010-01-10,5.6668
2010-01-11,5.6088
2010-01-12,5.6639
2010-01-13,5.6407
2010-01-14,5.6307
2010-01-15,5.6803
2010-01-16,5.6803
2010-01-17,5.6803
2010-01-18,5.6538
2010-01-19,5.6865
2010-01-20,5.779
2010-01-21,5.8222
2010-01-22,5.807
2010-01-23,5.807
2010-01-24,5.807
2010-01-25,5.812
2010-01-26,5.8394
2010-01-27,5.8532
2010-01-28,5.8951
2010-01-29,5.9274
2010-01-30,5.9274
2010-01-31,5.9274
2010-02-01,5.8631
2010-02-02,5.8352
2010-02-03,5.8711
2010-02-04,5.9706
2010-02-05,5.9866
2010-02-06,5.9866
2010-02-07,5.9866
2010-02-08,5.9859
2010-02-09,5.8976
2010-02-10,5.9093
2010-02-11,5.8865
2010-02-12,5.9048
2010-02-13,5.9048
2010-02-14,5.9048
2010-02-15,5.9199
2010-02-16,5.8519
2010-02-17,5.881
2010-02-18,5.9595
2010-02-19,5.9404
2010-02-20,5.9404
2010-02-21,5.9404
2010-02-22,5.9114
2010-02-23,5.9572
2010-02-24,5.936
2010-02-25,5.9368
2010-02-26,5.91
2010-02-27,5.91
2010-02-28,5.91
2010-03-01,5.9373
2010-03-02,5.9246
2010-03-03,5.8795
2010-03-04,5.9279
2010-03-05,5.8943
2010-03-06,5.8943
2010-03-07,5.8943
2010-03-08,5.8915
2010-03-09,5.9011
2010-03-10,5.8686
2010-03-11,5.8647
2010-03-12,5.8279
2010-03-13,5.8279
2010-03-14,5.8279
2010-03-15,5.8714
2010-03-16,5.8255
2010-03-17,5.8213
2010-03-18,5.8702
2010-03-19,5.9153
2010-03-20,5.9153
2010-03-21,5.9153
2010-03-22,5.9311
2010-03-23,5.9433
2010-03-24,6.0413
2010-03-25,6.0997
2010-03-26,6.0446
2010-03-27,6.0446
2010-03-28,6.0446
2010-03-29,5.9591
2010-03-30,5.991
2010-03-31,5.9421
2010-04-01,5.9127
2010-04-02,5.94
2010-04-03,5.94
2010-04-04,5.94
2010-04-05,5.9421
2010-04-06,5.9627
