,USDTRY BGN Curncy
,PX_LAST
2010-01-01,1.4986
2010-01-02,1.4986
2010-01-03,1.4986
2010-01-04,1.4739
2010-01-05,1.4727
2010-01-06,1.4712
2010-01-07,1.4708
2010-01-08,1.4585
2010-01-09,1.4585
2010-01-10,1.4585
2010-01-11,1.4493
2010-01-12,1.4533
2010-01-13,1.4519
2010-01-14,1.4561
2010-01-15,1.457
2010-01-16,1.457
2010-01-17,1.457
2010-01-18,1.4513
2010-01-19,1.4563
2010-01-20,1.4743
2010-01-21,1.4866
2010-01-22,1.4884
2010-01-23,1.4884
2010-01-24,1.4884
2010-01-25,1.4867
2010-01-26,1.4917
2010-01-27,1.5001
2010-01-28,1.4964
2010-01-29,1.4972
2010-01-30,1.4972
2010-01-31,1.4972
2010-02-01,1.4824
2010-02-02,1.4871
2010-02-03,1.4935
2010-02-04,1.525
2010-02-05,1.5289
2010-02-06,1.5289
2010-02-07,1.5289
2010-02-08,1.5221
2010-02-09,1.5102
2010-02-10,1.5152
2010-02-11,1.5115
2010-02-12,1.5146
2010-02-13,1.5146
2010-02-14,1.5146
2010-02-15,1.5166
2010-02-16,1.5044
2010-02-17,1.5127
2010-02-18,1.5235
2010-02-19,1.5132
2010-02-20,1.5132
2010-02-21,1.5132
2010-02-22,1.5309
2010-02-23,1.5517
2010-02-24,1.5444
2010-02-25,1.5472
2010-02-26,1.5498
2010-02-27,1.5498
2010-02-28,1.5498
2010-03-01,1.5366
2010-03-02,1.534
2010-03-03,1.5387
2010-03-04,1.5513
2010-03-05,1.5395
2010-03-06,1.5395
2010-03-07,1.5395
2010-03-08,1.5316
2010-03-09,1.5327
2010-03-10,1.5314
2010-03-11,1.5321
2010-03-12,1.5278
2010-03-13,1.5278
2010-03-14,1.5278
2010-03-15,1.5276
2010-03-16,1.5204
2010-03-17,1.5136
2010-03-18,1.5263
2010-03-19,1.5359
2010-03-20,1.5359
2010-03-21,1.5359
2010-03-22,1.5379
2010-03-23,1.5356
2010-03-24,1.5514
2010-03-25,1.5444
2010-03-26,1.5385
2010-03-27,1.5385
2010-03-28,1.5385
2010-03-29,1.5288
2010-03-30,1.53
2010-03-31,1.5176
2010-04-01,1.5153
2010-04-02,1.5149
2010-04-03,1.5149
2010-04-04,1.5149
2010-04-05,1.5075
2010-04-06,1.5042
2010-04-07,1.5007
2010-04-08,1.4968
2010-04-09,1.4887
2010-04-10,1.4887
2010-04-11,1.4887
2010-04-12,1.4861
2010-04-13,1.4841
2010-04-14,1.4735
2010-04-15,1.4708
2010-04-16,1.4852
2010-04-17,1.4852
2010-04-18,1.4852
2010-04-19,1.4909
2010-04-20,1.4874
2010-04-21,1.4818
2010-04-22,1.4862
2010-04-23,1.4825
2010-04-24,1.4825
2010-04-25,1.4825
2010-04-26,1.4747
2010-04-27,1.5038
2010-04-28,1.4974
2010-04-29,1.4843
2010-04-30,1.4882
2010-05-01,1.4882
2010-05-02,1.4882
2010-05-03,1.4921
2010-05-04,1.5231
2010-05-05,1.5358
2010-05-06,1.5942
2010-05-07,1.5608
2010-05-08,1.5608
2010-05-09,1.5608
2010-05-10,1.5261
2010-05-11,1.5361
2010-05-12,1.5232
2010-05-13,1.5226
2010-05-14,1.5454
2010-05-15,1.5454
2010-05-16,1.5454
2010-05-17,1.543
2010-05-18,1.5625
2010-05-19,1.5738
2010-05-20,1.598
2010-05-21,1.5777
2010-05-22,1.5777
2010-05-23,1.5777
2010-05-24,1.5771
2010-05-25,1.5818
2010-05-26,1.5878
2010-05-27,1.5594
2010-05-28,1.5675
2010-05-29,1.5675
2010-05-30,1.5675
2010-05-31,1.573
2010-06-01,1.5839
2010-06-02,1.5763
2010-06-03,1.5863
2010-06-04,1.6077
2010-06-05,1.6077
2010-06-06,1.6077
2010-06-07,1.6128
2010-06-08,1.6011
2010-06-09,1.6035
2010-06-10,1.5798
2010-06-11,1.579
2010-06-12,1.579
2010-06-13,1.579
2010-06-14,1.5768
2010-06-15,1.5636
2010-06-16,1.563
2010-06-17,1.5615
2010-06-18,1.555
2010-06-19,1.555
2010-06-20,1.555
2010-06-21,1.5577
2010-06-22,1.5668
2010-06-23,1.5715
2010-06-24,1.58
2010-06-25,1.5735
2010-06-26,1.5735
2010-06-27,1.5735
2010-06-28,1.5742
2010-06-29,1.5918
2010-06-30,1.5845
2010-07-01,1.5799
2010-07-02,1.5655
2010-07-03,1.5655
2010-07-04,1.5655
2010-07-05,1.5644
2010-07-06,1.555
2010-07-07,1.552
2010-07-08,1.551
2010-07-09,1.5543
2010-07-10,1.5543
2010-07-11,1.5543
2010-07-12,1.5554
2010-07-13,1.5444
2010-07-14,1.54
2010-07-15,1.5334
2010-07-16,1.5399
2010-07-17,1.5399
2010-07-18,1.5399
2010-07-19,1.5388
2010-07-20,1.5304
2010-07-21,1.5339
2010-07-22,1.5205
2010-07-23,1.5224
2010-07-24,1.5224
2010-07-25,1.5224
2010-07-26,1.513
2010-07-27,1.5088
2010-07-28,1.5123
2010-07-29,1.5125
2010-07-30,1.5078
2010-07-31,1.5078
2010-08-01,1.5078
2010-08-02,1.4948
2010-08-03,1.4928
2010-08-04,1.498
2010-08-05,1.5028
2010-08-06,1.4893
2010-08-07,1.4893
2010-08-08,1.4893
2010-08-09,1.4923
2010-08-10,1.4981
2010-08-11,1.521
2010-08-12,1.5202
2010-08-13,1.5177
2010-08-14,1.5177
2010-08-15,1.5177
