,USDHKD BGN Curncy
,PX_LAST
2010-01-01,7.7552
2010-01-02,7.7552
2010-01-03,7.7552
2010-01-04,7.7558
2010-01-05,7.756
2010-01-06,7.7543
2010-01-07,7.7556
2010-01-08,7.756
2010-01-09,7.756
2010-01-10,7.756
2010-01-11,7.7553
2010-01-12,7.7553
2010-01-13,7.7568
2010-01-14,7.758
2010-01-15,7.7604
2010-01-16,7.7604
2010-01-17,7.7604
2010-01-18,7.763
2010-01-19,7.7632
2010-01-20,7.7688
2010-01-21,7.7703
2010-01-22,7.7723
2010-01-23,7.7723
2010-01-24,7.7723
2010-01-25,7.7694
2010-01-26,7.776
2010-01-27,7.7766
2010-01-28,7.7675
2010-01-29,7.7645
2010-01-30,7.7645
2010-01-31,7.7645
2010-02-01,7.7681
2010-02-02,7.7662
2010-02-03,7.7672
2010-02-04,7.7706
2010-02-05,7.7705
2010-02-06,7.7705
2010-02-07,7.7705
2010-02-08,7.7712
2010-02-09,7.77
2010-02-10,7.7698
2010-02-11,7.7697
2010-02-12,7.7703
2010-02-13,7.7703
2010-02-14,7.7703
2010-02-15,7.7721
2010-02-16,7.7698
2010-02-17,7.7674
2010-02-18,7.7657
2010-02-19,7.7656
2010-02-20,7.7656
2010-02-21,7.7656
2010-02-22,7.7628
2010-02-23,7.7623
2010-02-24,7.7658
2010-02-25,7.7644
2010-02-26,7.7626
2010-02-27,7.7626
2010-02-28,7.7626
2010-03-01,7.7646
2010-03-02,7.7624
2010-03-03,7.7625
2010-03-04,7.763
2010-03-05,7.7626
2010-03-06,7.7626
2010-03-07,7.7626
2010-03-08,7.7585
2010-03-09,7.759
2010-03-10,7.7584
2010-03-11,7.759
2010-03-12,7.7573
2010-03-13,7.7573
2010-03-14,7.7573
2010-03-15,7.7592
2010-03-16,7.761
2010-03-17,7.7616
2010-03-18,7.7609
2010-03-19,7.7593
2010-03-20,7.7593
2010-03-21,7.7593
2010-03-22,7.7611
2010-03-23,7.762
2010-03-24,7.7614
2010-03-25,7.7615
2010-03-26,7.7625
2010-03-27,7.7625
