,USDAUD BGN Curncy
,PX_LAST
2010-01-01,1.1136
2010-01-02,1.1136
2010-01-03,1.1136
2010-01-04,1.0957
2010-01-05,1.0966
2010-01-06,1.0873
2010-01-07,1.09
2010-01-08,1.0816
2010-01-09,1.0816
2010-01-10,1.0816
2010-01-11,1.0758
2010-01-12,1.087
2010-01-13,1.082
2010-01-14,1.0732
2010-01-15,1.0838
2010-01-16,1.0838
2010-01-17,1.0838
2010-01-18,1.0796
2010-01-19,1.0832
2010-01-20,1.0988
2010-01-21,1.1114
2010-01-22,1.1104
2010-01-23,1.1104
2010-01-24,1.1104
2010-01-25,1.106
2010-01-26,1.1129
2010-01-27,1.1169
2010-01-28,1.1178
2010-01-29,1.1316
2010-01-30,1.1316
2010-01-31,1.1316
2010-02-01,1.1219
2010-02-02,1.1282
2010-02-03,1.1325
2010-02-04,1.1566
2010-02-05,1.1518
2010-02-06,1.1518
2010-02-07,1.1518
2010-02-08,1.1565
2010-02-09,1.138
2010-02-10,1.1422
2010-02-11,1.1232
2010-02-12,1.1264
2010-02-13,1.1264
2010-02-14,1.1264
2010-02-15,1.1256
2010-02-16,1.1084
2010-02-17,1.1117
2010-02-18,1.1184
2010-02-19,1.1128
2010-02-20,1.1128
2010-02-21,1.1128
2010-02-22,1.1106
2010-02-23,1.1219
2010-02-24,1.119
2010-02-25,1.1257
2010-02-26,1.1166
2010-02-27,1.1166
2010-02-28,1.1166
2010-03-01,1.11
2010-03-02,1.1068
2010-03-03,1.1039
2010-03-04,1.111
2010-03-05,1.1017
2010-03-06,1.1017
2010-03-07,1.1017
2010-03-08,1.0998
2010-03-09,1.094
2010-03-10,1.0923
2010-03-11,1.0925
2010-03-12,1.0928
2010-03-13,1.0928
2010-03-14,1.0928
2010-03-15,1.0934
2010-03-16,1.0887
2010-03-17,1.0827
2010-03-18,1.0862
2010-03-19,1.0924
2010-03-20,1.0924
2010-03-21,1.0924
2010-03-22,1.089
2010-03-23,1.0884
2010-03-24,1.1021
2010-03-25,1.1021
2010-03-26,1.1061
2010-03-27,1.1061
2010-03-28,1.1061
2010-03-29,1.0897
2010-03-30,1.0873
2010-03-31,1.0903
2010-04-01,1.0856
2010-04-02,1.0879
2010-04-03,1.0879
2010-04-04,1.0879
2010-04-05,1.0853
2010-04-06,1.0772
2010-04-07,1.079
2010-04-08,1.0766
