,USDBRL BGN Curncy
,PX_LAST
2010-01-01,1.7445
2010-01-02,1.7445
2010-01-03,1.7445
2010-01-04,1.72
2010-01-05,1.7306
2010-01-06,1.731
2010-01-07,1.7465
2010-01-08,1.7264
2010-01-09,1.7264
2010-01-10,1.7264
2010-01-11,1.7373
2010-01-12,1.7484
2010-01-13,1.7569
2010-01-14,1.7602
2010-01-15,1.7723
2010-01-16,1.7723
2010-01-17,1.7723
2010-01-18,1.7643
2010-01-19,1.7701
2010-01-20,1.7888
2010-01-21,1.803
2010-01-22,1.8247
2010-01-23,1.8247
2010-01-24,1.8247
2010-01-25,1.821
2010-01-26,1.8353
2010-01-27,1.858
2010-01-28,1.872
2010-01-29,1.895
2010-01-30,1.895
2010-01-31,1.895
2010-02-01,1.8481
2010-02-02,1.8297
2010-02-03,1.8525
2010-02-04,1.8769
2010-02-05,1.8793
2010-02-06,1.8793
2010-02-07,1.8793
2010-02-08,1.8755
2010-02-09,1.8473
2010-02-10,1.8562
2010-02-11,1.8433
2010-02-12,1.8544
2010-02-13,1.8544
2010-02-14,1.8544
2010-02-15,1.8544
2010-02-16,1.8544
2010-02-17,1.8304
2010-02-18,1.8088
2010-02-19,1.8027
2010-02-20,1.8027
2010-02-21,1.8027
2010-02-22,1.8113
2010-02-23,1.8269
2010-02-24,1.8246
2010-02-25,1.8238
2010-02-26,1.8076
2010-02-27,1.8076
2010-02-28,1.8076
2010-03-01,1.7978
2010-03-02,1.7928
2010-03-03,1.7915
2010-03-04,1.7884
2010-03-05,1.7782
2010-03-06,1.7782
2010-03-07,1.7782
2010-03-08,1.7885
2010-03-09,1.7757
2010-03-10,1.7688
2010-03-11,1.7639
2010-03-12,1.7624
2010-03-13,1.7624
2010-03-14,1.7624
2010-03-15,1.7644
2010-03-16,1.7674
2010-03-17,1.767
2010-03-18,1.7917
2010-03-19,1.8017
2010-03-20,1.8017
2010-03-21,1.8017
2010-03-22,1.7897
2010-03-23,1.7761
2010-03-24,1.8012
2010-03-25,1.8191
2010-03-26,1.819
2010-03-27,1.819
2010-03-28,1.819
2010-03-29,1.7945
2010-03-30,1.7899
2010-03-31,1.7813
2010-04-01,1.7646
2010-04-02,1.7646
2010-04-03,1.7646
2010-04-04,1.7646
2010-04-05,1.7618
2010-04-06,1.7531
2010-04-07,1.7813
2010-04-08,1.7809
2010-04-09,1.764
2010-04-10,1.764
2010-04-11,1.764
2010-04-12,1.7532
2010-04-13,1.7495
2010-04-14,1.7455
2010-04-15,1.7488
2010-04-16,1.7582
2010-04-17,1.7582
2010-04-18,1.7582
2010-04-19,1.754
2010-04-20,1.7509
2010-04-21,1.7509
2010-04-22,1.7638
2010-04-23,1.7565
2010-04-24,1.7565
2010-04-25,1.7565
2010-04-26,1.7465
2010-04-27,1.7713
2010-04-28,1.7485
2010-04-29,1.7277
2010-04-30,1.7394
2010-05-01,1.7394
2010-05-02,1.7394
2010-05-03,1.727
2010-05-04,1.7648
2010-05-05,1.7951
2010-05-06,1.8551
2010-05-07,1.838
2010-05-08,1.838
2010-05-09,1.838
2010-05-10,1.771
2010-05-11,1.7904
2010-05-12,1.7741
2010-05-13,1.7756
2010-05-14,1.7993
2010-05-15,1.7993
2010-05-16,1.7993
2010-05-17,1.8006
2010-05-18,1.8219
2010-05-19,1.8278
2010-05-20,1.8836
2010-05-21,1.8534
2010-05-22,1.8534
2010-05-23,1.8534
2010-05-24,1.8704
2010-05-25,1.8451
2010-05-26,1.8717
2010-05-27,1.8153
2010-05-28,1.8171
2010-05-29,1.8171
2010-05-30,1.8171
2010-05-31,1.8209
2010-06-01,1.8478
2010-06-02,1.8176
2010-06-03,1.8176
2010-06-04,1.8654
2010-06-05,1.8654
2010-06-06,1.8654
2010-06-07,1.8798
2010-06-08,1.8543
2010-06-09,1.8501
2010-06-10,1.8045
2010-06-11,1.8107
2010-06-12,1.8107
2010-06-13,1.8107
2010-06-14,1.8111
2010-06-15,1.7875
2010-06-16,1.7873
2010-06-17,1.7802
2010-06-18,1.7721
2010-06-19,1.7721
2010-06-20,1.7721
2010-06-21,1.7712
2010-06-22,1.788
2010-06-23,1.7873
2010-06-24,1.7836
2010-06-25,1.7802
2010-06-26,1.7802
