,USDIDR BGN Curncy
,PX_LAST
2010-01-01,9403.0
2010-01-02,9403.0
2010-01-03,9403.0
2010-01-04,9346.0
2010-01-05,9320.0
2010-01-06,9279.0
2010-01-07,9235.0
2010-01-08,9220.0
2010-01-09,9220.0
2010-01-10,9220.0
2010-01-11,9153.0
2010-01-12,9168.0
2010-01-13,9178.0
2010-01-14,9168.0
2010-01-15,9203.0
2010-01-16,9203.0
2010-01-17,9203.0
2010-01-18,9226.0
2010-01-19,9230.0
2010-01-20,9328.0
2010-01-21,9305.0
2010-01-22,9350.0
2010-01-23,9350.0
2010-01-24,9350.0
2010-01-25,9348.0
2010-01-26,9413.0
2010-01-27,9428.0
2010-01-28,9345.0
2010-01-29,9353.0
2010-01-30,9353.0
2010-01-31,9353.0
2010-02-01,9408.0
2010-02-02,9363.0
2010-02-03,9295.0
2010-02-04,9326.0
2010-02-05,9410.0
2010-02-06,9410.0
2010-02-07,9410.0
2010-02-08,9405.0
2010-02-09,9373.0
2010-02-10,9360.0
2010-02-11,9378.0
2010-02-12,9343.0
2010-02-13,9343.0
2010-02-14,9343.0
2010-02-15,9350.0
2010-02-16,9325.0
2010-02-17,9280.0
2010-02-18,9325.0
2010-02-19,9343.0
2010-02-20,9343.0
2010-02-21,9343.0
2010-02-22,9295.0
2010-02-23,9298.0
2010-02-24,9333.0
2010-02-25,9345.0
2010-02-26,9343.0
2010-02-27,9343.0
2010-02-28,9343.0
2010-03-01,9263.0
2010-03-02,9293.0
2010-03-03,9280.0
2010-03-04,9275.0
2010-03-05,9235.0
2010-03-06,9235.0
2010-03-07,9235.0
2010-03-08,9180.0
2010-03-09,9198.0
2010-03-10,9175.0
2010-03-11,9195.0
2010-03-12,9152.0
2010-03-13,9152.0
2010-03-14,9152.0
2010-03-15,9165.0
2010-03-16,9175.0
2010-03-17,9124.0
2010-03-18,9125.0
2010-03-19,9108.0
2010-03-20,9108.0
2010-03-21,9108.0
2010-03-22,9125.0
2010-03-23,9115.0
2010-03-24,9127.0
2010-03-25,9130.0
2010-03-26,9120.0
2010-03-27,9120.0
2010-03-28,9120.0
2010-03-29,9090.0
2010-03-30,9091.0
2010-03-31,9100.0
2010-04-01,9078.0
2010-04-02,9055.0
2010-04-03,9055.0
2010-04-04,9055.0
2010-04-05,9062.0
2010-04-06,9050.0
2010-04-07,9055.0
2010-04-08,9069.0
2010-04-09,9032.0
2010-04-10,9032.0
2010-04-11,9032.0
2010-04-12,9020.0
2010-04-13,9028.0
2010-04-14,9013.0
2010-04-15,9008.0
2010-04-16,9008.0
2010-04-17,9008.0
2010-04-18,9008.0
2010-04-19,9040.0
2010-04-20,9018.0
2010-04-21,9017.0
2010-04-22,9014.0
2010-04-23,9012.0
2010-04-24,9012.0
2010-04-25,9012.0
2010-04-26,9008.0
2010-04-27,9013.0
2010-04-28,9041.0
2010-04-29,9018.0
2010-04-30,9010.0
2010-05-01,9010.0
2010-05-02,9010.0
2010-05-03,9030.0
2010-05-04,9025.0
2010-05-05,9093.0
2010-05-06,9188.0
2010-05-07,9216.0
2010-05-08,9216.0
2010-05-09,9216.0
2010-05-10,9075.0
2010-05-11,9113.0
2010-05-12,9096.0
2010-05-13,9091.0
2010-05-14,9100.0
2010-05-15,9100.0
2010-05-16,9100.0
2010-05-17,9143.0
2010-05-18,9114.0
2010-05-19,9181.0
2010-05-20,9265.0
2010-05-21,9281.0
2010-05-22,9281.0
2010-05-23,9281.0
2010-05-24,9269.0
2010-05-25,9378.0
2010-05-26,9320.0
2010-05-27,9268.0
2010-05-28,9210.0
2010-05-29,9210.0
2010-05-30,9210.0
2010-05-31,9175.0
2010-06-01,9250.0
2010-06-02,9250.0
2010-06-03,9193.0
2010-06-04,9190.0
2010-06-05,9190.0
2010-06-06,9190.0
2010-06-07,9271.0
2010-06-08,9256.0
2010-06-09,9253.0
2010-06-10,9243.0
2010-06-11,9200.0
2010-06-12,9200.0
2010-06-13,9200.0
2010-06-14,9169.0
2010-06-15,9175.0
