,USDPHP BGN Curncy
,PX_LAST
2010-01-01,46.16
2010-01-02,46.16
2010-01-03,46.16
2010-01-04,45.938
2010-01-05,45.92
2010-01-06,46.01
2010-01-07,45.83
2010-01-08,45.81
2010-01-09,45.81
2010-01-10,45.81
2010-01-11,45.58
2010-01-12,45.652
2010-01-13,45.85
2010-01-14,45.75
2010-01-15,45.82
2010-01-16,45.82
2010-01-17,45.82
2010-01-18,45.9
2010-01-19,45.85
2010-01-20,46.07
2010-01-21,45.99
2010-01-22,46.19
2010-01-23,46.19
2010-01-24,46.19
2010-01-25,46.235
2010-01-26,46.59
2010-01-27,46.69
2010-01-28,46.59
2010-01-29,46.5
2010-01-30,46.5
2010-01-31,46.5
2010-02-01,46.63
2010-02-02,46.385
2010-02-03,46.011
2010-02-04,46.17
2010-02-05,46.562
2010-02-06,46.562
2010-02-07,46.562
2010-02-08,46.59
2010-02-09,46.39
2010-02-10,46.432
2010-02-11,46.22
2010-02-12,46.25
2010-02-13,46.25
2010-02-14,46.25
2010-02-15,46.28
2010-02-16,46.11
2010-02-17,45.985
2010-02-18,46.175
2010-02-19,46.276
2010-02-20,46.276
2010-02-21,46.276
2010-02-22,46.153
2010-02-23,46.045
2010-02-24,46.165
2010-02-25,46.28
2010-02-26,46.13
2010-02-27,46.13
2010-02-28,46.13
2010-03-01,46.115
2010-03-02,46.088
2010-03-03,46.015
2010-03-04,46.09
2010-03-05,46.05
2010-03-06,46.05
2010-03-07,46.05
2010-03-08,45.82
2010-03-09,45.76
2010-03-10,45.65
2010-03-11,45.718
2010-03-12,45.66
2010-03-13,45.66
2010-03-14,45.66
2010-03-15,45.715
2010-03-16,45.72
2010-03-17,45.593
2010-03-18,45.69
2010-03-19,45.535
2010-03-20,45.535
2010-03-21,45.535
2010-03-22,45.68
2010-03-23,45.59
2010-03-24,45.55
2010-03-25,45.603
2010-03-26,45.51
2010-03-27,45.51
2010-03-28,45.51
2010-03-29,45.3
2010-03-30,45.288
2010-03-31,45.17
2010-04-01,45.17
2010-04-02,45.17
2010-04-03,45.17
2010-04-04,45.17
2010-04-05,44.995
2010-04-06,44.93
2010-04-07,44.8
2010-04-08,44.95
2010-04-09,44.67
2010-04-10,44.67
2010-04-11,44.67
2010-04-12,44.74
2010-04-13,44.675
2010-04-14,44.525
2010-04-15,44.355
2010-04-16,44.38
2010-04-17,44.38
2010-04-18,44.38
2010-04-19,44.63
2010-04-20,44.555
2010-04-21,44.37
2010-04-22,44.35
2010-04-23,44.33
2010-04-24,44.33
2010-04-25,44.33
2010-04-26,44.23
2010-04-27,44.43
2010-04-28,44.8
2010-04-29,44.65
2010-04-30,44.46
2010-05-01,44.46
2010-05-02,44.46
2010-05-03,44.638
2010-05-04,44.648
2010-05-05,45.018
2010-05-06,45.385
2010-05-07,45.558
2010-05-08,45.558
2010-05-09,45.558
2010-05-10,45.37
2010-05-11,45.005
2010-05-12,45.035
2010-05-13,44.805
2010-05-14,44.768
2010-05-15,44.768
2010-05-16,44.768
2010-05-17,45.2
2010-05-18,45.24
2010-05-19,45.753
2010-05-20,45.99
2010-05-21,46.5
2010-05-22,46.5
2010-05-23,46.5
2010-05-24,46.56
2010-05-25,47.127
2010-05-26,46.71
2010-05-27,46.47
2010-05-28,46.124
2010-05-29,46.124
2010-05-30,46.124
2010-05-31,46.25
2010-06-01,46.653
2010-06-02,46.73
2010-06-03,46.33
2010-06-04,46.3
2010-06-05,46.3
2010-06-06,46.3
2010-06-07,46.835
2010-06-08,46.668
2010-06-09,46.585
2010-06-10,46.69
2010-06-11,46.64
2010-06-12,46.64
2010-06-13,46.64
2010-06-14,46.438
2010-06-15,46.365
2010-06-16,46.163
