,USDTWD BGN Curncy
,PX_LAST
2010-01-01,31.974
2010-01-02,31.974
2010-01-03,31.974
2010-01-04,31.743
2010-01-05,31.84
2010-01-06,31.865
2010-01-07,31.87
2010-01-08,31.873
2010-01-09,31.873
2010-01-10,31.873
2010-01-11,31.764
2010-01-12,31.778
2010-01-13,31.804
2010-01-14,31.743
2010-01-15,31.795
2010-01-16,31.795
2010-01-17,31.795
2010-01-18,31.766
2010-01-19,31.78
2010-01-20,31.836
2010-01-21,31.912
2010-01-22,31.97
2010-01-23,31.97
2010-01-24,31.97
2010-01-25,31.961
2010-01-26,32.044
2010-01-27,32.067
2010-01-28,31.983
2010-01-29,31.941
2010-01-30,31.941
2010-01-31,31.941
2010-02-01,32.001
2010-02-02,32.048
2010-02-03,31.963
2010-02-04,32.012
2010-02-05,32.066
2010-02-06,32.066
2010-02-07,32.066
2010-02-08,32.152
2010-02-09,32.076
2010-02-10,32.064
2010-02-11,32.04
2010-02-12,32.063
2010-02-13,32.063
2010-02-14,32.063
2010-02-15,32.115
2010-02-16,32.05
2010-02-17,32.055
2010-02-18,32.04
2010-02-19,32.089
2010-02-20,32.089
2010-02-21,32.089
2010-02-22,32.02
2010-02-23,32.042
2010-02-24,32.065
2010-02-25,32.095
2010-02-26,32.072
2010-02-27,32.072
2010-02-28,32.072
2010-03-01,32.016
2010-03-02,32.032
2010-03-03,31.977
2010-03-04,31.964
2010-03-05,31.918
2010-03-06,31.918
2010-03-07,31.918
2010-03-08,31.859
2010-03-09,31.836
2010-03-10,31.743
2010-03-11,31.785
2010-03-12,31.748
2010-03-13,31.748
2010-03-14,31.748
2010-03-15,31.814
2010-03-16,31.816
2010-03-17,31.726
2010-03-18,31.704
2010-03-19,31.743
2010-03-20,31.743
2010-03-21,31.743
2010-03-22,31.791
2010-03-23,31.829
2010-03-24,31.8
2010-03-25,31.845
2010-03-26,31.876
2010-03-27,31.876
2010-03-28,31.876
2010-03-29,31.791
2010-03-30,31.787
2010-03-31,31.758
2010-04-01,31.771
2010-04-02,31.727
2010-04-03,31.727
2010-04-04,31.727
2010-04-05,31.715
2010-04-06,31.666
2010-04-07,31.569
2010-04-08,31.596
2010-04-09,31.553
2010-04-10,31.553
2010-04-11,31.553
2010-04-12,31.536
2010-04-13,31.56
2010-04-14,31.446
2010-04-15,31.349
2010-04-16,31.37
2010-04-17,31.37
2010-04-18,31.37
2010-04-19,31.439
2010-04-20,31.422
2010-04-21,31.35
2010-04-22,31.378
2010-04-23,31.332
2010-04-24,31.332
2010-04-25,31.332
2010-04-26,31.296
2010-04-27,31.316
2010-04-28,31.426
2010-04-29,31.439
2010-04-30,31.339
2010-05-01,31.339
2010-05-02,31.339
2010-05-03,31.397
2010-05-04,31.407
2010-05-05,31.51
2010-05-06,31.67
2010-05-07,31.709
2010-05-08,31.709
2010-05-09,31.709
2010-05-10,31.523
2010-05-11,31.586
2010-05-12,31.662
2010-05-13,31.645
2010-05-14,31.653
2010-05-15,31.653
2010-05-16,31.653
2010-05-17,31.804
2010-05-18,31.846
2010-05-19,31.989
2010-05-20,32.085
2010-05-21,32.128
2010-05-22,32.128
2010-05-23,32.128
2010-05-24,32.094
2010-05-25,32.244
2010-05-26,32.301
2010-05-27,32.117
2010-05-28,31.96
2010-05-29,31.96
2010-05-30,31.96
