,USDARS BGN Curncy
,PX_LAST
2010-01-01,3.799
2010-01-02,3.799
2010-01-03,3.799
2010-01-04,3.7965
2010-01-05,3.7987
2010-01-06,3.812
2010-01-07,3.7959
2010-01-08,3.7897
2010-01-09,3.7897
2010-01-10,3.7897
2010-01-11,3.7961
2010-01-12,3.792
2010-01-13,3.7964
2010-01-14,3.7967
2010-01-15,3.7975
2010-01-16,3.7975
2010-01-17,3.7975
2010-01-18,3.7948
2010-01-19,3.7991
2010-01-20,3.7975
2010-01-21,3.8064
2010-01-22,3.805
2010-01-23,3.805
2010-01-24,3.805
2010-01-25,3.8067
2010-01-26,3.8138
2010-01-27,3.816
2010-01-28,3.8202
2010-01-29,3.8305
2010-01-30,3.8305
2010-01-31,3.8305
2010-02-01,3.8384
2010-02-02,3.8317
2010-02-03,3.8328
2010-02-04,3.8415
2010-02-05,3.8399
2010-02-06,3.8399
2010-02-07,3.8399
2010-02-08,3.841
2010-02-09,3.842
2010-02-10,3.8448
2010-02-11,3.849
2010-02-12,3.8543
2010-02-13,3.8543
2010-02-14,3.8543
2010-02-15,3.854
2010-02-16,3.8571
2010-02-17,3.851
2010-02-18,3.8539
2010-02-19,3.8542
2010-02-20,3.8542
2010-02-21,3.8542
2010-02-22,3.861
2010-02-23,3.8606
2010-02-24,3.8578
2010-02-25,3.8593
2010-02-26,3.8583
2010-02-27,3.8583
2010-02-28,3.8583
2010-03-01,3.8575
2010-03-02,3.8555
2010-03-03,3.855
2010-03-04,3.8564
2010-03-05,3.8575
2010-03-06,3.8575
2010-03-07,3.8575
2010-03-08,3.855
2010-03-09,3.8602
2010-03-10,3.8588
2010-03-11,3.8583
2010-03-12,3.8607
2010-03-13,3.8607
2010-03-14,3.8607
2010-03-15,3.8597
2010-03-16,3.8628
2010-03-17,3.8581
2010-03-18,3.8593
2010-03-19,3.8633
2010-03-20,3.8633
2010-03-21,3.8633
2010-03-22,3.8636
2010-03-23,3.8663
2010-03-24,3.8663
2010-03-25,3.869
2010-03-26,3.8665
2010-03-27,3.8665
2010-03-28,3.8665
2010-03-29,3.8741
2010-03-30,3.8745
2010-03-31,3.8788
2010-04-01,3.8788
2010-04-02,3.8788
2010-04-03,3.8788
2010-04-04,3.8788
2010-04-05,3.8796
2010-04-06,3.8799
2010-04-07,3.8774
2010-04-08,3.8773
2010-04-09,3.8748
2010-04-10,3.8748
2010-04-11,3.8748
2010-04-12,3.8787
2010-04-13,3.8769
2010-04-14,3.8763
2010-04-15,3.87
2010-04-16,3.8688
2010-04-17,3.8688
2010-04-18,3.8688
2010-04-19,3.8632
2010-04-20,3.8713
2010-04-21,3.866
2010-04-22,3.8715
2010-04-23,3.8725
2010-04-24,3.8725
2010-04-25,3.8725
2010-04-26,3.872
2010-04-27,3.8788
2010-04-28,3.8805
2010-04-29,3.8816
2010-04-30,3.8881
2010-05-01,3.8881
2010-05-02,3.8881
2010-05-03,3.886
2010-05-04,3.8929
2010-05-05,3.9028
2010-05-06,3.896
2010-05-07,3.8929
2010-05-08,3.8929
2010-05-09,3.8929
2010-05-10,3.896
2010-05-11,3.8922
2010-05-12,3.8955
2010-05-13,3.8935
2010-05-14,3.894
2010-05-15,3.894
2010-05-16,3.894
2010-05-17,3.9005
2010-05-18,3.9104
2010-05-19,3.8872
2010-05-20,3.904
2010-05-21,3.9029
2010-05-22,3.9029
2010-05-23,3.9029
2010-05-24,3.9029
2010-05-25,3.9029
2010-05-26,3.9039
2010-05-27,3.9103
2010-05-28,3.92
2010-05-29,3.92
2010-05-30,3.92
2010-05-31,3.9051
2010-06-01,3.929
2010-06-02,3.9226
2010-06-03,3.9198
2010-06-04,3.9238
2010-06-05,3.9238
2010-06-06,3.9238
2010-06-07,3.9213
2010-06-08,3.916
2010-06-09,3.9171
2010-06-10,3.9186
2010-06-11,3.9236
2010-06-12,3.9236
2010-06-13,3.9236
2010-06-14,3.9262
2010-06-15,3.9248
2010-06-16,3.9258
2010-06-17,3.9244
2010-06-18,3.9244
2010-06-19,3.9244
2010-06-20,3.9244
2010-06-21,3.9244
2010-06-22,3.9265
2010-06-23,3.9253
2010-06-24,3.9275
2010-06-25,3.9308
2010-06-26,3.9308
2010-06-27,3.9308
2010-06-28,3.933
2010-06-29,3.931
2010-06-30,3.9305
2010-07-01,3.9323
2010-07-02,3.9333
2010-07-03,3.9333
2010-07-04,3.9333
2010-07-05,3.9295
2010-07-06,3.9359
2010-07-07,3.9334
2010-07-08,3.9355
2010-07-09,3.9355
2010-07-10,3.9355
2010-07-11,3.9355
2010-07-12,3.9363
2010-07-13,3.9326
2010-07-14,3.9335
2010-07-15,3.9369
2010-07-16,3.9326
2010-07-17,3.9326
2010-07-18,3.9326
2010-07-19,3.935
2010-07-20,3.9345
2010-07-21,3.9326
2010-07-22,3.9323
2010-07-23,3.93
2010-07-24,3.93
2010-07-25,3.93
2010-07-26,3.9326
2010-07-27,3.9323
2010-07-28,3.9341
2010-07-29,3.937
2010-07-30,3.9408
2010-07-31,3.9408
2010-08-01,3.9408
2010-08-02,3.9375
2010-08-03,3.9333
2010-08-04,3.933
2010-08-05,3.9344
2010-08-06,3.93
2010-08-07,3.93
2010-08-08,3.93
2010-08-09,3.9325
2010-08-10,3.9325
2010-08-11,3.934
2010-08-12,3.9333
2010-08-13,3.9328
2010-08-14,3.9328
2010-08-15,3.9328
2010-08-16,3.9328
2010-08-17,3.934
2010-08-18,3.9298
2010-08-19,3.9381
2010-08-20,3.9368
2010-08-21,3.9368
2010-08-22,3.9368
2010-08-23,3.9373
2010-08-24,3.9415
2010-08-25,3.943
2010-08-26,3.9445
2010-08-27,3.9445
2010-08-28,3.9445
2010-08-29,3.9445
2010-08-30,3.9493
2010-08-31,3.9513
2010-09-01,3.9494
2010-09-02,3.9478
2010-09-03,3.9453
2010-09-04,3.9453
2010-09-05,3.9453
2010-09-06,3.9443
2010-09-07,3.9455
2010-09-08,3.9463
2010-09-09,3.9454
2010-09-10,3.945
2010-09-11,3.945
2010-09-12,3.945
2010-09-13,3.9455
2010-09-14,3.9455
2010-09-15,3.9491
2010-09-16,3.9495
2010-09-17,3.9481
2010-09-18,3.9481
2010-09-19,3.9481
2010-09-20,3.9491
2010-09-21,3.9518
2010-09-22,3.9511
2010-09-23,3.952
2010-09-24,3.9601
2010-09-25,3.9601
2010-09-26,3.9601
2010-09-27,3.9598
2010-09-28,3.9725
2010-09-29,3.9676
2010-09-30,3.9595
2010-10-01,3.9611
2010-10-02,3.9611
2010-10-03,3.9611
2010-10-04,3.9614
2010-10-05,3.9577
2010-10-06,3.9603
2010-10-07,3.9585
2010-10-08,3.9582
2010-10-09,3.9582
2010-10-10,3.9582
2010-10-11,3.9582
2010-10-12,3.9556
2010-10-13,3.9515
2010-10-14,3.9504
2010-10-15,3.9545
2010-10-16,3.9545
2010-10-17,3.9545
2010-10-18,3.9537
2010-10-19,3.9571
2010-10-20,3.959
2010-10-21,3.9594
2010-10-22,3.9552
2010-10-23,3.9552
2010-10-24,3.9552
2010-10-25,3.957
2010-10-26,3.9568
2010-10-27,3.9568
2010-10-28,3.9574
2010-10-29,3.9548
2010-10-30,3.9548
2010-10-31,3.9548
2010-11-01,3.9596
2010-11-02,3.9588
2010-11-03,3.9542
2010-11-04,3.9594
2010-11-05,3.9547
2010-11-06,3.9547
2010-11-07,3.9547
2010-11-08,3.9595
2010-11-09,3.9629
2010-11-10,3.9615
2010-11-11,3.9624
2010-11-12,3.9694
2010-11-13,3.9694
2010-11-14,3.9694
2010-11-15,3.9694
2010-11-16,3.977
2010-11-17,3.9768
2010-11-18,3.9724
2010-11-19,3.9747
2010-11-20,3.9747
2010-11-21,3.9747
2010-11-22,3.9747
2010-11-23,3.9735
2010-11-24,3.973
2010-11-25,3.9705
2010-11-26,3.9781
2010-11-27,3.9781
2010-11-28,3.9781
2010-11-29,3.9813
2010-11-30,3.9847
2010-12-01,3.9866
2010-12-02,3.9855
2010-12-03,3.9774
2010-12-04,3.9774
2010-12-05,3.9774
2010-12-06,3.974
2010-12-07,3.9797
2010-12-08,3.9797
2010-12-09,3.9722
2010-12-10,3.9769
2010-12-11,3.9769
2010-12-12,3.9769
2010-12-13,3.9733
2010-12-14,3.9707
2010-12-15,3.9765
2010-12-16,3.9745
2010-12-17,3.9742
2010-12-18,3.9742
2010-12-19,3.9742
2010-12-20,3.9746
2010-12-21,3.9753
2010-12-22,3.9732
2010-12-23,3.977
2010-12-24,3.9719
2010-12-25,3.9719
2010-12-26,3.9719
2010-12-27,3.9795
2010-12-28,3.9814
2010-12-29,3.9789
2010-12-30,3.9754
2010-12-31,3.9787
2011-01-01,3.9787
2011-01-02,3.9787
2011-01-03,3.9722
2011-01-04,3.973
2011-01-05,3.969
2011-01-06,3.9715
2011-01-07,3.9786
2011-01-08,3.9786
2011-01-09,3.9786
2011-01-10,3.9769
2011-01-11,3.9769
2011-01-12,3.973
2011-01-13,3.9737
2011-01-14,3.9744
2011-01-15,3.9744
2011-01-16,3.9744
2011-01-17,3.9789
2011-01-18,3.9838
2011-01-19,3.9843
2011-01-20,3.9789
2011-01-21,3.9822
2011-01-22,3.9822
2011-01-23,3.9822
2011-01-24,3.9845
2011-01-25,3.9875
2011-01-26,3.9884
2011-01-27,3.9931
2011-01-28,3.9995
2011-01-29,3.9995
2011-01-30,3.9995
2011-01-31,4.0035
2011-02-01,4.0077
2011-02-02,4.0146
2011-02-03,4.0154
2011-02-04,4.016
2011-02-05,4.016
2011-02-06,4.016
2011-02-07,4.019
2011-02-08,4.0184
2011-02-09,4.0165
2011-02-10,4.0186
2011-02-11,4.0213
2011-02-12,4.0213
2011-02-13,4.0213
2011-02-14,4.023
2011-02-15,4.0233
2011-02-16,4.0235
2011-02-17,4.0248
2011-02-18,4.0241
2011-02-19,4.0241
2011-02-20,4.0241
2011-02-21,4.0237
2011-02-22,4.0285
2011-02-23,4.0296
2011-02-24,4.0274
2011-02-25,4.0279
2011-02-26,4.0279
2011-02-27,4.0279
2011-02-28,4.0301
2011-03-01,4.0327
2011-03-02,4.0299
2011-03-03,4.0303
2011-03-04,4.029
2011-03-05,4.029
2011-03-06,4.029
2011-03-07,4.029
2011-03-08,4.029
2011-03-09,4.0268
2011-03-10,4.0291
2011-03-11,4.0264
2011-03-12,4.0264
2011-03-13,4.0264
2011-03-14,4.0288
2011-03-15,4.0335
2011-03-16,4.0384
2011-03-17,4.0391
2011-03-18,4.0383
2011-03-19,4.0383
2011-03-20,4.0383
2011-03-21,4.0366
2011-03-22,4.0398
2011-03-23,4.0414
2011-03-24,4.0414
2011-03-25,4.0414
2011-03-26,4.0414
2011-03-27,4.0414
2011-03-28,4.0459
2011-03-29,4.0455
2011-03-30,4.0418
2011-03-31,4.0517
2011-04-01,4.0537
2011-04-02,4.0537
2011-04-03,4.0537
2011-04-04,4.0523
2011-04-05,4.0521
2011-04-06,4.0541
2011-04-07,4.0528
2011-04-08,4.0497
2011-04-09,4.0497
2011-04-10,4.0497
2011-04-11,4.0491
2011-04-12,4.047
2011-04-13,4.0584
2011-04-14,4.066
2011-04-15,4.0699
2011-04-16,4.0699
2011-04-17,4.0699
2011-04-18,4.0726
2011-04-19,4.0729
2011-04-20,4.0779
2011-04-21,4.0779
2011-04-22,4.0779
2011-04-23,4.0779
2011-04-24,4.0779
2011-04-25,4.0805
2011-04-26,4.0813
2011-04-27,4.0818
2011-04-28,4.0805
2011-04-29,4.0783
2011-04-30,4.0783
2011-05-01,4.0783
2011-05-02,4.0796
2011-05-03,4.0805
2011-05-04,4.0776
2011-05-05,4.0815
2011-05-06,4.0803
2011-05-07,4.0803
2011-05-08,4.0803
2011-05-09,4.077
2011-05-10,4.08
2011-05-11,4.0831
2011-05-12,4.0805
2011-05-13,4.0861
2011-05-14,4.0861
2011-05-15,4.0861
2011-05-16,4.0848
2011-05-17,4.0828
2011-05-18,4.0871
2011-05-19,4.0769
2011-05-20,4.085
2011-05-21,4.085
2011-05-22,4.085
2011-05-23,4.085
2011-05-24,4.0859
2011-05-25,4.0859
2011-05-26,4.086
2011-05-27,4.0865
2011-05-28,4.0865
2011-05-29,4.0865
2011-05-30,4.0857
2011-05-31,4.0848
2011-06-01,4.0848
2011-06-02,4.0676
2011-06-03,4.0894
2011-06-04,4.0894
2011-06-05,4.0894
2011-06-06,4.0905
2011-06-07,4.0905
2011-06-08,4.0915
2011-06-09,4.0928
2011-06-10,4.095
2011-06-11,4.095
2011-06-12,4.095
2011-06-13,4.091
2011-06-14,4.092
2011-06-15,4.0955
2011-06-16,4.0932
2011-06-17,4.096
2011-06-18,4.096
2011-06-19,4.096
2011-06-20,4.096
2011-06-21,4.097
2011-06-22,4.098
2011-06-23,4.0983
2011-06-24,4.0995
2011-06-25,4.0995
2011-06-26,4.0995
2011-06-27,4.097
2011-06-28,4.103
2011-06-29,4.108
2011-06-30,4.1085
2011-07-01,4.1105
2011-07-02,4.1105
2011-07-03,4.1105
2011-07-04,4.109
2011-07-05,4.1121
2011-07-06,4.117
2011-07-07,4.121
2011-07-08,4.122
2011-07-09,4.122
2011-07-10,4.122
2011-07-11,4.123
2011-07-12,4.1225
2011-07-13,4.121
2011-07-14,4.1225
2011-07-15,4.1235
2011-07-16,4.1235
2011-07-17,4.1235
2011-07-18,4.1275
2011-07-19,4.1235
2011-07-20,4.1365
2011-07-21,4.1361
2011-07-22,4.1385
2011-07-23,4.1385
2011-07-24,4.1385
2011-07-25,4.1365
2011-07-26,4.135
2011-07-27,4.1384
2011-07-28,4.1395
2011-07-29,4.1418
2011-07-30,4.1418
2011-07-31,4.1418
2011-08-01,4.1212
2011-08-02,4.148
2011-08-03,4.1511
2011-08-04,4.1535
2011-08-05,4.1555
2011-08-06,4.1555
2011-08-07,4.1555
2011-08-08,4.1563
2011-08-09,4.1565
2011-08-10,4.1575
2011-08-11,4.1577
2011-08-12,4.16
2011-08-13,4.16
2011-08-14,4.16
2011-08-15,4.1595
2011-08-16,4.162
2011-08-17,4.166
2011-08-18,4.1735
2011-08-19,4.1771
2011-08-20,4.1771
2011-08-21,4.1771
2011-08-22,4.1771
2011-08-23,4.1831
2011-08-24,4.1865
2011-08-25,4.186
2011-08-26,4.184
2011-08-27,4.184
2011-08-28,4.184
2011-08-29,4.188
2011-08-30,4.195
2011-08-31,4.1987
2011-09-01,4.221
2011-09-02,4.2015
2011-09-03,4.2015
2011-09-04,4.2015
2011-09-05,4.2012
2011-09-06,4.2072
2011-09-07,4.205
2011-09-08,4.2035
2011-09-09,4.2035
2011-09-10,4.2035
2011-09-11,4.2035
2011-09-12,4.2043
2011-09-13,4.2032
2011-09-14,4.2035
2011-09-15,4.2045
2011-09-16,4.204
2011-09-17,4.204
2011-09-18,4.204
2011-09-19,4.204
2011-09-20,4.1895
2011-09-21,4.1885
2011-09-22,4.199
2011-09-23,4.2045
2011-09-24,4.2045
2011-09-25,4.2045
2011-09-26,4.2036
2011-09-27,4.204
2011-09-28,4.2055
2011-09-29,4.2052
2011-09-30,4.2048
2011-10-01,4.2048
2011-10-02,4.2048
2011-10-03,4.2045
2011-10-04,4.2052
2011-10-05,4.2075
2011-10-06,4.2095
2011-10-07,4.2095
2011-10-08,4.2095
2011-10-09,4.2095
2011-10-10,4.2095
2011-10-11,4.2105
2011-10-12,4.2105
2011-10-13,4.213
2011-10-14,4.2147
2011-10-15,4.2147
2011-10-16,4.2147
2011-10-17,4.2245
2011-10-18,4.2245
2011-10-19,4.2337
2011-10-20,4.234
2011-10-21,4.235
2011-10-22,4.235
2011-10-23,4.235
2011-10-24,4.2359
2011-10-25,4.236
2011-10-26,4.236
2011-10-27,4.2355
2011-10-28,4.2358
2011-10-29,4.2358
2011-10-30,4.2358
2011-10-31,4.2362
2011-11-01,4.2372
2011-11-02,4.2509
2011-11-03,4.25
2011-11-04,4.2545
2011-11-05,4.2545
2011-11-06,4.2545
2011-11-07,4.2612
2011-11-08,4.2595
2011-11-09,4.262
2011-11-10,4.2625
2011-11-11,4.262
2011-11-12,4.262
2011-11-13,4.262
2011-11-14,4.2727
2011-11-15,4.265
2011-11-16,4.258
2011-11-17,4.257
2011-11-18,4.2565
2011-11-19,4.2565
2011-11-20,4.2565
2011-11-21,4.258
2011-11-22,4.259
2011-11-23,4.2612
2011-11-24,4.2616
2011-11-25,4.2635
2011-11-26,4.2635
2011-11-27,4.2635
2011-11-28,4.2635
2011-11-29,4.2773
2011-11-30,4.2804
2011-12-01,4.283
2011-12-02,4.283
2011-12-03,4.283
2011-12-04,4.283
2011-12-05,4.2865
2011-12-06,4.2785
2011-12-07,4.2785
2011-12-08,4.2785
2011-12-09,4.2785
2011-12-10,4.2785
2011-12-11,4.2785
2011-12-12,4.279
2011-12-13,4.279
2011-12-14,4.281
2011-12-15,4.2836
2011-12-16,4.2885
2011-12-17,4.2885
2011-12-18,4.2885
2011-12-19,4.2915
2011-12-20,4.292
2011-12-21,4.292
2011-12-22,4.292
2011-12-23,4.291
2011-12-24,4.291
2011-12-25,4.291
2011-12-26,4.291
2011-12-27,4.2964
2011-12-28,4.3026
2011-12-29,4.3018
2011-12-30,4.3
2011-12-31,4.3
2012-01-01,4.3
2012-01-02,4.3
2012-01-03,4.307
2012-01-04,4.305
2012-01-05,4.3095
2012-01-06,4.3165
2012-01-07,4.3165
2012-01-08,4.3165
2012-01-09,4.3138
2012-01-10,4.3135
2012-01-11,4.312
2012-01-12,4.3115
2012-01-13,4.3115
2012-01-14,4.3115
2012-01-15,4.3115
2012-01-16,4.3114
2012-01-17,4.3155
2012-01-18,4.3203
2012-01-19,4.3188
2012-01-20,4.3216
2012-01-21,4.3216
2012-01-22,4.3216
2012-01-23,4.3275
