,USDCAD BGN Curncy
,PX_LAST
2010-01-01,1.0528
2010-01-02,1.0528
2010-01-03,1.0528
2010-01-04,1.0416
2010-01-05,1.039
2010-01-06,1.0324
2010-01-07,1.0347
2010-01-08,1.0298
2010-01-09,1.0298
2010-01-10,1.0298
2010-01-11,1.0335
2010-01-12,1.0388
2010-01-13,1.0309
2010-01-14,1.0234
2010-01-15,1.0291
2010-01-16,1.0291
2010-01-17,1.0291
2010-01-18,1.0261
2010-01-19,1.0314
2010-01-20,1.0464
2010-01-21,1.0524
2010-01-22,1.0578
2010-01-23,1.0578
2010-01-24,1.0578
2010-01-25,1.0577
2010-01-26,1.0627
2010-01-27,1.0642
2010-01-28,1.0663
2010-01-29,1.0704
2010-01-30,1.0704
2010-01-31,1.0704
2010-02-01,1.0606
2010-02-02,1.057
2010-02-03,1.0626
2010-02-04,1.0744
2010-02-05,1.0716
2010-02-06,1.0716
2010-02-07,1.0716
2010-02-08,1.0758
2010-02-09,1.0656
2010-02-10,1.0621
2010-02-11,1.0499
2010-02-12,1.0503
2010-02-13,1.0503
2010-02-14,1.0503
2010-02-15,1.0493
2010-02-16,1.0431
2010-02-17,1.0464
2010-02-18,1.0471
2010-02-19,1.0391
2010-02-20,1.0391
2010-02-21,1.0391
2010-02-22,1.043
2010-02-23,1.0565
2010-02-24,1.0536
2010-02-25,1.0608
2010-02-26,1.0517
2010-02-27,1.0517
2010-02-28,1.0517
2010-03-01,1.0414
2010-03-02,1.0356
2010-03-03,1.0319
2010-03-04,1.0317
2010-03-05,1.0288
2010-03-06,1.0288
2010-03-07,1.0288
2010-03-08,1.0272
2010-03-09,1.0261
2010-03-10,1.0246
2010-03-11,1.024
2010-03-12,1.0193
2010-03-13,1.0193
2010-03-14,1.0193
2010-03-15,1.0193
2010-03-16,1.0141
2010-03-17,1.0104
2010-03-18,1.0141
2010-03-19,1.0173
2010-03-20,1.0173
2010-03-21,1.0173
2010-03-22,1.0189
2010-03-23,1.0159
2010-03-24,1.0268
2010-03-25,1.024
2010-03-26,1.0266
2010-03-27,1.0266
2010-03-28,1.0266
2010-03-29,1.0211
2010-03-30,1.0201
2010-03-31,1.0153
2010-04-01,1.0086
2010-04-02,1.0111
2010-04-03,1.0111
2010-04-04,1.0111
2010-04-05,1.0022
2010-04-06,1.0016
2010-04-07,1.0063
2010-04-08,1.0021
2010-04-09,1.0027
2010-04-10,1.0027
2010-04-11,1.0027
2010-04-12,1.0025
2010-04-13,1.0011
2010-04-14,0.9986
2010-04-15,1.0021
2010-04-16,1.0128
2010-04-17,1.0128
2010-04-18,1.0128
2010-04-19,1.0144
2010-04-20,0.9986
2010-04-21,0.9998
2010-04-22,1.0004
2010-04-23,0.9991
2010-04-24,0.9991
2010-04-25,0.9991
2010-04-26,1.001
2010-04-27,1.0177
2010-04-28,1.0097
2010-04-29,1.0052
2010-04-30,1.0179
2010-05-01,1.0179
2010-05-02,1.0179
2010-05-03,1.0108
2010-05-04,1.0245
2010-05-05,1.0307
2010-05-06,1.0526
2010-05-07,1.0439
2010-05-08,1.0439
2010-05-09,1.0439
2010-05-10,1.0232
2010-05-11,1.0221
2010-05-12,1.0193
2010-05-13,1.02
2010-05-14,1.0356
2010-05-15,1.0356
2010-05-16,1.0356
2010-05-17,1.0325
2010-05-18,1.0393
2010-05-19,1.0438
2010-05-20,1.0702
2010-05-21,1.0595
2010-05-22,1.0595
2010-05-23,1.0595
2010-05-24,1.0626
2010-05-25,1.0675
2010-05-26,1.071
2010-05-27,1.0482
2010-05-28,1.0546
2010-05-29,1.0546
2010-05-30,1.0546
2010-05-31,1.0445
2010-06-01,1.0554
2010-06-02,1.0383
2010-06-03,1.0402
2010-06-04,1.0629
2010-06-05,1.0629
2010-06-06,1.0629
2010-06-07,1.0617
2010-06-08,1.0475
2010-06-09,1.0445
2010-06-10,1.0297
2010-06-11,1.0322
2010-06-12,1.0322
2010-06-13,1.0322
2010-06-14,1.0339
2010-06-15,1.0254
2010-06-16,1.0243
2010-06-17,1.0282
2010-06-18,1.0218
2010-06-19,1.0218
2010-06-20,1.0218
2010-06-21,1.0243
2010-06-22,1.0296
2010-06-23,1.0397
2010-06-24,1.043
2010-06-25,1.0355
2010-06-26,1.0355
2010-06-27,1.0355
2010-06-28,1.0358
2010-06-29,1.056
2010-06-30,1.0639
2010-07-01,1.0596
2010-07-02,1.0624
2010-07-03,1.0624
2010-07-04,1.0624
2010-07-05,1.0634
2010-07-06,1.0545
2010-07-07,1.0466
2010-07-08,1.042
2010-07-09,1.0337
2010-07-10,1.0337
2010-07-11,1.0337
2010-07-12,1.0372
2010-07-13,1.03
2010-07-14,1.0327
2010-07-15,1.0383
2010-07-16,1.0582
2010-07-17,1.0582
2010-07-18,1.0582
2010-07-19,1.0549
2010-07-20,1.0436
2010-07-21,1.0491
2010-07-22,1.0371
2010-07-23,1.0358
2010-07-24,1.0358
2010-07-25,1.0358
2010-07-26,1.0323
2010-07-27,1.0354
2010-07-28,1.0388
2010-07-29,1.0371
2010-07-30,1.0297
2010-07-31,1.0297
2010-08-01,1.0297
2010-08-02,1.0229
2010-08-03,1.0235
2010-08-04,1.0181
2010-08-05,1.0168
2010-08-06,1.0274
2010-08-07,1.0274
2010-08-08,1.0274
2010-08-09,1.027
2010-08-10,1.0314
2010-08-11,1.0464
2010-08-12,1.0424
2010-08-13,1.0419
2010-08-14,1.0419
2010-08-15,1.0419
2010-08-16,1.0435
2010-08-17,1.0321
2010-08-18,1.0296
2010-08-19,1.0404
2010-08-20,1.0475
2010-08-21,1.0475
2010-08-22,1.0475
2010-08-23,1.0522
2010-08-24,1.0615
2010-08-25,1.0596
2010-08-26,1.0579
2010-08-27,1.0508
2010-08-28,1.0508
2010-08-29,1.0508
2010-08-30,1.0601
2010-08-31,1.0656
2010-09-01,1.0498
2010-09-02,1.0524
2010-09-03,1.0388
2010-09-04,1.0388
2010-09-05,1.0388
2010-09-06,1.0354
2010-09-07,1.048
2010-09-08,1.0375
2010-09-09,1.0339
2010-09-10,1.037
2010-09-11,1.037
2010-09-12,1.037
2010-09-13,1.0271
2010-09-14,1.0275
2010-09-15,1.0262
2010-09-16,1.0265
2010-09-17,1.033
2010-09-18,1.033
2010-09-19,1.033
2010-09-20,1.0282
2010-09-21,1.0268
2010-09-22,1.0308
2010-09-23,1.0343
2010-09-24,1.0241
2010-09-25,1.0241
2010-09-26,1.0241
2010-09-27,1.0293
2010-09-28,1.0297
2010-09-29,1.0326
2010-09-30,1.0292
2010-10-01,1.0197
2010-10-02,1.0197
2010-10-03,1.0197
2010-10-04,1.0239
2010-10-05,1.0158
2010-10-06,1.0111
2010-10-07,1.0174
2010-10-08,1.0111
2010-10-09,1.0111
2010-10-10,1.0111
2010-10-11,1.0139
2010-10-12,1.0101
2010-10-13,1.0033
2010-10-14,1.0041
2010-10-15,1.0104
2010-10-16,1.0104
2010-10-17,1.0104
2010-10-18,1.0172
2010-10-19,1.0336
2010-10-20,1.021
2010-10-21,1.0267
2010-10-22,1.0259
2010-10-23,1.0259
2010-10-24,1.0259
2010-10-25,1.02
2010-10-26,1.0239
2010-10-27,1.0281
2010-10-28,1.0211
2010-10-29,1.0194
2010-10-30,1.0194
2010-10-31,1.0194
2010-11-01,1.0152
2010-11-02,1.0082
2010-11-03,1.0052
2010-11-04,1.0022
2010-11-05,1.0001
2010-11-06,1.0001
2010-11-07,1.0001
2010-11-08,1.0036
2010-11-09,1.008
2010-11-10,1.0009
2010-11-11,1.0033
2010-11-12,1.0123
2010-11-13,1.0123
2010-11-14,1.0123
2010-11-15,1.0099
2010-11-16,1.0223
2010-11-17,1.0246
2010-11-18,1.019
2010-11-19,1.0168
2010-11-20,1.0168
2010-11-21,1.0168
2010-11-22,1.0187
2010-11-23,1.0247
2010-11-24,1.0099
2010-11-25,1.0092
2010-11-26,1.0213
2010-11-27,1.0213
2010-11-28,1.0213
2010-11-29,1.0181
2010-11-30,1.0264
2010-12-01,1.017
2010-12-02,1.0026
2010-12-03,1.0039
2010-12-04,1.0039
2010-12-05,1.0039
2010-12-06,1.0057
2010-12-07,1.0124
2010-12-08,1.0112
2010-12-09,1.0106
2010-12-10,1.0091
2010-12-11,1.0091
2010-12-12,1.0091
2010-12-13,1.0074
2010-12-14,1.0062
2010-12-15,1.005
2010-12-16,1.0061
2010-12-17,1.014
2010-12-18,1.014
2010-12-19,1.014
2010-12-20,1.0168
2010-12-21,1.0171
2010-12-22,1.0132
2010-12-23,1.0093
2010-12-24,1.0083
2010-12-25,1.0083
2010-12-26,1.0083
2010-12-27,1.0068
2010-12-28,1.001
2010-12-29,1.0009
2010-12-30,1.0
2010-12-31,0.998
2011-01-01,0.998
2011-01-02,0.998
2011-01-03,0.9938
2011-01-04,0.9983
2011-01-05,0.9956
2011-01-06,0.9966
2011-01-07,0.9935
2011-01-08,0.9935
2011-01-09,0.9935
2011-01-10,0.9934
2011-01-11,0.9905
2011-01-12,0.9857
2011-01-13,0.9892
2011-01-14,0.9909
2011-01-15,0.9909
2011-01-16,0.9909
2011-01-17,0.987
2011-01-18,0.9913
2011-01-19,0.9957
2011-01-20,0.9973
2011-01-21,0.9931
2011-01-22,0.9931
2011-01-23,0.9931
2011-01-24,0.9935
2011-01-25,0.9968
2011-01-26,0.994
2011-01-27,0.9934
2011-01-28,1.0013
2011-01-29,1.0013
2011-01-30,1.0013
2011-01-31,1.001
2011-02-01,0.9906
2011-02-02,0.9879
2011-02-03,0.9911
2011-02-04,0.9873
2011-02-05,0.9873
2011-02-06,0.9873
2011-02-07,0.9908
2011-02-08,0.9952
2011-02-09,0.9938
2011-02-10,0.9953
2011-02-11,0.9874
2011-02-12,0.9874
2011-02-13,0.9874
2011-02-14,0.9891
2011-02-15,0.9898
2011-02-16,0.9849
2011-02-17,0.9843
2011-02-18,0.9868
2011-02-19,0.9868
2011-02-20,0.9868
2011-02-21,0.983
2011-02-22,0.9907
2011-02-23,0.9895
2011-02-24,0.9826
2011-02-25,0.9774
2011-02-26,0.9774
2011-02-27,0.9774
2011-02-28,0.9716
2011-03-01,0.9748
2011-03-02,0.9731
2011-03-03,0.972
2011-03-04,0.9734
2011-03-05,0.9734
2011-03-06,0.9734
2011-03-07,0.9733
2011-03-08,0.9714
2011-03-09,0.9685
2011-03-10,0.976
2011-03-11,0.9732
2011-03-12,0.9732
2011-03-13,0.9732
2011-03-14,0.9738
2011-03-15,0.9859
2011-03-16,0.9914
2011-03-17,0.9848
2011-03-18,0.9843
2011-03-19,0.9843
2011-03-20,0.9843
2011-03-21,0.9778
2011-03-22,0.9807
2011-03-23,0.9816
2011-03-24,0.9752
