,USDEUR BGN Curncy
,PX_LAST
2010-01-01,0.6961
2010-01-02,0.6961
2010-01-03,0.6961
2010-01-04,0.6938
2010-01-05,0.6961
2010-01-06,0.694
2010-01-07,0.6989
2010-01-08,0.694
2010-01-09,0.694
2010-01-10,0.694
2010-01-11,0.689
2010-01-12,0.6903
2010-01-13,0.6892
2010-01-14,0.6897
2010-01-15,0.6951
2010-01-16,0.6951
2010-01-17,0.6951
2010-01-18,0.6952
2010-01-19,0.6999
2010-01-20,0.7089
2010-01-21,0.71
2010-01-22,0.7073
2010-01-23,0.7073
2010-01-24,0.7073
2010-01-25,0.7067
2010-01-26,0.7106
2010-01-27,0.713
2010-01-28,0.7157
2010-01-29,0.7214
2010-01-30,0.7214
2010-01-31,0.7214
2010-02-01,0.7178
2010-02-02,0.7161
2010-02-03,0.7198
2010-02-04,0.7287
2010-02-05,0.7312
2010-02-06,0.7312
2010-02-07,0.7312
2010-02-08,0.7327
2010-02-09,0.7248
2010-02-10,0.728
2010-02-11,0.7303
2010-02-12,0.7336
2010-02-13,0.7336
2010-02-14,0.7336
2010-02-15,0.7354
2010-02-16,0.7263
2010-02-17,0.7349
2010-02-18,0.7392
2010-02-19,0.7346
2010-02-20,0.7346
2010-02-21,0.7346
2010-02-22,0.7355
2010-02-23,0.7404
2010-02-24,0.7387
2010-02-25,0.7381
2010-02-26,0.7337
2010-02-27,0.7337
2010-02-28,0.7337
2010-03-01,0.7374
2010-03-02,0.7344
2010-03-03,0.7301
2010-03-04,0.7363
2010-03-05,0.734
2010-03-06,0.734
2010-03-07,0.734
2010-03-08,0.7335
2010-03-09,0.7352
2010-03-10,0.7322
2010-03-11,0.7309
2010-03-12,0.7264
2010-03-13,0.7264
2010-03-14,0.7264
2010-03-15,0.7312
2010-03-16,0.7264
2010-03-17,0.7279
2010-03-18,0.7349
2010-03-19,0.7391
2010-03-20,0.7391
2010-03-21,0.7391
2010-03-22,0.7375
2010-03-23,0.7408
2010-03-24,0.7511
2010-03-25,0.7535
2010-03-26,0.7457
2010-03-27,0.7457
2010-03-28,0.7457
2010-03-29,0.7417
2010-03-30,0.7455
2010-03-31,0.7402
2010-04-01,0.7359
2010-04-02,0.7405
2010-04-03,0.7405
2010-04-04,0.7405
2010-04-05,0.7416
2010-04-06,0.7463
2010-04-07,0.7494
2010-04-08,0.7485
2010-04-09,0.7408
2010-04-10,0.7408
2010-04-11,0.7408
2010-04-12,0.7358
2010-04-13,0.7346
2010-04-14,0.7324
2010-04-15,0.7368
2010-04-16,0.7406
2010-04-17,0.7406
2010-04-18,0.7406
2010-04-19,0.7413
2010-04-20,0.7444
2010-04-21,0.7469
2010-04-22,0.7522
2010-04-23,0.7473
2010-04-24,0.7473
2010-04-25,0.7473
2010-04-26,0.7472
2010-04-27,0.759
2010-04-28,0.7564
2010-04-29,0.7557
2010-04-30,0.7521
2010-05-01,0.7521
2010-05-02,0.7521
2010-05-03,0.7579
2010-05-04,0.77
2010-05-05,0.7804
2010-05-06,0.7923
2010-05-07,0.7842
2010-05-08,0.7842
2010-05-09,0.7842
2010-05-10,0.7821
2010-05-11,0.7897
2010-05-12,0.7928
2010-05-13,0.7978
2010-05-14,0.8092
2010-05-15,0.8092
2010-05-16,0.8092
2010-05-17,0.8068
2010-05-18,0.8195
2010-05-19,0.8055
2010-05-20,0.8007
2010-05-21,0.7956
2010-05-22,0.7956
2010-05-23,0.7956
2010-05-24,0.8083
2010-05-25,0.81
2010-05-26,0.8213
2010-05-27,0.809
2010-05-28,0.8148
2010-05-29,0.8148
