,USDHUF BGN Curncy
,PX_LAST
2010-01-01,188.39
2010-01-02,188.39
2010-01-03,188.39
2010-01-04,186.37
2010-01-05,187.58
2010-01-06,186.49
2010-01-07,188.61
2010-01-08,185.84
2010-01-09,185.84
2010-01-10,185.84
2010-01-11,184.07
2010-01-12,184.83
2010-01-13,183.84
2010-01-14,183.85
2010-01-15,186.64
2010-01-16,186.64
2010-01-17,186.64
2010-01-18,185.79
2010-01-19,187.16
2010-01-20,192.03
2010-01-21,193.25
2010-01-22,191.93
2010-01-23,191.93
2010-01-24,191.93
2010-01-25,192.37
2010-01-26,192.71
2010-01-27,194.61
2010-01-28,194.88
2010-01-29,195.71
2010-01-30,195.71
2010-01-31,195.71
2010-02-01,193.44
2010-02-02,193.35
2010-02-03,195.39
2010-02-04,199.83
2010-02-05,200.45
2010-02-06,200.45
2010-02-07,200.45
2010-02-08,200.67
2010-02-09,196.51
2010-02-10,197.52
2010-02-11,197.07
2010-02-12,199.03
2010-02-13,199.03
2010-02-14,199.03
2010-02-15,200.35
2010-02-16,196.96
2010-02-17,199.19
2010-02-18,200.89
2010-02-19,198.8
2010-02-20,198.8
2010-02-21,198.8
2010-02-22,198.35
2010-02-23,200.3
2010-02-24,199.28
2010-02-25,199.83
2010-02-26,197.95
2010-02-27,197.95
2010-02-28,197.95
2010-03-01,197.5
2010-03-02,195.73
2010-03-03,194.24
2010-03-04,196.63
2010-03-05,195.29
2010-03-06,195.29
2010-03-07,195.29
2010-03-08,194.8
2010-03-09,196.19
2010-03-10,195.0
2010-03-11,194.76
2010-03-12,193.14
2010-03-13,193.14
2010-03-14,193.14
2010-03-15,193.79
2010-03-16,191.64
2010-03-17,190.19
2010-03-18,192.81
2010-03-19,194.75
2010-03-20,194.75
2010-03-21,194.75
2010-03-22,194.39
2010-03-23,195.75
2010-03-24,198.23
2010-03-25,199.33
2010-03-26,197.82
2010-03-27,197.82
2010-03-28,197.82
2010-03-29,196.33
2010-03-30,198.86
2010-03-31,196.4
2010-04-01,195.03
2010-04-02,196.44
2010-04-03,196.44
2010-04-04,196.44
2010-04-05,196.27
2010-04-06,197.59
2010-04-07,199.81
2010-04-08,200.66
2010-04-09,197.78
2010-04-10,197.78
2010-04-11,197.78
2010-04-12,195.01
2010-04-13,193.39
2010-04-14,192.11
2010-04-15,193.89
2010-04-16,195.28
2010-04-17,195.28
2010-04-18,195.28
2010-04-19,196.67
2010-04-20,196.87
2010-04-21,196.99
2010-04-22,199.53
2010-04-23,196.83
